kaptCode,kaptName,codeMgr,kaptMgrCnt,kaptCcompany,codeSec,kaptdScnt,kaptdSecCom,codeClean,kaptdClcnt,codeGarbage,codeDisinf,kaptdDcnt,disposalType,codeStr,kaptdEcapa,codeEcon,codeEmgr,codeFalarm,codeWsupply,codeElev,kaptdEcnt,kaptdPcnt,kaptdPcntu,codeNet,kaptdCccnt,welfareFacility,kaptdWtimebus,subwayLine,subwayStation,kaptdWtimesub,convenientFacility,educationFacility,groundElChargerCnt,undergroundElChargerCnt,useYn
A10021235,화랑아파트,자치관리,2,,,,,자치관리,2,,관리방식미정,,,철근콘크리트구조,0,기타,선정안함,P형,수도직결식,,0,90,0,무,14,,5분이내,,,,,,0,0,Y
A10021493,벧엘아파트,자치관리,2,,,,,자치관리,2,차량수거방식,자치관리,2,,,,,,,,위탁관리,1,,,,,,5~10분이내,,,,,,0,0,Y
A10021495,다뉴브하이타운아파트,자치관리,2,,,,,자치관리,2,,자치관리(직영),,,철골철근콘크리트구조,750,단일계약,위탁선임,P형,기타,자치관리,0,,,,,,5~10분이내,,,,,,0,0,Y
A10021577,온천천2차동원로얄듀크아파트,위탁관리,,(주)성아종합관리,,,,,,,,,,,,,,,,,0,,,,,,15~20분이내,,,15~20분이내,,,0,0,Y
A10022565,거제 미소지움 더퍼스트 아파트,위탁관리,2,(주)에이비씨서비스,위탁관리,1,(주)에이비씨서비스,위탁관리,2,거점장비수거방식,위탁관리,3,분무식,철근콘크리트구조,2075,종합계약,상주선임,P형,부스타방식,위탁관리,6,0,261,유,98,"관리사무소, 노인정, 어린이놀이터, 자전거보관소",5분이내,"1호선, 3호선, 동해선",,5~10분이내,,,0,2,Y
A10022890,레이카운티 아파트,위탁관리,45,우리관리(주),위탁관리,28,조은관리시스템,위탁관리,46,음식물쓰레기종량제,위탁관리,4,분무식,철근콘크리트구조,22290,단일계약,상주선임,GR형,부스타방식,위탁관리,120,0,5335,유,1499,"관리사무소, 노인정, 보육시설, 문고, 주민공동시설, 어린이놀이터, 휴게시설, 커뮤니티공간, 자전거보관소",5분이내,3호선,,5분이내,"관공서(법원, 검찰청, 경찰청, 시청, 교육청, 연제구청) 병원(부산의료원) 대형상가(홈플러스) 공원(사직종합운동장)",초등학교(창신초등학교) 중학교(거제여자중학교) 고등학교(계성여자고등학교) 대학교(부산굥육대학교),0,109,Y
A10023405,쌍용더플래티넘거제아시아드,위탁관리,5,부경공영(주),위탁관리,5,에스원,위탁관리,4,음식물쓰레기종량제,위탁관리,3,분무식,철근콘크리트구조,3250,종합계약,상주선임,R형,부스타방식,위탁관리,10,18,563,유,164,"관리사무소, 노인정, 보육시설, 문고, 주민공동시설, 어린이놀이터, 휴게시설, 커뮤니티공간, 자전거보관소",5분이내,동해선,,5~10분이내,관공서(거제2동 행정복지센터) 병원(광혜병원) 백화점(롯데백화점동래) 대형상가(홈플러스),"초등학교(거제초등학교,남문초등학교) 중학교(거성중학교,거제여자중학교) 고등학교(개성여자고등학교)",0,12,Y
A10025258,아시아드코오롱하늘채,위탁관리,7,(주)디이씨오,위탁관리,8,에스원,위탁관리,8,음식물쓰레기종량제,위탁관리,4,분무식,철골콘크리트구조,4950,종합계약,상주선임,GR형,부스타방식,위탁관리,18,14,732,유,206,"관리사무소, 노인정, 문고, 주민공동시설, 어린이놀이터, 휴게시설, 유치원, 커뮤니티공간, 자전거보관소",5~10분이내,3호선,,5~10분이내,병원() 대형상가() 공원(),초등학교(),0,15,Y
A10025950,거제센트럴자이,위탁관리,6,(주)명건,위탁관리,7,SK쉴더스(주)부산,위탁관리,9,음식물쓰레기종량제,위탁관리,,,철골콘크리트구조,5000,종합계약,상주선임,R형,부스타방식,위탁관리,21,0,961,유,273,"관리사무소, 노인정, 보육시설, 문고, 주민공동시설, 어린이놀이터, 휴게시설, 커뮤니티공간, 자전거보관소",5~10분이내,"1호선, 3호선, 동해선",,5분이내,"관공서(부삽법원, 부산검찰청,부산지방우정청) 병원(세계로병원)",초등학교(교대부속초등학교) 중학교(이사벨중학교) 고등학교(이사벨고등학교.지구촌고등학교) 대학교(부산교육대학교),0,25,Y
A10026994,거제동2차 월드메르디앙아파트,위탁관리,2,남부공영(주),위탁관리,2,(주)남부공영,위탁관리,2,차량수거방식,자치관리,4,,철근콘크리트구조,736,종합계약,위탁선임,R형,부스타방식,위탁관리,3,0,195,무,34,"관리사무소, 어린이놀이터",5분이내,1호선,,5분이내,,,0,3,Y
A61107001,거제동한일유앤아이,위탁관리,4,삼성T.M.S,위탁관리,3,(주)삼성티엠에스,위탁관리,2,기타,위탁관리,2,분무식,철근콘크리트구조,1500,종합계약,상주선임,R형,부스타방식,위탁관리,4,3,310,유,48,"관리사무소, 노인정, 주민공동시설, 어린이놀이터, 자전거보관소",5분이내,"3호선, 동해선",,5분이내,관공서(부산광역시청) 병원(부산의료원) 대형상가(홈플플러스) 공원(온천천시민공원),"초등학교(거제,연동,연서) 중학교(거제여, 여명) 대학교(부산교육대)",0,6,Y
A61107002,거제동일동미라주리버,위탁관리,4,세호종합관리(주),위탁관리,2,세호종합관리,위탁관리,2,차량수거방식,관리방식미정,2,분무식,철골철근콘크리트구조,950,단일계약,상주선임,R형,부스타방식,위탁관리,5,12,233,유,53,"관리사무소, 노인정, 어린이놀이터, 자전거보관소",5~10분이내,1호선,,5~10분이내,,,0,5,Y
A61107303,거제유림노르웨이숲아파트,위탁관리,4,남부공영(주),위탁관리,4,(주)목평인력개발,위탁관리,4,음식물쓰레기종량제,위탁관리,4,"분무식,기구부착식",철근콘크리트구조,1500,단일계약,상주선임,R형,부스타방식,위탁관리,11,56,384,무,76,"관리사무소, 노인정, 주민공동시설, 어린이놀이터, 자전거보관소",5분이내,"1호선, 3호선",시청,5분이내,관공서(부산광역시청) 병원(연산프라임병원) 기타(거제시장),초등학교(양정) 중학교(거성) 고등학교(계성정보고),0,15,Y
A61175307,거제한양아파트,자치관리,4,,위탁관리,6,(주)고태,위탁관리,3,음식물쓰레기종량제,위탁관리,7,분무식,철근콘크리트구조,995,단일계약,위탁선임,P형,부스타방식,위탁관리,12,134,0,무,47,"관리사무소, 노인정, 어린이놀이터, 자전거보관소",5분이내,1호선,,5분이내,관공서(거제동사무소) 병원(대동병원),초등학교(부산교대부속초등학교) 중학교(이사벨중학교) 고등학교(이사벨고등학교) 대학교(부산교육대학교),0,0,Y
A61175403,대우그린타워아파트,위탁관리,3,(주)명건,위탁관리,4,(주)에스코아,위탁관리,3,음식물쓰레기종량제,위탁관리,6,분무식,철근콘크리트구조,1400,단일계약,위탁선임,P형,고가수조식,위탁관리,9,102,87,무,51,"관리사무소, 노인정, 어린이놀이터",5분이내,3호선,,10~15분이내,"관공서(부산지방법원,부산검찰청) 병원(부산의료원) 기타(부산종합운동장)",초등학교(창신초등학교) 중학교(거제여자중학교),11,0,Y
A61175404,거제동롯데캐슬피렌체,위탁관리,6,(주)장천,위탁관리,6,(주)세호종합관리,위탁관리,5,차량수거방식,위탁관리,3,"도포식,분무식",철근콘크리트구조,2750,종합계약,상주선임,R형,부스타방식,위탁관리,6,5,768,유,143,"관리사무소, 노인정, 문고, 주민공동시설, 어린이놀이터, 자전거보관소",5~10분이내,3호선,,5분이내,"관공서(부산지방법원,부산검찰청) 병원(부산의료원) 백화점(롯데백화점) 대형상가(홈플러스) 공원(성지곡수원지) 기타(부산종합운동장)","초등학교(남문초등학교) 중학교(여명중학교, 거제여중, 이사벨중학교) 고등학교(동인고, 동래고) 대학교(부산교육대학교)",0,15,Y
A61175405,아시아드푸르지오,위탁관리,5,(주)명건,위탁관리,5,정우산업(주),위탁관리,6,차량수거방식,위탁관리,3,분무식,철근콘크리트구조,2250,단일계약,상주선임,R형,부스타방식,위탁관리,12,31,723,유,155,"관리사무소, 노인정, 주민공동시설, 어린이놀이터, 휴게시설, 자전거보관소",5~10분이내,"3호선, 동해선",,5분이내,"관공서(부산지방법원,부산검찰청) 병원(바른병원) 대형상가(홈플러스) 공원(그린라인파크) 기타(부산종합운동장)",초등학교(창신초등학교) 중학교(여명중학교) 고등학교(브니엘고등학교) 대학교(부산교육대학교),14,3,Y
A61175505,거제대우아파트,위탁관리,3,(주)HM우성,위탁관리,6,(주)한특,위탁관리,3,음식물쓰레기종량제,위탁관리,3,분무식,철근콘크리트구조,1350,단일계약,상주선임,P형,부스타방식,위탁관리,8,156,70,무,40,"관리사무소, 노인정, 어린이놀이터, 자전거보관소",5~10분이내,"3호선, 동해선",,5~10분이내,"관공서(부산검찰청,부산지방법원) 병원(부산의료원) 대형상가(홈플러스) 기타(부산종합운동장)",초등학교(창신초등학교) 중학교(거제여자중학교),0,5,Y
A61175702,거제경남아파트,자치관리,4,,위탁관리,8,(주)삼성보안공사,위탁관리,4,음식물쓰레기종량제,위탁관리,4,도포식,철근콘크리트구조,950,단일계약,위탁선임,P형,고가수조식,위탁관리,14,319,0,무,48,"관리사무소, 노인정, 어린이놀이터",5~10분이내,3호선,거제,5분이내,관공서(시청) 대형상가(하이마트-거제점),초등학교(연제초등학교),0,0,Y
A61175804,거제현대아파트,자치관리,4,,위탁관리,12,(주)경동기업,위탁관리,5,음식물쓰레기종량제,위탁관리,6,분무식,철근콘크리트구조,950,종합계약,위탁선임,P형,고가수조식,위탁관리,21,450,0,무,55,"관리사무소, 노인정, 어린이놀이터",5분이내,"1호선, 3호선, 동해선",,5~10분이내,"관공서(부산지방법원,부산검찰청,부산종합청사) 병원(부산의료원) 대형상가(하이마트-거제점) 기타(부산종합운동장)","초등학교(거제초등학교) 중학교(거제여자중학교,거성중학교)",7,0,Y
A61176513,거제1차현대홈타운,위탁관리,8,우리관리(주),위탁관리,12,(주)목평인력개발,위탁관리,11,음식물쓰레기종량제,위탁관리,3,분무식,철근콘크리트구조,2850,단일계약,상주선임,R형,부스타방식,위탁관리,21,148,1192,무,156,,5~10분이내,,,5분이내,"관공서(부산지방법원,부산검찰청) 병원(미국소아과의원) 기타(부산종합운동장)",초등학교(남문초등학교) 중학교(여명중학교) 대학교(부산교육대학교),0,28,Y
A61176612,거제2차현대홈타운아파트,위탁관리,9,(주)디이씨오,위탁관리,7,(주)에스원,위탁관리,12,차량수거방식,위탁관리,4,분무식,철근콘크리트구조,4250,단일계약,상주선임,R형,부스타방식,위탁관리,22,142,1128,무,223,"관리사무소, 노인정, 보육시설, 문고, 주민공동시설, 어린이놀이터, 자전거보관소",5분이내,3호선,,5분이내,"관공서(부산지방법원,부산검찰청) 병원(미국소아과의원) 기타(부산종합운동장)",초등학교(남문초등학교) 중학교(여명중학교) 대학교(부산교육대학교),0,26,Y
A61176708,온천천쌍용예가,위탁관리,5,(주)디이씨오,위탁관리,4,(주)디이씨오,위탁관리,4,음식물쓰레기종량제,위탁관리(직영+위탁),3,"도포식,분무식,기구부착식,독이식",철근콘크리트구조,1600,단일계약,상주선임,R형,부스타방식,위탁관리,7,0,373,무,87,"관리사무소, 노인정, 어린이놀이터, 자전거보관소",10~15분이내,1호선,,5~10분이내,관공서(거제동사무소) 병원(광혜병원) 백화점(롯데백화점 동래점) 대형상가(메가마트) 공원(온천천공원),초등학교(연서초등학교) 중학교(이사벨중학교) 고등학교(이사벨고등학교) 대학교(부산교육대학교),0,0,Y
A61176709,거제쌍용스윗닷홈아파트,위탁관리,5,(주)HM우성,위탁관리,4,(주)에스원,위탁관리,6,음식물쓰레기종량제,위탁관리,3,분무식,철근콘크리트구조,2350,단일계약,상주선임,R형,부스타방식,위탁관리,11,137,435,유,93,"관리사무소, 노인정, 보육시설, 주민공동시설, 어린이놀이터, 휴게시설, 자전거보관소",5분이내,"3호선, 3호선","종합운동장, 종합운동장",5분이내,"관공서(부산지방법원,부산검찰청) 병원(사직의원) 기타(부산종합운동장)",초등학교(남문초등학교) 중학교(여명중학교) 대학교(부산교육대학교),0,12,Y
A61176911,거제동롯데캐슬아파트,위탁관리,6,(주)명건,위탁관리,6,태영개발(주),위탁관리,5,음식물쓰레기종량제,위탁관리,3,"분무식,독이식",철근콘크리트구조,1500,단일계약,상주선임,P형,고가수조식,위탁관리,13,224,331,무,97,"관리사무소, 노인정, 보육시설, 주민공동시설, 어린이놀이터, 휴게시설, 유치원, 자전거보관소",10~15분이내,"1호선, 3호선",,5~10분이내,관공서(거제동사무소) 병원(율곡병원) 공원(온천천 공원),초등학교(연서초등학교) 중학교(이사벨중학교) 고등학교(이사벨고등학교) 대학교(부산교육대학교),3,9,Y
