kaptCode,kaptName,codeMgr,kaptMgrCnt,kaptCcompany,codeSec,kaptdScnt,kaptdSecCom,codeClean,kaptdClcnt,codeGarbage,codeDisinf,kaptdDcnt,disposalType,codeStr,kaptdEcapa,codeEcon,codeEmgr,codeFalarm,codeWsupply,codeElev,kaptdEcnt,kaptdPcnt,kaptdPcntu,codeNet,kaptdCccnt,welfareFacility,kaptdWtimebus,subwayLine,subwayStation,kaptdWtimesub,convenientFacility,educationFacility,groundElChargerCnt,undergroundElChargerCnt,useYn
A10020963,삼한3차아파트,자치관리,,,,,,,,,,,,,,,,,,,0,,,,,,5분이내,,,20분초과,,,0,0,Y
A10021024,광하1.2차아파트,자치관리,5,,,,,자치관리,2,음식물쓰레기종량제,자치관리,2,,철근콘크리트구조,48,단일계약,선정안함,기타,수도직결식,,0,145,0,무,15,"관리사무소, 노인정, 어린이놀이터, 자전거보관소",5~10분이내,4호선,,5~10분이내,,,3,0,Y
A10021328,반송경동아파트,위탁관리,1,(주)보승,위탁관리,,주)보승,위탁관리,1,,관리방식미정,2,분무식,철골철근콘크리트구조,104,기타,위탁선임,P형,부스타방식,위탁관리,2,67,0,무,16,"관리사무소, 노인정, 어린이놀이터",5분이내,4호선,,10~15분이내,,,2,0,Y
A61273009,부산도시공사 반송영구임대아파트,위탁관리,10,(주)주우관리,위탁관리,10,(주)비앤에이서비스,위탁관리,4,차량수거방식,위탁관리,4,"분무식,독이식",철근콘크리트구조,360,단일계약,상주선임,R형,고가수조식,위탁관리,14,161,0,무,66,"관리사무소, 노인정, 보육시설, 주민공동시설, 어린이놀이터, 휴게시설, 자전거보관소",5~10분이내,4호선,,20분초과,관공서(반송2동사무소) 병원(현빈한의원),초등학교(운봉초등학교),0,0,Y
A61273104,반송남흥,위탁관리,5,남부공영(주),위탁관리,4,(주)비엔에이서비스,위탁관리,4,차량수거방식,위탁관리,4,분무식,철근콘크리트구조,2095,단일계약,상주선임,P형,고가수조식,위탁관리,14,297,53,무,37,"관리사무소, 노인정, 어린이놀이터, 휴게시설, 커뮤니티공간, 자전거보관소",5분이내,4호선,,10~15분이내,"관공서(반송2동사무소) 병원(현빈한의원,소아과등)","초등학교(운봉초등학교,송운초등학교)",3,0,Y
A61273306,벽산삼협한솔,위탁관리,6,(주)HM우성,위탁관리,4,(주)한특,위탁관리,4,음식물쓰레기종량제,위탁관리,3,분무식,철근콘크리트구조,2500,단일계약,상주선임,R형,고가수조식,위탁관리,17,356,121,무,128,"관리사무소, 노인정, 보육시설, 주민공동시설, 어린이놀이터, 자전거보관소",5~10분이내,4호선,,15~20분이내,관공서(반송2동사무소) 병원(강대식내과의원),초등학교(송운초등학교) 중학교(반송중학교),0,14,Y
A61273507,반송삼한2차,위탁관리,6,(주)에이치엠 우성,위탁관리,6,(주)비앤에이서비스,위탁관리,5,차량수거방식,위탁관리,3,분무식,철근콘크리트구조,2500,단일계약,상주선임,R형,부스타방식,위탁관리,17,619,177,무,86,"관리사무소, 노인정, 어린이놀이터, 유치원, 기타",5~10분이내,4호선,,10~15분이내,관공서(반송2동사무소),초등학교(운봉초등학교) 대학교(영산대학교),0,14,Y
A61273609,부산반송주공,자치관리,11,주택관리공단,위탁관리,12,명가종합관리,위탁관리,2,음식물쓰레기종량제,위탁관리,3,분무식,철근콘크리트구조,2550,단일계약,상주선임,R형,부스타방식,위탁관리,24,270,0,무,84,"관리사무소, 노인정, 어린이놀이터, 기타",5~10분이내,4호선,,5~10분이내,관공서(반송2동사무소) 병원(해인의원) 대형상가(LG하이프라자),초등학교(운봉초등학교),0,0,Y
A61280103,반송삼정그린코아,자치관리,2,,위탁관리,4,(주)한특,위탁관리,2,음식물쓰레기종량제,자치관리(직영),4,,철근콘크리트구조,639,기타,위탁선임,P형,고가수조식,위탁관리,6,156,59,무,36,"관리사무소, 노인정, 어린이놀이터",5~10분이내,4호선,,10~15분이내,관공서(반송2동사무소) 병원(맑은내과),초등학교(운봉초등학교),0,5,Y
A61280401,반송이진아파트,자치관리,2,,위탁관리,2,(주)우진피엠씨,위탁관리,2,음식물쓰레기종량제,위탁관리,3,분무식,철근콘크리트구조,910,단일계약,위탁선임,P형,고가수조식,위탁관리,6,62,121,무,52,"관리사무소, 노인정, 어린이놀이터, 자전거보관소",5분이내,4호선,,5~10분이내,관공서(반송1동사무소) 병원(조윤성의원) 대형상가(삼성디지털프라자-반송동점) 기타(반송시장),초등학교(반송) 중학교(반송) 고등학교(성심정보) 대학교(영산대학교),0,4,Y
A61280801,LIG건영,위탁관리,2,(주)주우관리,위탁관리,4,(주)비엔에이써비스,위탁관리,2,음식물쓰레기종량제,자치관리,4,분무식,철근콘크리트구조,225,단일계약,위탁선임,P형,고가수조식,위탁관리,9,153,38,무,40,"관리사무소, 노인정, 어린이놀이터, 자전거보관소",5~10분이내,4호선,,5~10분이내,관공서(반송2동사무소) 병원(현빈한의원) 대형상가(탑마트) 공원(담안골공원),"초등학교(운봉초등학교) 중학교(반송여중) 고등학교(성심보건고등학교) 대학교(영산대학교, 동부산대학교)",4,0,Y
A61280802,삼한5차,위탁관리,2,(주)명건,위탁관리,2,(주)목평인력개발,위탁관리,2,차량수거방식,위탁관리,4,분무식,철근콘크리트구조,800,단일계약,위탁선임,P형,고가수조식,위탁관리,8,166,130,유,58,"관리사무소, 노인정, 주민공동시설, 어린이놀이터, 휴게시설",5~10분이내,4호선,,,관공서(반송2동사무소) 병원(현빈한의원) 공원(),초등학교(운봉초등학교),2,4,Y
A61280805,삼한그린타운1차아파트,위탁관리,4,(주)명건,위탁관리,4,(주)명건,위탁관리,5,기타,위탁관리,4,분무식,철근콘크리트구조,450,기타,위탁선임,P형,부스타방식,위탁관리,15,173,308,무,78,"관리사무소, 노인정, 어린이놀이터, 휴게시설",5~10분이내,4호선,,15~20분이내,관공서(반송2동사무소) 병원(현빈한의원),초등학교(운봉초등학교),10,4,Y
A10021201,현대4차아파트,자치관리,5,,,,,자치관리,1,,자치관리,,,철근콘크리트구조,420,단일계약,선정안함,P형,고가수조식,,0,110,0,무,12,,5분이내,,,,,,0,0,Y
A10021220,광우아파트,자치관리,,,,,,,,,,,,,,,,,,,0,,,,,,5~10분이내,,,20분초과,,,0,0,Y
A10021249,홍림센텀아파트,자치관리,1,,,,,관리방식미정,1,,자치관리,,,철골철근콘크리트구조,0,기타,기타,기타,기타,,0,46,0,무,23,,5~10분이내,,,,,,0,0,Y
A10021306,그린파크아파트,자치관리(직영),1,,자치관리(직영),,,자치관리(직영),1,음식물쓰레기종량제,관리방식미정,2,,철골콘크리트구조,0,기타,선정안함,기타,고가수조식,,0,93,0,무,16,,5~10분이내,,,,,,0,0,Y
A10022405,드파인센텀아파트,위탁관리,6,(주)하나종합관리,위탁관리,,(주)에스원,위탁관리,9,거점장비수거방식,위탁관리,3,분무식,철골철근콘크리트구조,1000,종합계약,상주선임,GR형,부스타방식,위탁관리,20,0,920,유,450,"관리사무소, 노인정, 보육시설, 문고, 주민공동시설, 어린이놀이터, 휴게시설, 커뮤니티공간, 자전거보관소, 기타",5~10분이내,동해선,,5~10분이내,,,0,56,Y
A10023647,센텀KCC스위첸아파트,위탁관리,5,(주)주우관리,위탁관리,4,(주)하나종합관리,위탁관리,6,음식물쓰레기종량제,위탁관리,3,분무식,철골철근콘크리트구조,3300,단일계약,상주선임,R형,부스타방식,위탁관리,17,19,713,유,219,"관리사무소, 노인정, 보육시설, 주민공동시설, 어린이놀이터, 휴게시설, 유치원, 커뮤니티공간, 자전거보관소, 기타",10~15분이내,동해선,,10~15분이내,관공서(반여1동 동사무소) 병원(대동병원) 백화점(신세계백화점 센텀시티점) 대형상가(홈플러스),초등학교(무정초등학교) 중학교(인지중학교) 고등학교(센텀고등학교),14,4,Y
A10024249,센텀트루엘 아파트,위탁관리,5,(주)디이씨오,위탁관리,4,(주)에스원,위탁관리,4,음식물쓰레기종량제,위탁관리,3,분무식,철근콘크리트구조,3450,단일계약,상주선임,GR형,부스타방식,위탁관리,15,52,557,유,135,"관리사무소, 노인정, 보육시설, 주민공동시설, 어린이놀이터, 커뮤니티공간, 자전거보관소",5분이내,,,,관공서(반여4동 주민센터) 병원(센텀내과) 공원(명장공원),초등학교(삼어초등학교) 중학교(반안중학교) 고등학교(반여고등학교),3,40,Y
A10025558,해운대더샵센텀그린,위탁관리,5,부경공영(주),위탁관리,4,부경공영(주),위탁관리,4,음식물쓰레기종량제,위탁관리,3,,철근콘크리트구조,3000,단일계약,상주선임,P형,부스타방식,위탁관리,13,0,495,유,202,"관리사무소, 노인정, 보육시설, 주민공동시설, 어린이놀이터, 자전거보관소",5~10분이내,부산-김해경전철,,20분초과,,초등학교() 중학교(),0,10,Y
A61206101,센텀자유아파트,위탁관리,2,(주)디이씨오,자치관리,2,,자치관리,2,음식물쓰레기종량제,위탁관리,2,분무식,철근콘크리트구조,550,단일계약,위탁선임,P형,고가수조식,위탁관리,5,40,85,무,32,"관리사무소, 보육시설, 어린이놀이터",5~10분이내,4호선,,5~10분이내,대형상가(탑마트) 기타(반여농산물도매시장),초등학교(삼어초등학교) 고등학교(부산골프고등학교),0,3,Y
A61206102,센텀강변현대아파트,위탁관리,2,(주)디이씨오,위탁관리,4,(주)고태,위탁관리,3,거점장비수거방식,위탁관리,3,분무식,철근콘크리트구조,350,단일계약,위탁선임,P형,고가수조식,위탁관리,7,95,144,무,35,"관리사무소, 노인정, 어린이놀이터, 자전거보관소",5분이내,4호선,,10~15분이내,관공서(반여4동사무소) 대형상가(탑마트) 기타(반여농산물도매시장),초등학교(삼어초등학교),0,5,Y
A61206103,센텀에스디아파트,위탁관리,3,(주)하나종합관리,위탁관리,4,(주)하나종합관리,위탁관리,2,음식물쓰레기종량제,위탁관리,2,"도포식,분무식",철근콘크리트구조,426,기타,위탁선임,P형,부스타방식,위탁관리,8,104,67,무,45,"관리사무소, 노인정, 어린이놀이터",5~10분이내,,,10~15분이내,관공서(반여4동사무소) 기타(편익시설없음),초등학교(삼어초등학교),0,2,Y
A61206110,센텀롯데캐슬3차,위탁관리,5,(주)삼성T.M.S,위탁관리,3,(주)듀델코리아,위탁관리,4,음식물쓰레기종량제,위탁관리,4,,철근콘크리트구조,1400,단일계약,상주선임,R형,부스타방식,위탁관리,22,259,258,무,60,"관리사무소, 노인정, 보육시설, 어린이놀이터, 유치원",5분이내,,,10~15분이내,"관공서(반여1동사무소) 병원(권순완소아과의원) 대형상가(탑마트,홈플러스,롯데마트)","초등학교(장산초등학교, 무정초등학교) 중학교(인지중학교, 장산중학교) 고등학교(반여고등학교)",15,11,Y
