kaptCode,kaptName,codeMgr,kaptMgrCnt,kaptCcompany,codeSec,kaptdScnt,kaptdSecCom,codeClean,kaptdClcnt,codeGarbage,codeDisinf,kaptdDcnt,disposalType,codeStr,kaptdEcapa,codeEcon,codeEmgr,codeFalarm,codeWsupply,codeElev,kaptdEcnt,kaptdPcnt,kaptdPcntu,codeNet,kaptdCccnt,welfareFacility,kaptdWtimebus,subwayLine,subwayStation,kaptdWtimesub,convenientFacility,educationFacility,groundElChargerCnt,undergroundElChargerCnt,useYn
A10020346,한화포레나미아아파트,위탁관리,8,태영건물종합관리 주식회사,,,,관리방식미정,6,음식물쓰레기종량제,관리방식미정,4,도포식,철골철근콘크리트구조,2000,종합계약,상주선임,R형,부스타방식,관리방식미정,14,0,539,유,208,,,,,,,,0,28,Y
A10021203,미아요진아파트,자치관리,3,,,,,위탁관리,1,차량수거방식,위탁관리,4,"분무식,독이식",철골철근콘크리트구조,380,단일계약,위탁선임,P형,고가수조식,위탁관리,4,26,78,무,20,,5분이내,,,,,,0,0,Y
A10021213,신구아파트,위탁관리,8,한국경영관리,위탁관리,,한국경영관리,위탁관리,1,차량수거방식,위탁관리,12,분무식,철골철근콘크리트구조,400,단일계약,위탁선임,P형,부스타방식,위탁관리,5,2,104,무,48,"관리사무소, 어린이놀이터, 휴게시설, 커뮤니티공간, 자전거보관소",5~10분이내,4호선,,5~10분이내,,,0,3,Y
A10022183,신일해피트리아파트,위탁관리,1,인덕종합관리(주),자치관리,,,자치관리,1,,위탁관리,,,철골철근콘크리트구조,700,종합계약,위탁선임,P형,부스타방식,위탁관리,5,42,78,무,32,,5~10분이내,,,5~10분이내,,,0,0,Y
A10022391,북서울자이 폴라리스 아파트,위탁관리,9,남경종합관리(주),위탁관리,,(주)에스원,위탁관리,8,거점장비수거방식,위탁관리,0,,철골콘크리트구조,10300,종합계약,상주선임,GR형,부스타방식,위탁관리,37,0,1243,유,821,"관리사무소, 노인정, 문고, 주민공동시설, 어린이놀이터, 휴게시설, 유치원, 커뮤니티공간, 자전거보관소, 기타",5분이내,우이신설선,,5분이내,,,0,100,Y
A10022897,미아sh빌아파트,위탁관리,2,주식회사 한빛종합관리,위탁관리,1,화이트시스템,,,,위탁관리,4,"분무식,독이식",철골철근콘크리트구조,325,단일계약,위탁선임,P형,부스타방식,위탁관리,1,0,40,무,16,"관리사무소, 주민공동시설, 어린이놀이터, 휴게시설, 자전거보관소",5분이내,"4호선, 우이신설선",미아역,,대형상가(),,0,3,Y
A10023829,꿈의숲한신더휴아파트,위탁관리,3,광인산업(주),자치관리(직영),2,,위탁관리,2,차량수거방식,위탁관리,12,"분무식,독이식",철근콘크리트구조,1700,단일계약,상주선임,R형,부스타방식,위탁관리,8,0,227,유,185,"관리사무소, 노인정, 보육시설, 문고, 어린이놀이터, 커뮤니티공간, 자전거보관소",5분이내,4호선,미아사거리역,,관공서(강북구청) 병원(햇빛병원) 백화점(롯데백화점) 공원(꿈의숲),초등학교(송중초등학교),0,22,Y
A10024034,수유역푸르지오시티,자치관리,4,,자치관리,2,,자치관리,3,음식물쓰레기종량제,위탁관리,9,분무식,철근콘크리트구조,3530,단일계약,상주선임,R형,부스타방식,위탁관리,2,0,71,유,100,"관리사무소, 자전거보관소",5~10분이내,4호선,,5~10분이내,"관공서(강북구청, 강북결찰서) 병원(대한병원) 백화점(롯데백화점)",대학교(성신여자대학교),0,6,Y
A10025241,꿈의숲 해링턴 플레이스 아파트,위탁관리,10,(주)동우개발,위탁관리,8,(주)에스원,위탁관리,14,기타,위탁관리,12,"도포식,분무식,기구부착식",철골철근콘크리트구조,4000,종합계약,상주선임,R형,부스타방식,위탁관리,47,0,1365,유,421,"관리사무소, 노인정, 보육시설, 주민공동시설, 어린이놀이터, 휴게시설, 커뮤니티공간, 자전거보관소",5분이내,4호선,,5~10분이내,병원(햇빛병원) 백화점(롯데백화점) 공원(오동공원),초등학교(송중초등학교),0,69,Y
A10026947,꿈의숲롯데캐슬아파트,위탁관리,6,(주)아주관리,위탁관리,4,ADT캡스,위탁관리,7,차량수거방식,위탁관리,4,분무식,철골철근콘크리트구조,2750,종합계약,상주선임,P형,부스타방식,위탁관리,25,9,707,유,316,"관리사무소, 노인정, 보육시설, 문고, 주민공동시설, 어린이놀이터, 휴게시설, 유치원, 커뮤니티공간, 자전거보관소",5분이내,4호선,,10~15분이내,백화점(롯데백화점) 공원(북서울꿈의숲롯데캐슬),초등학교(송중초등학교),0,8,Y
A14210001,삼각산아이원임대,위탁관리,5,광인산업(주),위탁관리,4,삼우안전관리(유),위탁관리,2,음식물쓰레기종량제,위탁관리,4,도포식,철근콘크리트구조,1500,단일계약,상주선임,P형,고가수조식,위탁관리,6,90,258,무,75,"관리사무소, 노인정, 어린이놀이터",5~10분이내,4호선,미아삼거리,10~15분이내,"관공서(미아6.7동사무소) 병원(미래연세내과) 백화점(롯데,신세계,현대백화점) 대형상가(동북프라자) 기타(대지시장)","초등학교(삼각산초,영훈초,송천초) 중학교(삼각산중,영훈중) 고등학교(영훈고) 대학교(서경)",0,6,Y
A14210002,삼각산아이원,위탁관리,10,(주)신원티엠씨(TMC),위탁관리,18,예주산업,위탁관리,15,차량수거방식,위탁관리,4,"도포식,분무식",철근콘크리트구조,3550,단일계약,상주선임,R형,부스타방식,위탁관리,33,291,1374,무,272,"관리사무소, 노인정, 문고, 어린이놀이터, 휴게시설, 자전거보관소",5~10분이내,4호선,미아삼거리,5~10분이내,"관공서(동사무소) 병원(미아성모의원) 백화점(롯대백화점) 대형상가(삼양시장,대지시장)","초등학교(삼양,미양,삼각산) 중학교(삼각산,성암) 고등학교(성암) 대학교(서경)",0,10,Y
A14272303,한일유앤아이,위탁관리,5,세화종합관리(주),위탁관리,4,(유)현대관리시스템,위탁관리,4,기타,위탁관리,12,"도포식,분무식",철근콘크리트구조,990,단일계약,위탁선임,R형,부스타방식,위탁관리,12,130,401,무,51,"관리사무소, 노인정, 휴게시설, 자전거보관소",5분이내,4호선,,10~15분이내,관공서(미아4동사무소) 병원(서울복음의원) 백화점(롯데백화점),중학교(창문여중) 고등학교(창문여고),0,11,Y
A14272304,SK북한산시티아파트,위탁관리,21,광인산업(주),위탁관리,37,에스케이쉴더스(주),위탁관리,51,음식물쓰레기종량제,위탁관리,4,"도포식,분무식,기구부착식",철근콘크리트구조,7200,종합계약,상주선임,R형,부스타방식,위탁관리,84,734,4082,무,488,"관리사무소, 노인정, 보육시설, 주민공동시설, 어린이놀이터, 유치원, 자전거보관소",5~10분이내,우이신설선,미아사거리,20분초과,"관공서(동사무소) 백화점(롯데백화점) 대형상가(삼양시장,대지시장)","초등학교(삼양,미양,삼각산) 중학교(삼각산,성암) 고등학교(성암) 대학교(서경)",0,78,Y
A14272305,벽산라이브파크,위탁관리,11,세화종합관리(주),위탁관리,11,(주)에스원,위탁관리,16,음식물쓰레기종량제,위탁관리,12,분무식,철근콘크리트구조,3850,단일계약,상주선임,R형,고가수조식,위탁관리,34,1868,38,무,263,"관리사무소, 노인정, 보육시설, 주민공동시설, 어린이놀이터, 자전거보관소",5~10분이내,"4호선, 우이신설선",미아삼거리,20분초과,"관공서(동사무소) 백화점(롯대백화점) 대형상가(삼양시장,대지시장) 공원(문바위어린이공원)","초등학교(삼양,미양,삼각산) 중학교(삼각산,성암) 고등학교(성암) 대학교(서경)",30,8,Y
