kaptCode,kaptName,codeMgr,kaptMgrCnt,kaptCcompany,codeSec,kaptdScnt,kaptdSecCom,codeClean,kaptdClcnt,codeGarbage,codeDisinf,kaptdDcnt,disposalType,codeStr,kaptdEcapa,codeEcon,codeEmgr,codeFalarm,codeWsupply,codeElev,kaptdEcnt,kaptdPcnt,kaptdPcntu,codeNet,kaptdCccnt,welfareFacility,kaptdWtimebus,subwayLine,subwayStation,kaptdWtimesub,convenientFacility,educationFacility,groundElChargerCnt,undergroundElChargerCnt,useYn
A10020559,낙성대현대아파트,자치관리,2,,자치관리,,,자치관리,1,차량수거방식,자치관리,4,"도포식,분무식",철골철근콘크리트구조,444,종합계약,위탁선임,P형,고가수조식,위탁관리,3,4,145,유,36,"관리사무소, 노인정, 주민공동시설, 어린이놀이터, 자전거보관소",,"1호선, 2호선, 4호선",,,,,1,5,Y
A10020665,반석푸른숲아파트,위탁관리,,(주)파인스카이 도시관리,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,0,0,Y
A10020718,LH관악봉천행복주택,위탁관리,3,현대아미스(주),,,,자치관리(직영),1,차량수거방식,관리방식미정,,,철골철근콘크리트구조,900,종합계약,위탁선임,GR형,부스타방식,위탁관리,7,18,0,무,76,,5분이내,,,10~15분이내,,,0,0,Y
A10020964,힐스테이트관악센트씨엘,위탁관리,9,세화종합관리(주),,,,위탁관리,10,음식물쓰레기종량제,,,,철골철근콘크리트구조,6240,종합계약,상주선임,R형,부스타방식,관리방식미정,30,0,1264,유,417,,5분이내,,,10~15분이내,,,0,0,Y
A10021647,마에스트로캠퍼스타운,위탁관리,2,아이피비엠씨관리 주식회사,위탁관리,,아이피비엠씨관리(주),위탁관리,1,음식물쓰레기종량제,위탁관리,6,분무식,철골콘크리트구조,600,단일계약,위탁선임,R형,부스타방식,위탁관리,1,3,35,유,9,,5분이내,,,5~10분이내,,,0,0,Y
A10021687,동아타운아파트,위탁관리,3,대한종합개발(주),위탁관리,,대한종합개발(주),위탁관리,1,기타,위탁관리,12,"도포식,분무식",철골콘크리트구조,150,종합계약,상주선임,P형,고가수조식,위탁관리,2,0,108,무,25,"관리사무소, 어린이놀이터",5분이내,"1호선, 2호선, 4호선",2호선 낙성대(강감찬)역,,,,0,2,Y
A10021724,프라비다 M,위탁관리,3,아이피비엠씨관리 주식회사,위탁관리,,아이피비엠씨관리(주),위탁관리,1,음식물쓰레기종량제,위탁관리,6,분무식,철근콘크리트구조,750,단일계약,위탁선임,R형,부스타방식,위탁관리,1,18,16,유,57,,5분이내,,,5~10분이내,,,0,0,Y
A10023372,BX201 청년주택,위탁관리,1,(주)세안텍스,,,,위탁관리,2,음식물쓰레기종량제,위탁관리,5,분무식,철골콘크리트구조,980,종합계약,위탁선임,P형,부스타방식,위탁관리,2,72,0,유,30,"관리사무소, 주민공동시설, 커뮤니티공간, 자전거보관소, 기타",5분이내,2호선,,5분이내,대형상가(),,0,0,Y
A10023490,일두아파트,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,0,0,Y
A10024514,관악위버폴리스,위탁관리,11,,위탁관리,3,,위탁관리,4,음식물쓰레기종량제,위탁관리,12,분무식,철근콘크리트구조,3150,종합계약,상주선임,R형,부스타방식,위탁관리,4,0,248,유,118,관리사무소,5분이내,2호선,,,관공서() 병원() 백화점() 대형상가(),고등학교(),0,5,Y
A10024638,관악월드메르디앙아파트,위탁관리,3,영광관리(주),자치관리(직영),2,,위탁관리,1,차량수거방식,위탁관리,3,분무식,철근콘크리트구조,655,종합계약,위탁선임,R형,부스타방식,위탁관리,6,35,95,유,20,"관리사무소, 노인정, 어린이놀이터, 자전거보관소",5분이내,"2호선, 7호선",,5~10분이내,관공서() 백화점() 공원(),초등학교() 중학교(),0,0,Y
A10024666,서희스타힐스,위탁관리,8,,자치관리,2,,자치관리,1,음식물쓰레기종량제,위탁관리,12,"도포식,분무식",철골철근콘크리트구조,1650,종합계약,상주선임,R형,부스타방식,위탁관리,5,0,235,유,89,"관리사무소, 자전거보관소",5~10분이내,"2호선, 7호선",,10~15분이내,대형상가(관악식자재마트),,0,5,Y
