kaptCode,kaptName,codeMgr,kaptMgrCnt,kaptCcompany,codeSec,kaptdScnt,kaptdSecCom,codeClean,kaptdClcnt,codeGarbage,codeDisinf,kaptdDcnt,disposalType,codeStr,kaptdEcapa,codeEcon,codeEmgr,codeFalarm,codeWsupply,codeElev,kaptdEcnt,kaptdPcnt,kaptdPcntu,codeNet,kaptdCccnt,welfareFacility,kaptdWtimebus,subwayLine,subwayStation,kaptdWtimesub,convenientFacility,educationFacility,groundElChargerCnt,undergroundElChargerCnt,useYn
A10020550,크라운빌,자치관리(직영),4,,자치관리(직영),,,자치관리(직영),1,음식물쓰레기종량제,위탁관리,,,철골콘크리트구조,1500,종합계약,상주선임,R형,부스타방식,위탁관리,3,4,146,유,50,,,,,,,,0,3,Y
A10020771,신도림아르디에,위탁관리,,(주)크라운종합관리,,,,,,,,,,,,,,,,,0,,,,,,5~10분이내,,,5분이내,,,0,0,Y
A10021030,신도림팰러티움,위탁관리,8,율산개발 유한회사,,,,자치관리(직영),2,음식물쓰레기종량제,위탁관리,6,분무식,철골철근콘크리트구조,1300,단일계약,상주선임,R형,부스타방식,위탁관리,4,0,198,유,48,,5분이내,,,5분이내,,,0,14,Y
A10022406,신성은하수아파트,위탁관리,,주식회사 우창개발,,,,,,,,,,,,,,,,,0,,,,,,5분이내,,,5~10분이내,,,0,0,Y
A10022522,신도림2차 푸르지오 아파트,위탁관리,2,주식회사 한빛종합관리,자치관리,,,자치관리,1,차량수거방식,위탁관리,12,분무식,철골철근콘크리트구조,950,단일계약,위탁선임,GR형,부스타방식,위탁관리,2,0,235,유,96,,5분이내,,,,,,0,0,Y
A10028063,신도림아이파크아파트,위탁관리,2,우리관리(주),위탁관리,3,,위탁관리,3,차량수거방식,위탁관리,12,분무식,철골철근콘크리트구조,1150,종합계약,위탁선임,R형,부스타방식,위탁관리,5,0,190,무,69,"관리사무소, 노인정, 보육시설, 주민공동시설, 커뮤니티공간, 자전거보관소",5분이내,"1호선, 2호선",,5분이내,,,0,0,Y
A15277302,신도림디큐브시티,위탁관리,11,우리관리(주),위탁관리,11,에스원,위탁관리,12,음식물쓰레기종량제,위탁관리,12,"도포식,분무식,독이식",철골철근콘크리트구조,6250,종합계약,상주선임,R형,부스타방식,위탁관리,12,0,862,무,407,"관리사무소, 노인정, 보육시설, 문고, 주민공동시설, 어린이놀이터, 휴게시설, 커뮤니티공간, 자전거보관소",5분이내,"1호선, 2호선",신도림역,5~10분이내,관공서(신도림동주민센터) 병원(우리소아과의원) 백화점(현대백화점) 대형상가(홈플러스 이마트) 공원(안양천 공원),초등학교(신도림) 중학교(신도림),0,18,Y
A15288611,신도림미성,위탁관리,9,(주)무림하우징,위탁관리,12,(주)우창개발,위탁관리,6,거점장비수거방식,위탁관리,4,"도포식,분무식,독이식",철근콘크리트구조,1950,단일계약,상주선임,P형,부스타방식,위탁관리,7,450,90,무,57,"관리사무소, 노인정, 어린이놀이터, 휴게시설, 유치원, 자전거보관소",5~10분이내,"1호선, 2호선",도림천,5~10분이내,"관공서(신도림동주민센터, 구로구청, 구로소방서.신도림지구대) 병원(우리소아과의원, 구로고대병원) 백화점(AK백화점) 대형상가(구로기계공구상가) 공원(안양천 공원, 구로구 거리공원)",초등학교(신도림) 중학교(신도림) 고등학교(),5,5,Y
A15288801,신도림우성5차,위탁관리,1,남경종합관리(주),위탁관리,3,남경종합관리(주),위탁관리,1,음식물쓰레기종량제,위탁관리,6,"도포식,분무식,독이식",철근콘크리트구조,217,단일계약,위탁선임,P형,고가수조식,위탁관리,2,84,52,무,26,"관리사무소, 노인정, 어린이놀이터",5분이내,"1호선, 2호선",도림천,10~15분이내,"관공서(신도림동주민센터) 병원(아산내과,우리소아과의원) 백화점(현대백화점) 대형상가(홈플러스,테크노마트) 공원(도림천,안양천 공원)",초등학교(신도림) 중학교(신도림) 고등학교(신도림),0,0,Y
A15288802,신도림대림3차,위탁관리,3,서일개발(주),위탁관리,4,(주)우창개발,위탁관리,2,거점장비수거방식,위탁관리,12,독이식,철근콘크리트구조,1082,종합계약,위탁선임,R형,고가수조식,관리방식미정,5,24,225,유,63,,5분이내,,,5~10분이내,관공서(신도림동주민센터) 병원(우리소아과의원) 대형상가(홈플러스) 공원(안양천 공원),초등학교(신도림) 중학교(신도림),0,5,Y
A15288803,신도림현대,위탁관리,3,대원에스테이트서비스(주),위탁관리,4,새롬시큐리티,위탁관리,2,음식물쓰레기종량제,위탁관리,12,분무식,철근콘크리트구조,795,단일계약,위탁선임,P형,고가수조식,위탁관리,5,92,120,무,46,"관리사무소, 노인정, 주민공동시설, 어린이놀이터, 자전거보관소",5분이내,"1호선, 2호선",도림천,5~10분이내,관공서(신도림동주민센터) 병원(우리소아과의원) 백화점() 대형상가(홈플러스) 공원(안양천 공원),초등학교(신도림) 중학교(신도림) 고등학교(신도림),0,3,Y
A15288804,신도림우성3차,위탁관리,4,신한영관리(주),위탁관리,4,(주)듀델코리아,위탁관리,2,차량수거방식,위탁관리,12,도포식,철근콘크리트구조,1160,단일계약,위탁선임,P형,부스타방식,위탁관리,10,149,32,무,49,"관리사무소, 노인정, 어린이놀이터, 자전거보관소",5분이내,"1호선, 2호선",도림천,5~10분이내,관공서(신도림동주민센터) 병원(우리소아과의원) 백화점() 대형상가(홈플러스) 공원(안양천 공원),초등학교(신도림) 중학교(신도림) 고등학교(),4,0,Y
