kaptCode,kaptName,codeMgr,kaptMgrCnt,kaptCcompany,codeSec,kaptdScnt,kaptdSecCom,codeClean,kaptdClcnt,codeGarbage,codeDisinf,kaptdDcnt,disposalType,codeStr,kaptdEcapa,codeEcon,codeEmgr,codeFalarm,codeWsupply,codeElev,kaptdEcnt,kaptdPcnt,kaptdPcntu,codeNet,kaptdCccnt,welfareFacility,kaptdWtimebus,subwayLine,subwayStation,kaptdWtimesub,convenientFacility,educationFacility,groundElChargerCnt,undergroundElChargerCnt,useYn
A10023288,LH서울금천 행복주택아파트,위탁관리,4,주식회사 푸른종합주택관리,위탁관리,2,(주)푸른안전산업,위탁관리,2,차량수거방식,위탁관리,12,"도포식,분무식",철근콘크리트구조,1287,종합계약,상주선임,GR형,부스타방식,위탁관리,5,89,112,유,87,"관리사무소, 어린이놀이터, 휴게시설, 자전거보관소",5분이내,"1호선, 7호선",,15~20분이내,백화점() 대형상가(),초등학교() 중학교(),0,4,Y
A10023956,어바니엘가산,위탁관리,5,동우씨엠(주),위탁관리,2,동우씨엠(주),위탁관리,4,음식물쓰레기종량제,위탁관리,12,"분무식,독이식",철근콘크리트구조,2700,단일계약,상주선임,GR형,부스타방식,위탁관리,5,32,284,유,177,"관리사무소, 휴게시설, 커뮤니티공간",5분이내,"1호선, 7호선",,5분이내,,,4,3,Y
A10025913,가산지웰에스테이트2차,자치관리,2,,자치관리,2,,위탁관리,1,거점장비수거방식,위탁관리,5,도포식,철골철근콘크리트구조,900,단일계약,위탁선임,R형,부스타방식,위탁관리,4,0,170,유,62,"관리사무소, 주민공동시설",5분이내,"1호선, 2호선, 7호선",,5~10분이내,,,0,2,Y
A15380101,가산삼익아파트,위탁관리,3,유원종합관리(주),위탁관리,3,,위탁관리,2,거점장비수거방식,위탁관리,12,"분무식,독이식",철근콘크리트구조,1060,단일계약,위탁선임,P형,고가수조식,위탁관리,5,38,174,무,49,"관리사무소, 노인정, 자전거보관소",5분이내,"1호선, 1호선, 1호선, 1호선, 1호선, 2호선, 7호선",", , , , ",5~10분이내,병원(영생한의원) 대형상가(의류아울렛) 공원(무아래공원),초등학교(가산초) 중학교(세일중교),5,0,Y
A15380403,가산두산위브,위탁관리,13,서일개발(주),위탁관리,26,(주)이엠피서비스,위탁관리,13,음식물쓰레기종량제,위탁관리,12,"도포식,분무식",철근콘크리트구조,3750,단일계약,상주선임,R형,부스타방식,위탁관리,66,546,1176,무,304,"관리사무소, 노인정, 어린이놀이터",10~15분이내,"1호선, 2호선, 7호선",가산디지털단지,5~10분이내,관공서(가산동사무소) 병원(강남우신병원) 대형상가(의류아울렛) 공원(무아래공원) 기타(디지털단지),초등학교(가산) 중학교(세일),0,5,Y
A10020894,독산동삼익아파트,위탁관리,1,(주)아크로비엠에스,위탁관리,,(주)아크로비엠에스,위탁관리,2,,위탁관리,12,기구부착식,철근콘크리트구조,600,단일계약,위탁선임,P형,고가수조식,위탁관리,3,14,122,무,24,,10~15분이내,,,10~15분이내,,,0,5,Y
A10022155,청광플러스원아파트,위탁관리,,대성티엠씨 주식회사,,,,,,,,,,,,,,,,,0,,,,,,5분이내,,,,,,0,0,Y
A10024179,독산동태영아파트,위탁관리,2,세화종합관리(주),위탁관리,2,(주)듀델코리아,위탁관리,1,거점장비수거방식,위탁관리,4,독이식,철근콘크리트구조,500,단일계약,위탁선임,P형,고가수조식,위탁관리,2,6,113,,36,"관리사무소, 어린이놀이터",5분이내,1호선,독산역,5분이내,관공서(금천구청),초등학교(두산초등학교) 중학교(가산중학교),0,0,Y
A10024302,독산역 롯데캐슬아파트,위탁관리,8,우리관리(주),위탁관리,5,(주)크린서비스,위탁관리,10,차량수거방식,위탁관리,12,분무식,철근콘크리트구조,5200,종합계약,상주선임,R형,부스타방식,위탁관리,28,0,1144,유,477,"관리사무소, 노인정, 보육시설, 문고, 주민공동시설, 어린이놀이터, 휴게시설, 커뮤니티공간, 자전거보관소",5분이내,1호선,,5분이내,,,0,71,Y
A10025116,e편한세상독산더타워아파트,위탁관리,6,(주)듀델코리아,위탁관리,4,(주)듀델코리아,위탁관리,4,음식물쓰레기종량제,위탁관리,12,"도포식,분무식",철골철근콘크리트구조,2500,종합계약,상주선임,R형,부스타방식,위탁관리,13,0,449,유,183,"관리사무소, 노인정, 보육시설, 문고, 주민공동시설, 어린이놀이터, 휴게시설, 커뮤니티공간, 자전거보관소, 기타",5분이내,1호선,,5~10분이내,대형상가(홈플러스),,0,4,Y
