kaptCode,kaptName,codeMgr,kaptMgrCnt,kaptCcompany,codeSec,kaptdScnt,kaptdSecCom,codeClean,kaptdClcnt,codeGarbage,codeDisinf,kaptdDcnt,disposalType,codeStr,kaptdEcapa,codeEcon,codeEmgr,codeFalarm,codeWsupply,codeElev,kaptdEcnt,kaptdPcnt,kaptdPcntu,codeNet,kaptdCccnt,welfareFacility,kaptdWtimebus,subwayLine,subwayStation,kaptdWtimesub,convenientFacility,educationFacility,groundElChargerCnt,undergroundElChargerCnt,useYn
A10020429,신설동역 자이르네,위탁관리,5,제일에스테이트서비스 주식회사,위탁관리,,지엘종합관리,위탁관리,3,음식물쓰레기종량제,위탁관리,4,분무식,철골철근콘크리트구조,1650,종합계약,상주선임,R형,부스타방식,위탁관리,19,0,261,유,120,"관리사무소, 어린이놀이터, 휴게시설, 커뮤니티공간, 자전거보관소",,"1호선, 2호선, 우이신설선",,,,,0,6,Y
A10026147,신설동 지웰홈스,위탁관리,4,주식회사 에스엘플랫폼,,,,위탁관리,2,차량수거방식,위탁관리,12,"도포식,분무식",철근콘크리트구조,2160,종합계약,상주선임,R형,부스타방식,위탁관리,3,0,143,유,64,"관리사무소, 커뮤니티공간",5분이내,"1호선, 2호선",신설동역,5분이내,공원(),,0,1,Y
A10020343,힐스테이트청량리메트로블,위탁관리,8,,위탁관리,,한주피엠씨주식회사,위탁관리,,,,,,,,,,,,위탁관리,6,,163,,215,,,,,,,,0,0,Y
A10022979,청계한양아이클래스,,6,율산개발 유한회사,,0,,자치관리(직영),1,음식물쓰레기종량제,위탁관리,6,분무식,철골철근콘크리트구조,1660,단일계약,상주선임,R형,압력탱크식,,0,66,86,무,20,"관리사무소, 자전거보관소",,"1호선, 2호선",신설동역,,,,0,0,Y
A10023188,청량리역 한양수자인 그라시엘,위탁관리,12,(주)케이티팝스,위탁관리,11,에스케이쉴더스(주),위탁관리,21,기타,위탁관리,12,"도포식,분무식",철근콘크리트구조,7950,종합계약,상주선임,R형,부스타방식,위탁관리,32,0,1381,유,785,"관리사무소, 노인정, 보육시설, 문고, 어린이놀이터, 커뮤니티공간, 자전거보관소",5분이내,"1호선, 경의중앙선, 경춘선",,5분이내,관공서(동대문구청) 백화점(롯데백화점),,0,68,Y
A10023389,청량리역해링턴플레이스,위탁관리,6,태영건물종합관리 주식회사,자치관리(직영),4,,위탁관리,3,음식물쓰레기종량제,위탁관리,12,분무식,철골콘크리트구조,2850,종합계약,상주선임,R형,부스타방식,관리방식미정,4,0,180,유,50,"관리사무소, 노인정, 주민공동시설, 어린이놀이터, 휴게시설, 커뮤니티공간, 자전거보관소",5분이내,1호선,,5분이내,관공서(동대문구청) 병원(경희대병원) 백화점(롯데백화점),초등학교(답십리초등학교) 중학교(동대문중학교) 고등학교(청량정보고등학교) 대학교(서울시립대학교),0,4,Y
A10023633,래미안 엘리니티,위탁관리,10,남경종합관리(주),위탁관리,9,Sk쉴더스(주),위탁관리,12,차량수거방식,위탁관리,4,"도포식,분무식",철근콘크리트구조,5049,종합계약,상주선임,R형,부스타방식,위탁관리,36,0,1193,유,490,"관리사무소, 노인정, 보육시설, 문고, 주민공동시설, 어린이놀이터, 휴게시설, 커뮤니티공간, 자전거보관소",5분이내,"1호선, 2호선",,5분이내,"관공서(용신동주민센터) 병원(서울특별시동부병원, 고려대학교안암병원)","초등학교(서울용두초등학교, 서울동명초등학교) 중학교(성일중학교) 대학교(고려대학교)",0,61,Y
A10024042,e편한세상 청계 센트럴포레,위탁관리,8,대원에스테이트서비스(주),위탁관리,5,(주)에스원,위탁관리,10,음식물쓰레기종량제,위탁관리,12,,철근콘크리트구조,1750,종합계약,상주선임,R형,부스타방식,위탁관리,20,0,1112,유,370,"관리사무소, 노인정, 보육시설, 문고, 주민공동시설, 어린이놀이터, 휴게시설, 커뮤니티공간, 자전거보관소",5분이내,"1호선, 2호선",,5~10분이내,,,0,32,Y
A10027274,동대문푸르지오시티,위탁관리,7,(주)동우개발,자치관리(직영),3,,위탁관리,8,차량수거방식,위탁관리,6,"도포식,분무식,기구부착식",철근콘크리트구조,3050,종합계약,상주선임,GR형,부스타방식,위탁관리,3,0,450,유,76,"관리사무소, 주민공동시설, 휴게시설",5분이내,1호선,제기역,5분이내,병원() 대형상가() 공원(),,0,5,Y
A10028080,용두 롯데 캐슬리치 아파트,위탁관리,5,(주)동우개발,위탁관리,4,(주)혜진종합관리,위탁관리,4,음식물쓰레기종량제,위탁관리,12,"도포식,분무식,독이식",철골철근콘크리트구조,2250,단일계약,상주선임,R형,부스타방식,위탁관리,16,0,337,무,122,"관리사무소, 노인정, 보육시설, 문고, 주민공동시설, 어린이놀이터, 유치원, 커뮤니티공간, 자전거보관소",5분이내,1호선,제기동역 1번출구,5분이내,"관공서(용두건강관리협회, 행복문화재단) 병원(고대병원, 우신향병원) 백화점(미아롯데백화점, 미아현대백화점) 대형상가(홈플러스) 공원()","초등학교(안암초등학교, 청량초등학교) 중학교(대광중학교, 용문중학교, 성신여중) 고등학교(대광고등학교, 용문고등학교, 성신여고) 대학교(성신여대, 고려대)",0,0,Y
A13007001,용두두산위브,위탁관리,4,국제경보산업,위탁관리,4,선우환경관리,위탁관리,4,차량수거방식,위탁관리,12,"도포식,분무식,기구부착식,독이식",철골콘크리트구조,1900,종합계약,상주선임,R형,부스타방식,위탁관리,10,24,395,무,74,"관리사무소, 노인정, 주민공동시설, 어린이놀이터, 자전거보관소",5분이내,"1호선, 2호선",,5분이내,관공서() 병원() 대형상가() 공원(),,0,4,Y
A13007002,용두롯데캐슬피렌체,위탁관리,4,광인산업(주),위탁관리,4,명원실업,위탁관리,3,기타,위탁관리,12,"분무식,기구부착식",철근콘크리트구조,1500,단일계약,상주선임,R형,부스타방식,위탁관리,11,13,426,유,85,"관리사무소, 노인정, 어린이놀이터, 자전거보관소",5~10분이내,"1호선, 2호선",제기동,5분이내,"관공서(동대문구청) 병원(고려대안암병원, 한양대병원) 백화점(청량리 롯데백화점) 대형상가(홈플러스, 롯데마트) 공원(용두근린공원) 기타(경동시장)","초등학교(용두초교) 중학교(성일중) 고등학교(대광고) 대학교(고려대학교,경희대학교)",0,9,Y
