kaptCode,kaptName,codeMgr,kaptMgrCnt,kaptCcompany,codeSec,kaptdScnt,kaptdSecCom,codeClean,kaptdClcnt,codeGarbage,codeDisinf,kaptdDcnt,disposalType,codeStr,kaptdEcapa,codeEcon,codeEmgr,codeFalarm,codeWsupply,codeElev,kaptdEcnt,kaptdPcnt,kaptdPcntu,codeNet,kaptdCccnt,welfareFacility,kaptdWtimebus,subwayLine,subwayStation,kaptdWtimesub,convenientFacility,educationFacility,groundElChargerCnt,undergroundElChargerCnt,useYn
A10020222,힐스테이트장승배기역 ,위탁관리,7,율산개발 유한회사,위탁관리,,탄천산업,위탁관리,8,차량수거방식,관리방식미정,0,,철골철근콘크리트구조,3650,종합계약,상주선임,R형,부스타방식,관리방식미정,16,0,509,유,131,"관리사무소, 노인정, 주민공동시설, 어린이놀이터, 휴게시설, 커뮤니티공간, 자전거보관소",,7호선,장승배기역,,관공서(동작구청),,0,20,Y
A10022416,더써밋타워,위탁관리,4,행복관리플러스 주식회사,,,,위탁관리,2,음식물쓰레기종량제,위탁관리,12,분무식,철근콘크리트구조,2660,종합계약,기타,R형,부스타방식,위탁관리,2,95,0,유,59,"관리사무소, 휴게시설, 커뮤니티공간, 자전거보관소",5분이내,"1호선, 9호선",,5분이내,관공서(동작경찰서),초등학교(노량진초등학교),0,0,Y
A10023966,어바니엘한강,위탁관리,5,동우씨엠(주),위탁관리,2,동우씨엠(주),위탁관리,3,음식물쓰레기종량제,위탁관리,4,"도포식,분무식",철골철근콘크리트구조,1900,종합계약,상주선임,R형,압력탱크식,위탁관리,3,24,113,유,36,"관리사무소, 휴게시설, 커뮤니티공간, 자전거보관소",5분이내,"1호선, 9호선",,5~10분이내,,,0,0,Y
A10024524,더클래식동작,위탁관리,4,(주)세안텍스,관리방식미정,0,,위탁관리,1,음식물쓰레기종량제,위탁관리,5,분무식,철골철근콘크리트구조,1850,단일계약,상주선임,R형,부스타방식,위탁관리,2,79,0,유,49,"관리사무소, 주민공동시설, 커뮤니티공간, 자전거보관소",5분이내,"1호선, 9호선",,,,,0,0,Y
A15603205,상도건영,위탁관리,9,(주)덕우,위탁관리,10,예주산업(주),위탁관리,8,음식물쓰레기종량제,위탁관리,4,,철근콘크리트구조,2350,단일계약,상주선임,P형,고가수조식,위탁관리,21,179,748,유,76,"관리사무소, 노인정, 어린이놀이터, 커뮤니티공간, 자전거보관소",5~10분이내,"1호선, 7호선, 9호선",상도,5~10분이내,관공서(상도동우체국) 병원(중앙대병원) 대형상가(하이마트) 공원(노량진근린) 기타(동작도서관),"초등학교(강남, 영본) 중학교(장승) 대학교(중앙대, 숭실대)",0,8,Y
A15605001,노량진삼익,위탁관리(총액관리제),4,광인산업(주),위탁관리,2,,위탁관리,2,음식물쓰레기종량제,위탁관리,12,"도포식,분무식,기구설치식",철근콘크리트구조,550,단일계약,위탁선임,P형,고가수조식,위탁관리,3,1,151,무,36,"관리사무소, 노인정, 어린이놀이터",5~10분이내,"1호선, 9호선",,5~10분이내,,,0,4,Y
A15605002,노량진우성,위탁관리,10,(주)화신gms,위탁관리,9,코리아종합관리,위탁관리,12,거점장비수거방식,위탁관리,12,"도포식,분무식,독이식",철근콘크리트구조,3150,단일계약,상주선임,R형,고가수조식,위탁관리,21,327,591,무,173,,5분이내,,,10~15분이내,관공서(노량진우체국) 대형상가(E마트) 공원(노량진근린공원),초등학교(서울영본초등학교) 중학교(동양중학교) 대학교(중앙대학교),20,10,Y
A15605003,노량진쌍용예가,위탁관리,4,목송산업개발(주),자치관리,4,,자치관리,4,차량수거방식,위탁관리,12,분무식,철근콘크리트구조,2500,단일계약,상주선임,R형,부스타방식,위탁관리,10,0,333,유,103,"관리사무소, 보육시설, 주민공동시설, 어린이놀이터, 휴게시설, 자전거보관소, 기타",5분이내,"1호선, 9호선",노량진,5~10분이내,관공서(노량진1동주민센터),초등학교(서울영본초등학교),0,13,Y
A15605103,신동아리버파크,위탁관리,17,(주)무림하우징,위탁관리,15,(유)미래환경,위탁관리,16,거점장비수거방식,위탁관리,4,"도포식,분무식",철근콘크리트구조,8300,종합계약,상주선임,R형,부스타방식,위탁관리,34,374,1749,무,152,"관리사무소, 노인정, 주민공동시설, 어린이놀이터, 유치원",5분이내,"1호선, 7호선",장승배기,5~10분이내,"관공서(동작구보건소, 상도우체국) 병원(씨엔씨치과) 대형상가(신노량시장)",초등학교(서울영본초등학교) 중학교(장승중학교) 대학교(중앙대학교),0,31,Y
A15676701,신동아리버파크제2관리사무소,위탁관리,7,에스더블유엠(주),위탁관리,8,남경종합관리,위탁관리,5,음식물쓰레기종량제,위탁관리,12,"도포식,분무식,기구부착식",철근콘크리트구조,3015,단일계약,상주선임,R형,부스타방식,위탁관리,14,112,217,유,36,"관리사무소, 노인정, 보육시설, 주민공동시설, 어린이놀이터, 유치원",5분이내,7호선,장승배기,,"관공서(동작구보건소, 상도우체국) 병원(씨엔씨치과) 대형상가(신노량시장)",초등학교(서울영본초등학교) 중학교(장승중학교) 대학교(중앙대학교),0,7,Y
