kaptCode,kaptName,codeMgr,kaptMgrCnt,kaptCcompany,codeSec,kaptdScnt,kaptdSecCom,codeClean,kaptdClcnt,codeGarbage,codeDisinf,kaptdDcnt,disposalType,codeStr,kaptdEcapa,codeEcon,codeEmgr,codeFalarm,codeWsupply,codeElev,kaptdEcnt,kaptdPcnt,kaptdPcntu,codeNet,kaptdCccnt,welfareFacility,kaptdWtimebus,subwayLine,subwayStation,kaptdWtimesub,convenientFacility,educationFacility,groundElChargerCnt,undergroundElChargerCnt,useYn
A10022480,마포트라팰리스2,위탁관리,,,,,,,,,,,,,,,,,,,0,,,,,,5~10분이내,,,5분이내,,,0,2,Y
A10022941,마포푸르지오더센트럴,위탁관리,4,(주)이엠피서비스,위탁관리,2,(주)이엠피서비스,위탁관리,2,음식물쓰레기종량제,관리방식미정,,,철근콘크리트구조,300,단일계약,상주선임,R형,부스타방식,위탁관리,7,0,255,유,150,"관리사무소, 어린이놀이터, 자전거보관소",5분이내,"2호선, 5호선",,5분이내,,,0,7,Y
A10023508,마포더클래시,위탁관리,12,(주)쌍용개발,위탁관리,9,에스원,위탁관리,17,차량수거방식,위탁관리,12,"도포식,분무식,독이식",철골콘크리트구조,6800,단일계약,상주선임,R형,부스타방식,위탁관리,42,0,1583,유,696,"관리사무소, 노인정, 문고, 주민공동시설, 어린이놀이터, 휴게시설, 유치원, 커뮤니티공간, 자전거보관소",5분이내,2호선,,5~10분이내,"관공서(주민센터, 우체국) 병원(구침가한의원, 위비앙병원) 공원(쌍용산근린공원)","초등학교(북성초,대신초,아현초,) 중학교(아현중,숭문중,일성여중,서울여중) 고등학교(숭문고,한세사이버보안고,일신여고,서울여고) 대학교(서울과학종합대, 서강대)",0,0,Y
A10027090,마포센트럴아이파크,위탁관리,6,(주)타워피엠씨,위탁관리,6,(주)에스원,위탁관리,6,차량수거방식,위탁관리,12,"분무식,기구부착식",철골철근콘크리트구조,2500,단일계약,상주선임,R형,부스타방식,위탁관리,16,0,580,유,152,"관리사무소, 노인정, 보육시설, 문고, 주민공동시설, 어린이놀이터, 휴게시설, 유치원, 커뮤니티공간, 자전거보관소",5~10분이내,"2호선, 5호선",서울도시철도,5~10분이내,관공서(서부지방법원) 백화점(현대백화점),초등학교(아현초등학교) 중학교(아현중학교),0,12,Y
A10027906,공덕자이 아파트,위탁관리,12,(주)타워피엠씨,위탁관리,9,주식회사 에스원,위탁관리(직영+위탁),13,거점장비수거방식,위탁관리,4,"도포식,분무식",철골철근콘크리트구조,7000,단일계약,상주선임,R형,부스타방식,위탁관리,36,0,1326,유,370,"관리사무소, 노인정, 보육시설, 문고, 주민공동시설, 어린이놀이터, 휴게시설, 커뮤니티공간, 자전거보관소",5분이내,"3호선, 5호선",애오개역,5분이내,"관공서(서울서대문경찰서,서울서부지방검찰청) 병원(연세의료원) 대형상가(만리시장) 공원(손기정체육공원) 기타(서울역,덕수궁)","초등학교(소의초,청파초) 중학교(아현중,숭문중) 고등학교(환일고,배문고) 대학교(서강대,이화여대,숙명여대)",0,27,Y
A10027951,공덕자이(임대),위탁관리,3,주식회사 티아이시스템,위탁관리,2,(주)태경종합관리,위탁관리,1,음식물쓰레기종량제,위탁관리,4,도포식,철근콘크리트구조,1160,단일계약,위탁선임,GR형,부스타방식,위탁관리,4,0,141,유,63,"관리사무소, 노인정, 주민공동시설, 어린이놀이터, 자전거보관소",5분이내,"2호선, 5호선, 6호선",,5분이내,"관공서(서울마포경찰서,서울서부지방검찰청) 병원(연세의료원) 대형상가(만리시장) 공원(손기정체육공원) 기타(서울역,덕수궁)","초등학교(소의초,청파초) 중학교(아현중,숭문중) 고등학교(환일고,배문고) 대학교(서강대,이화여대,숙명여대)",0,3,Y
A12101001,서서울삼성아파트,위탁관리,4,세화종합관리(주),위탁관리,2,코리아이지텔(주),위탁관리,3,음식물쓰레기종량제,위탁관리,12,"분무식,독이식",철근콘크리트구조,800,단일계약,위탁선임,기타,고가수조식,위탁관리,4,38,137,무,34,"관리사무소, 노인정, 어린이놀이터, 기타",10~15분이내,"2호선, 5호선","아현, 애오개",10~15분이내,병원(상해한의원) 대형상가(LG하이프라자) 공원(보람어린이공원),초등학교(대신/한서초등학교) 중학교(아현중학교) 고등학교(한세전산고등학교/환일고등학교) 대학교(이화여자대학교),0,3,Y
A12175202,마포트라팰리스2차,위탁관리,8,세화종합관리,자치관리(직영),2,,자치관리(직영),3,차량수거방식,위탁관리(총액관리제),6,"분무식,기구부착식",,1450,종합계약,위탁선임,R형,부스타방식,위탁관리,6,,150,,60,"관리사무소, 주민공동시설, 어린이놀이터, 자전거보관소, 기타",5~10분이내,5호선,애오개역,5분이내,관공서(마포경찰서) 공원(손기정체육),"초등학교(마동, 소의,아현) 중학교(한서) 고등학교(환일, 배문) 대학교(추계예술)",0,0,Y
A12175203,마포래미안푸르지오,위탁관리,27,서림주택관리(주),위탁관리,57,(주)에스원,위탁관리,49,음식물쓰레기종량제,위탁관리,12,"도포식,분무식",철근콘크리트구조,19550,단일계약,상주선임,GR형,부스타방식,위탁관리,118,0,4580,유,1180,"관리사무소, 노인정, 보육시설, 문고, 주민공동시설, 어린이놀이터, 커뮤니티공간, 자전거보관소, 기타",5분이내,"2호선, 5호선","아현역,애오개역",5분이내,"관공서(마포경찰서,  공덕지구대. 서부지방법원, 검찰청.) 공원(하늘공원)","초등학교(아현초, 한서초) 고등학교(한세 사이버 고등학교)",0,92,Y
A10023118,공덕동 크로시티 행복주택,위탁관리,5,(주)신화비엠씨,위탁관리,2,(주)한결에이엠,위탁관리,2,차량수거방식,위탁관리,4,분무식,철골철근콘크리트구조,1350,단일계약,상주선임,R형,부스타방식,위탁관리,8,2,160,유,80,"관리사무소, 노인정, 보육시설, 문고, 어린이놀이터, 휴게시설, 자전거보관소",5분이내,"5호선, 6호선, 경의중앙선, 공항철도",,5~10분이내,,,0,4,Y
