kaptCode,kaptName,codeMgr,kaptMgrCnt,kaptCcompany,codeSec,kaptdScnt,kaptdSecCom,codeClean,kaptdClcnt,codeGarbage,codeDisinf,kaptdDcnt,disposalType,codeStr,kaptdEcapa,codeEcon,codeEmgr,codeFalarm,codeWsupply,codeElev,kaptdEcnt,kaptdPcnt,kaptdPcntu,codeNet,kaptdCccnt,welfareFacility,kaptdWtimebus,subwayLine,subwayStation,kaptdWtimesub,convenientFacility,educationFacility,groundElChargerCnt,undergroundElChargerCnt,useYn
A13373301,텐즈힐2구역,위탁관리,8,우리관리(주),위탁관리,10,(주)백송종합관리,위탁관리,13,음식물쓰레기종량제,위탁관리,8,"도포식,분무식,독이식",철골철근콘크리트구조,4750,단일계약,상주선임,R형,부스타방식,위탁관리,33,0,1401,유,305,"관리사무소, 노인정, 보육시설, 문고, 주민공동시설, 어린이놀이터, 휴게시설, 커뮤니티공간, 자전거보관소",10~15분이내,"1호선, 2호선, 6호선",,10~15분이내,관공서() 병원() 대형상가() 공원(),초등학교() 고등학교(),0,67,Y
A13373302,왕십리텐즈힐2구역214동,위탁관리,1,주식회사 한빛종합관리,위탁관리,2,(주)스카이빌,위탁관리,1,음식물쓰레기종량제,위탁관리,4,분무식,철근콘크리트구조,800,단일계약,위탁선임,R형,부스타방식,위탁관리,4,0,164,무,31,"관리사무소, 노인정, 주민공동시설, 어린이놀이터, 자전거보관소",5분이내,2호선,신당,5~10분이내,관공서(동대문우체국) 대형상가(이마트) 공원(청계천공원),초등학교(신당) 고등학교(성동공업),0,2,Y
A10026900,왕십리 자이 아파트,위탁관리,6,(주)타워피엠씨,위탁관리,5,에스원,위탁관리,9,차량수거방식,위탁관리,12,분무식,철골철근콘크리트구조,2500,종합계약,상주선임,R형,부스타방식,위탁관리,17,0,933,유,241,"관리사무소, 노인정, 보육시설, 문고, 주민공동시설, 어린이놀이터, 휴게시설, 유치원, 커뮤니티공간, 자전거보관소",5분이내,"2호선, 6호선",,5~10분이내,공원(),초등학교(),0,6,Y
A10027289,센트라스,위탁관리,22,광인산업(주),위탁관리,25,(주)에스원,위탁관리,30,거점장비수거방식,위탁관리,12,분무식,철근콘크리트구조,15630,기타,상주선임,R형,부스타방식,위탁관리,73,0,3166,유,863,"관리사무소, 노인정, 보육시설, 문고, 어린이놀이터, 휴게시설, 커뮤니티공간, 자전거보관소, 기타",5분이내,2호선,,5분이내,,,0,70,Y
A10027432,서울 왕십리 KCC스위첸아파트,위탁관리,5,대원종합관리(주),위탁관리,2,이엠피서비스,위탁관리,3,음식물쓰레기종량제,위탁관리,12,분무식,철골콘크리트구조,2000,단일계약,상주선임,GR형,압력탱크식,위탁관리,20,3,296,유,105,"관리사무소, 노인정, 주민공동시설, 어린이놀이터, 휴게시설, 자전거보관소",10~15분이내,2호선,,10~15분이내,,,0,8,Y
A10027454,왕십리모노퍼스,위탁관리,,(주)두온종합관리,,,,,,,,,,,,,,,,,0,,,,,,5분이내,,,10~15분이내,,,0,0,Y
A10027920,텐즈힐1단지,위탁관리,13,(주)타워피엠씨,위탁관리,14,에스원,위탁관리,19,차량수거방식,위탁관리,12,분무식,철골콘크리트구조,7250,종합계약,상주선임,R형,부스타방식,위탁관리,41,2055,0,유,165,"관리사무소, 노인정, 보육시설, 문고, 주민공동시설, 어린이놀이터, 휴게시설, 유치원, 커뮤니티공간, 자전거보관소",5~10분이내,2호선,상왕십리,5~10분이내,관공서(성동구청) 병원(성동구보건소) 대형상가(이마트) 공원(청계천공원),"초등학교(신당,무학) 고등학교(성동공업)",0,42,Y
A10027969,왕십리텐즈힐1단지(임대),위탁관리,4,(주)두온종합관리,위탁관리,2,원앤원산업개발(주),위탁관리,2,차량수거방식,위탁관리,12,"도포식,분무식",철골철근콘크리트구조,1610,단일계약,상주선임,GR형,부스타방식,위탁관리,6,0,294,유,60,"관리사무소, 노인정, 주민공동시설, 어린이놀이터, 자전거보관소",5분이내,"1호선, 2호선",신설동역,5분이내,,,0,5,Y
A13302001,청계벽산,위탁관리,8,세화종합관리(주),위탁관리,10,피누스인앤씨(주),위탁관리,9,음식물쓰레기종량제,위탁관리,12,분무식,철근콘크리트구조,2550,단일계약,상주선임,P형,부스타방식,위탁관리,23,287,538,무,126,"관리사무소, 노인정, 어린이놀이터",5분이내,2호선,상왕십리역,5~10분이내,관공서(왕십리도선동사무소) 병원(한양대부속병원) 대형상가(삼성디지털프라자.이마트. 홈플러스) 공원(무학공원),초등학교(동명초등학교) 중학교(숭인여자중학교) 고등학교(성동고등학교) 대학교(한양대학교),28,0,Y
A13302201,한진해모로,위탁관리,3,(주)무림하우징,위탁관리,2,무림하우징,위탁관리,3,음식물쓰레기종량제,위탁관리,17,"도포식,분무식,독이식",철골철근콘크리트구조,1150,단일계약,위탁선임,P형,기타,위탁관리,7,102,202,무,88,"관리사무소, 노인정, 어린이놀이터, 자전거보관소",5~10분이내,2호선,,5~10분이내,관공서(성동구청) 병원(한양대병원) 대형상가(E마트) 공원(무학봉그린공원),"초등학교(무학초등학교, 신당초등학교) 고등학교(성동고등학교) 대학교(한양대학교)",0,8,Y
A13302203,하왕극동미라주,자치관리,5,,위탁관리,8,인덕종합관리,위탁관리,4,음식물쓰레기종량제,위탁관리,4,"도포식,분무식,독이식",철근콘크리트구조,1850,종합계약,상주선임,P형,고가수조식,위탁관리,11,107,350,무,51,"관리사무소, 노인정, 어린이놀이터",5분이내,"2호선, 5호선, 6호선",,10~15분이내,병원(한양대부속병원) 공원(무학공원.대현산저수지공원),초등학교(무학초등학교) 중학교(무학여중) 고등학교(무학여고) 대학교(한양대학교),0,11,Y
A13302204,하왕금호베스트빌,자치관리,5,,위탁관리,8,태영건물종합관리(주),위탁관리,5,음식물쓰레기종량제,위탁관리,12,"도포식,분무식,독이식",철근콘크리트구조,2500,종합계약,상주선임,R형,고가수조식,위탁관리,12,53,481,무,146,"관리사무소, 노인정, 어린이놀이터, 휴게시설",5분이내,"2호선, 6호선",상왕십리,10~15분이내,관공서(성동구청 성동경찰서) 병원(한양대부속병원) 공원(무학공원),초등학교(무학초등학교) 중학교(무학여중) 고등학교(무학여고) 대학교(한양대학교),0,10,Y
A13302206,왕십리풍림아이원,위탁관리,6,우리관리(주),위탁관리,10,주식회사 경진이앤지,위탁관리,9,차량수거방식,위탁관리,4,"분무식,독이식",철골콘크리트구조,2800,단일계약,상주선임,R형,부스타방식,위탁관리,25,87,762,무,190,,5분이내,,,10~15분이내,"관공서(성동구청,성동경찰서,성동소방서, 왕십리2동 주민센터) 병원(한양대 병원) 대형상가(이마트) 공원(서울숲 공원)","초등학교(금북초,행현초,무학초) 중학교(무학중학교) 고등학교(무학여고,성동고등학교) 대학교(한양대학교)",0,90,Y
A13377301,하왕십리극동미라주2,위탁관리,2,에이제이대원 주식회사,위탁관리,2,융성종합관리(주),위탁관리,1,음식물쓰레기종량제,위탁관리,12,"도포식,분무식",철근콘크리트구조,632,단일계약,위탁선임,P형,부스타방식,위탁관리,2,0,63,무,5,"관리사무소, 노인정, 어린이놀이터, 휴게시설",5~10분이내,2호선,신당역,10~15분이내,병원(한양대부속병원) 공원(무학공원),초등학교(무학초) 중학교(무학여중) 고등학교(무학여고) 대학교(한양대),0,1,Y
A13377302,금호베스트빌아파트 제2관리사무소,위탁관리,4,아산종합관리(주),위탁관리,4,(주)융성종합관리,위탁관리,2,차량수거방식,위탁관리,4,분무식,철근콘크리트구조,1150,단일계약,위탁선임,P형,부스타방식,위탁관리,6,8,92,무,37,"관리사무소, 노인정, 보육시설, 주민공동시설, 어린이놀이터, 자전거보관소",5~10분이내,"2호선, 5호선",신당역,10~15분이내,관공서(성동구청) 병원(한양대부속병원) 백화점(롯데백화점) 대형상가(신당시장) 공원(무학공원),초등학교(무학초등학교) 중학교(무학여중) 고등학교(무학여고) 대학교(한양대학교),0,2,Y
A13385705,한신무학,위탁관리,5,(주)덕우,위탁관리,6,(주)덕우,위탁관리,5,차량수거방식,위탁관리,12,분무식,철근콘크리트구조,1600,단일계약,상주선임,P형,고가수조식,위탁관리,17,299,75,무,67,"관리사무소, 노인정, 어린이놀이터",5~10분이내,2호선,상왕십리,5~10분이내,관공서(왕십리2동사무소) 병원(한양대부속병원) 공원(무학공원),초등학교(무학초등학교) 중학교(무학여중) 고등학교(무학여고) 대학교(한양대학교),0,0,Y
A13385802,무학현대,위탁관리,4,서일개발,위탁관리,4,백송종합관리,위탁관리,2,음식물쓰레기종량제,위탁관리,12,"도포식,분무식",철근콘크리트구조,870,단일계약,위탁선임,P형,부스타방식,위탁관리,10,153,54,무,49,"관리사무소, 노인정, 주민공동시설, 어린이놀이터, 휴게시설, 자전거보관소",10~15분이내,2호선,상왕십리,10~15분이내,관공서(왕십리2동사무소) 병원(한양대부속병원) 대형상가(e - 마트) 공원(무학공원),초등학교(무학초등학교) 중학교(무학여중) 고등학교(무학여고) 대학교(한양대학교),10,0,Y
A13388001,청계벽산아파트제2관리사무소,위탁관리,3,(주)미래에이비엠,위탁관리,4,(주)다원피엠씨,위탁관리,2,음식물쓰레기종량제,위탁관리,12,분무식,철근콘크리트구조,700,단일계약,위탁선임,P형,부스타방식,위탁관리,4,54,78,무,28,"관리사무소, 노인정, 어린이놀이터",5분이내,"2호선, 5호선",상왕십리,5분이내,"관공서(성동구청,성동경찰서) 병원(성동보건소) 공원(성동문화공원)","초등학교(동명초,무학초) 중학교(동마중) 고등학교(한국예술고)",0,3,Y
A10024762,청계대주파크빌,위탁관리,1,파인스카이 도시관리,위탁관리,2,파인스카이 도시관리,위탁관리,1,음식물쓰레기종량제,위탁관리,1,독이식,철골철근콘크리트구조,582,단일계약,위탁선임,P형,부스타방식,위탁관리,3,34,81,,19,"관리사무소, 노인정, 어린이놀이터, 자전거보관소",5분이내,"1호선, 2호선, 5호선, 분당선, 경춘선","왕십리역, 상완십리역",5~10분이내,관공서() 병원() 대형상가() 공원(),초등학교() 고등학교() 대학교(),0,0,Y
A13370801,성동삼성쉐르빌,위탁관리,6,(주)신현대관리,위탁관리,2,신현대관리,위탁관리,4,차량수거방식,위탁관리,12,"도포식,분무식",철근콘크리트구조,2450,단일계약,상주선임,R형,부스타방식,위탁관리,8,0,445,유,81,"관리사무소, 노인정, 어린이놀이터",5분이내,"2호선, 5호선, 분당선, 경의중앙선",왕십리,5분이내,"관공서(성동구청, 성동경찰서) 병원(한양대학병원, 성동보건소) 공원(성동문화공원)","초등학교(동명초,무학초) 중학교(동마중) 고등학교(한국예술고)",0,4,Y
A10020365,라봄성동청년안심주택,위탁관리,10,에이치와이플러스(주),,,,위탁관리,3,거점장비수거방식,위탁관리,6,,철골콘크리트구조,1750,종합계약,상주선임,P형,부스타방식,위탁관리,7,8,155,유,120,,,,,,,,8,2,Y
A13305002,왕십리 대성유니드 아파트,위탁관리,4,광인산업(주),위탁관리,4,(주)신현대관리,위탁관리,2,음식물쓰레기종량제,위탁관리,12,도포식,철근콘크리트구조,750,단일계약,위탁선임,P형,부스타방식,위탁관리,6,76,204,유,45,"관리사무소, 노인정, 어린이놀이터, 유치원, 자전거보관소, 기타",5분이내,5호선,마장,5분이내,"관공서(한국전력공사(성동지점), 서울특별시특별시설관리공단, 성동구청(본관 및 별관), 성동구보건소, 한국전력공사(성동변전소, 한전서울자제관리소), 마장동우체국) 병원(한양대병원) 대형상가(삼성디지털프라자)","초등학교(동명초, 무학초, 서근초) 중학교(마장중, 동마중, 한양대사범대부속여중) 고등학교(한양대사범부속여고, 한국예술고) 대학교(한양대)",12,2,Y
A13305003,청계미소지움,위탁관리,4,(주)융성종합관리,위탁관리,4,신현대관리,위탁관리,2,음식물쓰레기종량제,위탁관리,12,"도포식,분무식,독이식",철근콘크리트구조,900,단일계약,위탁선임,P형,부스타방식,위탁관리,8,81,224,유,48,"관리사무소, 노인정, 주민공동시설, 어린이놀이터, 자전거보관소",5분이내,5호선,마장,5분이내,"관공서(한국전력공사(성동지점), 서울특별시특별시설관리공단, 성동구청(본관 및 별관), 성동구보건소, 한국전력공사(성동변전소, 한전서울자제관리소), 마장동우체국) 병원(한양대병원) 대형상가(삼성디지털프라자) 공원(용답휴식공원)","초등학교(동명초, 무학초, 서근초) 중학교(마장중, 동마중, 한양대사범대부속여중) 고등학교(한양대사범부속여고, 한국예술고) 대학교(한양대)",0,7,Y
A13305005,마장SH-vill임대,위탁관리,5,주식회사 한빛종합관리,위탁관리,2,원앤원산업개발(주),위탁관리,2,음식물쓰레기종량제,위탁관리,12,"도포식,분무식",철근콘크리트구조,225,단일계약,위탁선임,P형,부스타방식,위탁관리,7,19,305,무,65,"관리사무소, 노인정, 주민공동시설, 어린이놀이터, 자전거보관소",5분이내,"2호선, 5호선",마장,5분이내,"관공서(한국전력공사(성동지점), 서울특별시특별시설관리공단, 성동구청(본관 및 별관), 성동구보건소, 한국전력공사(성동변전소, 한전서울자제관리소), 마장동우체국) 병원(한양대병원) 백화점(이마트)","초등학교(동명초, 무학초, 서근초) 중학교(마장중, 동마중, 한양대사범대부속여중) 고등학교(한양대사범부속여고, 한국예술고) 대학교(한양대)",0,8,Y
A13305006,왕십리삼성,위탁관리,5,우리관리(주),위탁관리,8,(주)홈스웰,위탁관리,4,음식물쓰레기종량제,위탁관리,12,,철근콘크리트구조,1200,종합계약,상주선임,R형,고가수조식,위탁관리,9,214,240,무,64,"관리사무소, 노인정, 어린이놀이터, 자전거보관소",5분이내,5호선,,5분이내,"관공서(한국전력공사(성동지점), 서울특별시특별시설관리공단, 성동구청(본관 및 별관), 성동구보건소, 한국전력공사(성동변전소, 한전서울자제관리소), 마장동우체국) 병원(한양대병원) 대형상가(삼성디지털프라자)","초등학교(동명초, 무학초, 서근초) 중학교(마장중, 동마중, 한양대사범대부속여중) 고등학교(한양대사범부속여고, 한국예술고) 대학교(한양대)",0,22,Y
A13305007,마장세림,위탁관리,10,(주)신현대관리,위탁관리,10,(주)신현대관리,위탁관리,8,음식물쓰레기종량제,위탁관리,8,"도포식,분무식",철근콘크리트구조,1700,단일계약,상주선임,P형,고가수조식,위탁관리,23,450,0,무,25,"관리사무소, 노인정, 보육시설, 문고, 어린이놀이터, 휴게시설, 유치원, 자전거보관소",5분이내,"2호선, 5호선, 경의중앙선","5호선 마장, 2호선 왕십리역",5분이내,"관공서(한국전력공사(성동지점), 서울특별시특별시설관리공단, 성동구청(본관 및 별관), 성동구보건소, 한국전력공사(성동변전소, 한전서울자제관리소), 마장동우체국) 병원(한양대병원) 대형상가(e마트,) 공원(근린공원)","초등학교(마장초, 사근초) 중학교(마장중, 동마중, 한양대사범대부속여중) 고등학교(한양대사범부속여고, 한국예술고) 대학교(한양대)",7,0,Y
A13381601,왕십리중앙하이츠,자치관리,2,,위탁관리,2,탑종합관리(주),위탁관리,2,음식물쓰레기종량제,위탁관리,4,"도포식,분무식",철근콘크리트구조,975,단일계약,위탁선임,P형,고가수조식,위탁관리,3,20,158,유,25,"관리사무소, 노인정, 어린이놀이터, 커뮤니티공간, 자전거보관소",5분이내,"2호선, 5호선, 분당선, 경의중앙선",마장,5~10분이내,"관공서(한국전력공사(성동지점), 서울특별시특별시설관리공단, 성동구청(본관 및 별관), 성동구보건소, 한국전력공사(성동변전소, 한전서울자제관리소), 마장동우체국) 병원(한양대병원) 대형상가(삼성디지털프라자)","초등학교(마장초, 동명초, 무학초, 사근초) 중학교(마장중, 동마중, 한양대사범대부속여중) 고등학교(한양대사범부속여고, 한국예술고) 대학교(한양대)",0,4,Y
A13381604,왕십리금호어울림아파트,위탁관리,5,서림주택관리(주),위탁관리,4,(유)탄천산업,위탁관리,3,음식물쓰레기종량제,위탁관리,12,분무식,콘크리트구조,1300,종합계약,상주선임,R형,부스타방식,위탁관리,9,0,456,무,52,"관리사무소, 노인정, 어린이놀이터",5분이내,"2호선, 5호선, 분당선, 경의중앙선",,5분이내,"관공서(한국전력공사(성동지점), 서울특별시특별시설관리공단, 성동구청(본관 및 별관), 성동구보건소, 한국전력공사(성동변전소, 한전서울자제관리소), 마장동우체국) 병원(한양대병원) 대형상가()","초등학교(동명초, 무학초, 서근초) 중학교(마장중, 동마중, 한양대사범대부속여중) 고등학교(한양대사범부속여고, 한국예술고) 대학교(한양대)",0,10,Y
