kaptCode,kaptName,codeMgr,kaptMgrCnt,kaptCcompany,codeSec,kaptdScnt,kaptdSecCom,codeClean,kaptdClcnt,codeGarbage,codeDisinf,kaptdDcnt,disposalType,codeStr,kaptdEcapa,codeEcon,codeEmgr,codeFalarm,codeWsupply,codeElev,kaptdEcnt,kaptdPcnt,kaptdPcntu,codeNet,kaptdCccnt,welfareFacility,kaptdWtimebus,subwayLine,subwayStation,kaptdWtimesub,convenientFacility,educationFacility,groundElChargerCnt,undergroundElChargerCnt,useYn
A10026311,순영웰라이빌아파트,위탁관리,1,서림주택관리(주),위탁관리,3,,위탁관리,1,음식물쓰레기종량제,위탁관리,12,분무식,철근콘크리트구조,650,종합계약,위탁선임,P형,부스타방식,위탁관리,4,12,154,,18,"관리사무소, 노인정, 어린이놀이터, 자전거보관소",5~10분이내,"1호선, 5호선",신길역,5~10분이내,백화점() 공원(),중학교() 고등학교(),0,0,Y
A15003001,영등포두산위브,위탁관리,4,주식회사 건은,위탁관리,4,주식회사 건은휴넥스,위탁관리,3,음식물쓰레기종량제,위탁관리,12,"도포식,분무식,기구부착식,독이식",철근콘크리트구조,1150,단일계약,위탁선임,GR형,부스타방식,위탁관리,8,59,245,무,70,"관리사무소, 노인정, 어린이놀이터, 자전거보관소, 기타",5~10분이내,"1호선, 5호선",신길,5~10분이내,병원(대성의원) 백화점(롯데백화점) 대형상가(LG하이프라자) 공원(여의도공원),중학교(영원) 고등학교(영등포여고),0,7,Y
A15003002,영등포푸르지오,위탁관리,17,남경종합관리(주),위탁관리,24,(주)듀델코리아,위탁관리,22,거점장비수거방식,위탁관리,12,"분무식,독이식",철근콘크리트구조,4850,단일계약,상주선임,GR형,부스타방식,위탁관리,58,347,2207,유,420,"관리사무소, 노인정, 보육시설, 문고, 주민공동시설, 어린이놀이터, 휴게시설, 자전거보관소",5분이내,1호선,영등포,5~10분이내,병원(영등포종도외과의원) 백화점(롯데백화점) 대형상가(삼성디지털프라자) 공원(고추말어린이공원),초등학교(서울영원),12,67,Y
A10024490,여의도더리브스타일,위탁관리,5,(주)크라운종합관리,관리방식미정,0,,위탁관리,3,차량수거방식,위탁관리,6,분무식,철골철근콘크리트구조,2250,종합계약,상주선임,R형,부스타방식,위탁관리,3,0,95,유,42,관리사무소,5~10분이내,"1호선, 5호선",신길역,5분이내,,,0,1,Y
A10022098,센트레빌아스테리움영등포,위탁관리,9,서림폴리텍 주식회사,위탁관리,,인앤인주택관리(주),위탁관리,2,차량수거방식,위탁관리,12,"도포식,분무식",철골콘크리트구조,1550,종합계약,상주선임,R형,부스타방식,위탁관리,4,0,177,유,94,"관리사무소, 주민공동시설, 커뮤니티공간, 자전거보관소",5분이내,5호선,,5~10분이내,,,0,5,Y
A10025518,현대프라자주상복합아파트,위탁관리,,(주)아림주택관리,,,,,,,,,,,,,,,,,0,,,,,,5분이내,,,5분이내,,,0,0,Y
A10024567,포레나영등포센트럴아파트,위탁관리,9,(주)아주관리,위탁관리,4,(주)유케이개발,위탁관리,8,거점장비수거방식,위탁관리,4,"분무식,기구부착식",철골철근콘크리트구조,6136,단일계약,상주선임,R형,부스타방식,위탁관리,4,0,326,유,85,"관리사무소, 노인정, 주민공동시설, 어린이놀이터, 자전거보관소",5분이내,5호선,영등포시장역,5분이내,관공서(영등포구청) 병원(한림대학교한강성심병원) 백화점(타임스퀘어) 대형상가(빅마켓),초등학교(영중초등학교) 중학교(당산중학교) 고등학교(장훈고등학교),0,2,Y
A10026801,브라운스톤 영등포,위탁관리,2,(주)신대한관리,위탁관리,2,새롬에스엔씨,위탁관리,1,거점장비수거방식,위탁관리,6,분무식,철골철근콘크리트구조,200,단일계약,위탁선임,R형,부스타방식,위탁관리,3,54,80,무,30,,5분이내,,,5~10분이내,,,7,0,Y
A10026816,아크로타워스퀘어,위탁관리,12,우리관리(주),위탁관리,16,(주)에스원,위탁관리(직영+위탁),16,차량수거방식,위탁관리,6,"도포식,분무식,독이식",철근콘크리트구조,6000,단일계약,상주선임,R형,부스타방식,위탁관리,25,0,1530,유,275,"관리사무소, 노인정, 보육시설, 문고, 주민공동시설, 어린이놀이터, 휴게시설, 커뮤니티공간, 자전거보관소",5~10분이내,5호선,영등포시장역,5분이내,"병원(한강성심병원) 백화점(신세계, 롯데) 대형상가(영등포 시장)",,0,91,Y
A15003701,영등포경남아너스빌,자치관리,6,,위탁관리,8,(주)푸른안전산업,위탁관리,7,기타,위탁관리,12,독이식,철근콘크리트구조,1350,단일계약,상주선임,P형,고가수조식,위탁관리,12,83,623,무,79,"관리사무소, 노인정, 보육시설, 어린이놀이터, 자전거보관소",5~10분이내,5호선,영등포시5,5~10분이내,관공서(남부교육청) 병원(서울성모병원) 공원(남부근로청소년회관체육공원) 기타(도서관),초등학교(영동초),0,15,Y
