kaptCode,kaptName,codeMgr,kaptMgrCnt,kaptCcompany,codeSec,kaptdScnt,kaptdSecCom,codeClean,kaptdClcnt,codeGarbage,codeDisinf,kaptdDcnt,disposalType,codeStr,kaptdEcapa,codeEcon,codeEmgr,codeFalarm,codeWsupply,codeElev,kaptdEcnt,kaptdPcnt,kaptdPcntu,codeNet,kaptdCccnt,welfareFacility,kaptdWtimebus,subwayLine,subwayStation,kaptdWtimesub,convenientFacility,educationFacility,groundElChargerCnt,undergroundElChargerCnt,useYn
A14019001,후암미주,자치관리,2,,자치관리,4,,자치관리,2,차량수거방식,자치관리,1,,철근콘크리트구조,375,단일계약,위탁선임,P형,수도직결식,위탁관리,5,120,0,무,14,"관리사무소, 노인정, 어린이놀이터, 휴게시설",5분이내,"1호선, 4호선",숙대입구,10~15분이내,관공서(남대문경찰서) 병원(목병원) 공원(남산공원) 기타(용산도서관),"초등학교(삼광, 후암) 중학교(용산, 보성여중) 고등학교(용산, 보성여고) 대학교(숙명여대)",0,0,Y
A10020608,용산 남영역 롯데캐슬 헤리티지,위탁관리,5,동우씨엠(주) 서울지점,위탁관리,,동우씨엠(주)서울지점,위탁관리,5,음식물쓰레기종량제,위탁관리,12,분무식,철골철근콘크리트구조,2160,종합계약,상주선임,R형,부스타방식,관리방식미정,3,0,150,유,136,"관리사무소, 주민공동시설, 휴게시설, 커뮤니티공간, 자전거보관소",,"1호선, 4호선",,,,,0,12,Y
A14070901,동부센트레빌아스테리움서울,위탁관리,10,인덕종합관리(주),위탁관리,10,인덕종합관리(주),위탁관리,9,기타,위탁관리,4,"도포식,분무식,기구부착식,독이식",철골철근콘크리트구조,3900,종합계약,상주선임,R형,부스타방식,위탁관리,17,0,624,유,280,"관리사무소, 문고, 주민공동시설, 어린이놀이터, 휴게시설, 커뮤니티공간, 자전거보관소, 기타",5~10분이내,"1호선, 4호선, 공항철도",서울,5~10분이내,"관공서(남대문경찰서, 동사무소) 병원(한진치과의원) 대형상가(서울역사) 공원(손기정공원)","초등학교(봉래,) 중학교(환일, 배문) 고등학교(환일, 경기여상,) 대학교(숙명여대)",0,14,Y
A10020656,어반허브 서울스테이션,위탁관리,4,우리관리(주),위탁관리,,크린서비스,위탁관리,2,차량수거방식,위탁관리,4,"도포식,분무식,독이식",철골철근콘크리트구조,1460,종합계약,상주선임,R형,부스타방식,위탁관리,4,0,95,무,129,"관리사무소, 주민공동시설, 휴게시설",10~15분이내,"1호선, 4호선, 공항철도",,10~15분이내,,,2,0,Y
A10023798,용산원효루미니,위탁관리,8,동우씨엠(주) 서울지점,위탁관리,4,동우씨엠(주),위탁관리,9,차량수거방식,위탁관리,12,"분무식,독이식",철골철근콘크리트구조,3750,단일계약,상주선임,R형,부스타방식,위탁관리,12,0,423,유,219,"관리사무소, 보육시설, 문고, 어린이놀이터, 휴게시설, 커뮤니티공간, 자전거보관소",5분이내,"1호선, 4호선, 경의중앙선","남영역. 숙대입구역, 효창공원역",5분이내,,,0,2,Y
A14070301,리첸시아용산,위탁관리,10,에이제이대원 주식회사,위탁관리,9,에이제이대원주식회사,위탁관리,8,거점장비수거방식,위탁관리(직영+위탁),12,"도포식,분무식,기구부착식,기구설치식,독이식",철근콘크리트구조,10880,종합계약,상주선임,R형,부스타방식,위탁관리,11,0,394,유,70,"관리사무소, 노인정, 주민공동시설, 어린이놀이터, 커뮤니티공간, 자전거보관소, 기타",5분이내,"1호선, 4호선, 6호선","남영역, 숙대입구역",,관공서(서울 용산 경찰서) 병원(리첸시아의원) 백화점(아이파크몰) 대형상가(용문시장) 공원(효창공원) 기타(용산전자상가),"초등학교(남정초,신광여초) 중학교(신광여중,선린중) 고등학교(신광여고,선린인터넷고) 대학교(숙명여대)",0,13,Y
A14070302,용산더프라임,위탁관리,9,(주)경진관리,위탁관리,9,(주)경진관리,위탁관리,11,음식물쓰레기종량제,위탁관리,4,"도포식,분무식",철골철근콘크리트구조,5250,단일계약,상주선임,R형,부스타방식,위탁관리,13,0,922,유,167,"관리사무소, 노인정, 주민공동시설, 어린이놀이터, 휴게시설, 커뮤니티공간, 자전거보관소",5~10분이내,"1호선, 4호선, 6호선",,5~10분이내,,,0,0,Y
A14006001,신창세방리버하이빌,위탁관리,2,국제경보산업,자치관리(직영),2,,자치관리(직영),2,음식물쓰레기종량제,위탁관리,12,"도포식,분무식,독이식",철근콘크리트구조,850,단일계약,위탁선임,GR형,부스타방식,위탁관리,8,70,126,무,46,"관리사무소, 노인정, 어린이놀이터, 자전거보관소",10~15분이내,"1호선, 4호선, 5호선, 6호선",효창공원앞,10~15분이내,관공서(용문동사무소) 병원(가족보건의원) 대형상가(용산전자상가) 공원(효창공원),"초등학교(남정, 용산) 고등학교(성심여고) 대학교(숙명여대)",4,0,Y
A14004001,한강타운,위탁관리,4,우진관리(주),위탁관리,2,우진관리,위탁관리,3,음식물쓰레기종량제,위탁관리,12,"도포식,분무식",철근콘크리트구조,900,단일계약,위탁선임,P형,고가수조식,위탁관리,4,80,162,무,32,"관리사무소, 노인정, 주민공동시설, 어린이놀이터, 휴게시설",10~15분이내,"5호선, 6호선, 경의중앙선, 공항철도",,10~15분이내,관공서(원효2동사무소) 병원(한마음병원) 대형상가(용산전자상가) 공원(효창공원) 기타(용문시장),"초등학교(원효) 중학교(성심여중) 고등학교(성심여고,)",0,5,Y
A14004002,리버힐삼성아파트,위탁관리,9,(주)신대한관리,위탁관리,19,(주)한국보안컨설팅,위탁관리,10,기타,위탁관리,50,분무식,철근콘크리트구조,3000,단일계약,상주선임,R형,부스타방식,위탁관리,23,232,1080,무,180,"관리사무소, 노인정, 어린이놀이터, 휴게시설, 자전거보관소",10~15분이내,"4호선, 5호선","신용산, 마포, 공덕",10~15분이내,관공서(원효로주민센터) 병원(한마음병원) 백화점(용산아이파크백화점) 대형상가(용산전자상가) 공원(효창공원) 기타(용문시장),"초등학교(원효, 마포) 중학교(성심여중) 고등학교()",0,30,Y
