kaptCode,kaptName,codeMgr,kaptMgrCnt,kaptCcompany,codeSec,kaptdScnt,kaptdSecCom,codeClean,kaptdClcnt,codeGarbage,codeDisinf,kaptdDcnt,disposalType,codeStr,kaptdEcapa,codeEcon,codeEmgr,codeFalarm,codeWsupply,codeElev,kaptdEcnt,kaptdPcnt,kaptdPcntu,codeNet,kaptdCccnt,welfareFacility,kaptdWtimebus,subwayLine,subwayStation,kaptdWtimesub,convenientFacility,educationFacility,groundElChargerCnt,undergroundElChargerCnt,useYn
A10020414,남대문(양동) 단지,위탁관리,4,(주)동우개발,위탁관리,,(주)혜진종합관리,위탁관리,1,기타,위탁관리,24,"분무식,독이식",철근콘크리트구조,,종합계약,상주선임,R형,부스타방식,위탁관리,8,0,0,유,,"관리사무소, 휴게시설, 커뮤니티공간, 자전거보관소",,"1호선, 4호선, 경의중앙선, 공항철도",,,,,0,0,Y
A10088101,남산SK리더스뷰,위탁관리,8,(주)타워피엠씨,위탁관리,8,(주)타워피엠씨,위탁관리,8,거점장비수거방식,위탁관리,12,"도포식,분무식",철골철근콘크리트구조,2550,종합계약,상주선임,R형,부스타방식,위탁관리,10,0,567,유,196,"관리사무소, 노인정, 어린이놀이터, 커뮤니티공간, 자전거보관소",5분이내,4호선,회현,5분이내,"관공서(회현동 주민센터, 중앙우체국) 백화점(신세계) 공원(남산공원)",초등학교(리라초),0,12,Y
A10088102,남산롯데캐슬아이리스,위탁관리,10,에이제이대원 주식회사,위탁관리,9,(유)미래환경,위탁관리,10,음식물쓰레기종량제,위탁관리,12,"분무식,독이식",철근콘크리트구조,7675,종합계약,상주선임,R형,부스타방식,위탁관리,10,0,760,유,242,"관리사무소, 노인정, 문고, 주민공동시설, 어린이놀이터, 휴게시설, 커뮤니티공간, 자전거보관소",5~10분이내,4호선,회현,5분이내,백화점(신세계) 공원(남산),"초등학교(리라,  남산초교)",0,16,Y
A10072501,쌍용남산플래티넘,위탁관리,10,우리관리(주),위탁관리(직영+위탁),6,주식회사홈스웰,위탁관리,9,차량수거방식,위탁관리,12,독이식,철근콘크리트구조,5150,종합계약,상주선임,GR형,부스타방식,위탁관리,7,0,605,유,146,"관리사무소, 어린이놀이터, 휴게시설, 커뮤니티공간",5분이내,"4호선, 의정부경전철",,5분이내,"관공서(시청) 병원(개인병원) 백화점(신세계백화점) 대형상가(남대문시장, 회현지하상가) 공원(남산)",초등학교(남산초) 중학교(덕수중) 고등학교(리라아트고) 대학교(숭의여자),0,37,Y
A10071301,남산센트럴자이,위탁관리,5,우리관리(주),위탁관리,6,주식회사 에스원,위탁관리,4,차량수거방식,위탁관리,12,"도포식,분무식,독이식",기타철골철근콘크리트구조,6825,종합계약,상주선임,R형,부스타방식,위탁관리,8,0,536,유,266,"관리사무소, 노인정, 주민공동시설, 어린이놀이터, 휴게시설, 커뮤니티공간, 자전거보관소, 기타",5분이내,"2호선, 3호선, 4호선, 5호선",,5분이내,관공서(중구청) 병원(제일병원) 공원(남산공원),초등학교() 중학교() 대학교(),0,12,Y
A10086301,충무로진양,자치관리,4,자치관리,자치관리(직영),8,,자치관리(직영),2,차량수거방식,자치관리,,,철근콘크리트구조,900,단일계약,위탁선임,P형,고가수조식,위탁관리,4,0,0,무,91,관리사무소,5~10분이내,"3호선, 4호선",충무로,5분이내,관공서(필동사무소) 병원(최웅대치과) 공원(인현어린이공원),중학교(덕수중학교),0,0,Y
A10025223,충무로엘크루메트로시티2,자치관리,5,,자치관리,2,,자치관리,2,음식물쓰레기종량제,위탁관리,12,분무식,철근콘크리트구조,1500,단일계약,상주선임,P형,부스타방식,위탁관리,3,0,212,유,43,관리사무소,5분이내,"2호선, 3호선, 4호선, 5호선",,5~10분이내,,,0,3,Y
A10023352,세운푸르지오헤리시티,위탁관리,7,에이제이대원 주식회사,위탁관리,3,(주)우창개발,위탁관리,5,음식물쓰레기종량제,위탁관리,12,"도포식,분무식",철골철근콘크리트구조,3000,종합계약,상주선임,R형,부스타방식,위탁관리,7,0,366,유,137,"관리사무소, 노인정, 보육시설, 문고, 주민공동시설, 어린이놀이터, 휴게시설, 커뮤니티공간, 자전거보관소",5~10분이내,4호선,,5~10분이내,관공서(중구청) 병원(서울백병원),중학교(덕수중학교),0,12,Y
A10028201,인현신성,자치관리,2,,자치관리,2,,자치관리,1,거점장비수거방식,자치관리,2,,철골철근콘크리트구조,500,단일계약,위탁선임,P형,수도직결식,위탁관리,3,0,0,무,37,"관리사무소, 자전거보관소",5~10분이내,"3호선, 4호선, 5호선",,5~10분이내,공원(),중학교(),0,0,Y
A10022761,힐스테이트 남산,위탁관리,5,세화종합관리(주),위탁관리,2,,위탁관리,3,음식물쓰레기종량제,위탁관리,,,철근콘크리트구조,1500,종합계약,상주선임,GR형,부스타방식,위탁관리,6,0,302,유,139,"관리사무소, 문고, 주민공동시설, 커뮤니티공간, 자전거보관소",5분이내,"3호선, 4호선",,5~10분이내,관공서(중구청) 대형상가(진양상가),대학교(동국대학교),0,10,Y
