kaptCode,kaptName,codeMgr,kaptMgrCnt,kaptCcompany,codeSec,kaptdScnt,kaptdSecCom,codeClean,kaptdClcnt,codeGarbage,codeDisinf,kaptdDcnt,disposalType,codeStr,kaptdEcapa,codeEcon,codeEmgr,codeFalarm,codeWsupply,codeElev,kaptdEcnt,kaptdPcnt,kaptdPcntu,codeNet,kaptdCccnt,welfareFacility,kaptdWtimebus,subwayLine,subwayStation,kaptdWtimesub,convenientFacility,educationFacility,groundElChargerCnt,undergroundElChargerCnt,useYn
A10021752,면목신우아파트,위탁관리,,(주)현대개발,,,,,,,,,,,,,,,,,0,,,,,,5분이내,,,10~15분이내,,,0,0,Y
A10021891,현대휴온아파트,자치관리,1,,위탁관리,,(주)파란종합관리,위탁관리,1,차량수거방식,관리방식미정,,,철근콘크리트구조,750,종합계약,위탁선임,GR형,부스타방식,위탁관리,3,74,0,무,48,"관리사무소, 노인정, 문고, 자전거보관소",5분이내,"7호선, 경의중앙선",,,관공서(면목2동주민센터) 병원(88병원),초등학교(중랑초등학교),2,0,Y
A10023384,용마산모아엘가파크포레,위탁관리,4,국제경보산업(주),위탁관리,2,선우환경관리주식회사,위탁관리,3,차량수거방식,위탁관리,12,분무식,철골철근콘크리트구조,1850,종합계약,상주선임,GR형,부스타방식,위탁관리,12,0,247,유,121,"관리사무소, 노인정, 주민공동시설, 어린이놀이터, 휴게시설, 커뮤니티공간, 자전거보관소, 기타",5분이내,7호선,,15~20분이내,,중학교(중화중학교) 고등학교(면목고등학교) 대학교(서일대학교),0,12,Y
A10023606,면목1차두산아파트,자치관리,2,,자치관리,2,,자치관리(직영),1,기타,위탁관리,4,도포식,철골콘크리트구조,145,종합계약,위탁선임,P형,수도직결식,위탁관리,2,27,65,무,20,"관리사무소, 노인정, 어린이놀이터, 자전거보관소",5분이내,7호선,,5~10분이내,,,2,0,Y
A10023835,중랑지웰에스테이트,위탁관리,1,주식회사 씨엠관리,위탁관리,1,주식회사 씨엠관리,위탁관리,1,음식물쓰레기종량제,위탁관리,6,도포식,철골철근콘크리트구조,963,종합계약,상주선임,P형,부스타방식,위탁관리,6,5,53,유,22,"관리사무소, 주민공동시설, 휴게시설, 자전거보관소",5분이내,7호선,,5분이내,관공서(면목본동사무소) 병원(녹색병원),초등학교(면동초등학교),0,0,Y
A10024366,면목풍림아파트,위탁관리,2,주식회사 동우개발,위탁관리,2,국제안전시스템,위탁관리,1,음식물쓰레기종량제,위탁관리,12,"도포식,분무식,독이식",철근콘크리트구조,736,단일계약,위탁선임,P형,고가수조식,,0,108,9,,30,"관리사무소, 노인정, 자전거보관소",5분이내,7호선,,,관공서(중랑세무서),초등학교(중랑초등학교),0,0,Y
A10024443,쌍용더플래티넘용마산,위탁관리,4,(주)케이비아주,위탁관리,2,(주)에스원,위탁관리,2,음식물쓰레기종량제,위탁관리,12,"도포식,분무식",철골철근콘크리트구조,1350,단일계약,상주선임,R형,부스타방식,위탁관리,11,0,278,유,99,"관리사무소, 노인정, 주민공동시설, 어린이놀이터, 커뮤니티공간, 자전거보관소, 기타",5분이내,7호선,,5분이내,관공서() 병원() 공원(용마폭포공원) 기타(),초등학교(중곡초등학고 ) 중학교(용마중학고) 고등학교() 대학교(),0,16,Y
A10024703,면목 라온 프라이빗 아파트,위탁관리,5,광인산업(주),위탁관리,5,에스원,위탁관리,6,음식물쓰레기종량제,위탁관리,3,분무식,철골콘크리트구조,2650,단일계약,상주선임,R형,부스타방식,위탁관리,11,4,553,유,105,"관리사무소, 노인정, 보육시설, 문고, 주민공동시설, 어린이놀이터, 휴게시설, 자전거보관소",5분이내,7호선,사가정 7호선,10~15분이내,"관공서(면목5동 주민센터, 용마지구대) 병원(녹색병원) 대형상가(홈 플러스) 공원(늘푸른공원)","초등학교(면목초등학교) 중학교(동국대학교사범대학부속중학교, 휘경여자중학교) 고등학교(동국대학교사범대학부속고등학교) 대학교(서일대학교)",0,11,Y
A10024741,사가정 센트럴 아이파크 아파트,위탁관리,11,세화종합관리(주),위탁관리,11,(주)에이디티캡스,위탁관리,17,음식물쓰레기종량제,위탁관리,12,"도포식,분무식,독이식",철근콘크리트구조,6500,종합계약,상주선임,R형,부스타방식,위탁관리,32,0,2076,유,599,,5분이내,,,5~10분이내,,,0,88,Y
A10025159,한양수자인사가정파크아파트,위탁관리,5,태영건물종합관리 주식회사,위탁관리,4,주식회사 에스원,위탁관리,6,음식물쓰레기종량제,위탁관리,12,"도포식,분무식,기구부착식,독이식",철근콘크리트구조,1500,종합계약,상주선임,R형,부스타방식,위탁관리,38,584,6,유,220,"관리사무소, 노인정, 주민공동시설, 어린이놀이터, 유치원, 커뮤니티공간, 자전거보관소",5~10분이내,7호선,사가정역,5~10분이내,,,0,27,Y
