kaptCode,kaptName,codeMgr,kaptMgrCnt,kaptCcompany,codeSec,kaptdScnt,kaptdSecCom,codeClean,kaptdClcnt,codeGarbage,codeDisinf,kaptdDcnt,disposalType,codeStr,kaptdEcapa,codeEcon,codeEmgr,codeFalarm,codeWsupply,codeElev,kaptdEcnt,kaptdPcnt,kaptdPcntu,codeNet,kaptdCccnt,welfareFacility,kaptdWtimebus,subwayLine,subwayStation,kaptdWtimesub,convenientFacility,educationFacility,groundElChargerCnt,undergroundElChargerCnt,useYn
A10021007,청구하이츠 아파트,자치관리,,,,,,,,,,,,,,,,,,,0,,,,,,5~10분이내,,,,,,0,0,Y
A10022605,문수비스타동원,위탁관리,6,지산주택(주),위탁관리,4,지산주택(주),위탁관리,7,음식물쓰레기종량제,위탁관리,3,분무식,철골철근콘크리트구조,3050,기타,상주선임,R형,부스타방식,위탁관리,20,42,746,유,302,"관리사무소, 노인정, 보육시설, 문고, 주민공동시설, 어린이놀이터, 휴게시설, 커뮤니티공간, 자전거보관소, 기타",5분이내,,,,관공서() 병원() 백화점() 대형상가() 공원() 기타(),초등학교() 중학교() 대학교(),0,16,Y
A10023556,울산대이즈플레이스,위탁관리,1,(주)신한종합관리,위탁관리,2,신한종합관리,위탁관리,1,차량수거방식,관리방식미정,2,분무식,철골콘크리트구조,1400,단일계약,상주선임,R형,부스타방식,위탁관리,5,0,186,무,32,,5분이내,,,,,,0,0,Y
A10024243,무거한라3차아파트,위탁관리,1,,위탁관리,2,지산,위탁관리,1,,위탁관리,6,분무식,,,,,,,,0,,,무,,,5분이내,,,,,,3,0,Y
A68019009,삼호시영,자치관리,1,,자치관리(직영),2,,,,,위탁관리,5,분무식,철근콘크리트구조,104,기타,위탁선임,P형,고가수조식,위탁관리,2,112,0,무,16,"관리사무소, 노인정, 어린이놀이터, 자전거보관소",5~10분이내,,,,관공서(우체국.치안센터) 병원(삼정병원),초등학교(옥현초.삼호초) 중학교(삼호중) 고등학교(문수고.성광여고.제일고) 대학교(울산대.울산과학대),0,0,Y
A68019017,굴화주공2-2,위탁관리,3,지산주택,위탁관리,4,(주)지산주택,위탁관리,2,차량수거방식,위탁관리,5,분무식,철근콘크리트구조,1200,단일계약,위탁선임,R형,고가수조식,위탁관리,14,206,132,무,68,"관리사무소, 노인정, 어린이놀이터, 자전거보관소",5~10분이내,,,,관공서(주민자치센터) 병원(삼정병원.강서병원) 대형상가(하이마트),초등학교(굴화초등학교) 중학교(삼호중) 고등학교(문수고등학교) 대학교(울산대.울산과학대),0,0,Y
A68075501,무거롯데캐슬,위탁관리,2,지산주택주식회사,위탁관리,2,지산주택,위탁관리,3,기타,위탁관리,6,,철근콘크리트구조,1350,단일계약,상주선임,R형,부스타방식,위탁관리,10,4,452,유,85,"관리사무소, 노인정, 주민공동시설, 어린이놀이터, 커뮤니티공간, 자전거보관소",10~15분이내,,,,대형상가(홈플러스무거) 공원(수정공원),초등학교(신복초) 대학교(울산대),0,9,Y
A68075502,무거위브자이,위탁관리,8,(주)신한종합관리,위탁관리,6,(주)신한종합관리,위탁관리,10,차량수거방식,위탁관리,3,분무식,철근콘크리트구조,5600,단일계약,상주선임,R형,부스타방식,위탁관리,23,82,1529,유,318,"관리사무소, 노인정, 보육시설, 문고, 주민공동시설, 어린이놀이터, 휴게시설, 커뮤니티공간, 자전거보관소",5~10분이내,동해선,,,"관공서(삼호행정복지센터) 병원(좋은삼정병원, 시민건강병원, 울산미즈병원)","초등학교(삼호초, 굴화초) 중학교(삼호중) 고등학교(문수고) 대학교(울산대학교)",0,33,Y
A68075503,무거태화강서희스타힐스,자치관리,2,,위탁관리,2,(주)신한종합관리,위탁관리,1,음식물쓰레기종량제,위탁관리,3,분무식,철근콘크리트구조,1950,단일계약,위탁선임,R형,부스타방식,위탁관리,6,64,196,유,64,"관리사무소, 어린이놀이터, 자전거보관소",5~10분이내,,,,"관공서(삼호동주민자치센터) 병원(울산미즈병원, 좋은삼정병원) 대형상가(롯데하이마트) 공원(솔숲공원) 기타(신복시외버스정류소)","초등학교(옥현초, 삼호초) 중학교(삼호중) 고등학교(문수고)",6,2,Y
A68075504,무거동한신휴플러스,위탁관리,3,(주)하이테크주택,위탁관리,2,하이테크주택,위탁관리,2,음식물쓰레기종량제,위탁관리,4,분무식,철근콘크리트구조,1700,단일계약,상주선임,GR형,부스타방식,위탁관리,8,44,252,유,68,"관리사무소, 노인정, 주민공동시설, 어린이놀이터, 휴게시설, 자전거보관소",5~10분이내,,,,공원(샘골공원),"초등학교(옥산초,월계초) 중학교(옥현중,문수중) 고등학교(성광여고,울산제일고) 대학교(울산대)",6,5,Y
A68080714,굴화주공2-1,위탁관리,3,(주)신한종합관리,위탁관리,2,(주)신한종합관리,위탁관리,2,차량수거방식,위탁관리,5,"도포식,분무식",철근콘크리트구조,725,단일계약,위탁선임,R형,고가수조식,위탁관리,4,156,60,무,53,,5~10분이내,,,,관공서(주민자치센터) 병원(삼정병원.강서병원) 대형상가(하이마트),초등학교(굴화초등학교) 중학교(삼호중) 고등학교(문수고등학교) 대학교(울산대.울산과학대),0,0,Y
A68080723,굴화주공1단지,자치관리,8,,위탁관리,10,대경기업,위탁관리,4,음식물쓰레기종량제,위탁관리,4,분무식,철근콘크리트구조,2400,단일계약,상주선임,R형,고가수조식,위탁관리,29,472,266,무,130,"관리사무소, 노인정, 보육시설, 어린이놀이터, 자전거보관소",5~10분이내,,,,관공서(주민자치센터) 병원(삼정병원.강서병원) 대형상가(하이마트),초등학교(굴화초등학교) 중학교(삼호중) 고등학교(문수고등학교) 대학교(울산대.울산과학대),15,0,Y
A68080804,협성벽산,위탁관리,1,(주)신한종합관리,위탁관리,2,(주)신한종합관리,위탁관리,1,음식물쓰레기종량제,위탁관리,2,분무식,철근콘크리트구조,166,기타,위탁선임,P형,고가수조식,위탁관리,2,100,0,무,24,"관리사무소, 어린이놀이터, 자전거보관소",10~15분이내,,,,관공서(무거동행정복지센터) 공원(문수축구경기장),초등학교(월계초) 중학교(무거중) 고등학교(우신고.무거고) 대학교(울산대.울산과학대),2,0,Y
A68080808,협성현대,자치관리,1,,자치관리(직영),2,,자치관리(직영),1,음식물쓰레기종량제,위탁관리,4,분무식,철근콘크리트구조,665,단일계약,위탁선임,P형,고가수조식,위탁관리,5,120,50,무,36,"관리사무소, 어린이놀이터, 자전거보관소",5~10분이내,,,,관공서(무거주민자치센타) 병원(좋은삼정병원) 대형상가(농협하나로마트) 공원(문수축구경기장),초등학교(월계초) 중학교(무거중학교) 고등학교(우신고.무거고) 대학교(울산대.울산과학대),0,5,Y
A68080813,남운그린힐,위탁관리,2,지산주택,위탁관리,3,(주)지산주택,위탁관리,2,음식물쓰레기종량제,위탁관리,4,분무식,철근콘크리트구조,880,단일계약,위탁선임,P형,고가수조식,위탁관리,3,109,0,무,19,"관리사무소, 노인정, 어린이놀이터, 자전거보관소",10~15분이내,,,,관공서(무거동행정복지센터) 병원(좋은삼정병원) 공원(문수공원),초등학교(무거초.신복초) 대학교(울산대.울산과학대),5,0,Y
A68080815,웰츠타워,위탁관리,4,(주)신한종합관리,위탁관리,2,(주)신한종합관리,위탁관리,4,음식물쓰레기종량제,위탁관리,4,분무식,철근콘크리트구조,2650,종합계약,상주선임,R형,부스타방식,위탁관리,8,23,629,유,70,"관리사무소, 어린이놀이터",5분이내,,,,관공서(주민자치센터) 병원(삼정병원.강서병원) 대형상가(하이마트),초등학교(옥산초.굴화초.옥현초) 중학교(삼호중) 고등학교(무거고.우신고.) 대학교(울산대.울산과학대),2,11,Y
A68080821,옥현주공1단지,위탁관리,6,지산주택(주),위탁관리,6,지산주택(주),위탁관리,4,음식물쓰레기종량제,위탁관리,3,분무식,철근콘크리트구조,1800,단일계약,상주선임,R형,고가수조식,위탁관리,21,230,305,무,103,"관리사무소, 노인정, 보육시설, 문고, 어린이놀이터, 자전거보관소",5분이내,,,,관공서(주민자치센터) 병원(삼정병원) 대형상가(하이마트) 공원(문수체육공원),"초등학교(옥산초.월계초) 중학교(옥현중.삼호중, 무거중) 고등학교(무거고.우신고.제일고,성광여고,문수고) 대학교(울산대.울산과학대)",11,0,Y
A68080822,옥현주공2차,위탁관리,6,(주)지산주택,위탁관리,8,지산주택(주),위탁관리,4,음식물쓰레기종량제,위탁관리,4,분무식,철근콘크리트구조,1350,단일계약,상주선임,R형,고가수조식,위탁관리,25,389,465,무,150,"관리사무소, 노인정, 보육시설, 문고, 주민공동시설, 어린이놀이터, 휴게시설, 유치원, 자전거보관소, 기타",5분이내,,,,관공서(주민자치센터) 병원(삼정병원) 대형상가(하이마트 홈플러스),초등학교(옥산초.월계초) 중학교(옥현중.삼호중) 고등학교(무거고.우신고.) 대학교(울산대.울산과학대),27,0,Y
A68080824,옥현으뜸마을주공3단지,위탁관리,9,(주)지산주택,위탁관리,12,(주)우경,위탁관리,10,차량수거방식,위탁관리,4,분무식,철근콘크리트구조,3800,단일계약,상주선임,R형,고가수조식,위탁관리,41,466,857,무,215,"관리사무소, 노인정, 보육시설, 문고, 주민공동시설, 어린이놀이터, 자전거보관소",5~10분이내,,,,관공서(무거2동 사무소) 병원(삼정병원) 공원(약수공원) 기타(문수축구경기장),초등학교(옥산초.월계초) 중학교(옥현중.문수중) 고등학교(우신고.무거고) 대학교(울산대.울산과학대),27,0,Y
A68080902,무거선경,위탁관리,1,(주)지산주택,위탁관리,1,(주)지산주택,위탁관리,1,음식물쓰레기종량제,위탁관리,2,분무식,철근콘크리트구조,181,단일계약,위탁선임,P형,부스타방식,위탁관리,2,96,22,무,25,"관리사무소, 어린이놀이터, 자전거보관소",10~15분이내,,,,관공서(무거동주민센타) 공원(문수공원) 기타(현대시장),초등학교(무거초.신복초) 대학교(울산대.울산과학대),3,0,Y
A68080903,쌍용스윗닷홈,위탁관리,1,(주)하이테크주택,위탁관리,4,(주)하이테크주택,위탁관리,1,차량수거방식,위탁관리,2,분무식,철근콘크리트구조,1360,단일계약,위탁선임,P형,부스타방식,위탁관리,6,83,118,무,43,"관리사무소, 노인정, 어린이놀이터, 자전거보관소",15~20분이내,,,,"관공서(무거동주민센타) 병원(좋은삼정병원) 공원(헐수정공원,문수공원) 기타(현대시장)",초등학교(무거초.신복초) 고등학교(우신고등학교. 제일고등학교) 대학교(울산대.울산과학대),0,5,Y
A68080920,무거현대,위탁관리,5,(주)신한종합관리,위탁관리,6,(주)신한종합관리,위탁관리,3,차량수거방식,위탁관리,4,분무식,철근콘크리트구조,1350,단일계약,상주선임,P형,고가수조식,위탁관리,16,247,136,무,132,"관리사무소, 노인정, 어린이놀이터, 자전거보관소",10~15분이내,,,,관공서(무거동주민센터) 공원(문수공원) 기타(현대시장),초등학교(무거초.신복초) 대학교(울산대.울산과학대),0,5,Y
A68081016,삼호,위탁관리,3,지산주택(주),위탁관리,2,지산주택(주),위탁관리,1,음식물쓰레기종량제,위탁관리,4,,철근콘크리트구조,935,단일계약,위탁선임,P형,부스타방식,위탁관리,5,108,0,무,29,"관리사무소, 노인정, 어린이놀이터, 자전거보관소",5~10분이내,,,,,초등학교(옥현초.삼호초) 중학교(삼호중) 고등학교(문수고.성광여고.제일고) 대학교(울산대.울산과학대),3,0,Y
A68081201,무거한라4차,위탁관리,1,지산주택(주),위탁관리,2,(주)지산주택,위탁관리,1,차량수거방식,위탁관리,5,"분무식,기구부착식",철근콘크리트구조,632,단일계약,위탁선임,P형,고가수조식,위탁관리,4,15,136,무,46,"관리사무소, 노인정, 어린이놀이터, 자전거보관소",10~15분이내,서해선,,,관공서(무거주민센타) 기타(현대시장),초등학교(신복초.무거초) 중학교(무거중.삼호중) 고등학교(무거고.우신고) 대학교(울산대.울산과학대),4,0,Y
A68081205,무거한라2차,위탁관리,1,(주)지산주택,위탁관리,2,(주)우경,위탁관리,1,음식물쓰레기종량제,자치관리(직영),4,분무식,철근콘크리트구조,395,기타,위탁선임,P형,고가수조식,위탁관리,5,34,92,무,35,"관리사무소, 어린이놀이터, 기타",15~20분이내,,,,"관공서(무거주민센터) 병원(삼정병원,미즈여성병원) 대형상가(원예하나로마트) 기타(무거현대시장)","초등학교(신복초.무거초) 중학교(무거중,삼호중,장검중) 고등학교(무거고.우신고,문수고,울산상업고) 대학교(울산대.울산과학대)",3,0,Y
A68081207,무거동서그린맨션,위탁관리,1,(주)신한종합관리,위탁관리,2,(주)신한종합관리,위탁관리,1,음식물쓰레기종량제,위탁관리,5,분무식,철근콘크리트구조,550,단일계약,위탁선임,P형,고가수조식,위탁관리,5,32,74,무,30,"관리사무소, 노인정, 어린이놀이터, 자전거보관소",15~20분이내,2호선,,,병원(소망의원) 공원(근린공원),"초등학교(신복초등학교, 무거초등학교) 대학교(울산대)",0,6,Y
A68081211,무거한라1차,위탁관리,1,지산주택(주),위탁관리,2,지산주택(주),위탁관리,1,차량수거방식,위탁관리,4,,철근콘크리트구조,300,기타,위탁선임,P형,고가수조식,위탁관리,5,53,64,무,32,"관리사무소, 노인정, 어린이놀이터",15~20분이내,,,,관공서(무거주민센타) 기타(현대시장),초등학교(신복초.무거초) 중학교(무거중.삼호중) 고등학교(무거고.우신고) 대학교(울산대.울산과학대),3,0,Y
