kaptCode,kaptName,codeMgr,kaptMgrCnt,kaptCcompany,codeSec,kaptdScnt,kaptdSecCom,codeClean,kaptdClcnt,codeGarbage,codeDisinf,kaptdDcnt,disposalType,codeStr,kaptdEcapa,codeEcon,codeEmgr,codeFalarm,codeWsupply,codeElev,kaptdEcnt,kaptdPcnt,kaptdPcntu,codeNet,kaptdCccnt,welfareFacility,kaptdWtimebus,subwayLine,subwayStation,kaptdWtimesub,convenientFacility,educationFacility,groundElChargerCnt,undergroundElChargerCnt,useYn
A10026673,호계2차한양수자인,위탁관리,5,지산주택(주),위탁관리,4,에스원,위탁관리,5,차량수거방식,위탁관리,4,,철골철근콘크리트구조,2700,종합계약,상주선임,R형,부스타방식,위탁관리,16,105,472,유,152,"관리사무소, 노인정, 보육시설, 문고, 주민공동시설, 어린이놀이터, 휴게시설, 유치원, 커뮤니티공간, 자전거보관소, 기타",10~15분이내,,,10~15분이내,,,0,6,Y
A10027339,호계한양수자인1차,위탁관리,3,(주)신한종합관리,위탁관리,2,신한종합관리,위탁관리,3,차량수거방식,위탁관리,4,분무식,철근콘크리트구조,1900,종합계약,상주선임,R형,부스타방식,위탁관리,9,120,265,무,77,"관리사무소, 노인정, 보육시설, 문고, 주민공동시설, 어린이놀이터, 자전거보관소",5~10분이내,,,,,초등학교() 중학교() 고등학교(),5,0,Y
A68381203,울산호계1,위탁관리,5,,위탁관리,6,(주)신서림에스엔에스,위탁관리(직영+위탁),2,차량수거방식,위탁관리,3,분무식,철근콘크리트구조,1250,단일계약,상주선임,R형,부스타방식,위탁관리,30,335,145,무,50,"관리사무소, 노인정, 어린이놀이터",15~20분이내,,,,병원(엘리야병원),초등학교(호계초등학교) 중학교(호계중학교) 고등학교(호계고등학교),5,5,Y
A68381204,울산호계2,위탁관리,5,,위탁관리,6,명가종합관리(주),위탁관리,2,음식물쓰레기종량제,위탁관리,3,분무식,철근콘크리트구조,900,단일계약,상주선임,R형,부스타방식,위탁관리,12,309,239,무,45,"관리사무소, 노인정, 보육시설, 어린이놀이터, 휴게시설, 자전거보관소",15~20분이내,,,,"병원(세나병원,21C병원)",초등학교(호계초등학교) 중학교(호계중학교) 고등학교(호계고등학교),11,0,Y
A10024088,매곡에듀파크에일린의뜰,위탁관리,6,지산주택(주),위탁관리,4,에스원(주),위탁관리,9,차량수거방식,위탁관리,4,"도포식,분무식",철근콘크리트구조,2250,종합계약,상주선임,GR형,부스타방식,위탁관리,26,68,883,유,346,"관리사무소, 노인정, 보육시설, 문고, 주민공동시설, 어린이놀이터, 휴게시설, 커뮤니티공간, 자전거보관소",5분이내,,,,병원() 공원(),초등학교() 중학교() 고등학교(),6,14,Y
A10026666,드림in시티 에일린의 뜰2차,위탁관리,8,(주)디이씨오,위탁관리,6,(주)에스원,위탁관리,13,음식물쓰레기종량제,위탁관리,6,"도포식,분무식,기구부착식",철골철근콘크리트구조,6000,종합계약,상주선임,GR형,부스타방식,위탁관리,24,89,1393,유,284,"관리사무소, 노인정, 보육시설, 문고, 주민공동시설, 어린이놀이터, 휴게시설, 커뮤니티공간, 자전거보관소",5분이내,,,,"관공서(북구청, 보건소) 병원(엘리야병원)","초등학교(은월초등학교) 중학교(호계중학교) 고등학교(호계고등학교, 매곡고등학교)",0,30,Y
A10026778,드림in시티 에일린의 뜰 1차,위탁관리,9,(주)디이씨오,위탁관리,6,에스원,위탁관리,14,차량수거방식,위탁관리,3,분무식,철근콘크리트구조,5750,단일계약,상주선임,R형,부스타방식,위탁관리,24,0,1649,유,315,"관리사무소, 노인정, 보육시설, 문고, 주민공동시설, 어린이놀이터, 휴게시설, 커뮤니티공간, 자전거보관소",5분이내,,,,,,0,35,Y
A10027557,오토밸리로 효성 해링턴 플레이스,위탁관리,8,(주)하이테크주택,위탁관리,6,에스원,위탁관리,11,차량수거방식,위탁관리,4,분무식,철근콘크리트구조,5200,단일계약,상주선임,R형,부스타방식,위탁관리,31,1207,53,유,229,"관리사무소, 노인정, 보육시설, 문고, 주민공동시설, 어린이놀이터, 휴게시설, 커뮤니티공간",5분이내,,,,관공서() 병원() 대형상가() 공원(),초등학교() 중학교() 고등학교(),20,5,Y
A68342001,정림은하수타운,위탁관리,2,(주)하이테크 주택,자치관리,2,,자치관리,1,음식물쓰레기종량제,위탁관리,5,분무식,철근콘크리트구조,692,단일계약,위탁선임,R형,부스타방식,위탁관리,4,80,69,무,40,"관리사무소, 노인정, 문고, 어린이놀이터, 커뮤니티공간, 자전거보관소",10~15분이내,,,,병원(엘리야병원) 대형상가(농협하나로마트),"초등학교(신천초,매곡초) 중학교(매곡중) 고등학교(매곡고)",0,2,Y
A68342002,현대으뜸,위탁관리,2,(주)하이테크주택,위탁관리,2,뉴시티보안공사,위탁관리,2,차량수거방식,위탁관리,4,분무식,철근콘크리트구조,282,기타,위탁선임,P형,고가수조식,위탁관리,6,93,40,무,28,"관리사무소, 노인정",5분이내,,,,,초등학교(매산초) 중학교(호계중) 고등학교(호계고등학교),0,0,Y
