kaptCode,kaptName,codeMgr,kaptMgrCnt,kaptCcompany,codeSec,kaptdScnt,kaptdSecCom,codeClean,kaptdClcnt,codeGarbage,codeDisinf,kaptdDcnt,disposalType,codeStr,kaptdEcapa,codeEcon,codeEmgr,codeFalarm,codeWsupply,codeElev,kaptdEcnt,kaptdPcnt,kaptdPcntu,codeNet,kaptdCccnt,welfareFacility,kaptdWtimebus,subwayLine,subwayStation,kaptdWtimesub,convenientFacility,educationFacility,groundElChargerCnt,undergroundElChargerCnt,useYn
A10021084,천지아파트,자치관리,1,,위탁관리,,지산주택(주),위탁관리,1,음식물쓰레기종량제,위탁관리,4,,조적구조,505,단일계약,위탁선임,P형,고가수조식,위탁관리,6,74,54,무,13,,10~15분이내,,,,,,3,0,Y
A68989302,가화파티오아파트,위탁관리,1,(주)지산주택,위탁관리,2,지산주택(주),위탁관리,2,음식물쓰레기종량제,위탁관리,3,분무식,철근콘크리트구조,1010,단일계약,위탁선임,P형,부스타방식,위탁관리,6,125,74,무,51,"관리사무소, 노인정, 어린이놀이터, 자전거보관소",5~10분이내,,,,관공서(온산소방서) 병원(온산 보람병원) 대형상가(온산프라자) 공원(근린공원),초등학교(덕신초) 중학교(온산중학교) 고등학교(울산경영정보고),4,0,Y
A68989303,무궁화아파트,위탁관리,3,(주)신한종합관리,위탁관리,2,(주)신한종합관리,위탁관리,1,차량수거방식,위탁관리,3,분무식,철근콘크리트구조,0,기타,선정안함,P형,수도직결식,,0,220,0,무,10,"관리사무소, 노인정, 어린이놀이터",10~15분이내,,,,병원(온산의원),,0,0,Y
A68989504,덕신주공,위탁관리,3,(주)신한종합관리,위탁관리,2,우경,자치관리(직영),1,음식물쓰레기종량제,위탁관리,3,,철근콘크리트구조,380,기타,위탁선임,기타,부스타방식,,0,300,0,무,31,"관리사무소, 노인정, 어린이놀이터, 자전거보관소",15~20분이내,,,,병원(온산의원),초등학교() 중학교() 고등학교(),0,0,Y
A68989505,온산동원,위탁관리,3,(주)지산주택,위탁관리,4,(주)우경,위탁관리,4,음식물쓰레기종량제,위탁관리,4,분무식,철근콘크리트구조,1286,단일계약,위탁선임,P형,부스타방식,위탁관리,19,367,0,무,80,"관리사무소, 노인정, 보육시설, 주민공동시설, 어린이놀이터",15~20분이내,,,,병원(이태일의원),초등학교(덕신초등학교) 중학교(온산중학교) 고등학교(울산경영정보고등학교),8,0,Y
A68989506,덕신동백,위탁관리,3,(주)신한종합관리,위탁관리,4,(주)우경,위탁관리,5,음식물쓰레기종량제,위탁관리,7,분무식,철근콘크리트구조,450,기타,위탁선임,P형,부스타방식,위탁관리,10,510,0,무,95,"관리사무소, 노인정, 어린이놀이터",5~10분이내,,,,관공서(온산읍사무소) 병원(이태일의원),초등학교(덕신초등학교) 중학교(온산중학교) 고등학교(울산경영정보고등학교),11,0,Y
A68980101,반송대방타운,위탁관리,1,주식회사 대원종합관리,위탁관리,2,(주) 우경,위탁관리,1,차량수거방식,위탁관리,3,분무식,철근콘크리트구조,600,단일계약,위탁선임,P형,부스타방식,위탁관리,8,94,24,무,40,"관리사무소, 노인정, 어린이놀이터, 자전거보관소",5분이내,,,,관공서(국립물품질관리원울산) 기타(울산역),초등학교(반천초등학교) 고등학교(언양고등학교) 대학교(울산과학기술대학교),0,0,Y
A68980504,반천현대아파트,위탁관리,6,(주)디이씨오,위탁관리,4,대경기업,위탁관리,6,음식물쓰레기종량제,위탁관리,4,"도포식,분무식,독이식",철근콘크리트구조,2500,단일계약,상주선임,P형,부스타방식,위탁관리,22,402,248,무,120,"관리사무소, 노인정, 주민공동시설, 어린이놀이터, 유치원, 자전거보관소, 기타",5분이내,,,,기타(울주군민학생체육관),초등학교(반천초등학교),6,3,Y
A10021486,장원그랜져아파트,위탁관리(직영+위탁),0,,,,,관리방식미정,0,,위탁관리,2,분무식,철골철근콘크리트구조,160,기타,위탁선임,P형,고가수조식,위탁관리,2,53,0,무,0,,5분이내,,,,,,0,0,Y
A10023568,e편한세상울산역어반스퀘어,위탁관리,8,지산주택(주),위탁관리,4,지산주택(주),위탁관리,7,기타,위탁관리,4,분무식,철근콘크리트구조,2800,단일계약,상주선임,R형,부스타방식,위탁관리,24,37,1302,유,299,"관리사무소, 노인정, 보육시설, 주민공동시설, 어린이놀이터, 휴게시설, 커뮤니티공간, 자전거보관소",5~10분이내,,,,,,27,0,Y
