kaptCode,kaptName,codeMgr,kaptMgrCnt,kaptCcompany,codeSec,kaptdScnt,kaptdSecCom,codeClean,kaptdClcnt,codeGarbage,codeDisinf,kaptdDcnt,disposalType,codeStr,kaptdEcapa,codeEcon,codeEmgr,codeFalarm,codeWsupply,codeElev,kaptdEcnt,kaptdPcnt,kaptdPcntu,codeNet,kaptdCccnt,welfareFacility,kaptdWtimebus,subwayLine,subwayStation,kaptdWtimesub,convenientFacility,educationFacility,groundElChargerCnt,undergroundElChargerCnt,useYn
A10021096,구월 뷰그리안 아파트,위탁관리,1,주식회사 무림개발,위탁관리,,(주)무림개발,자치관리,1,차량수거방식,위탁관리,12,,철골철근콘크리트구조,,단일계약,위탁선임,,,위탁관리,0,,,,,,5분이내,,,,,,0,0,Y
A10021357,구월성문아파트,위탁관리,1,에이비엠(주),자치관리(직영),,,자치관리(직영),1,차량수거방식,위탁관리,4,분무식,철근콘크리트구조,620,종합계약,선정안함,P형,고가수조식,위탁관리,2,34,27,무,10,"관리사무소, 노인정, 자전거보관소",5~10분이내,인천2호선,,15~20분이내,,,2,0,Y
A10021432,나이스뷰,위탁관리,2,주식회사 더네스트,위탁관리,,(주) 더네스트,위탁관리,1,음식물쓰레기종량제,위탁관리,12,분무식,철근콘크리트구조,1150,종합계약,위탁선임,GR형,부스타방식,위탁관리,2,7,37,무,16,관리사무소,5분이내,"인천1호선, 인천2호선",,10~15분이내,병원() 대형상가(),초등학교() 중학교(),0,0,Y
A10021852,대우재한신휴플러스,위탁관리,2,씨에스케이(주),위탁관리,,씨에스케이,위탁관리,1,,위탁관리,,,철근콘크리트구조,600,단일계약,위탁선임,R형,부스타방식,위탁관리,4,0,156,유,52,,5분이내,,,,,,0,4,Y
A10022888,한화포레나 인천구월,위탁관리,10,경기진흥주택관리(주),위탁관리,9,주식회사 에이치엠씨,위탁관리,13,차량수거방식,위탁관리,4,분무식,철근콘크리트구조,6000,종합계약,상주선임,R형,부스타방식,위탁관리,27,0,1344,유,520,"관리사무소, 노인정, 보육시설, 문고, 주민공동시설, 어린이놀이터, 유치원, 커뮤니티공간, 자전거보관소",5분이내,인천2호선,,5분이내,,,0,14,Y
A10023325,동남아파트,자치관리,1,,자치관리,1,,위탁관리,1,음식물쓰레기종량제,위탁관리,12,분무식,철근콘크리트구조,0,기타,기타,P형,고가수조식,,0,60,0,무,8,"관리사무소, 노인정, 자전거보관소",5분이내,인천2호선,,10~15분이내,,,0,0,Y
A10023364,구월아시아드선수촌7지,위탁관리,9,대아산업(주),위탁관리,5,새롬씨큐리티(주),위탁관리,9,거점장비수거방식,위탁관리,,,철골콘크리트구조,900,종합계약,상주선임,R형,부스타방식,위탁관리,36,5,830,무,402,"관리사무소, 노인정, 보육시설, 주민공동시설, 어린이놀이터, 유치원, 커뮤니티공간, 자전거보관소",5분이내,,,20분초과,"관공서(인천남동구청, 구월1동행정복지센터, 인천지방법원등기국, 구월지구대, 인천남동소방서) 병원(이비인후과, 내과, 정형외과, 가천대길병원) 백화점(롯데백화점) 공원(아시아드근린공원)",초등학교(인천 만월초등학교) 중학교(인천 성중학교),0,20,Y
A10024475,구월지웰시티푸르지오,위탁관리,6,제일에스테이트서비스 주식회사,위탁관리,3,C&S자산관리,위탁관리,4,음식물쓰레기종량제,위탁관리,12,분무식,철골철근콘크리트구조,3750,종합계약,상주선임,R형,부스타방식,위탁관리,10,0,453,유,164,"관리사무소, 노인정, 보육시설, 주민공동시설, 어린이놀이터, 휴게시설, 커뮤니티공간, 자전거보관소, 기타",5분이내,"인천1호선, 인천2호선",,10~15분이내,관공서() 병원() 백화점() 공원(),초등학교() 중학교(),0,4,Y
A10026348,구월프라움아트,위탁관리,5,(주)엘엔비,위탁관리,1,,위탁관리,1,음식물쓰레기종량제,위탁관리,12,분무식,철골철근콘크리트구조,950,종합계약,위탁선임,R형,부스타방식,위탁관리,3,0,140,무,20,"관리사무소, 자전거보관소",5분이내,인천1호선,인천지하철 1호선 예술회관역,5분이내,대형상가(),,0,0,Y
A10026349,구월프라움시티,위탁관리,3,(주)엘엔비,위탁관리,2,(주) 엘엔비,위탁관리,1,음식물쓰레기종량제,위탁관리,12,분무식,철근콘크리트구조,950,종합계약,위탁선임,GR형,부스타방식,위탁관리,3,15,129,무,40,관리사무소,5~10분이내,인천1호선,,5~10분이내,관공서() 병원() 백화점() 공원(),초등학교() 중학교(),0,3,Y
