kaptCode,kaptName,codeMgr,kaptMgrCnt,kaptCcompany,codeSec,kaptdScnt,kaptdSecCom,codeClean,kaptdClcnt,codeGarbage,codeDisinf,kaptdDcnt,disposalType,codeStr,kaptdEcapa,codeEcon,codeEmgr,codeFalarm,codeWsupply,codeElev,kaptdEcnt,kaptdPcnt,kaptdPcntu,codeNet,kaptdCccnt,welfareFacility,kaptdWtimebus,subwayLine,subwayStation,kaptdWtimesub,convenientFacility,educationFacility,groundElChargerCnt,undergroundElChargerCnt,useYn
A10020240,숭의현대아파트,자치관리,3,,위탁관리,,,관리방식미정,2,음식물쓰레기종량제,위탁관리,12,"분무식,기구부착식",철근콘크리트구조,425,종합계약,위탁선임,P형,고가수조식,,0,66,,무,10,,,,,,,,0,0,Y
A10020565,두산위브더제니스센트럴여의,위탁관리,12,경기진흥주택관리(주),위탁관리,,경기진흥주택관리(주),위탁관리,15,음식물쓰레기종량제,위탁관리,12,분무식,철골콘크리트구조,5000,종합계약,상주선임,R형,부스타방식,관리방식미정,22,0,1511,유,440,"관리사무소, 노인정, 보육시설, 주민공동시설, 어린이놀이터, 커뮤니티공간, 자전거보관소",,1호선,,,,,0,212,Y
A10020903,힐스테이트 숭의역,위탁관리,8,(주)율산개발,위탁관리,,선우환경관리주식회사,위탁관리,8,음식물쓰레기종량제,위탁관리,12,분무식,철골철근콘크리트구조,5000,종합계약,위탁선임,GR형,부스타방식,위탁관리,17,70,829,유,448,"관리사무소, 노인정, 보육시설, 문고, 주민공동시설, 어린이놀이터",5분이내,,,5분이내,,,37,0,Y
A10022349,광해리드빌,자치관리,2,,위탁관리,,에이스휴먼,위탁관리,2,,위탁관리,,,철골콘크리트구조,1425,단일계약,위탁선임,P형,부스타방식,위탁관리,0,14,238,무,64,,5~10분이내,,,,,,0,5,Y
A10023098,인천 석정 한신 더 휴,자치관리,3,,위탁관리,2,,위탁관리,1,음식물쓰레기종량제,위탁관리,10,"도포식,분무식",철골철근콘크리트구조,1750,단일계약,기타,기타,부스타방식,위탁관리,7,22,222,유,70,"관리사무소, 노인정, 어린이놀이터, 커뮤니티공간, 자전거보관소",5~10분이내,1호선,,5~10분이내,,,3,0,Y
A10023846,스타디움센트럴시티 아파트,위탁관리,10,대원에스테이트서비스(주),위탁관리,7,새롬에스앤씨(주),위탁관리,9,차량수거방식,위탁관리,4,분무식,철근콘크리트구조,3500,종합계약,상주선임,R형,부스타방식,위탁관리,26,0,1194,유,256,"관리사무소, 노인정, 어린이놀이터, 커뮤니티공간, 자전거보관소",5분이내,"1호선, 수인선",,5분이내,병원(인하대학교 부속 대학병원) 공원(도원공원),초등학교(창영초등학교) 중학교(광성중학교) 고등학교(광성고등학교),0,1,Y
A40281301,숭의 한화꿈에그린아파트,위탁관리,4,(주)태룡에스디,위탁관리,4,(주)선진휴먼테크,위탁관리,4,음식물쓰레기종량제,위탁관리,12,"도포식,분무식,기구부착식",철근콘크리트구조,1750,단일계약,상주선임,R형,부스타방식,위탁관리,15,90,315,무,70,"관리사무소, 노인정, 주민공동시설, 어린이놀이터, 자전거보관소",5분이내,1호선,제물포,5~10분이내,"관공서(미추홀구청) 병원(인하대병원, 시립병원) 대형상가(제물포지하상가)","초등학교(숭의초,창영초,서림초) 중학교(인화여중,선화여중) 고등학교(인화여고, 선인고, 동산고) 대학교(인천대,청운대)",12,9,Y
A10022254,용현삼화아파트 ,자치관리,1,,관리방식미정,,,위탁관리,3,,위탁관리,4,분무식,철골철근콘크리트구조,485,단일계약,위탁선임,P형,수도직결식,위탁관리,2,5,50,무,70,,5~10분이내,,,,,,0,0,Y
A10022902,용현자이크레스트아파트,위탁관리,16,에이비엠(주),위탁관리,15,(주)듀델코리아,위탁관리,24,음식물쓰레기종량제,위탁관리,12,분무식,철근콘크리트구조,11000,종합계약,상주선임,GR형,부스타방식,위탁관리,72,0,2961,유,896,"관리사무소, 노인정, 보육시설, 문고, 주민공동시설, 어린이놀이터, 휴게시설, 커뮤니티공간, 자전거보관소, 기타",5분이내,수인선,"인하대역, 숭의역",5~10분이내,"관공서(용현2동행정복지센터) 병원(인하대병원, 인천보훈병) 대형상가(홈플러) 공원(수봉공원)","초등학교(인천용현초등학교) 중학교(용현중, 용현여중) 고등학교(인항고등학교) 대학교(인하대학교)",0,229,Y
A10023168,용현오션뷰경남아너스빌아파트,위탁관리,5,씨에스케이(주),위탁관리,2,에이비엠(주),위탁관리,4,차량수거방식,위탁관리,4,"분무식,독이식",철근콘크리트구조,2500,종합계약,상주선임,GR형,부스타방식,위탁관리,5,14,382,유,85,"관리사무소, 노인정, 문고, 주민공동시설, 어린이놀이터, 휴게시설, 커뮤니티공간, 자전거보관소",5~10분이내,"1호선, 인천1호선, 인천2호선, 수인선",경인1호선지하철,10~15분이내,관공서() 병원(),초등학교(),0,6,Y
