kaptCode,kaptName,codeMgr,kaptMgrCnt,kaptCcompany,codeSec,kaptdScnt,kaptdSecCom,codeClean,kaptdClcnt,codeGarbage,codeDisinf,kaptdDcnt,disposalType,codeStr,kaptdEcapa,codeEcon,codeEmgr,codeFalarm,codeWsupply,codeElev,kaptdEcnt,kaptdPcnt,kaptdPcntu,codeNet,kaptdCccnt,welfareFacility,kaptdWtimebus,subwayLine,subwayStation,kaptdWtimesub,convenientFacility,educationFacility,groundElChargerCnt,undergroundElChargerCnt,useYn
A10020691,송도역 서해그랑블더파크,위탁관리,5,남경종합관리(주),위탁관리,,원스톱서비스,위탁관리,5,음식물쓰레기종량제,위탁관리,4,도포식,철근콘크리트구조,,,상주선임,P형,부스타방식,위탁관리,12,,423,유,142,"관리사무소, 노인정, 문고, 주민공동시설, 어린이놀이터, 휴게시설, 유치원, 커뮤니티공간, 자전거보관소",5분이내,수인선,,5~10분이내,,,0,0,Y
A10021004,벽산빌리지,자치관리,,,,,,,,,,,,,,,,,,,0,,,,,,5~10분이내,,,,,,0,0,Y
A10022704,송도역 서해그랑블 아파트,위탁관리,4,경기진흥주택관리(주),위탁관리,4,(주)에이스엠,위탁관리,2,거점장비수거방식,위탁관리,4,"도포식,분무식",철근콘크리트구조,1400,단일계약,상주선임,R형,부스타방식,위탁관리,4,41,174,유,77,"관리사무소, 노인정, 주민공동시설, 어린이놀이터, 자전거보관소",5분이내,수인선,,5~10분이내,관공서(욱련주민센터) 병원(적십자병원) 백화점(롯데백화점) 대형상가(이마트 연수점) 공원(옹암체육센터),초등학교(옥련 초등학교),0,11,Y
A40671302,옥련백산2차,위탁관리,4,주식회사 대승케이비엠,위탁관리,4,탑종합관리(주),위탁관리,2,음식물쓰레기종량제,위탁관리,12,"도포식,분무식",철근콘크리트구조,1082,단일계약,위탁선임,P형,고가수조식,위탁관리,8,90,211,무,48,"관리사무소, 노인정, 어린이놀이터, 자전거보관소",5분이내,인천1호선,,,"관공서(옥련 우체국, 옥련주민자치센타) 병원(내과, 이비인후과, 정형외과) 대형상가(옥련재래시장) 공원(능허대공원) 기타(근린생활시설)","초등학교(옥련, 능허대, 송도) 중학교(옥련, 인송) 고등학교(송도, 해양과학고)",0,5,Y
A40671303,옥련백산1차,위탁관리,4,csk,위탁관리,4,대승KBM,위탁관리,3,기타,위탁관리,12,분무식,철근콘크리트구조,260,단일계약,위탁선임,P형,부스타방식,위탁관리,4,90,111,무,52,"관리사무소, 노인정, 어린이놀이터",5분이내,"1호선, 인천1호선, 인천2호선, 수인선",,10~15분이내,"관공서(옥련 우체국, 옥련동사무소) 병원(한마음한의원,서울치과) 대형상가(삼성디지털프라자) 공원(능허대공원) 기타(근린생활시설)","초등학교(옥련, 능허대,송도) 중학교(옥련,인송) 고등학교(송도, 해양과학고)",4,0,Y
A40671411,옥련삼성,자치관리,5,,위탁관리,11,(주)대승케이비엠,위탁관리,5,음식물쓰레기종량제,위탁관리,12,분무식,철근콘크리트구조,1850,단일계약,상주선임,P형,부스타방식,위탁관리,15,221,416,무,80,"관리사무소, 노인정, 주민공동시설, 어린이놀이터",5분이내,인천2호선,,20분초과,"관공서(옥련 우체국, 옥련동사무소) 병원(한마음한의원) 대형상가(삼성디지털프라자) 공원(능허대공원) 기타(근린생활시설)","초등학교(옥련, 능허대,송도) 중학교(옥련,인송) 고등학교(송도, 해양과학고) 대학교()",6,0,Y
A40671510,옥련서해,위탁관리,6,씨에스케이(주),위탁관리,10,(주)파워시스템,위탁관리,5,음식물쓰레기종량제,위탁관리,12,"도포식,분무식",철근콘크리트구조,1850,단일계약,상주선임,P형,고가수조식,위탁관리,17,198,429,무,93,"관리사무소, 노인정, 어린이놀이터, 휴게시설, 유치원",5분이내,"1호선, 인천1호선, 수인선",,5~10분이내,"관공서(옥련 우체국, 옥련동사무소) 병원(뿌리샘치과, 주행경희한의원) 공원(능허대공원) 기타(옥련시장, 근린생활시설)","초등학교(축현,옥련,능허대,송도) 중학교(옥련,인송) 고등학교(송도, 해양과학고)",0,25,Y
A40671609,옥련쌍용,위탁관리,6,주식회사 대승케이비엠,위탁관리,6,(주)파워시스템,위탁관리,5,차량수거방식,위탁관리,12,"도포식,분무식,독이식",철근콘크리트구조,1400,단일계약,상주선임,R형,고가수조식,위탁관리,14,71,503,무,107,"관리사무소, 노인정, 보육시설, 어린이놀이터, 자전거보관소",5분이내,"인천1호선, 수인선",,5~10분이내,"관공서(옥련 우체국, 옥련동사무소) 병원(뿌리샘치과) 공원(능허대공원) 기타(근린생활시설)","초등학교(옥련, 능허대,송도) 중학교(옥련,인송) 고등학교(송도, 해양과학고)",17,0,Y
A40671705,옥련아주,위탁관리,4,주식회사 대승케이비엠,위탁관리,4,(주)대승케이비엠,위탁관리,3,음식물쓰레기종량제,위탁관리,12,분무식,철근콘크리트구조,1050,단일계약,상주선임,P형,고가수조식,위탁관리,7,175,227,무,62,"관리사무소, 노인정, 어린이놀이터",5분이내,"2호선, 수인선",,5~10분이내,"관공서(옥련 우체국, 옥련동사무소) 병원(본치과) 공원(능허대공원) 기타(근린생활시설)","초등학교(옥련, 능허대,송도) 중학교(옥련,인송) 고등학교(송도, 해양과학고)",9,0,Y
A40671801,옥련2차우성,위탁관리,3,주식회사 대승케이비엠,위탁관리,4,주식회사 대승케이비엠,위탁관리,2,음식물쓰레기종량제,위탁관리,4,"도포식,분무식",철근콘크리트구조,700,단일계약,위탁선임,P형,부스타방식,위탁관리,8,50,206,무,42,"관리사무소, 노인정, 어린이놀이터, 휴게시설, 자전거보관소",5분이내,수인선,,5~10분이내,"관공서(옥련 우체국, 옥련동사무소) 병원(마음속내과) 공원(능허대공원) 기타(근린생활시설)","초등학교(옥련, 능허대,송도) 중학교(옥련,인송) 고등학교(송도, 해양과학고)",5,12,Y
