kaptCode,kaptName,codeMgr,kaptMgrCnt,kaptCcompany,codeSec,kaptdScnt,kaptdSecCom,codeClean,kaptdClcnt,codeGarbage,codeDisinf,kaptdDcnt,disposalType,codeStr,kaptdEcapa,codeEcon,codeEmgr,codeFalarm,codeWsupply,codeElev,kaptdEcnt,kaptdPcnt,kaptdPcntu,codeNet,kaptdCccnt,welfareFacility,kaptdWtimebus,subwayLine,subwayStation,kaptdWtimesub,convenientFacility,educationFacility,groundElChargerCnt,undergroundElChargerCnt,useYn
A40003703,항동연안아파트,자치관리,2,,자치관리,2,,자치관리,2,차량수거방식,위탁관리,10,"도포식,분무식",철근콘크리트구조,35,단일계약,상주선임,P형,고가수조식,,0,382,0,무,5,"관리사무소, 노인정, 어린이놀이터",5분이내,1호선,동인천역,,기타(인천종합어시장),초등학교(연안초등학교),0,0,Y
A40080101,비취맨션1단지아파트,위탁관리,5,주식회사 한빛종합관리,위탁관리,10,(주)대산스스템,위탁관리,4,차량수거방식,위탁관리,4,"분무식,독이식",철근콘크리트구조,2450,단일계약,상주선임,P형,고가수조식,위탁관리,5,260,0,무,68,"관리사무소, 노인정, 어린이놀이터, 휴게시설, 자전거보관소",5분이내,"1호선, 인천1호선, 수인선",,20분초과,관공서(연안동사무소) 병원(혜화당한의원) 대형상가(LG하이프라자) 기타(인천종합어시장),초등학교(연안초등학교),0,0,Y
A40080102,비취맨션3단지 아파트,위탁관리,5,광인산업(주),위탁관리,10,(주)조현시스템,위탁관리,6,차량수거방식,위탁관리,12,도포식,철근콘크리트구조,1700,단일계약,상주선임,P형,부스타방식,위탁관리,24,446,0,무,51,"관리사무소, 노인정, 보육시설, 어린이놀이터, 자전거보관소",5분이내,,,,관공서(연안동사무소) 병원(혜화당한의원) 대형상가(LG하이프라자) 기타(인천종합어시장),초등학교(연안초등학교),0,0,Y
A40080104,비취맨션2단지 아파트,위탁관리,7,(주)화신지엠에스,위탁관리,12,(주)세계보안관리시스템,위탁관리,5,차량수거방식,위탁관리,12,분무식,철근콘크리트구조,2450,종합계약,상주선임,P형,고가수조식,위탁관리,12,420,0,무,25,,5~10분이내,,,20분초과,,,0,0,Y
A40007001,신생 삼성 아파트,위탁관리,4,주식회사 대승케이비엠,위탁관리,4,대승케이비엠,위탁관리,3,음식물쓰레기종량제,위탁관리,4,"분무식,독이식",철근콘크리트구조,1190,단일계약,위탁선임,P형,고가수조식,위탁관리,6,55,286,무,54,"관리사무소, 노인정, 어린이놀이터, 자전거보관소",5분이내,"1호선, 수인선",,10~15분이내,"관공서(인천 중구청) 병원(인하대병원) 대형상가(E-마트) 공원(월미공원, 자유공원)",초등학교(신광) 중학교(송도) 고등학교(인천여상),0,7,Y
A40009001,답동 로얄 아파트,자치관리,2,,자치관리,2,,자치관리,1,음식물쓰레기종량제,위탁관리,12,"도포식,분무식",경량철골구조,350,단일계약,위탁선임,P형,고가수조식,위탁관리,4,30,111,무,26,"관리사무소, 노인정, 어린이놀이터, 휴게시설, 자전거보관소",5분이내,"1호선, 수인선",,5~10분이내,"관공서(인천 중구청, 중부경찰서) 병원(명성의원) 대형상가(E-마트) 공원(답동소공원) 기타(가톨릭회관,답동성당)",초등학교(신흥) 중학교(송도중) 고등학교(인천여상),0,3,Y
A40010101,신흥 대림 아파트,위탁관리,4,한국주택시설관리(주),위탁관리,4,(주)상일테크,위탁관리,2,음식물쓰레기종량제,위탁관리,4,"도포식,분무식,독이식",철근콘크리트구조,800,단일계약,위탁선임,R형,고가수조식,위탁관리,5,126,134,유,52,"관리사무소, 노인정, 어린이놀이터, 자전거보관소",5분이내,"1호선, 수인선",,5~10분이내,"관공서(대한지적공사,신흥동사무소) 병원(성애의원) 대형상가(하이마트) 공원(율목공원) 기타(E마트)",초등학교(신광초등학교) 중학교(송도중학교) 고등학교(인천여자상업고등학교),8,0,Y
A40010102,신흥 풍림 아파트,위탁관리,4,주)CSK,위탁관리,4,코리아시스템,위탁관리,2,거점장비수거방식,위탁관리,10,"도포식,분무식",철근콘크리트구조,1270,종합계약,위탁선임,P형,고가수조식,위탁관리,8,67,151,무,44,"관리사무소, 노인정, 어린이놀이터",5분이내,"1호선, 수인선",,5~10분이내,"관공서(대한지적공사,신흥동사무소) 병원(신흥의원) 대형상가(하이마트-동인천점) 기타(E마트-동인천점)",초등학교(선광초등학교) 중학교(송도중학교) 고등학교(인천여자상업고등학교),0,5,Y
A40010103,신흥 경남아너스빌 아파트,위탁관리,5,주식회사 푸른종합주택관리,위탁관리,4,(주)파워시스템,위탁관리,3,차량수거방식,위탁관리,12,"도포식,분무식",철근콘크리트구조,2300,단일계약,상주선임,GR형,부스타방식,위탁관리,8,294,139,무,106,"관리사무소, 노인정, 어린이놀이터, 자전거보관소",5~10분이내,수인선,,,"관공서(대한지적공사,신흥동사무소) 병원(신흥의원) 대형상가(하이마트-동인천점) 기타(E마트)",초등학교(선광초등학교) 중학교(송도중학교) 고등학교(인천여자상업고등학교),0,12,Y
A10026143,인천 신흥 누리타워,위탁관리,2,신한영주택관리(주),위탁관리,2,신한영주택관리,위탁관리,1,음식물쓰레기종량제,위탁관리,12,분무식,철골철근콘크리트구조,1050,종합계약,상주선임,P형,고가수조식,위탁관리,3,6,65,,16,관리사무소,5분이내,수인선,,5~10분이내,,,0,0,Y
A40010201,신흥 삼익 아파트,위탁관리,4,(주)화신지엠에스,자치관리(직영),4,,자치관리,2,음식물쓰레기종량제,위탁관리,6,분무식,철근콘크리트구조,750,종합계약,위탁선임,P형,고가수조식,위탁관리,4,155,0,무,37,"관리사무소, 노인정, 어린이놀이터",5~10분이내,"1호선, 수인선",경인전철1호선 / 수인선,15~20분이내,"관공서(대한지적공사,신흥동사무소,국민건강공단 중부지사) 병원(정치과의원) 대형상가(삼성디지털프라자-동인천점) 기타(E마트)",초등학교(신광초등학교) 중학교(송도중학교) 고등학교(인천여자상업고등학교),0,0,Y
A10023248,인천유림노르웨이숲,위탁관리,6,국제경보산업(주),위탁관리,4,(주)상일테크,위탁관리,6,,관리방식미정,,,철골콘크리트구조,5200,종합계약,상주선임,GR형,부스타방식,위탁관리,12,13,673,유,130,"관리사무소, 노인정, 보육시설, 주민공동시설, 어린이놀이터, 휴게시설, 자전거보관소",5분이내,수인선,,15~20분이내,,초등학교(),1,25,Y
A40010301,신흥 항운 아파트,자치관리,1,,위탁관리,0,,위탁관리,1,차량수거방식,자치관리,12,"분무식,기구부착식",철근콘크리트구조,35,기타,선정안함,P형,수도직결식,,0,224,0,무,10,"관리사무소, 노인정, 어린이놀이터",5분이내,,,,병원(인하대병원),초등학교(신선) 중학교(신흥중),0,0,Y
A40010302,신흥아이파크 아파트,위탁관리,8,에이제이대원 주식회사,위탁관리,22,대승케이비엠,위탁관리,13,음식물쓰레기종량제,위탁관리,4,"분무식,독이식",철근콘크리트구조,3250,단일계약,상주선임,R형,부스타방식,위탁관리,30,264,1110,무,254,"관리사무소, 노인정, 보육시설, 어린이놀이터, 자전거보관소, 기타",5~10분이내,"1호선, 수인선",,10~15분이내,병원(인하대병원) 대형상가(이마트),"초등학교(신광) 중학교(신흥중,신흥여중)",0,28,Y
A40014001,뉴월드아파트,위탁관리,2,에이비엠(주),위탁관리,2,에이비엠(주),위탁관리,1,차량수거방식,위탁관리,12,"도포식,분무식",철근콘크리트구조,135,기타,위탁선임,P형,고가수조식,위탁관리,2,76,31,무,19,"관리사무소, 노인정, 어린이놀이터, 자전거보관소",5분이내,"1호선, 수인선",,5~10분이내,"관공서(동사무소) 병원(유비스병원, 인하대병원) 대형상가(홈플러스, 이마트)","초등학교(신광초) 중학교(광성중) 고등학교(광성고,중앙여상) 대학교(인하대)",2,2,Y
A10021200,북성동 선광아파트,위탁관리,3,서림폴리텍 주식회사,위탁관리,,인앤인주택관리(주),위탁관리,1,차량수거방식,위탁관리,4,분무식,철골콘크리트구조,450,단일계약,위탁선임,P형,고가수조식,위탁관리,2,41,37,무,1,"관리사무소, 어린이놀이터, 휴게시설, 기타",5분이내,"1호선, 2호선","인천1호선, 수인분당선",5분이내,,,2,0,Y
A40022101,송월 아파트,위탁관리,4,신화비엠씨(주),위탁관리,2,신화비엠씨,위탁관리,01,음식물쓰레기종량제,위탁관리,9,"도포식,분무식",철근콘크리트구조,450,단일계약,위탁선임,P형,부스타방식,,0,170,0,,16,"관리사무소, 노인정, 어린이놀이터",5분이내,1호선,인천역,10~15분이내,관공서(만석동우체국) 병원(민중의원) 공원(근린공원) 기타(인천기상대),초등학교(송월초등교) 고등학교(인일여고),0,0,Y
A10020390,송월남경포브아파트,위탁관리,3,씨에스케이(주),위탁관리,,대승케이비엠,자치관리(직영),1,기타,위탁관리,12,분무식,철골철근콘크리트구조,850,단일계약,위탁선임,P형,부스타방식,위탁관리,4,45,97,무,16,어린이놀이터,,"1호선, 수인선",,,,,0,0,Y
A10020866,영종국제도시 서희스타힐스,위탁관리,,미래티엠에스주식회사,,,,,,,,,,,,,,,,,0,,,,,,5분이내,,,5분이내,,,0,0,Y
A10020867,영종국제도시 화성파크드림 오션브릿지,위탁관리,6,(주)목성엔지니어링,위탁관리(직영+위탁),,(주)목성엔지니어링,위탁관리(직영+위탁),6,음식물쓰레기종량제,위탁관리,12,"도포식,분무식",철근콘크리트구조,4200,단일계약,상주선임,R형,부스타방식,위탁관리,22,0,858,유,347,"관리사무소, 노인정, 보육시설, 문고, 주민공동시설, 어린이놀이터, 휴게시설, 유치원, 커뮤니티공간, 자전거보관소",5분이내,,,15~20분이내,,,0,35,Y
A10021036,영종국제도시수자인아파트,위탁관리,5,(주)무림하우징,위탁관리,,주식회사 상일테크,위탁관리,5,차량수거방식,위탁관리,12,"도포식,분무식,독이식",철근콘크리트구조,2550,종합계약,상주선임,GR형,부스타방식,위탁관리,18,2,573,유,311,"관리사무소, 노인정, 보육시설, 문고, 주민공동시설, 어린이놀이터, 휴게시설, 커뮤니티공간, 자전거보관소, 기타",5분이내,,,5~10분이내,,,0,23,Y
