kaptCode,kaptName,codeMgr,kaptMgrCnt,kaptCcompany,codeSec,kaptdScnt,kaptdSecCom,codeClean,kaptdClcnt,codeGarbage,codeDisinf,kaptdDcnt,disposalType,codeStr,kaptdEcapa,codeEcon,codeEmgr,codeFalarm,codeWsupply,codeElev,kaptdEcnt,kaptdPcnt,kaptdPcntu,codeNet,kaptdCccnt,welfareFacility,kaptdWtimebus,subwayLine,subwayStation,kaptdWtimesub,convenientFacility,educationFacility,groundElChargerCnt,undergroundElChargerCnt,useYn
A10022532,더샵 광양베이센트,위탁관리,7,주식회사 무진종합관리,위탁관리,,주)무진종합관리,위탁관리(직영+위탁),8,차량수거방식,위탁관리,3,분무식,철근콘크리트구조,5000,종합계약,상주선임,R형,부스타방식,위탁관리,25,1124,23,유,404,"관리사무소, 노인정, 보육시설, 문고, 주민공동시설, 어린이놀이터, 휴게시설, 유치원, 커뮤니티공간, 자전거보관소",5~10분이내,수인선,,,,,0,47,Y
A10022614,광양 한라비발디 센트럴마크,위탁관리,7,미래공영 주식회사,위탁관리,4,주식회사 무진종합관리,위탁관리,8,차량수거방식,위탁관리,3,"도포식,분무식",철근콘크리트구조,3400,종합계약,상주선임,R형,부스타방식,위탁관리,20,0,1028,유,356,"관리사무소, 노인정, 보육시설, 문고, 주민공동시설, 어린이놀이터, 휴게시설, 커뮤니티공간, 자전거보관소, 기타",5분이내,,,,,,0,21,Y
A10022910,황금 푸르지오 더센트럴,위탁관리,6,주식회사 케이비개발,위탁관리,3,(주)케이비개발,위탁관리,6,차량수거방식,위탁관리,3,"도포식,분무식,독이식",철골철근콘크리트구조,4000,종합계약,상주선임,GR형,부스타방식,위탁관리,15,4,836,유,339,"관리사무소, 노인정, 보육시설, 문고, 주민공동시설, 어린이놀이터, 휴게시설, 커뮤니티공간, 자전거보관소",5~10분이내,,,,,,0,44,Y
A10022610,광양더샵프리모성황아파트,위탁관리,5,포스메이트,위탁관리,4,그린환경개발,위탁관리,5,차량수거방식,,,,철근콘크리트구조,3250,종합계약,상주선임,R형,부스타방식,위탁관리,26,3,682,유,290,"관리사무소, 노인정, 보육시설, 주민공동시설, 어린이놀이터, 커뮤니티공간, 자전거보관소",5분이내,,,,"관공서(광양시청) 병원(광양사랑병원, 광양강남병원, 광양 서율병원) 대형상가(홈플러스) 공원(마동 근린공원, 호수공원)",초등학교(성황초등학교),0,26,Y
A10023671,광양센트럴자이,위탁관리,6,주식회사 충원,위탁관리,4,(주)충원,위탁관리,7,차량수거방식,위탁관리,3,분무식,철근콘크리트구조,4000,종합계약,상주선임,R형,부스타방식,위탁관리,20,0,935,유,350,"관리사무소, 노인정, 주민공동시설, 어린이놀이터, 유치원, 커뮤니티공간, 자전거보관소, 기타",5분이내,,,,"관공서(골약동주민자치센터, 골약건강생활지원센터) 병원(사랑병원)",초등학교(성황초등학교) 중학교(성황중학교),0,53,Y
A10024081,광양 푸르지오 더 퍼스트,위탁관리,8,주식회사 세종종합관리,위탁관리,6,(주)세종종합관리,위탁관리,13,차량수거방식,위탁관리,3,분무식,철골철근콘크리트구조,5002,종합계약,상주선임,R형,부스타방식,위탁관리,27,11,1482,유,335,"관리사무소, 노인정, 어린이놀이터, 휴게시설, 유치원, 커뮤니티공간, 자전거보관소, 기타",5분이내,,,,,초등학교() 중학교(),0,30,Y
A10022160,중마동진아리채1차아파트,자치관리,2,,,,,자치관리,1,,위탁관리,,,철근콘크리트구조,950,종합계약,위탁선임,R형,부스타방식,위탁관리,5,12,128,무,51,,5분이내,,,,,,0,3,Y
A10022168,광양수하임1차아파트,위탁관리,3,목송산업개발(주),위탁관리,,목송산업개발,위탁관리,1,차량수거방식,위탁관리,2,"도포식,분무식",철근콘크리트구조,1100,종합계약,위탁선임,R형,부스타방식,위탁관리,3,34,98,유,25,,5분이내,,,,,,0,3,Y
A10022361,광양산이고운 마린파크,위탁관리,5,(주)에이원,위탁관리,,전원종합관리(주),위탁관리(직영+위탁),5,차량수거방식,위탁관리,3,분무식,철근콘크리트구조,4100,종합계약,상주선임,GR형,부스타방식,위탁관리,12,68,688,유,175,"관리사무소, 노인정, 보육시설, 문고, 주민공동시설, 어린이놀이터, 휴게시설, 커뮤니티공간, 자전거보관소, 기타",5분이내,,,,관공서(광양시청) 병원(사랑병원) 백화점(순천NC) 대형상가(홈플러스) 공원(해양) 기타(),"초등학교(중진) 중학교(중동, 백운) 고등학교(중마, 백운) 대학교(순천)",16,0,Y
A10023399,광양수하임2차아파트,위탁관리,3,목송산업개발(주),위탁관리,2,목송산업개발(주),위탁관리,1,차량수거방식,위탁관리,3,"도포식,분무식",철골철근콘크리트구조,1100,종합계약,상주선임,GR형,부스타방식,위탁관리,4,213,42,무,45,"관리사무소, 주민공동시설",5분이내,,,,,,3,0,Y
A10027080,중마2차 진아리채 아파트,위탁관리,4,주식회사 세종종합관리,위탁관리,4,세종종합관리,위탁관리,4,차량수거방식,위탁관리,3,"도포식,분무식",철골철근콘크리트구조,3300,단일계약,상주선임,R형,부스타방식,위탁관리,14,64,680,유,154,"관리사무소, 노인정, 보육시설, 문고, 주민공동시설, 어린이놀이터, 휴게시설, 유치원, 커뮤니티공간, 자전거보관소",5분이내,,,,,,15,0,Y
A10027459,e편한세상 광양,위탁관리,5,(주)대호안전관리공사,위탁관리,4,주식회사 대호안전관리공사,위탁관리,4,차량수거방식,위탁관리,3,"도포식,분무식",철근콘크리트구조,2450,단일계약,상주선임,R형,부스타방식,위탁관리,10,40,504,유,154,"관리사무소, 노인정, 보육시설, 문고, 주민공동시설, 어린이놀이터, 휴게시설, 자전거보관소",5~10분이내,,,,관공서() 병원() 대형상가() 공원(),초등학교() 중학교() 고등학교(),0,11,Y
A54570101,성호3차,위탁관리,3,성원산업개발(주),위탁관리,4,성원산업개발,위탁관리,2,차량수거방식,위탁관리,3,"도포식,분무식",철근콘크리트구조,1185,종합계약,위탁선임,P형,고가수조식,위탁관리,11,156,248,무,108,"관리사무소, 노인정, 주민공동시설, 어린이놀이터, 자전거보관소",5~10분이내,,,,관공서(광양시청) 병원(강남병원) 대형상가(홈플러스) 공원(중동공원) 기타(여객자동차터미널),초등학교(중동초교) 중학교(중동중교),5,4,Y
A54570102,성호1차,위탁관리,6,(주)대호안전관리공사,위탁관리,8,(주)대호안전관리공사,위탁관리,7,차량수거방식,위탁관리,3,"분무식,독이식",철근콘크리트구조,2750,종합계약,상주선임,P형,고가수조식,위탁관리,16,452,560,무,80,"관리사무소, 노인정, 주민공동시설, 어린이놀이터, 휴게시설",5분이내,,,,관공서(광양시청) 병원(강남병원) 대형상가(삼성홈플러스) 공원(중동공원) 기타(여객자동차터미널),초등학교(중동초교) 중학교(백운중교),0,0,Y
