kaptCode,kaptName,codeMgr,kaptMgrCnt,kaptCcompany,codeSec,kaptdScnt,kaptdSecCom,codeClean,kaptdClcnt,codeGarbage,codeDisinf,kaptdDcnt,disposalType,codeStr,kaptdEcapa,codeEcon,codeEmgr,codeFalarm,codeWsupply,codeElev,kaptdEcnt,kaptdPcnt,kaptdPcntu,codeNet,kaptdCccnt,welfareFacility,kaptdWtimebus,subwayLine,subwayStation,kaptdWtimesub,convenientFacility,educationFacility,groundElChargerCnt,undergroundElChargerCnt,useYn
A10022777,여수블루써밋,위탁관리,3,주식회사 솔루셔스,위탁관리,1,(주)솔루셔스,위탁관리,1,,위탁관리,3,분무식,철골철근콘크리트구조,2500,종합계약,상주선임,R형,부스타방식,위탁관리,3,237,0,유,64,"관리사무소, 주민공동시설",5분이내,,,,관공서(여수경찰서) 병원(전남병원) 백화점(여수 이마트) 대형상가(여수식자재마트) 공원(오동도),초등학교(여수중앙초등학교) 중학교(여수중학교) 고등학교(여수고등학교) 대학교(전남대학교),10,0,Y
A10025802,여수수정 행복주택,위탁관리,1,씨에스케이(주),위탁관리,2,엘림에스(유),위탁관리,1,차량수거방식,위탁관리,2,"도포식,분무식",철근콘크리트구조,650,종합계약,위탁선임,R형,부스타방식,위탁관리,3,62,47,유,33,"관리사무소, 노인정, 주민공동시설, 어린이놀이터, 자전거보관소",5분이내,,,,,,0,0,Y
A10020410,더로제아델리움해양공원,위탁관리,1,주식회사 대명주택관리,위탁관리,,주식회사 대명주택관리,위탁관리,1,거점장비수거방식,관리방식미정,,,철근콘크리트구조,1810,단일계약,상주선임,R형,부스타방식,위탁관리,4,0,256,유,67,,,,,,,,0,0,Y
A10024364,여수관문행복주택,위탁관리,2,진흥개발(주),위탁관리,2,성원산업개발(주),위탁관리,1,음식물쓰레기종량제,위탁관리,2,"분무식,기구부착식",철골콘크리트구조,876,단일계약,위탁선임,R형,부스타방식,위탁관리,3,117,0,유,53,"관리사무소, 주민공동시설, 어린이놀이터, 자전거보관소",5분이내,,,,관공서() 병원() 공원(),중학교() 고등학교(),1,0,Y
A10025320,여수엑스포 골드클래스아파트,위탁관리,3,경원문화(주),위탁관리,2,경원문화(주),위탁관리,3,차량수거방식,위탁관리,2,분무식,철근콘크리트구조,1860,단일계약,상주선임,R형,부스타방식,위탁관리,14,43,307,유,123,"관리사무소, 노인정, 문고, 주민공동시설, 어린이놀이터, 커뮤니티공간, 자전거보관소, 기타",5분이내,,,,"관공서(여수교육지원청까지 216m) 병원(여수전남병원 2.2km) 백화점(없음) 대형상가(이마트 -2.9K) 공원(여수세계박람회엑스포공원 900m, 여수 해상케이블카 자산공원 800m) 기타(이순신광장 800m)","초등학교(여수중앙초등학교까지 거리 263m) 중학교(여수문수중학교 -특목고진학 12명) 고등학교(여수고등학교까지 358m/ 여수여자고등학교까지 233m) 대학교(전남대학교 2.9km, 한영대학 2.8km)",3,0,Y
A55005001,한신아파트,자치관리,4,,자치관리,4,없음,자치관리,2,차량수거방식,위탁관리,3,독이식,철근콘크리트구조,1150,단일계약,위탁선임,P형,고가수조식,위탁관리,17,202,61,무,73,"관리사무소, 노인정, 어린이놀이터, 자전거보관소",10~15분이내,,,,관공서(중앙동주민센터) 공원(여수구항공원) 기타(여수기상대),초등학교(여수중앙초교) 중학교(여수여중교) 고등학교(여수여고교),2,0,Y
A55005002,여수고소시영,자치관리,2,,,0,,,0,,,,,,,,,,,,0,,,,22,"관리사무소, 노인정, 어린이놀이터",5~10분이내,,,,,,0,0,Y
A10023351,메트하임,관리방식미정,4,,관리방식미정,0,,자치관리,1,차량수거방식,관리방식미정,,,철근콘크리트구조,990,기타,위탁선임,R형,부스타방식,위탁관리,4,127,110,유,61,"관리사무소, 주민공동시설",5분이내,,,,"관공서(충무동주민센터, 연등119안전센터, 광무파출소) 병원(여수전남병원)",초등학교(진남초등학교),6,0,Y
A10020854,브리온 오션프랑 테라스,위탁관리,,씨엔에스 주식회사,,,,,,,,,,,,,,,,,0,,,,,,5~10분이내,,,,,,0,0,Y
A55015001,럭키광무아파트,자치관리,3,,자치관리,4,,자치관리,2,음식물쓰레기종량제,위탁관리,3,"도포식,분무식",철근콘크리트구조,1300,단일계약,위탁선임,P형,부스타방식,위탁관리,16,257,0,무,60,"관리사무소, 노인정, 주민공동시설, 어린이놀이터",5~10분이내,,,,관공서(광림동주민센터) 병원(여수전남병원) 공원(진남공원),초등학교(여수진남초교) 대학교(한영대학),6,0,Y
