kaptCode,kaptName,codeMgr,kaptMgrCnt,kaptCcompany,codeSec,kaptdScnt,kaptdSecCom,codeClean,kaptdClcnt,codeGarbage,codeDisinf,kaptdDcnt,disposalType,codeStr,kaptdEcapa,codeEcon,codeEmgr,codeFalarm,codeWsupply,codeElev,kaptdEcnt,kaptdPcnt,kaptdPcntu,codeNet,kaptdCccnt,welfareFacility,kaptdWtimebus,subwayLine,subwayStation,kaptdWtimesub,convenientFacility,educationFacility,groundElChargerCnt,undergroundElChargerCnt,useYn
A52680201,영암무등파크맨션,위탁관리,2,목송산업개발(주),위탁관리,2,,위탁관리,1,음식물쓰레기종량제,위탁관리,3,독이식,철근콘크리트구조,146,기타,위탁선임,P형,고가수조식,위탁관리,9,121,0,무,48,"관리사무소, 노인정, 어린이놀이터, 자전거보관소",5~10분이내,,,,,,5,0,Y
A10021624,영암남풍LH2단지,위탁관리,2,(주)대신주택관리,위탁관리,,(합)대홍,위탁관리,1,차량수거방식,자치관리,10,분무식,철골콘크리트구조,600,단일계약,위탁선임,R형,부스타방식,위탁관리,3,34,0,유,19,"관리사무소, 노인정, 주민공동시설, 기타",5분이내,,,,,,1,0,Y
A10023335,영암남풍LH1단지,위탁관리,2,(주)대신주택관리,위탁관리,2,(합)대홍,위탁관리,1,차량수거방식,,,,철근콘크리트구조,600,단일계약,위탁선임,R형,부스타방식,위탁관리,3,111,0,유,44,"관리사무소, 노인정, 주민공동시설, 어린이놀이터, 커뮤니티공간, 자전거보관소",5~10분이내,,,,관공서() 병원(),초등학교() 중학교() 고등학교(),1,0,Y
A10021625,영암청송2차드림빌,위탁관리,1,(주)보훈이엔지,,,,위탁관리,1,기타,위탁관리,2,"도포식,분무식",철골철근콘크리트구조,900,단일계약,위탁선임,P형,부스타방식,위탁관리,5,138,0,무,24,,5~10분이내,,,,,,3,0,Y
A10022305,영암영신아파트,위탁관리,,유달종합관리(주),,,,,,,,,,,,,,,,,0,,,,,,5~10분이내,,,,,,0,0,Y
A10023139,대불렉시안파크타운,위탁관리,5,주식회사 케이비개발,위탁관리,4,주식회사 케이비개발,위탁관리,6,차량수거방식,자치관리,3,분무식,철골철근콘크리트구조,2300,단일계약,상주선임,GR형,부스타방식,위탁관리,15,274,509,유,124,"관리사무소, 노인정, 보육시설, 문고, 주민공동시설, 어린이놀이터, 휴게시설, 커뮤니티공간, 자전거보관소",5분이내,,,,,,0,10,Y
A10025080,영암용앙3LH,위탁관리,2,성원산업개발(주),위탁관리,2,진흥개발(주),위탁관리,2,음식물쓰레기종량제,관리방식미정,0,,철근콘크리트구조,850,단일계약,위탁선임,R형,부스타방식,위탁관리,4,133,0,유,25,"관리사무소, 어린이놀이터, 휴게시설, 커뮤니티공간, 자전거보관소",5~10분이내,,,,,초등학교(대불초등학교),1,0,Y
A10025338,영암삼호대불산단 중흥S-클래스 리버티아파트,위탁관리,10,드림씨엔씨 유한회사,위탁관리,6,드림씨엔씨 유한회사,위탁관리,12,음식물쓰레기종량제,위탁관리,3,"도포식,독이식",철근콘크리트구조,6250,종합계약,상주선임,R형,부스타방식,위탁관리,74,338,1334,유,423,"관리사무소, 노인정, 보육시설, 문고, 주민공동시설, 어린이놀이터, 휴게시설, 커뮤니티공간, 자전거보관소",5분이내,,,,"관공서(영암소방서, 삼호읍사무소, 삼호지구대)",초등학교(대불초등학교),43,0,Y
A10027550,영암 대불렉시안파크뷰,위탁관리,1,(주)한국종합주택관리,위탁관리,2,(주)한국종합주택관리,위탁관리,1,차량수거방식,자치관리,2,분무식,철골철근콘크리트구조,909,단일계약,위탁선임,R형,부스타방식,위탁관리,5,174,54,무,26,"관리사무소, 노인정, 어린이놀이터, 휴게시설, 자전거보관소",5분이내,,,,,,9,3,Y
A52670301,삼호빌라트,자치관리,3,,,2,,,1,,,,,,454,종합계약,,,,,2,118,,,,,,,,,,,0,0,Y
A52670302,삼호퀸스빌1차,위탁관리,1,(유)금강종합산업,위탁관리,2,(유)금강종합산업,위탁관리,1,차량수거방식,관리방식미정,1,,철근콘크리트구조,755,단일계약,위탁선임,P형,고가수조식,위탁관리,4,204,0,무,16,"관리사무소, 노인정, 주민공동시설, 어린이놀이터, 휴게시설, 자전거보관소",5분이내,,,,관공서(읍사무소),초등학교(삼호중앙초등학교) 중학교(삼호중학교) 고등학교(삼호고등학교) 대학교(새한대학교),5,0,Y
A52670303,삼호퀸스빌2차,위탁관리,2,,위탁관리,2,유달종합관리(주),위탁관리,3,차량수거방식,관리방식미정,3,독이식,철근콘크리트구조,1175,단일계약,위탁선임,P형,부스타방식,위탁관리,6,212,214,무,33,"관리사무소, 노인정, 어린이놀이터, 자전거보관소",10~15분이내,,,,관공서(읍사무소) 대형상가(농협하나로마트) 공원(삼호수변공원) 기타(공항),초등학교(삼호중앙초등학교) 중학교(삼호중학교) 고등학교(삼호고등학교) 대학교(대불대학교),10,6,Y
A52670304,용앙휴먼시아,위탁관리,5,주택관리공단(주),위탁관리,4,그린환경개발,위탁관리,2,차량수거방식,위탁관리,3,분무식,철근콘크리트구조,2600,단일계약,상주선임,R형,부스타방식,위탁관리,12,322,127,무,48,"관리사무소, 노인정, 보육시설, 문고, 주민공동시설, 어린이놀이터, 휴게시설, 자전거보관소",5분이내,,,,"관공서(삼호읍사무소) 병원(우리의원) 대형상가(농협하나로마트) 기타(삼호농협, 삼호우체국)",초등학교(삼호중앙초등학교) 중학교(삼호중학교) 고등학교(삼호고등학교) 대학교(세한대학교),0,0,Y
A52670308,용앙2휴먼시아,위탁관리,5,유달종합관리주식회사,위탁관리,4,(유)금강종합산업,위탁관리,3,차량수거방식,위탁관리,3,도포식,철근콘크리트구조,2600,단일계약,상주선임,GR형,부스타방식,위탁관리,10,171,216,무,66,"관리사무소, 노인정, 보육시설, 주민공동시설, 어린이놀이터, 자전거보관소, 기타",5분이내,,,,"관공서(삼호읍사무소,삼호읍우체국) 기타(삼호버스터미널)",초등학교(중앙초교) 중학교(삼호중) 대학교(세한대학교),0,0,Y
A52670310,영암삼호렉시안,위탁관리,8,(주)한국종합주택관리,위탁관리,2,대신종합개발,위탁관리,3,음식물쓰레기종량제,위탁관리,4,도포식,철근콘크리트구조,1845,단일계약,상주선임,R형,수도직결식,위탁관리,15,100,192,,50,"관리사무소, 노인정, 보육시설, 어린이놀이터, 자전거보관소",5~10분이내,,,,,초등학교(삼호중앙초등학교) 중학교(삼호중학교) 고등학교(삼호고등학교) 대학교(세한대학교),0,6,Y
A52689701,한양파크빌1차,위탁관리,1,유달종합관리(주),위탁관리,2,유달종합관리(주),위탁관리,1,차량수거방식,위탁관리,1,,철근콘크리트구조,745,단일계약,위탁선임,P형,고가수조식,위탁관리,6,124,39,무,40,"관리사무소, 노인정, 어린이놀이터",15~20분이내,,,,관공서(2),초등학교(2) 중학교(1) 고등학교(1) 대학교(1),2,2,Y
A52689702,삼호종원,위탁관리,2,유달종합관리(주),위탁관리,2,유달종합관리,위탁관리,1,차량수거방식,자치관리,2,독이식,철근콘크리트구조,500,단일계약,위탁선임,P형,고가수조식,위탁관리,10,150,69,무,40,"관리사무소, 노인정, 어린이놀이터",5~10분이내,,,,관공서(읍사무소) 병원() 공원(),초등학교(삼호중앙초등학교) 중학교(삼호중학교) 고등학교(삼호고등학교) 대학교(새한대학교),5,0,Y
A52689703,대불금호아파트,자치관리,3,,자치관리,6,,자치관리,3,음식물쓰레기종량제,위탁관리,3,기구부착식,철근콘크리트구조,2250,단일계약,상주선임,P형,고가수조식,위탁관리,25,327,258,무,15,"관리사무소, 노인정, 어린이놀이터, 휴게시설, 자전거보관소",5분이내,,,,관공서(읍사무소) 병원() 기타(공항),초등학교(대불초등학교) 중학교(삼호중학교) 대학교(대불대학교),4,0,Y
A10023418,삼호 고운라피네더퍼스트,위탁관리,3,주식회사 대명주택관리,위탁관리,2,(주)대명주택관리,위탁관리,3,차량수거방식,자치관리,3,분무식,철근콘크리트구조,1645,종합계약,상주선임,R형,부스타방식,위탁관리,9,84,271,유,112,"관리사무소, 노인정, 보육시설, 어린이놀이터, 자전거보관소",5분이내,,,,관공서() 병원(),초등학교() 중학교(),0,8,Y
