kaptCode,kaptName,codeMgr,kaptMgrCnt,kaptCcompany,codeSec,kaptdScnt,kaptdSecCom,codeClean,kaptdClcnt,codeGarbage,codeDisinf,kaptdDcnt,disposalType,codeStr,kaptdEcapa,codeEcon,codeEmgr,codeFalarm,codeWsupply,codeElev,kaptdEcnt,kaptdPcnt,kaptdPcntu,codeNet,kaptdCccnt,welfareFacility,kaptdWtimebus,subwayLine,subwayStation,kaptdWtimesub,convenientFacility,educationFacility,groundElChargerCnt,undergroundElChargerCnt,useYn
A10023175,장성수산LH1단지,위탁관리,1,주식회사 케이비개발,위탁관리,2,주식회사 케이비개발,위탁관리,1,차량수거방식,관리방식미정,,,철골철근콘크리트구조,500,단일계약,위탁선임,R형,부스타방식,위탁관리,3,117,0,유,39,"관리사무소, 노인정, 주민공동시설, 어린이놀이터, 자전거보관소",5분이내,,,,관공서() 병원(),초등학교() 중학교(),1,0,Y
A10028015,부강2차아트빌,위탁관리,1,,자치관리(직영),2,,자치관리,1,차량수거방식,위탁관리,1,독이식,철근콘크리트구조,480,종합계약,위탁선임,P형,부스타방식,위탁관리,4,70,50,무,20,"관리사무소, 노인정, 어린이놀이터, 휴게시설",20분초과,,,,,초등학교(성산초) 중학교() 고등학교(),2,1,Y
A10020798,대광로제비앙 장성 센텀 스카이,위탁관리,,(주)대호안전관리공사,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,0,0,Y
A10021634,장성 엘리젠아파트,위탁관리,1,목송산업개발(주),위탁관리,,목송산업개발주식회사,위탁관리,1,차량수거방식,자치관리,4,분무식,철근콘크리트구조,1341,종합계약,위탁선임,R형,압력탱크식,위탁관리,4,73,67,유,32,"관리사무소, 노인정, 어린이놀이터, 자전거보관소",5분이내,,,,,,0,0,Y
A10022026,해주그린아파트,위탁관리(직영+위탁),,,,,,,,,,,,,,,,,,,0,,,,,,5~10분이내,,,,,,0,0,Y
A10022048,부강아트빌,위탁관리(직영+위탁),,,,,,,,,,,,,,,,,,,0,,,,,,5~10분이내,,,,,,0,0,Y
A10022250,장성청담웰피아아파트,위탁관리,,진흥개발(주),,,,,,,,,,,,,,,,,0,,,,,,5분이내,,,,,,0,0,Y
A10025234,장성해광샹그릴라아파트,위탁관리,2,목송산업개발(주),위탁관리,2,,위탁관리,1,차량수거방식,위탁관리,2,,철골철근콘크리트구조,1350,단일계약,상주선임,R형,부스타방식,위탁관리,14,136,135,유,36,"관리사무소, 노인정, 주민공동시설, 어린이놀이터",5~10분이내,,,20분초과,,,6,0,Y
A10025777,장성영천지구 공공실버주택,위탁관리,1,(주)에이원,관리방식미정,0,,위탁관리,1,차량수거방식,관리방식미정,1,독이식,철근콘크리트구조,850,종합계약,위탁선임,GR형,부스타방식,위탁관리,3,42,0,무,43,"관리사무소, 노인정, 주민공동시설, 자전거보관소",5~10분이내,,,5~10분이내,"관공서(장성군청,장성읍사무소,등기소,장성경찰서 인근위치) 병원(장성병원)",,0,0,Y
A51580001,영천주공아파트,위탁관리,4,주식회사 유일주택건설관리,위탁관리,4,(주)문경,위탁관리,2,차량수거방식,위탁관리,3,"도포식,독이식",철근콘크리트구조,800,단일계약,위탁선임,R형,부스타방식,위탁관리,10,253,0,무,22,"관리사무소, 노인정, 주민공동시설, 어린이놀이터, 자전거보관소",10~15분이내,,,10~15분이내,"관공서(장성군청) 병원(장성병원,장성헤원병원) 공원(체육공원) 기타(장성역)","초등학교(장성중앙초) 중학교(장성중,장성여중) 고등학교(장성고,장성실고)",0,0,Y
A51580002,영천휴먼시아2단지,위탁관리,5,(주)에이원,위탁관리,4,(주)에이원에스앤씨,위탁관리,3,차량수거방식,위탁관리,3,독이식,철근콘크리트구조,1350,단일계약,상주선임,R형,부스타방식,위탁관리,8,202,165,무,63,"관리사무소, 노인정, 보육시설, 문고, 주민공동시설, 어린이놀이터, 휴게시설, 자전거보관소",10~15분이내,,,,관공서(장성군청) 병원(장성병원) 공원(체육공원) 기타(장성역),"초등학교(장성중앙초) 중학교(장성중,장성여중) 고등학교(장성고,장성실고)",0,0,Y
A51580003,지아이장성나빌래,위탁관리,2,성원산업개발(주),위탁관리,2,성원산업개발,위탁관리,2,차량수거방식,위탁관리,1,기구부착식,철근콘크리트구조,975,단일계약,위탁선임,R형,부스타방식,위탁관리,14,227,0,유,26,"관리사무소, 노인정, 어린이놀이터, 자전거보관소",5~10분이내,,,10~15분이내,"관공서(장성군청) 병원(장성혜원병원) 기타(장성공용버스터미널,장성역)",초등학교(장성중앙초교) 중학교(장성여중교),5,0,Y
A10024459,장성삼계LH1단지,위탁관리,1,주식회사 한동종합관리,위탁관리,2,엘림에스,위탁관리,1,차량수거방식,자치관리,3,도포식,철골콘크리트구조,650,종합계약,위탁선임,GR형,압력탱크식,위탁관리,4,107,0,유,37,"관리사무소, 노인정, 주민공동시설, 어린이놀이터, 휴게시설, 커뮤니티공간, 자전거보관소",5~10분이내,,,,,,1,0,Y
A51575101,금광아파트,위탁관리,2,목송산업개발(주),위탁관리,2,목송산업개발,위탁관리,3,차량수거방식,위탁관리,3,도포식,철근콘크리트구조,900,단일계약,위탁선임,P형,고가수조식,위탁관리,5,196,56,무,14,"관리사무소, 노인정, 어린이놀이터, 자전거보관소",5분이내,,,,관공서(삼계면사무소),초등학교(사창초) 중학교(삼계중) 고등학교(삼계종합고),5,0,Y
