kaptCode,kaptName,codeMgr,kaptMgrCnt,kaptCcompany,codeSec,kaptdScnt,kaptdSecCom,codeClean,kaptdClcnt,codeGarbage,codeDisinf,kaptdDcnt,disposalType,codeStr,kaptdEcapa,codeEcon,codeEmgr,codeFalarm,codeWsupply,codeElev,kaptdEcnt,kaptdPcnt,kaptdPcntu,codeNet,kaptdCccnt,welfareFacility,kaptdWtimebus,subwayLine,subwayStation,kaptdWtimesub,convenientFacility,educationFacility,groundElChargerCnt,undergroundElChargerCnt,useYn
A10021714,성산아파트,위탁관리,500,(유)사랑주택관리,,,,자치관리,1,차량수거방식,위탁관리,3,도포식,철골콘크리트구조,500,단일계약,위탁선임,P형,부스타방식,위탁관리,0,50,115,무,20,,5~10분이내,,,,,,3,0,Y
A58570001,읍내휴먼시아주공,위탁관리,5,(유)사랑주택관리,위탁관리,4,,위탁관리,3,차량수거방식,위탁관리,3,,철골콘크리트구조,350,단일계약,상주선임,R형,부스타방식,위탁관리,13,419,53,무,46,"관리사무소, 노인정, 문고, 주민공동시설, 어린이놀이터, 유치원, 커뮤니티공간, 자전거보관소",5~10분이내,,,,관공서(고창소방) 병원(고창종합병원) 공원(생활체육테마공원),중학교(고창여자중학교) 고등학교(고창여자고등학교),0,0,Y
A58580701,고창 상원모양맨션,자치관리,3,,자치관리,2,,자치관리(직영),1,음식물쓰레기종량제,자치관리,1,분무식,철골콘크리트구조,204,단일계약,위탁선임,P형,고가수조식,위탁관리,3,63,17,무,26,,20분초과,,,20분초과,,,3,0,Y
A58580603,고창월곡주공,위탁관리,4,(유)사랑주택관리,위탁관리,0,,위탁관리,3,차량수거방식,위탁관리,3,분무식,철근콘크리트구조,650,단일계약,위탁선임,R형,고가수조식,위탁관리,8,203,59,무,32,"관리사무소, 노인정, 주민공동시설, 어린이놀이터, 자전거보관소",5분이내,,,,관공서() 병원() 공원(),초등학교() 중학교() 고등학교(),0,0,Y
A58580604,고창 온천마을 제일,위탁관리,11,(유)사랑주택관리,자치관리(직영),2,,자치관리,4,차량수거방식,위탁관리,3,"도포식,분무식",철근콘크리트구조,1700,단일계약,상주선임,R형,고가수조식,위탁관리,20,320,40,무,72,"관리사무소, 노인정, 보육시설, 어린이놀이터, 자전거보관소",5분이내,,,,"관공서(고창읍사무소,고창군청) 병원(고창병원) 공원(월곡공원)","초등학교(고창초등학교,고창남초등학교) 중학교(고창여자중학교,고창중학교) 고등학교(고창여자고등학교,고창고등학교,고창항공고등학교)",8,0,Y
A10026811,리안채아파트,위탁관리,1,(유)사랑주택관리,위탁관리,2,(유)사랑주택관리,위탁관리,1,음식물쓰레기종량제,위탁관리,,,철근콘크리트구조,650,단일계약,위탁선임,R형,부스타방식,위탁관리,17,245,0,무,53,,5분이내,,,5분이내,,,19,0,Y
A10021939,고창율계고령자복지아파트,위탁관리,4,삼양관리주식회사,,,,자치관리(직영),0,거점장비수거방식,관리방식미정,,,철근콘크리트구조,758,단일계약,위탁선임,GR형,부스타방식,위탁관리,4,34,0,유,37,"관리사무소, 주민공동시설, 자전거보관소",5~10분이내,,,,,,1,0,Y
A10020517,고창광신프로그레스아파트,위탁관리,3,미래공영 주식회사,위탁관리,,미래공영주식회사,위탁관리,2,거점장비수거방식,관리방식미정,4,,철골철근콘크리트구조,1360,종합계약,상주선임,R형,부스타방식,관리방식미정,4,103,173,유,87,"관리사무소, 노인정, 주민공동시설, 어린이놀이터, 휴게시설, 커뮤니티공간, 자전거보관소",,,,,관공서(고창읍사무소) 병원(고창병원) 대형상가(농협하나로마트),,14,0,Y
A10026225,선운프라자,위탁관리,4,(유)사랑주택관리,,,,위탁관리,1,음식물쓰레기종량제,위탁관리,3,"분무식,독이식",철근콘크리트구조,23280,단일계약,선정안함,R형,부스타방식,위탁관리,10,76,63,유,21,,5~10분이내,,,,,,5,2,Y
A58580302,고창성산현대,위탁관리,3,(유)사랑주택관리,자치관리,2,,자치관리,1,거점장비수거방식,위탁관리,3,분무식,철근콘크리트구조,600,기타,위탁선임,P형,부스타방식,위탁관리,9,90,98,무,24,"관리사무소, 노인정, 어린이놀이터, 휴게시설",5~10분이내,,,,관공서(고창경찰서) 병원(고창병원) 공원(새마을공원),초등학교(고창초) 중학교(고창여중) 고등학교(고창여고),7,0,Y
A10022920,고창황산국민임대아파트,위탁관리,4,삼양관리주식회사,관리방식미정,0,,자치관리(직영),1,차량수거방식,관리방식미정,,,철근콘크리트구조,550,단일계약,위탁선임,GR형,부스타방식,위탁관리,3,116,0,유,42,"관리사무소, 노인정, 주민공동시설, 어린이놀이터",5분이내,,,,관공서(고수면 행복지원센터) 병원(고수보건소) 기타(치안센터),초등학교(고수초등학교),2,0,Y
A10021950,고창무장국민임대아파트,위탁관리,4,삼양관리주식회사,,,,자치관리(직영),1,거점장비수거방식,관리방식미정,,,철근콘크리트구조,719,단일계약,위탁선임,GR형,부스타방식,위탁관리,3,116,0,유,38,"관리사무소, 노인정, 주민공동시설, 어린이놀이터, 자전거보관소",5~10분이내,,,,,,1,0,Y
