kaptCode,kaptName,codeMgr,kaptMgrCnt,kaptCcompany,codeSec,kaptdScnt,kaptdSecCom,codeClean,kaptdClcnt,codeGarbage,codeDisinf,kaptdDcnt,disposalType,codeStr,kaptdEcapa,codeEcon,codeEmgr,codeFalarm,codeWsupply,codeElev,kaptdEcnt,kaptdPcnt,kaptdPcntu,codeNet,kaptdCccnt,welfareFacility,kaptdWtimebus,subwayLine,subwayStation,kaptdWtimesub,convenientFacility,educationFacility,groundElChargerCnt,undergroundElChargerCnt,useYn
A10027784,군산희망루아파트,위탁관리,8,현대종합주택관리(주),위탁관리(직영+위탁),3,,위탁관리,3,차량수거방식,위탁관리,4,분무식,철근콘크리트구조,2700,종합계약,상주선임,R형,부스타방식,위탁관리,12,89,396,무,92,"관리사무소, 노인정, 보육시설, 문고, 주민공동시설, 어린이놀이터, 자전거보관소",5분이내,,,20분초과,공원(),고등학교(),10,0,Y
A57330001,금동 동신,자치관리,1,자치관리,자치관리,2,,자치관리,1,차량수거방식,자치관리,1,분무식,철근콘크리트구조,130,단일계약,위탁선임,P형,고가수조식,위탁관리,12,60,0,무,24,"관리사무소, 노인정, 어린이놀이터, 자전거보관소",5분이내,,,,"관공서(소방서,월명동사무소) 병원(동서의원) 공원(월명공원) 기타(근대문화 유산거리)","초등학교(,군산서초교) 중학교(군산 동신중) 고등학교(군산여고교)",2,0,Y
A10024612,다원파크빌아파트,위탁관리,1,(유)전북주택관리연구소,위탁관리,,(유)홍익종합관리,위탁관리,1,음식물쓰레기종량제,위탁관리,4,분무식,철골철근콘크리트구조,350,단일계약,위탁선임,P형,부스타방식,위탁관리,3,91,0,무,15,,5분이내,,,,,,0,0,Y
A57306001,현대오솔아파트,위탁관리,2,(유)전북주택관리연구소,자치관리,4,,자치관리,1,음식물쓰레기종량제,위탁관리,4,"도포식,분무식",철근콘크리트구조,750,단일계약,위탁선임,R형,부스타방식,위탁관리,5,90,91,무,21,"관리사무소, 노인정, 휴게시설, 자전거보관소",5분이내,,,,관공서(소방서) 병원(지산한의원) 공원(월명공원),"초등학교(금광초교,제일초교) 중학교(군산여중교) 고등학교(군산여고교)",0,4,Y
A57306002,클래시움,자치관리,4,,자치관리,3,,위탁관리,2,음식물쓰레기종량제,위탁관리,4,,철근콘크리트구조,950,단일계약,기타,기타,기타,위탁관리,7,267,99,무,54,"관리사무소, 노인정, 어린이놀이터",5~10분이내,,,,관공서(소방서) 공원(월명공원),초등학교(금광초교) 고등학교(군산여고),8,0,Y
A10020834,군산 금광지구 행복주택,위탁관리,,유한회사홍익종합관리,,,,,,,,,,,,,,,,,0,,,,,,5분이내,,,,,,0,0,Y
A10022473,군산 오룡마을,위탁관리,,(주)한국종합주택관리,,,,,,,,,,,,,,,,,0,,,,,,5분이내,,,,,,0,0,Y
A57310001,금광동삼성,자치관리,5,,자치관리(직영),5,,위탁관리,4,거점장비수거방식,위탁관리,4,"도포식,분무식,독이식",철근콘크리트구조,900,단일계약,위탁선임,P형,부스타방식,위탁관리,18,288,0,무,80,"관리사무소, 노인정, 어린이놀이터, 휴게시설, 자전거보관소",5~10분이내,,,,관공서(오룡동사무소) 병원(제일병원),초등학교(월명초교) 중학교(군산중교) 고등학교(군산기계공고교) 대학교(서해대학),6,0,Y
A10021182,월명아파트,자치관리,2,,자치관리,,,관리방식미정,0,,관리방식미정,,,조적구조,0,단일계약,선정안함,기타,고가수조식,,0,100,0,무,6,,5분이내,,,,,,0,0,Y
A10022035,신풍동부향하나로아파트,위탁관리,4,(주)한국종합주택관리,,,,자치관리,1,기타,위탁관리,4,분무식,철골콘크리트구조,215,종합계약,위탁선임,P형,고가수조식,위탁관리,2,28,61,무,4,,5분이내,,,,,,0,0,Y
A57387301,문화동삼성아파트,위탁관리,6,(주)한국종합주택관리,위탁관리,4,(주)한국종합주택관리,위탁관리,6,음식물쓰레기종량제,위탁관리,4,분무식,철근콘크리트구조,1400,단일계약,상주선임,P형,부스타방식,위탁관리,25,355,0,무,116,"관리사무소, 노인정, 어린이놀이터, 자전거보관소",5분이내,,,,병원(제일병원) 대형상가(현대코아),"초등학교(흥남초교) 중학교(군산중교,서흥중교) 고등학교(군산기계공고교) 대학교(서해대학)",0,0,Y
A57331001,삼학주공아파트,위탁관리,4,유한회사홍익종합관리,위탁관리,2,(유) 홍익종합관리,위탁관리,3,차량수거방식,위탁관리,4,독이식,철근콘크리트구조,775,단일계약,위탁선임,R형,부스타방식,위탁관리,8,111,113,무,40,"관리사무소, 노인정, 주민공동시설, 자전거보관소",10~15분이내,,,,병원(성신병원) 대형상가(현대코아) 공원(선명쌈지공원),초등학교(남초교) 중학교(서흥중교),0,0,Y
A57331002,삼학 대우,자치관리,4,,자치관리,4,,위탁관리,4,음식물쓰레기종량제,위탁관리,4,"분무식,독이식",철근콘크리트구조,990,단일계약,위탁선임,P형,부스타방식,위탁관리,10,192,151,무,64,"관리사무소, 노인정, 어린이놀이터, 휴게시설, 자전거보관소",5~10분이내,,,,관공서(삼학동주민센터) 병원(성신병원) 공원(월명공원),초등학교(남초교) 중학교(서흥중교),5,3,Y
A57316001,군산창성,위탁관리,5,주택관리공단,위탁관리,6,제이에스에스,위탁관리,3,음식물쓰레기종량제,위탁관리,3,"분무식,기구부착식",철근콘크리트구조,1350,단일계약,상주선임,R형,부스타방식,위탁관리,12,454,0,무,43,"관리사무소, 노인정, 보육시설, 어린이놀이터, 자전거보관소",5~10분이내,,,,관공서(우체국) 공원(월명공원),초등학교(중앙초교) 중학교(영광여중교) 고등학교(영광여고교) 대학교(서해대학),0,0,Y
A10025085,천년가 더 스테이 아파트,위탁관리,5,대한주택관리(주),위탁관리,4,대한주택관리(주),위탁관리(직영+위탁),4,차량수거방식,위탁관리,4,,철근콘크리트구조,1950,종합계약,상주선임,R형,부스타방식,위탁관리,9,82,494,유,121,"관리사무소, 노인정, 보육시설, 문고, 주민공동시설, 어린이놀이터, 휴게시설, 커뮤니티공간, 자전거보관소",5분이내,,,,,,0,12,Y
A10027484,현대메트로타워2차아파트,자치관리,6,,자치관리,4,,위탁관리,4,차량수거방식,위탁관리,3,분무식,철근콘크리트구조,4909,단일계약,상주선임,R형,부스타방식,위탁관리,16,74,1132,유,163,"관리사무소, 노인정, 보육시설, 문고, 주민공동시설, 어린이놀이터, 자전거보관소",5분이내,,,20분초과,관공서() 병원() 대형상가(),초등학교() 중학교() 고등학교(),25,25,Y
A57321001,현대메트로타워,위탁관리,5,대한주택관리(주),위탁관리,4,대한주택관리(주),위탁관리,5,차량수거방식,위탁관리,4,분무식,철근콘크리트구조,2850,단일계약,상주선임,R형,부스타방식,위탁관리,12,98,660,유,175,"관리사무소, 노인정, 보육시설, 주민공동시설, 어린이놀이터, 휴게시설, 자전거보관소",5분이내,,,,대형상가(이마트) 기타(시외버스터미널),"초등학교(풍문초교, 중앙초교) 중학교(진포중학교) 고등학교(군산고등학교, 영광여자고등학교)",0,20,Y
A57322001,장재동 그린장미,자치관리,1,,자치관리,2,,자치관리,1,음식물쓰레기종량제,위탁관리,4,분무식,철근콘크리트구조,145,기타,위탁선임,P형,부스타방식,위탁관리,6,113,0,무,16,"관리사무소, 노인정, 어린이놀이터, 휴게시설, 자전거보관소",10~15분이내,,,,"관공서(흥남주민센터) 병원(이상철내과의원) 대형상가(삼성디지털프라자-디도역전점) 공원() 기타((구)군산역,공설시장)",초등학교(풍문초교 외) 중학교(진포중교) 고등학교(군산고교),2,0,Y
A57322002,장재동현대세솔,위탁관리,4,(유)사랑주택관리,위탁관리,4,(유)사랑주택관리,위탁관리,5,음식물쓰레기종량제,위탁관리,4,분무식,철근콘크리트구조,950,단일계약,위탁선임,P형,부스타방식,위탁관리,15,206,283,무,64,"관리사무소, 노인정, 주민공동시설, 어린이놀이터, 자전거보관소",5분이내,,,,"관공서(중미동사무소) 병원(이상철내과의원) 대형상가(삼성디지털프라자-디도역전점) 기타(군산역,군산시장)","초등학교(풍문초교 외) 중학교(진포중교,영광중) 고등학교(군산고교)",10,13,Y
A10021485,군산 금암마을,위탁관리,,(주)한국종합주택관리,,,,,,,,,,,,,,,,,0,,,,,,5분이내,,,,,,0,0,Y
A10024686,레비뉴스테이,위탁관리,6,대한주택관리(주),위탁관리,6,,위탁관리,7,음식물쓰레기종량제,위탁관리,6,분무식,철근콘크리트구조,3650,종합계약,상주선임,R형,부스타방식,위탁관리,14,316,729,무,246,"관리사무소, 노인정, 보육시설, 문고, 주민공동시설, 어린이놀이터, 유치원, 자전거보관소, 기타",5분이내,,,,,,0,21,Y
