kaptCode,kaptName,codeMgr,kaptMgrCnt,kaptCcompany,codeSec,kaptdScnt,kaptdSecCom,codeClean,kaptdClcnt,codeGarbage,codeDisinf,kaptdDcnt,disposalType,codeStr,kaptdEcapa,codeEcon,codeEmgr,codeFalarm,codeWsupply,codeElev,kaptdEcnt,kaptdPcnt,kaptdPcntu,codeNet,kaptdCccnt,welfareFacility,kaptdWtimebus,subwayLine,subwayStation,kaptdWtimesub,convenientFacility,educationFacility,groundElChargerCnt,undergroundElChargerCnt,useYn
A10025693,김제두일로얄 맨션아파트,위탁관리,1,대한주택관리(주),위탁관리,2,대한주택관리(주),자치관리,0,차량수거방식,자치관리,2,분무식,철골철근콘크리트구조,0,기타,위탁선임,P형,고가수조식,위탁관리,2,156,0,무,4,"관리사무소, 노인정, 어린이놀이터, 자전거보관소",5분이내,,,,관공서(김제시청) 병원(김제병원) 공원(요천동공원),초등학교(김제초등학교) 중학교(김제중학교),0,0,Y
A10020476,성산그린빌,위탁관리,3,유한회사홍익종합관리,,,,자치관리,1,음식물쓰레기종량제,관리방식미정,,,철골철근콘크리트구조,750,종합계약,위탁선임,P형,부스타방식,위탁관리,5,51,132,무,18,,,,,,,,0,0,Y
A10024402,김제신풍오투그란데,위탁관리,3,대한주택관리(주),위탁관리,0,,자치관리,1,음식물쓰레기종량제,위탁관리(직영+위탁),2,"도포식,분무식",철근콘크리트구조,1214,단일계약,위탁선임,R형,부스타방식,위탁관리,4,71,145,유,73,,5~10분이내,,,,관공서(),초등학교() 중학교() 고등학교(),0,5,Y
A10026733,김제신풍 루비츠아파트,위탁관리,1,(유)전북주택관리연구소,자치관리,1,,자치관리,1,차량수거방식,위탁관리,2,기구부착식,철근콘크리트구조,405,단일계약,위탁선임,R형,부스타방식,위탁관리,3,98,0,,15,"관리사무소, 자전거보관소",5분이내,,,,관공서(),초등학교(),0,0,Y
A10027813,한신아파트,위탁관리,1,대한주택관리(주),자치관리(직영),2,,자치관리(직영),1,차량수거방식,자치관리(직영),1,분무식,철골철근콘크리트구조,104,단일계약,위탁선임,P형,고가수조식,위탁관리,4,125,0,무,35,"관리사무소, 노인정, 어린이놀이터, 자전거보관소",5~10분이내,,,5분이내,,초등학교() 중학교() 고등학교(),2,0,Y
A10028156,아이지파크,위탁관리,4,유한회사홍익종합관리,자치관리(직영),0,,자치관리,1,차량수거방식,위탁관리,3,"도포식,분무식",철근콘크리트구조,950,단일계약,위탁선임,R형,부스타방식,위탁관리,6,33,175,유,68,"관리사무소, 노인정, 어린이놀이터, 휴게시설, 자전거보관소",5~10분이내,,,,관공서(전주지법군산시법원) 대형상가(홈플러스),"초등학교(김제동초) 중학교(금성여중,김제중) 고등학교(김제고)",0,4,Y
A57670301,김제부영3차아파트,위탁관리,8,대한주택관리(주),위탁관리,6,대한주택관리(주),위탁관리,6,차량수거방식,위탁관리,4,분무식,철근콘크리트구조,2000,단일계약,상주선임,GR형,고가수조식,위탁관리,19,441,485,무,45,"관리사무소, 노인정, 어린이놀이터",5~10분이내,,,,관공서(김제시청) 병원() 대형상가(삼성디지털프라자) 공원() 기타(),초등학교(김제동초등학교) 중학교(김제중학교) 고등학교(),10,9,Y
A57680203,김제 신풍동 주공,위탁관리,5,(주)서영주택,위탁관리,0,,위탁관리,1,음식물쓰레기종량제,위탁관리,3,"분무식,독이식",철근콘크리트구조,0,기타,위탁선임,기타,고가수조식,,0,114,0,무,34,"관리사무소, 노인정, 주민공동시설, 어린이놀이터, 휴게시설, 자전거보관소",5분이내,,,,관공서(김제경찰서. 한국전력공사.) 병원(믿음내과) 대형상가(홈플러스) 공원(신풍공원),초등학교(김제동초) 중학교(금성여중) 고등학교(김제여고),4,0,Y
A57680401,김제신풍동현대,위탁관리,3,대한주택관리(주),자치관리,0,,위탁관리,1,차량수거방식,위탁관리,4,분무식,철근콘크리트구조,450,단일계약,위탁선임,P형,부스타방식,위탁관리,5,127,46,무,26,"관리사무소, 노인정, 어린이놀이터, 휴게시설, 자전거보관소",5분이내,,,5~10분이내,관공서(역전파출소) 병원(김종주가정위학과의원) 대형상가(삼성디지털프라자),초등학교(김제동초등학교) 중학교(김제중학교) 고등학교(김제고등학교),4,0,Y
A57680402,김제대방,위탁관리,3,대한주택관리(주),위탁관리,2,대한주택관리(주),위탁관리,3,차량수거방식,위탁관리,4,"도포식,분무식,기구부착식",철근콘크리트구조,900,단일계약,위탁선임,P형,고가수조식,위탁관리,8,190,91,무,52,"관리사무소, 노인정, 어린이놀이터, 자전거보관소",5~10분이내,,,,관공서(김제소방서) 병원(이형곤가정의학과의원) 대형상가(홈플러스),중학교(금성여자중학교) 고등학교(김제여자고등학교),0,0,Y
