kaptCode,kaptName,codeMgr,kaptMgrCnt,kaptCcompany,codeSec,kaptdScnt,kaptdSecCom,codeClean,kaptdClcnt,codeGarbage,codeDisinf,kaptdDcnt,disposalType,codeStr,kaptdEcapa,codeEcon,codeEmgr,codeFalarm,codeWsupply,codeElev,kaptdEcnt,kaptdPcnt,kaptdPcntu,codeNet,kaptdCccnt,welfareFacility,kaptdWtimebus,subwayLine,subwayStation,kaptdWtimesub,convenientFacility,educationFacility,groundElChargerCnt,undergroundElChargerCnt,useYn
A10023730,부안 오투그란데 2차 하이스트 아파트,위탁관리,2,(주)한국종합주택관리,위탁관리,2,(주)한국종합주택관리,위탁관리,2,차량수거방식,관리방식미정,3,"도포식,독이식",철골철근콘크리트구조,1350,단일계약,상주선임,R형,압력탱크식,위탁관리,8,97,191,유,85,"관리사무소, 노인정, 문고, 주민공동시설, 어린이놀이터, 커뮤니티공간, 자전거보관소",5분이내,,,,관공서(부안읍사무서 :580-3505) 병원(부안 성모병원 : 581-5100) 대형상가(농협 하나로마트 : 581-1023),초등학교(부안초등학교 : 580-6600) 중학교(부안중학교 : 583-2704),0,3,Y
A57970102,부안서외주공아파트,위탁관리,5,(유)신화종합관리,자치관리(직영),4,,위탁관리,2,음식물쓰레기종량제,위탁관리,4,"도포식,분무식",철근콘크리트구조,1007,단일계약,위탁선임,R형,부스타방식,위탁관리,13,330,0,무,41,"관리사무소, 노인정, 주민공동시설, 어린이놀이터, 자전거보관소",5~10분이내,,,,관공서(부안교육청) 병원(성모병원) 대형상가(하나로마트) 공원(매창공원),초등학교(부안초등학교) 중학교(부안중학교) 고등학교(부안고등학교),0,0,Y
A57970104,부안대림낭주골,위탁관리,4,유한회사홍익종합관리,위탁관리(직영+위탁),2,(유)홍익종합관리,위탁관리(직영+위탁),3,음식물쓰레기종량제,위탁관리,3,"도포식,분무식",철근콘크리트구조,1160,단일계약,위탁선임,P형,고가수조식,위탁관리,10,217,0,무,36,"관리사무소, 노인정, 어린이놀이터, 휴게시설",5분이내,,,,관공서(부안읍사무소) 병원(성모병원) 기타(부안등기소),초등학교(부안동초등학교) 중학교(삼남중학교),5,0,Y
A57970105,새만금와이파크,위탁관리,6,유한회사홍익종합관리,위탁관리,2,유한회사 홍익종합관리,위탁관리,1,차량수거방식,자치관리,3,,철골콘크리트구조,700,단일계약,위탁선임,P형,부스타방식,위탁관리,8,161,0,무,24,"관리사무소, 어린이놀이터, 자전거보관소",5~10분이내,,,,관공서(부안군청) 병원(혜성병원),초등학교(부안) 중학교(삼남),4,0,Y
A10024879,부안라온프라이빗아파트,위탁관리,5,대한주택관리(주),자치관리(직영),4,,위탁관리,5,음식물쓰레기종량제,위탁관리,4,분무식,철근콘크리트구조,2930,종합계약,상주선임,GR형,부스타방식,위탁관리,16,214,398,유,143,"관리사무소, 노인정, 보육시설, 문고, 주민공동시설, 어린이놀이터, 자전거보관소",5분이내,,,,,,0,3,Y
A10024926,부안봉덕오투그란데아파트,위탁관리,2,유한회사홍익종합관리,위탁관리,2,(유)홍익종합관리,위탁관리,2,음식물쓰레기종량제,위탁관리,4,,철근콘크리트구조,950,단일계약,위탁선임,GR형,부스타방식,위탁관리,12,41,223,유,67,"관리사무소, 노인정, 문고, 어린이놀이터, 자전거보관소",5~10분이내,,,20분초과,,,0,5,Y
A10028160,미소가애아파트,위탁관리,12,대한주택관리(주),자치관리(직영),4,,자치관리(직영),3,거점장비수거방식,위탁관리,4,분무식,철골철근콘크리트구조,2050,단일계약,상주선임,GR형,부스타방식,위탁관리,15,222,332,유,131,"관리사무소, 노인정, 보육시설, 문고, 주민공동시설, 어린이놀이터, 휴게시설, 커뮤니티공간, 자전거보관소",5~10분이내,,,,,,0,0,Y
A57970101,메리트하이안아파트,위탁관리,4,(유)신화종합관리,위탁관리,3,(유)신화종합관리,위탁관리,2,음식물쓰레기종량제,위탁관리,4,분무식,철근콘크리트구조,1600,단일계약,상주선임,P형,부스타방식,위탁관리,13,237,131,무,80,"관리사무소, 노인정, 주민공동시설, 어린이놀이터, 휴게시설",5~10분이내,,,,,고등학교(부안 서림고등학교),0,4,Y
A57970103,진성아파트,위탁관리,1,유한회사홍익종합관리,위탁관리,2,유한회사홍익종합관리,자치관리,0,음식물쓰레기종량제,위탁관리,2,"분무식,독이식",철근콘크리트구조,100,단일계약,위탁선임,P형,고가수조식,위탁관리,4,35,35,무,23,"관리사무소, 노인정, 어린이놀이터, 자전거보관소",5분이내,,,,"관공서(부안우체국) 병원(부안성모병원) 대형상가(삼성디지털프라자-부안점,LG베스트샵-부안점, 롯데하이마트,홈마트)","초등학교(부안초, 부안동초) 중학교(부안중, 부안여중, 삼남중) 고등학교(서림고, 부안여고)",2,0,Y
A57980501,부안 양우현대,위탁관리,4,(주)서영주택,위탁관리,4,(주)서영주택관리,위탁관리,2,음식물쓰레기종량제,위탁관리,4,분무식,철근콘크리트구조,1200,단일계약,위탁선임,P형,부스타방식,위탁관리,14,203,43,무,70,"관리사무소, 노인정, 주민공동시설, 어린이놀이터, 휴게시설, 자전거보관소",5분이내,,,,관공서(부안교육청) 공원(매창공원) 기타(국립도서관),,0,0,Y
