kaptCode,kaptName,codeMgr,kaptMgrCnt,kaptCcompany,codeSec,kaptdScnt,kaptdSecCom,codeClean,kaptdClcnt,codeGarbage,codeDisinf,kaptdDcnt,disposalType,codeStr,kaptdEcapa,codeEcon,codeEmgr,codeFalarm,codeWsupply,codeElev,kaptdEcnt,kaptdPcnt,kaptdPcntu,codeNet,kaptdCccnt,welfareFacility,kaptdWtimebus,subwayLine,subwayStation,kaptdWtimesub,convenientFacility,educationFacility,groundElChargerCnt,undergroundElChargerCnt,useYn
A10022661,익산역 유블레스퍼스트,위탁관리,5,(주)서영주택,,0,,위탁관리,1,,위탁관리,4,,철근콘크리트구조,3000,단일계약,상주선임,R형,부스타방식,위탁관리,6,173,119,유,249,"관리사무소, 어린이놀이터, 자전거보관소",5~10분이내,,,,,,0,0,Y
A10026433,익산역 시그니처-S,위탁관리,5,(주)로이안,관리방식미정,0,,자치관리(직영),1,차량수거방식,위탁관리,5,분무식,철근콘크리트구조,1250,단일계약,상주선임,R형,부스타방식,위탁관리,3,184,50,유,44,"관리사무소, 기타",10~15분이내,,,,,"초등학교(이리중앙초등학교) 고등학교(이리여고,이리남고,이일여고,제일고)",1,4,Y
A10020726,익산역하늘채더퍼스트,위탁관리,10,주식회사 한동종합관리,위탁관리,,(주)광명티엠씨,위탁관리,11,,관리방식미정,,,,,,,,,,0,,,,,,5분이내,,,,,,0,0,Y
A10026052,평화제일 오투그란데 에버아파트,위탁관리,2,대한주택관리(주),위탁관리(직영+위탁),2,대한주택관리(주),위탁관리(직영+위탁),1,차량수거방식,위탁관리,3,,철근콘크리트구조,900,단일계약,상주선임,R형,부스타방식,위탁관리,7,174,0,유,52,"관리사무소, 노인정, 주민공동시설, 어린이놀이터, 자전거보관소",5분이내,,,,기타(미용실),,4,0,Y
A57001001,평화동제일아파트,위탁관리,5,(주)서영주택,자치관리(직영),4,,자치관리(직영),3,음식물쓰레기종량제,위탁관리,6,분무식,철근콘크리트구조,1955,단일계약,상주선임,P형,고가수조식,위탁관리,17,489,0,무,82,"관리사무소, 노인정, 주민공동시설, 어린이놀이터, 휴게시설, 자전거보관소",5분이내,,,,관공서(익산역) 병원(원대병원) 대형상가(이마트),초등학교(송학초등) 중학교(이리중학교) 고등학교(제일고등학교),10,0,Y
A57071001,클래시움,위탁관리,2,대한주택관리(주),위탁관리(직영+위탁),2,대한주택관리주식회사,자치관리(직영),1,음식물쓰레기종량제,위탁관리,4,분무식,철근콘크리트구조,759,단일계약,위탁선임,R형,부스타방식,위탁관리,6,163,0,무,35,"관리사무소, 노인정, 어린이놀이터, 자전거보관소",5분이내,,,,관공서(익산역),초등학교(송학초등) 중학교(이리중학교) 고등학교(제일고등학교) 대학교(원광대학교),4,0,Y
A57004001,주현동 쌍방울한양,자치관리,3,,자치관리,4,,자치관리,2,음식물쓰레기종량제,위탁관리,4,분무식,철근콘크리트구조,750,단일계약,위탁선임,P형,부스타방식,위탁관리,13,100,0,무,48,"관리사무소, 노인정, 어린이놀이터, 자전거보관소",5분이내,,,,관공서(익산시법원) 병원(명성당중국한의원) 대형상가(이마트) 기타(동익산역),초등학교(중앙초등학교) 중학교(이일여중) 고등학교(이일여고) 대학교(익산대),5,0,Y
A10026507,익산인화 행복주택,위탁관리,5,(주)한국종합주택관리,자치관리,2,,위탁관리,3,음식물쓰레기종량제,위탁관리,3,분무식,철근콘크리트구조,1650,단일계약,상주선임,R형,부스타방식,위탁관리,12,166,184,무,67,"관리사무소, 노인정, 보육시설, 문고, 주민공동시설, 어린이놀이터, 휴게시설, 커뮤니티공간, 자전거보관소, 기타",5분이내,,,20분초과,병원() 대형상가() 공원(),초등학교() 중학교() 고등학교(),0,0,Y
A57098501,인화동 제이파크,위탁관리,2,(주)서영주택,위탁관리,2,(주)서영주택관리,위탁관리,1,음식물쓰레기종량제,자치관리(직영),4,분무식,철근콘크리트구조,1264,단일계약,위탁선임,R형,부스타방식,위탁관리,5,85,130,무,32,"관리사무소, 노인정, 휴게시설, 자전거보관소, 기타",5분이내,,,,관공서(인화동사무소) 병원(익산제일병원) 대형상가(이마트) 기타(동익산역),초등학교(중앙) 고등학교(원광고등학교) 대학교(익산대),5,0,Y
A10020266,동산한성아파트,자치관리,1,,자치관리,,,자치관리,1,거점장비수거방식,자치관리(직영),3,분무식,기타구조,0,단일계약,선정안함,기타,수도직결식,,0,105,0,무,19,,,,,,,,0,0,Y
A10021835,OCI사원아파트,위탁관리,3,(주)서영주택,자치관리,,,자치관리,1,차량수거방식,자치관리,2,분무식,철골철근콘크리트구조,300,종합계약,위탁선임,P형,수도직결식,,0,70,0,무,26,"관리사무소, 노인정, 어린이놀이터, 자전거보관소",10~15분이내,,,,"병원(한의원 ,정형회과,일반병원) 대형상가(엄마트.이마트) 공원(유천공원)",초등학교(이리 동산초등학교) 중학교(이리 동 중학교),3,0,Y
A10023256,수도산 광신프로그레스,위탁관리,5,유한회사홍익종합관리,자치관리(직영),2,,위탁관리,4,차량수거방식,위탁관리,3,"분무식,독이식",철골철근콘크리트구조,2200,종합계약,상주선임,R형,부스타방식,위탁관리,11,90,366,유,118,"관리사무소, 노인정, 보육시설, 문고, 주민공동시설, 어린이놀이터, 휴게시설, 커뮤니티공간, 자전거보관소",5분이내,,,,,,9,0,Y
A10024772,동산오투그란데,위탁관리,7,(주)한국종합주택관리,관리방식미정,0,,위탁관리,2,음식물쓰레기종량제,위탁관리,4,분무식,철골철근콘크리트구조,1500,종합계약,상주선임,R형,부스타방식,위탁관리,7,34,370,유,104,"관리사무소, 노인정, 보육시설, 문고, 주민공동시설, 어린이놀이터, 휴게시설, 유치원, 커뮤니티공간, 자전거보관소",5분이내,,,,,초등학교(),0,6,Y
A10025019,세경4차아파트,자치관리(직영),3,,자치관리,2,,자치관리,1,,위탁관리,3,,철골철근콘크리트구조,505,단일계약,위탁선임,P형,수도직결식,위탁관리,2,26,99,무,16,,5분이내,,,,,,3,0,Y
A10025079,수도산코아루이지움아파트,위탁관리,5,(주)서영주택,,,,자치관리(직영),2,음식물쓰레기종량제,위탁관리,4,분무식,철근콘크리트구조,2000,단일계약,상주선임,R형,부스타방식,위탁관리,15,105,305,유,106,"관리사무소, 노인정, 보육시설, 주민공동시설, 어린이놀이터, 유치원, 커뮤니티공간, 자전거보관소",5분이내,,,,관공서(익산교육지원청) 병원() 대형상가(이마트) 공원(수도산공원),초등학교(동남초등학교) 중학교(이리동중학교) 대학교(전북대학교 특성화캠퍼스),0,9,Y
A57072513,익산동산,위탁관리,6,주택관리공단(주)익산동산,위탁관리,3,주식회사 세이프원,위탁관리,1,기타,위탁관리,3,,철근콘크리트구조,1100,종합계약,상주선임,R형,부스타방식,위탁관리,8,139,0,무,29,"관리사무소, 노인정, 보육시설, 어린이놀이터, 자전거보관소",5분이내,,,20분초과,병원(원광대부속제2병원) 대형상가(E 마트) 공원(동산1호공원),초등학교(이리동남초교) 중학교(이리동중교),0,0,Y
A57072602,동산여울휴먼시아3단지,위탁관리,4,(유)사랑주택관리,위탁관리,2,,위탁관리,2,음식물쓰레기종량제,위탁관리,4,분무식,철골철근콘크리트구조,800,단일계약,위탁선임,R형,부스타방식,위탁관리,6,97,162,무,42,"관리사무소, 노인정, 주민공동시설, 어린이놀이터, 휴게시설, 커뮤니티공간, 자전거보관소, 기타",5분이내,,,,관공서(동산동주민센터) 대형상가(이마트),초등학교(동산초) 중학교(동중),1,4,Y
A57072603,그린팰리스아파트,위탁관리,5,(유)국민종합주택,위탁관리,4,(유) 국민종합주택관리,위탁관리,4,음식물쓰레기종량제,위탁관리,4,"도포식,분무식,기구부착식",철근콘크리트구조,990,단일계약,위탁선임,R형,부스타방식,위탁관리,16,204,296,유,113,"관리사무소, 노인정, 보육시설, 문고, 주민공동시설, 어린이놀이터, 휴게시설, 유치원, 커뮤니티공간, 자전거보관소, 기타",5분이내,,,,관공서(동산동주민센터) 병원(우석병원) 대형상가(이마트) 공원(수도산공원),초등학교(동산초교) 중학교(동중학교),20,5,Y
A57072604,세경2차,자치관리,5,,자치관리,4,,자치관리,3,음식물쓰레기종량제,위탁관리,4,"도포식,분무식",벽돌구조,115,기타,선정안함,P형,고가수조식,위탁관리,5,209,0,무,21,"관리사무소, 노인정, 어린이놀이터, 휴게시설, 유치원, 자전거보관소",5분이내,,,,병원(문산부인과) 대형상가(LG하이프라자) 공원(동산1호공원),초등학교(동산초교) 중학교(이리동중교),5,0,Y
A57072605,동산동세경3차,자치관리(직영),3,,자치관리(직영),2,,자치관리(직영),1,음식물쓰레기종량제,위탁관리,3,분무식,철근콘크리트구조,600,단일계약,위탁선임,P형,고가수조식,위탁관리,2,87,92,무,16,관리사무소,5~10분이내,서해선,,,관공서(동산동사무소) 병원(삼광한의원) 대형상가(E 마트),초등학교(동산초교) 중학교(이리동중교),4,0,Y
