kaptCode,kaptName,codeMgr,kaptMgrCnt,kaptCcompany,codeSec,kaptdScnt,kaptdSecCom,codeClean,kaptdClcnt,codeGarbage,codeDisinf,kaptdDcnt,disposalType,codeStr,kaptdEcapa,codeEcon,codeEmgr,codeFalarm,codeWsupply,codeElev,kaptdEcnt,kaptdPcnt,kaptdPcntu,codeNet,kaptdCccnt,welfareFacility,kaptdWtimebus,subwayLine,subwayStation,kaptdWtimesub,convenientFacility,educationFacility,groundElChargerCnt,undergroundElChargerCnt,useYn
A10026958,뉴캐슬아파트,위탁관리,2,유한회사홍익종합관리,자치관리(직영),2,,위탁관리,0,음식물쓰레기종량제,위탁관리,4,분무식,철골철근콘크리트구조,700,종합계약,위탁선임,GR형,부스타방식,위탁관리,6,52,82,무,23,"관리사무소, 노인정, 주민공동시설, 어린이놀이터, 자전거보관소",5분이내,,,,,,3,2,Y
A58001001,수성주공3단지,위탁관리,7,유한회사홍익종합관리,,,,자치관리(직영),2,차량수거방식,위탁관리,4,"도포식,분무식",철근콘크리트구조,600,단일계약,위탁선임,P형,부스타방식,위탁관리,6,174,0,무,36,"관리사무소, 노인정, 주민공동시설, 어린이놀이터, 휴게시설, 자전거보관소",5분이내,,,,관공서(정읍지원청사) 병원(보원치과의원),초등학교(수성초교) 고등학교(서영여자고교),4,0,Y
A58001002,제일아파트,자치관리,6,,자치관리,2,,위탁관리,3,차량수거방식,위탁관리,4,"도포식,분무식",철근콘크리트구조,950,단일계약,위탁선임,P형,고가수조식,위탁관리,17,343,0,무,61,"관리사무소, 노인정, 어린이놀이터, 자전거보관소",5분이내,,,,병원(양가정의원) 공원(),초등학교(수성초교) 고등학교(서영여자고교),7,0,Y
A58001003,수성주공2단지,자치관리(직영),4,,자치관리,4,,위탁관리,3,음식물쓰레기종량제,위탁관리,4,"도포식,분무식",철근콘크리트구조,300,종합계약,위탁선임,P형,부스타방식,위탁관리,8,392,0,무,52,"관리사무소, 노인정, 주민공동시설, 어린이놀이터, 자전거보관소",5분이내,,,,관공서(),초등학교(수성초교) 고등학교(서영여자고교),0,0,Y
A58075301,수성부영2차,자치관리,7,,자치관리,10,,위탁관리,7,음식물쓰레기종량제,위탁관리,4,분무식,철근콘크리트구조,2600,단일계약,상주선임,P형,고가수조식,위탁관리,20,441,572,무,122,"관리사무소, 노인정, 어린이놀이터, 자전거보관소",5~10분이내,,,,관공서(정읍지원청사),초등학교(정읍초),11,0,Y
A58075302,수성주공1단지,위탁관리,7,주택관리공단,위탁관리,6,(유)백제환경,위탁관리,1,음식물쓰레기종량제,위탁관리,3,,철근콘크리트구조,400,종합계약,상주선임,R형,부스타방식,위탁관리,12,162,0,무,33,"관리사무소, 노인정, 보육시설, 주민공동시설, 어린이놀이터, 휴게시설, 자전거보관소",5분이내,,,,관공서() 병원(보원치과의원) 대형상가() 공원(),초등학교(수성초교) 고등학교(서영여자고교),3,0,Y
A58080404,수성부영1차,자치관리,7,,자치관리,8,,위탁관리,8,음식물쓰레기종량제,위탁관리,4,"도포식,분무식,독이식",철근콘크리트구조,2500,단일계약,상주선임,P형,고가수조식,위탁관리,27,529,489,무,165,"관리사무소, 노인정, 주민공동시설, 어린이놀이터, 휴게시설, 자전거보관소",5분이내,,,,관공서() 병원() 대형상가() 공원(),"초등학교(정읍초, 수성초, 북초) 중학교() 고등학교(서영여고) 대학교(전북과학대학)",23,7,Y
A10022317,상동오투그란데,위탁관리,4,(주)한국종합주택관리,,,,위탁관리,2,차량수거방식,관리방식미정,,,철골철근콘크리트구조,750,단일계약,위탁선임,R형,부스타방식,위탁관리,5,3,160,유,82,"관리사무소, 어린이놀이터, 자전거보관소",5분이내,,,,,,3,0,Y
A10023177,상동1차 영무예다음,위탁관리,5,대한주택관리(주),위탁관리,2,대한주택관리(주),위탁관리,4,차량수거방식,위탁관리,4,분무식,철근콘크리트구조,2682,종합계약,상주선임,GR형,부스타방식,위탁관리,14,93,532,유,236,"관리사무소, 노인정, 보육시설, 문고, 주민공동시설, 어린이놀이터, 휴게시설, 커뮤니티공간, 자전거보관소",5분이내,,,,"관공서(내장상동동사무소(063-539-7731), 상동지구대(063-535-3586), 정읍시청(063-539-7114)) 병원(튼튼소아청소년과의원(063-531-3331), 청담연치과의원(063-537-4600), 한국병원(063-701-8000)) 대형상가(학산타워, 하나로마트(0507-1463-3789)) 공원(정읍사공원(063-530-7429), 어린이교통공원(063-531-7870))","초등학교(한솔초등학교, 동신초등학교) 중학교(학산중학교, 정읍중학교) 고등학교(학산고등학교, 정읍고등학교) 대학교(전북과학대학교)",0,13,Y
A10028035,정읍대광로제비앙아파트,위탁관리,7,대한주택관리(주),관리방식미정,0,,위탁관리,3,차량수거방식,위탁관리,3,"도포식,분무식",철골철근콘크리트구조,2200,단일계약,상주선임,R형,부스타방식,위탁관리,16,273,182,유,80,"관리사무소, 노인정, 보육시설, 문고, 주민공동시설, 어린이놀이터",5~10분이내,,,,병원() 대형상가(원예농협 로컬푸트 하나로마트),초등학교(한솔초등학교) 중학교(학산여중) 고등학교(학산여고),11,0,Y
