kaptCode,kaptName,codeMgr,kaptMgrCnt,kaptCcompany,codeSec,kaptdScnt,kaptdSecCom,codeClean,kaptdClcnt,codeGarbage,codeDisinf,kaptdDcnt,disposalType,codeStr,kaptdEcapa,codeEcon,codeEmgr,codeFalarm,codeWsupply,codeElev,kaptdEcnt,kaptdPcnt,kaptdPcntu,codeNet,kaptdCccnt,welfareFacility,kaptdWtimebus,subwayLine,subwayStation,kaptdWtimesub,convenientFacility,educationFacility,groundElChargerCnt,undergroundElChargerCnt,useYn
A10021112,삼화아파트,자치관리(직영),2,,자치관리(직영),,,위탁관리,2,거점장비수거방식,위탁관리,3,"도포식,분무식,기구부착식",철근콘크리트구조,261,단일계약,위탁선임,P형,압력탱크식,위탁관리,4,36,66,무,4,"관리사무소, 주민공동시설, 어린이놀이터",5~10분이내,,,,,,0,0,Y
A10021363,일도수선화아파트,자치관리(직영),,,,,,,,,,,,,,,,,,,0,,,,,,5분이내,,,,,,4,0,Y
A10021537,서해1차아파트,자치관리,1,,자치관리,,,자치관리,1,차량수거방식,자치관리,1,분무식,철근콘크리트구조,219,단일계약,위탁선임,P형,부스타방식,위탁관리,2,70,0,무,16,,5분이내,,,,,,0,0,Y
A10021730,우성아파트2단지,자치관리(직영),1,,자치관리(직영),,,위탁관리,3,음식물쓰레기종량제,위탁관리,2,분무식,철골철근콘크리트구조,224,단일계약,위탁선임,P형,부스타방식,,0,188,0,무,43,"관리사무소, 노인정, 어린이놀이터, 자전거보관소",5분이내,,,,,,7,0,Y
A10021766,일도1차 대림아파트,자치관리,2,,자치관리,,,자치관리,2,음식물쓰레기종량제,위탁관리,1,"분무식,기구부착식",철골철근콘크리트구조,123,단일계약,선정안함,P형,부스타방식,,0,195,0,무,36,,5~10분이내,,,,,,9,0,Y
A10021833,일도2차대림아파트,자치관리,6,,,,,자치관리,2,음식물쓰레기종량제,자치관리,1,분무식,철골철근콘크리트구조,145,단일계약,상주선임,P형,압력탱크식,,0,125,0,유,10,,5분이내,,,,,,10,0,Y
A10022604,제주일도삼도행복주택관리사무소,위탁관리,4,,,,,위탁관리,1,,위탁관리,3,,철근콘크리트구조,400,단일계약,상주선임,GR형,부스타방식,위탁관리,2,79,0,유,20,"관리사무소, 주민공동시설, 어린이놀이터, 커뮤니티공간, 자전거보관소",5~10분이내,,,,,,4,0,Y
A69001201,삼주,자치관리,1,,자치관리(직영),2,,자치관리,2,기타,자치관리,1,기구부착식,철근콘크리트구조,200,단일계약,위탁선임,P형,고가수조식,위탁관리,15,90,0,무,18,"관리사무소, 노인정, 어린이놀이터",5~10분이내,,,,"관공서(제주시선관위, 제주동부경찰서) 병원(중앙병원, 일도클리닉센터) 대형상가(동문시장) 공원() 기타(제주학생문화원, 제주문예회관)",초등학교(제주교대부속초교) 중학교(동여자중) 고등학교(제주여자상업고) 대학교(제주교육대학교),3,0,Y
A69001202,혜성대유,자치관리,2,,자치관리(직영),2,,자치관리(직영),2,음식물쓰레기종량제,위탁관리,2,"도포식,분무식",철근콘크리트구조,430,종합계약,위탁선임,P형,부스타방식,위탁관리,17,124,0,무,37,"관리사무소, 노인정, 어린이놀이터, 휴게시설, 자전거보관소",5분이내,,,,"관공서(제주시선관위, 제주동부경찰서) 병원(한마음병원) 대형상가(동문시장) 공원(일도체육공원) 기타(제주학생문화원, 제주문예회관)",초등학교(동광초등학교) 중학교(동여자중) 고등학교(제주여자상업고) 대학교(제주교육대학교),3,0,Y
A69001203,일도우성1단지,자치관리,2,,자치관리,1,,자치관리,2,거점장비수거방식,위탁관리,3,,철근콘크리트구조,265,종합계약,위탁선임,P형,부스타방식,,0,400,0,무,72,"관리사무소, 노인정, 문고, 어린이놀이터, 휴게시설",5~10분이내,,,,"관공서(제주시선관위, 제주동부경찰서) 병원(한마음병원) 대형상가(동문시장) 공원() 기타(제주학생문화원, 제주문예회관)","초등학교(동광초등학교) 중학교(동여자중, 제주제일중학교) 고등학교(오현고등학교) 대학교(제주대학교)",3,0,Y
A69001204,일도신천지아파트,자치관리,3,,자치관리,2,,자치관리,3,음식물쓰레기종량제,위탁관리,3,,철근콘크리트구조,450,기타,위탁선임,P형,고가수조식,위탁관리,39,468,0,무,73,"관리사무소, 노인정, 주민공동시설, 어린이놀이터, 휴게시설",5~10분이내,서해선,,,"관공서(제주시선관위, 제주동부경찰서) 병원(한마음병원, 일도클리닉센터) 대형상가(동문시장) 공원() 기타(제주학생문화원, 제주문예회관)",초등학교(제주교대부속초교) 중학교(동여자중) 고등학교(제주여자상업고) 대학교(제주교육대학교),7,0,Y
A69001205,대유대림,위탁관리,14,(주)한국종합주택관리,위탁관리,4,(주)한국종합주택관리,위탁관리,4,음식물쓰레기종량제,위탁관리,3,"도포식,분무식",철근콘크리트구조,1960,단일계약,상주선임,R형,고가수조식,위탁관리,9,650,0,무,36,"관리사무소, 노인정, 보육시설, 어린이놀이터, 자전거보관소",5~10분이내,,,,"관공서(제주시선관위, 제주동부경찰서) 병원(한마음병원, 한라병원) 대형상가(동문시장) 기타(제주문예회관)","초등학교(동광초등학교) 중학교(제주제일중학교) 고등학교(중앙여고, 제주오현고) 대학교(제주대학교)",3,0,Y
A69077901,신천지2차,자치관리,2,,자치관리,2,,자치관리,2,기타,자치관리(직영),2,분무식,철골철근콘크리트구조,332,기타,위탁선임,P형,고가수조식,위탁관리,19,123,0,무,57,"관리사무소, 노인정, 어린이놀이터, 기타",5~10분이내,,,,"관공서(제주시선관위, 제주동부경찰서) 병원(중앙병원, 일도클리닉센터) 대형상가(동문시장) 공원(일도체육공원,어린이공원) 기타(제주학생문화원, 제주문예회관)",초등학교(제주교대부속초교) 중학교(동여자중) 고등학교(제주여자상업고) 대학교(제주교육대학교),5,0,Y
A69077902,일도성환아파트,자치관리,2,자체,자치관리,,,자치관리,2,음식물쓰레기종량제,자치관리,1,"도포식,기구부착식",철골철근콘크리트구조,66,단일계약,위탁선임,P형,부스타방식,,0,189,0,무,32,"관리사무소, 노인정, 어린이놀이터, 휴게시설, 자전거보관소",5분이내,"1호선, 1호선, 1호선, 1호선",", , , ",5분이내,관공서(근로복지공단) 병원(한마음병원) 대형상가(농협하나로마트) 공원(일도2동체육공원),"초등학교(동광초등) 중학교(탐라,동여자중학교) 고등학교()",12,0,Y
A69077001,장원월드컵아파트,자치관리,2,,자치관리,3,,자치관리,1,음식물쓰레기종량제,자치관리,1,도포식,철근콘크리트구조,945,단일계약,위탁선임,P형,부스타방식,위탁관리,6,68,186,무,48,"관리사무소, 노인정, 문고, 주민공동시설, 어린이놀이터, 휴게시설, 커뮤니티공간",5~10분이내,,,,관공서(제주시청) 병원(한국병원) 대형상가(삼성디지털프라자-삼도점) 공원(신산공원) 기타(),초등학교(삼성초교) 중학교(제주중앙여자중) 고등학교(),0,36,Y
A10021567,동아아파트,자치관리,3,,자치관리,,,자치관리,1,거점장비수거방식,위탁관리,1,,콘크리트구조,20,단일계약,위탁선임,P형,부스타방식,위탁관리,7,49,0,무,17,"관리사무소, 노인정, 어린이놀이터",5분이내,,,,,,0,0,Y
A10021811,혜성무지개타운,자치관리,,,,,,,,,,,,,,,,,,,0,,,,,,5분이내,,,,,,0,0,Y
A10024973,영도갤럭시타운 (아파트),위탁관리,4,세신산업(주),관리방식미정,0,,위탁관리,1,거점장비수거방식,위탁관리,2,"분무식,기구부착식",철근콘크리트구조,950,단일계약,위탁선임,P형,부스타방식,위탁관리,2,14,82,무,27,관리사무소,5분이내,,,,"관공서(제주시청, 제주법원, 제주합동청사 근접) 병원(한마음 병원 차량 5분거리) 공원(신산공원 차량 5분)","초등학교(남광초, 이도초, 도남초 근접) 중학교(제일중, 아라중,  제주여중 근접) 고등학교(중앙여고, 제주여고 근접)",0,0,Y
A10025784,나라키움 제주마루,위탁관리,4,,자치관리(직영),3,,자치관리(직영),2,,위탁관리,6,분무식,철근콘크리트구조,1150,종합계약,상주선임,GR형,부스타방식,위탁관리,5,48,133,무,73,"관리사무소, 자전거보관소",5분이내,,,,관공서(),,2,2,Y
