kaptCode,kaptName,codeMgr,kaptMgrCnt,kaptCcompany,codeSec,kaptdScnt,kaptdSecCom,codeClean,kaptdClcnt,codeGarbage,codeDisinf,kaptdDcnt,disposalType,codeStr,kaptdEcapa,codeEcon,codeEmgr,codeFalarm,codeWsupply,codeElev,kaptdEcnt,kaptdPcnt,kaptdPcntu,codeNet,kaptdCccnt,welfareFacility,kaptdWtimebus,subwayLine,subwayStation,kaptdWtimesub,convenientFacility,educationFacility,groundElChargerCnt,undergroundElChargerCnt,useYn
A10023769,e편한세상 금산센터하임,위탁관리,6,중부주택관리산업(주),위탁관리,2,한국타운세이퍼(주),위탁관리,6,차량수거방식,위탁관리,4,"도포식,분무식,독이식",철골콘크리트구조,2269,단일계약,상주선임,R형,부스타방식,위탁관리,16,33,503,유,215,"관리사무소, 노인정, 보육시설, 어린이놀이터, 휴게시설, 커뮤니티공간, 자전거보관소, 기타",5분이내,,,,공원(비호산근린공원),초등학교() 중학교() 고등학교(),11,0,Y
A31280604,낙원아파트,위탁관리,2,중앙종합관리(주),위탁관리,2,중앙종합관리(주),위탁관리(직영+위탁),1,차량수거방식,위탁관리,4,분무식,철근콘크리트구조,500,단일계약,위탁선임,P형,고가수조식,위탁관리,6,130,42,무,16,"관리사무소, 노인정, 어린이놀이터, 자전거보관소",5~10분이내,1호선,,20분초과,관공서(농촌지도소) 병원(금산병원) 대형상가(리치마트) 기타(인삼시장),초등학교(중앙) 중학교(금산중학교) 고등학교(금산고등학교),3,0,Y
A31280403,금산대원산마루,위탁관리,3,주식회사 충원,위탁관리,1,주식회사 충원,위탁관리,1,차량수거방식,위탁관리,4,"분무식,기구부착식",철근콘크리트구조,645,단일계약,위탁선임,P형,부스타방식,위탁관리,2,54,70,무,16,"관리사무소, 노인정, 어린이놀이터, 휴게시설, 자전거보관소",10~15분이내,,,,관공서(금산읍사무소) 병원(새금산병원) 대형상가(베로니마트) 공원(남산공원) 기타(금산소방서),초등학교(금산중앙초등학교) 중학교(금산중학교) 고등학교(금산고등학교),3,0,Y
A31280201,금산한진타운,위탁관리,4,중앙종합관리(주),자치관리(직영),2,,위탁관리,2,차량수거방식,위탁관리,6,분무식,철근콘크리트구조,230,단일계약,위탁선임,P형,부스타방식,위탁관리,8,153,0,유,32,"관리사무소, 노인정, 어린이놀이터, 자전거보관소",15~20분이내,,,,관공서(금산군청) 대형상가(리치마트) 공원(숭의공원),초등학교(금산) 중학교(금산) 고등학교(금산),4,0,Y
A31280206,삼호,위탁관리,5,중앙종합관리(주),자치관리(직영),2,,위탁관리,2,차량수거방식,위탁관리,6,"도포식,분무식",철근콘크리트구조,730,단일계약,위탁선임,R형,고가수조식,위탁관리,5,158,0,무,31,"관리사무소, 노인정, 어린이놀이터",5~10분이내,,,,관공서(금산군청) 대형상가(하나로마트),초등학교(금산) 중학교(금산) 고등학교(금산),4,0,Y
A31280207,금산상리주공2단지,위탁관리,6,(주)다하리,위탁관리,4,(주)다하리,위탁관리,3,차량수거방식,위탁관리,6,"도포식,분무식,독이식",철근콘크리트구조,950,단일계약,상주선임,R형,부스타방식,위탁관리,28,483,0,무,50,"관리사무소, 노인정, 보육시설, 문고, 주민공동시설, 어린이놀이터, 휴게시설, 유치원, 자전거보관소",5~10분이내,,,,관공서(금산군청),초등학교(금산초) 중학교(금산여중) 고등학교(금산여고),10,0,Y
A31280208,금산상리주공 아파트,위탁관리,6,대흥종합관리(주),위탁관리,6,(주)민재산업,위탁관리,6,차량수거방식,위탁관리,4,"도포식,분무식,기구부착식",철근콘크리트구조,1250,단일계약,상주선임,R형,고가수조식,위탁관리,19,508,128,무,116,"관리사무소, 노인정, 보육시설, 어린이놀이터, 휴게시설",5~10분이내,,,,"관공서(금산군청) 대형상가(하나로마트) 공원(금산향교, 이슬공원)",초등학교(금산) 중학교(금산) 고등학교(금산),5,8,Y
A10027862,금산대원칸타빌아파트,위탁관리,6,중앙종합관리(주),자치관리(직영),5,,위탁관리,6,차량수거방식,위탁관리,4,독이식,철근콘크리트구조,3750,단일계약,상주선임,R형,부스타방식,위탁관리,13,95,557,유,155,"관리사무소, 노인정, 보육시설, 문고, 주민공동시설, 어린이놀이터, 휴게시설, 커뮤니티공간, 자전거보관소",15~20분이내,,,,관공서() 병원(),초등학교() 중학교() 고등학교(),14,6,Y
A10023416,e편한세상 금산프라임포레,위탁관리,6,(주)다하리,위탁관리,3,주)다하리,위탁관리,7,차량수거방식,위탁관리,3,분무식,철골철근콘크리트구조,2360,단일계약,상주선임,R형,부스타방식,위탁관리,17,77,625,유,229,,5분이내,,,,,,16,4,Y
A31294101,금산 나이스타운아파트,위탁관리,1,중앙종합관리(주),위탁관리,2,주)중앙종합관리,위탁관리,1,차량수거방식,위탁관리,4,"도포식,분무식",철근콘크리트구조,500,단일계약,위탁선임,P형,고가수조식,위탁관리,3,126,55,무,32,"관리사무소, 노인정, 어린이놀이터",5분이내,,,,관공서() 병원(),대학교(중부대학교),4,0,Y
