kaptCode,kaptName,codeMgr,kaptMgrCnt,kaptCcompany,codeSec,kaptdScnt,kaptdSecCom,codeClean,kaptdClcnt,codeGarbage,codeDisinf,kaptdDcnt,disposalType,codeStr,kaptdEcapa,codeEcon,codeEmgr,codeFalarm,codeWsupply,codeElev,kaptdEcnt,kaptdPcnt,kaptdPcntu,codeNet,kaptdCccnt,welfareFacility,kaptdWtimebus,subwayLine,subwayStation,kaptdWtimesub,convenientFacility,educationFacility,groundElChargerCnt,undergroundElChargerCnt,useYn
A10026290,논산수린나아파트,위탁관리,4,대한주택종합관리(주),위탁관리,3,(주)티에스관리산업,위탁관리,3,차량수거방식,위탁관리,3,분무식,철근콘크리트구조,1450,단일계약,위탁선임,R형,부스타방식,위탁관리,24,207,166,유,54,"관리사무소, 노인정, 보육시설, 어린이놀이터, 자전거보관소",5분이내,,,,,,0,8,Y
A32012001,조흥로즈빌,위탁관리,5,대한주택종합관리(주),위탁관리,2,에쓰앤씨,자치관리(직영),2,차량수거방식,위탁관리,4,분무식,철근콘크리트구조,882,단일계약,위탁선임,P형,부스타방식,위탁관리,11,169,96,무,62,"관리사무소, 노인정, 어린이놀이터, 휴게시설, 자전거보관소",5~10분이내,,,,병원(현대중앙) 기타(논산역),,6,0,Y
A10020464,한청리츠빌아파트,자치관리,1,,자치관리,,,자치관리,1,,위탁관리,,,철골철근콘크리트구조,400,단일계약,위탁선임,P형,부스타방식,위탁관리,0,115,0,무,15,,,,,,,,0,0,Y
A10020689,논산 아이파크 아파트,위탁관리,5,(주)휴먼하우징,위탁관리,,상우시스템,위탁관리,6,차량수거방식,위탁관리,6,도포식,철골철근콘크리트구조,2500,종합계약,상주선임,GR형,부스타방식,위탁관리,17,51,572,유,256,"관리사무소, 노인정, 보육시설, 문고, 주민공동시설, 어린이놀이터, 휴게시설, 커뮤니티공간, 자전거보관소",5~10분이내,,,,,,6,50,Y
A10027286,인터불고코아루아파트,위탁관리,5,대한주택종합관리(주),위탁관리,2,티에스관리산업,위탁관리,3,거점장비수거방식,위탁관리,6,"도포식,분무식",철근콘크리트구조,1300,종합계약,상주선임,R형,부스타방식,위탁관리,8,130,185,유,55,"관리사무소, 노인정, 어린이놀이터, 휴게시설, 자전거보관소",5~10분이내,,,5~10분이내,,,0,7,Y
A10027825,논산대교코아루1차아파트,위탁관리,5,(주)우길,위탁관리,2,부건비엠,위탁관리,3,차량수거방식,위탁관리,4,분무식,철골철근콘크리트구조,1750,단일계약,상주선임,R형,부스타방식,위탁관리,10,125,193,유,79,"관리사무소, 노인정, 보육시설, 어린이놀이터, 자전거보관소",5~10분이내,,,5~10분이내,관공서() 병원(백제병원) 기타(논산역),"초등학교(동성,내동,중앙,부창,반월) 중학교(논산중학교,대건중학교,논산여중,쌘뽈여중,기민중학교) 고등학교(논산고등학교,) 대학교(건양대학교)",6,0,Y
A32080001,대교휴먼시아,위탁관리,5,주택관리공단(주),위탁관리,6,백제환경,위탁관리,3,음식물쓰레기종량제,위탁관리,3,분무식,철근콘크리트구조,0,단일계약,상주선임,R형,부스타방식,위탁관리,12,460,0,무,31,"관리사무소, 노인정, 보육시설, 주민공동시설, 어린이놀이터, 휴게시설, 자전거보관소, 기타",5~10분이내,,,10~15분이내,병원(신동일치과의원) 대형상가(삼성디지털프라자) 기타(재래시장),초등학교(반월초등학교),0,0,Y
A32008001,논산부창주공아파트,자치관리,4,,자치관리,0,,위탁관리,2,차량수거방식,위탁관리,3,분무식,철근콘크리트구조,0,기타,선정안함,기타,수도직결식,,0,152,0,무,26,"관리사무소, 노인정, 어린이놀이터",5~10분이내,,,,,초등학교(부창초등학교) 중학교(논산중학교) 고등학교(논산공업고등학교),0,0,Y
A32008003,논산대림아파트,위탁관리,5,중앙종합관리(주),위탁관리,6,미래엠에스,위탁관리,6,음식물쓰레기종량제,위탁관리,6,"분무식,독이식",철골철근콘크리트구조,1950,단일계약,상주선임,R형,부스타방식,위탁관리,16,237,222,무,103,"관리사무소, 노인정, 주민공동시설, 어린이놀이터, 자전거보관소",5분이내,,,,병원() 공원() 기타(),초등학교() 중학교() 고등학교(),9,0,Y
A32075301,논산 모닝빌아파트,위탁관리,3,(주)우길,위탁관리,2,(유)화이트시스템,자치관리(직영),2,음식물쓰레기종량제,관리방식미정,,,철골콘크리트구조,800,단일계약,위탁선임,R형,부스타방식,위탁관리,7,33,201,무,56,"관리사무소, 노인정, 어린이놀이터, 자전거보관소",5~10분이내,,,,관공서(부창동사무소) 병원(백제병원),초등학교(부창초등학교) 중학교(논산중학교) 고등학교(논산공업고등학교) 대학교(건양대학교),5,0,Y
A10023797,논산골든타워아파트,위탁관리,2,(유)국민종합주택,관리방식미정,4,,위탁관리,2,차량수거방식,위탁관리,4,"도포식,분무식",철골철근콘크리트구조,1950,종합계약,상주선임,GR형,부스타방식,위탁관리,6,94,133,유,66,"관리사무소, 주민공동시설, 휴게시설",5분이내,,,,관공서(논산시청) 병원(논산 백제병원),초등학교(논산중앙초등학교) 중학교(논산중학교) 고등학교(충남체육고등학교) 대학교(논산 건양대학교),6,0,Y
A10027506,취암모닝빌아파트,위탁관리,2,(주)우길,위탁관리,2,(주)TS관리산업,위탁관리,1,차량수거방식,위탁관리,6,"분무식,독이식",철근콘크리트구조,1200,단일계약,위탁선임,R형,부스타방식,위탁관리,6,42,120,유,43,"관리사무소, 노인정, 주민공동시설, 어린이놀이터, 자전거보관소",5~10분이내,,,20분초과,관공서() 병원() 대형상가() 공원(),초등학교() 중학교() 고등학교() 대학교(),0,4,Y
A32080202,논산 세미클래식아파트,위탁관리,2,(주)우길,위탁관리,2,(주)티에스관리산업,자치관리,1,차량수거방식,위탁관리,6,분무식,철골철근콘크리트구조,500,단일계약,위탁선임,P형,고가수조식,위탁관리,2,56,83,무,22,"관리사무소, 노인정, 어린이놀이터, 자전거보관소",5분이내,,,,,,3,0,Y
A32080203,논산 취암주공1단지아파트,위탁관리,4,(주)장남,위탁관리,2,(주)장남,위탁관리,4,음식물쓰레기종량제,위탁관리,4,분무식,철근콘크리트구조,650,단일계약,위탁선임,R형,부스타방식,위탁관리,10,403,0,무,23,"관리사무소, 노인정, 주민공동시설, 어린이놀이터, 자전거보관소, 기타",5~10분이내,,,,"관공서(논산시청, 논산시보건서) 병원(치과, 한의원, 내과등) 공원(어린이공원) 기타(공설운동장)","초등학교(논산내동) 중학교(논산여자) 고등학교(논산, 논산여자, 논사여자상업) 대학교(건양)",8,0,Y
A32080205,논산 취암 주공 2단지 아파트,위탁관리,6,주식회사 충원,위탁관리,4,(주)충원,위탁관리,4,음식물쓰레기종량제,위탁관리,4,분무식,철근콘크리트구조,1300,단일계약,상주선임,R형,부스타방식,위탁관리,24,528,0,무,58,"관리사무소, 노인정, 보육시설, 주민공동시설, 어린이놀이터, 휴게시설, 자전거보관소",5~10분이내,,,,관공서(시청) 병원(백제종합병원) 기타(공설운동장),초등학교(중앙) 중학교(논산여자) 고등학교(논산) 대학교(건양),11,0,Y
A32080301,논산취암리슈빌아파트,위탁관리,5,대한주택종합관리(주),위탁관리,4,(주)에스앤씨,위탁관리,5,차량수거방식,위탁관리,6,"분무식,독이식",철근콘크리트구조,2150,단일계약,상주선임,GR형,부스타방식,위탁관리,16,248,380,유,140,"관리사무소, 노인정, 어린이놀이터, 자전거보관소",5~10분이내,,,,관공서(보건소) 병원(백제 병원) 대형상가(홈플러스) 공원(논산시민공원) 기타(시외버스 터미널),"초등학교(동성초교) 중학교(논산중,여중) 고등학교(논산고) 대학교(건양대)",0,13,Y
A10022582,논산 내동모닝빌2차아파트,위탁관리,1,(주)우길,위탁관리,,승리에스엠(주),위탁관리,1,차량수거방식,위탁관리,4,분무식,철골철근콘크리트구조,700,종합계약,위탁선임,R형,부스타방식,위탁관리,5,48,110,무,38,"관리사무소, 노인정, 어린이놀이터, 커뮤니티공간",5분이내,,,,,,4,3,Y
A10025700,힐스테이트자이논산아파트,위탁관리,7,우리관리(주),위탁관리,6,(주)홈스웰,위탁관리,8,차량수거방식,위탁관리,4,분무식,철근콘크리트구조,3300,단일계약,상주선임,R형,부스타방식,위탁관리,19,130,888,유,254,"관리사무소, 노인정, 문고, 주민공동시설, 어린이놀이터, 유치원, 커뮤니티공간, 자전거보관소",5분이내,,,,관공서() 병원() 대형상가() 공원(),초등학교() 중학교() 고등학교() 대학교(),3,18,Y
A10027811,LH논산내동1단지,위탁관리,5,(주)휴먼하우징,위탁관리,4,(주)에스앤씨,위탁관리,5,차량수거방식,위탁관리,3,"분무식,기구부착식",철근콘크리트구조,1650,단일계약,상주선임,R형,부스타방식,위탁관리,34,128,323,유,128,"관리사무소, 노인정, 보육시설, 문고, 주민공동시설, 어린이놀이터, 휴게시설, 커뮤니티공간, 자전거보관소",5분이내,,,,관공서(논산시청) 병원(백제병원) 대형상가(농협하나로마트),초등학교(내동초등학교) 고등학교(논산고등학교) 대학교(건양대학),9,0,Y
A10028189,LH리벤하임아파트,위탁관리,7,(주)장남,위탁관리,3,(주)장남,위탁관리,9,차량수거방식,위탁관리,6,분무식,철골철근콘크리트구조,2950,단일계약,상주선임,R형,부스타방식,위탁관리,23,184,725,유,214,"관리사무소, 노인정, 보육시설, 문고, 주민공동시설, 어린이놀이터, 커뮤니티공간, 자전거보관소",5~10분이내,,,,관공서(논산시청) 병원(백제병원) 대형상가(홈플러스) 공원(내동공원),초등학교(내동초등학교) 중학교(논산여중) 고등학교(논산고등학교) 대학교(건양대학교),0,9,Y
A32003002,아주,위탁관리,4,(주)우길,위탁관리,2,(주)티에스관리산업,위탁관리,3,음식물쓰레기종량제,위탁관리,6,분무식,철근콘크리트구조,1548,단일계약,위탁선임,P형,부스타방식,위탁관리,16,151,0,무,51,"관리사무소, 노인정, 주민공동시설, 어린이놀이터, 휴게시설, 자전거보관소",5~10분이내,,,,관공서(논산시청) 병원(백제) 대형상가(홈프러스),초등학교(중앙) 고등학교(논산여자상업고등학교) 대학교(건양대학교),4,0,Y
A32003003,개나리,위탁관리,2,대한주택종합관리(주),자치관리(직영),2,,위탁관리,1,기타,위탁관리,0,,철근콘크리트구조,0,기타,선정안함,P형,부스타방식,위탁관리,2,34,0,무,16,"관리사무소, 노인정, 어린이놀이터, 자전거보관소",5~10분이내,,,,관공서(논산시청) 병원(백제종합병원),초등학교(중앙초등학교) 고등학교(논산상업고등학교) 대학교(건양),0,0,Y
A32003004,동신아파트,위탁관리,4,대한주택종합관리(주),위탁관리,2,(주) 에쓰앤씨,자치관리(직영),3,거점장비수거방식,자치관리,0,,철근콘크리트구조,982,단일계약,위탁선임,P형,부스타방식,위탁관리,12,134,80,무,52,"관리사무소, 노인정, 어린이놀이터, 자전거보관소",5분이내,,,,관공서(논산시청) 병원(연세푸른의원) 대형상가(홈플러스),초등학교(내동초등학교) 중학교(논산여자중학교) 고등학교(충남체육고등학교) 대학교(건양),0,5,Y
A32003007,논산제이파크2단지,위탁관리,5,주)우길,위탁관리,3,(주)티에스관리산업,위탁관리,4,차량수거방식,위탁관리,6,"도포식,분무식",철근콘크리트구조,1850,단일계약,상주선임,P형,고가수조식,위탁관리,16,407,68,무,64,"관리사무소, 노인정",5~10분이내,,,,관공서(논산시청) 병원(백제종합병원),초등학교(중앙초등학교) 중학교(논산여자중학교) 고등학교(논산여자고등학교) 대학교(건양),2,8,Y
