kaptCode,kaptName,codeMgr,kaptMgrCnt,kaptCcompany,codeSec,kaptdScnt,kaptdSecCom,codeClean,kaptdClcnt,codeGarbage,codeDisinf,kaptdDcnt,disposalType,codeStr,kaptdEcapa,codeEcon,codeEmgr,codeFalarm,codeWsupply,codeElev,kaptdEcnt,kaptdPcnt,kaptdPcntu,codeNet,kaptdCccnt,welfareFacility,kaptdWtimebus,subwayLine,subwayStation,kaptdWtimesub,convenientFacility,educationFacility,groundElChargerCnt,undergroundElChargerCnt,useYn
A10020693,서오맨션아파트,자치관리,,,,,,,,,,,,,,,,,,,0,,,,,,5분이내,,,,,,0,0,Y
A10021452,시티타워,자치관리,3,,자치관리,,,자치관리,1,차량수거방식,위탁관리,2,분무식,철근콘크리트구조,2051,단일계약,기타,GR형,압력탱크식,위탁관리,3,0,214,무,45,,5분이내,,,,,,0,0,Y
A10027882,보령라온프라이빗아파트,위탁관리,5,우리관리(주),위탁관리,2,(주)크린서비스,자치관리,2,차량수거방식,위탁관리,3,,철근콘크리트구조,1750,단일계약,상주선임,R형,부스타방식,위탁관리,10,0,330,유,80,"관리사무소, 노인정, 주민공동시설, 어린이놀이터, 휴게시설, 자전거보관소",5분이내,,,,관공서(),"고등학교(대천고등학교, 대천여자고등학교)",0,0,Y
A35501001,보령동부,위탁관리,4,더씨앤(주),위탁관리,2,더씨앤 (주),위탁관리,2,차량수거방식,위탁관리,3,분무식,철근콘크리트구조,800,단일계약,위탁선임,P형,수도직결식,위탁관리,11,133,184,무,68,"관리사무소, 노인정, 어린이놀이터, 휴게시설",5~10분이내,,,,"관공서(대천동사무소, 보령시법원) 기타(대천체육관)","초등학교(대천초교, 대남초교) 중학교(한내여중교, 대천여중교, 대명중교) 고등학교(대천여고교)",6,0,Y
A35501002,보령청원태영,자치관리,2,,자치관리,2,,자치관리,1,음식물쓰레기종량제,자치관리,1,"분무식,기구부착식",철근콘크리트구조,800,단일계약,위탁선임,P형,부스타방식,위탁관리,4,60,105,무,28,"관리사무소, 노인정, 어린이놀이터, 휴게시설, 자전거보관소",10~15분이내,서해선,,10~15분이내,"관공서(대천동사무소, 보령시법원) 병원(신제일병원) 대형상가(이마트) 공원(대천천 하상공원) 기타(대천체육관)","초등학교(대천초교, 대남초교) 중학교(한내여중교, 대천여중교, 대명중교) 고등학교(대천여고교)",4,0,Y
A35501005,보령대천휴먼시아,위탁관리,2,(주)다하리,위탁관리,2,(주)다하리,위탁관리,1,음식물쓰레기종량제,,,,철근콘크리트구조,700,단일계약,위탁선임,R형,부스타방식,위탁관리,3,88,88,무,26,"관리사무소, 노인정, 어린이놀이터, 자전거보관소",5분이내,,,,관공서(보령시교육청) 기타(대천시외버스터미널),초등학교(대관초교) 고등학교(대천여고),4,0,Y
A35577101,대천흥화아파트,자치관리,3,,자치관리,3,,자치관리,3,차량수거방식,위탁관리,3,"도포식,분무식,기구부착식",철근콘크리트구조,950,단일계약,위탁선임,P형,부스타방식,위탁관리,11,188,205,무,69,"관리사무소, 노인정, 어린이놀이터, 자전거보관소",5분이내,,,,"관공서(대천동사무소, 보령시법원) 공원(솔밭공원) 기타(대천체육관)","초등학교(대관초교, 대천초교, 대남초교) 중학교(한내여중교, 대천여중교) 고등학교(대천여고교, 대천고교.)",0,0,Y
A10020762,유성2차아파트,자치관리,3,,,,,위탁관리,5,음식물쓰레기종량제,관리방식미정,,,철근콘크리트구조,34,기타,선정안함,P형,고가수조식,,0,93,0,무,16,,5분이내,,,,,,0,0,Y
A35512002,보령 죽정성지리벨루스아파트,위탁관리,3,(주)다하리,위탁관리,3,(주)다하리,자치관리(직영),2,음식물쓰레기종량제,위탁관리,3,"도포식,분무식",철근콘크리트구조,950,단일계약,위탁선임,P형,부스타방식,위탁관리,9,96,162,무,57,"관리사무소, 노인정, 어린이놀이터, 자전거보관소, 기타",5~10분이내,,,,병원(보령중앙병원) 기타(대천체육관),초등학교(대천초등학교) 고등학교(대천고등학교),6,3,Y
A35512003,보령 부경파크빌아파트,위탁관리,4,주식회사다하리,위탁관리,2,(주)다하리,자치관리(직영),3,음식물쓰레기종량제,위탁관리,3,도포식,철근콘크리트구조,1250,단일계약,상주선임,R형,부스타방식,위탁관리,11,183,184,무,63,"관리사무소, 노인정, 주민공동시설, 어린이놀이터",5분이내,,,,,초등학교(대천초교) 고등학교(대천고등학교),7,0,Y
A35512004,보령 유성1차 아파트,자치관리,3,,자치관리,0,,자치관리,1,음식물쓰레기종량제,위탁관리,3,"도포식,분무식,기구부착식",철근콘크리트구조,0,기타,기타,기타,고가수조식,,0,224,0,무,24,"관리사무소, 노인정, 어린이놀이터",5~10분이내,,,,"병원(보령중앙병원,치과,가정의학과) 기타(대천체육관, 롯데슈퍼)",초등학교(대천초등학교) 고등학교(대천고등학교),5,0,Y
A35512007,대우아파트,자치관리,5,,자치관리(직영),4,,자치관리(직영),3,차량수거방식,위탁관리,3,"도포식,분무식",철근콘크리트구조,970,단일계약,위탁선임,P형,부스타방식,위탁관리,12,198,104,무,59,"관리사무소, 노인정, 보육시설, 주민공동시설, 어린이놀이터, 자전거보관소",5~10분이내,,,,기타(대천체육관),고등학교(대천고등학교),0,0,Y
A35512009,보령죽정주공아파트,위탁관리,6,대한종합관리(주),위탁관리,4,주식회사 갤럭시코리아,위탁관리,4,차량수거방식,자치관리,3,"도포식,분무식,독이식",벽돌구조,1050,단일계약,상주선임,R형,부스타방식,위탁관리,22,544,0,무,48,"관리사무소, 노인정, 보육시설, 주민공동시설, 어린이놀이터, 자전거보관소, 기타",5~10분이내,,,,병원(보령 중앙병원) 기타(대천체육관),초등학교(대천초등학교) 고등학교(대천고등학교),11,0,Y
A35576805,보령죽정현대아파트,위탁관리,3,(주)다하리,위탁관리,4,(주)다하리,자치관리(직영),3,차량수거방식,위탁관리,3,도포식,철근콘크리트구조,1175,단일계약,위탁선임,P형,고가수조식,위탁관리,13,153,77,무,56,"관리사무소, 노인정, 보육시설, 어린이놀이터, 자전거보관소",5~10분이내,,,,병원(대천중앙병원) 기타(대천체육관),고등학교(대천고등학교),0,0,Y
A10020728,성진국민주택,자치관리,2,,,,,자치관리,0,,자치관리,,,철근콘크리트구조,0,단일계약,선정안함,기타,기타,,0,80,0,무,6,,5분이내,,,,,,0,0,Y
