kaptCode,kaptName,codeMgr,kaptMgrCnt,kaptCcompany,codeSec,kaptdScnt,kaptdSecCom,codeClean,kaptdClcnt,codeGarbage,codeDisinf,kaptdDcnt,disposalType,codeStr,kaptdEcapa,codeEcon,codeEmgr,codeFalarm,codeWsupply,codeElev,kaptdEcnt,kaptdPcnt,kaptdPcntu,codeNet,kaptdCccnt,welfareFacility,kaptdWtimebus,subwayLine,subwayStation,kaptdWtimesub,convenientFacility,educationFacility,groundElChargerCnt,undergroundElChargerCnt,useYn
A32380606,부여동남아파트,위탁관리,4,(주)다하리,위탁관리,0,,위탁관리(직영+위탁),1,음식물쓰레기종량제,위탁관리,4,분무식,철근콘크리트구조,0,단일계약,기타,기타,수도직결식,,0,165,0,무,34,"관리사무소, 노인정, 어린이놀이터, 자전거보관소",5~10분이내,,,,관공서(부여읍사무소) 공원(어린이공원),초등학교(백제) 중학교(부여) 고등학교(부여),4,0,Y
A32380803,부여쌍북주공1단지,위탁관리,4,중앙종합관리(주),,,,자치관리,1,거점장비수거방식,위탁관리,4,분무식,철근콘크리트구조,0,기타,선정안함,기타,수도직결식,,0,184,0,무,18,"관리사무소, 노인정, 어린이놀이터, 자전거보관소, 기타",5~10분이내,,,,대형상가(OK마트),초등학교(부여초등학교) 중학교(부여여자중학교) 고등학교(부여여자고등학교),4,0,Y
A32380804,부여홍선금동아파트,위탁관리,5,중앙종합관리(주),위탁관리,2,탑스관리(주),자치관리(직영),2,차량수거방식,위탁관리,4,분무식,철근콘크리트구조,950,단일계약,위탁선임,P형,부스타방식,위탁관리,42,234,178,무,96,"관리사무소, 노인정, 주민공동시설, 어린이놀이터, 휴게시설, 자전거보관소",5분이내,,,,,,9,0,Y
A32380805,부여쌍북왕궁,위탁관리,4,(주)우길,위탁관리,2,주식회사 티에스,위탁관리,4,차량수거방식,위탁관리,4,분무식,철근콘크리트구조,256,종합계약,위탁선임,기타,수도직결식,,0,469,0,무,102,"관리사무소, 노인정, 어린이놀이터, 자전거보관소",5~10분이내,,,20분초과,,초등학교(부여초등학교) 중학교(부여여자중학교) 고등학교(부여여자),2,0,Y
A32380807,부여쌍북주공2단지,위탁관리,4,주택관리공단(주),,,,위탁관리,2,음식물쓰레기종량제,위탁관리,3,분무식,철근콘크리트구조,380,기타,위탁선임,기타,부스타방식,,0,97,0,무,44,"관리사무소, 노인정, 주민공동시설, 어린이놀이터, 자전거보관소",5~10분이내,,,,관공서(부여 읍사무소) 공원(도시자연공원),초등학교(부여초등학교) 중학교(부여여자중학교) 고등학교(부여여자),0,0,Y
A10026258,부여센트럴휴엔하임아파트,위탁관리,6,대한주택종합관리(주),위탁관리,3,티에스관리산업,위탁관리,6,차량수거방식,위탁관리,6,"도포식,분무식",철골철근콘크리트구조,2750,종합계약,상주선임,R형,부스타방식,위탁관리,22,494,342,유,126,"관리사무소, 노인정, 보육시설, 문고, 주민공동시설, 어린이놀이터, 자전거보관소",5분이내,,,,,초등학교(규암초등학교),17,0,Y
A32381302,부여무지개아파트,위탁관리,4,(주)중앙종합관리,위탁관리,2,(주)티에스관리산업,위탁관리,2,음식물쓰레기종량제,위탁관리,4,"분무식,기구부착식",철골철근콘크리트구조,1036,단일계약,위탁선임,P형,부스타방식,위탁관리,10,229,75,무,58,"관리사무소, 노인정, 어린이놀이터, 휴게시설, 자전거보관소",5~10분이내,,,,"관공서(규암면사무소, 소방서, 규암우체국 등) 병원(부여노인병원, 규암보건지소) 대형상가(롯데아울렛) 공원(백제문화단지 고분공원, 토성공원) 기타(단지내 CU편의점)",초등학교(규암초등학교) 중학교(백제중학교) 고등학교(부여정보고등학교) 대학교(한국전통문화대학교),8,0,Y
A32381303,대동황토방,위탁관리,5,중앙종합관리(주),위탁관리,2,티에스관리산업,위탁관리,2,음식물쓰레기종량제,위탁관리,4,"도포식,분무식",철근콘크리트구조,1800,종합계약,상주선임,GR형,부스타방식,위탁관리,14,150,277,무,62,"관리사무소, 노인정, 어린이놀이터, 자전거보관소",5~10분이내,,,,관공서(면사무소) 병원(부여노인병원),초등학교(규암) 중학교(백제중학교) 고등학교(부여정보),9,0,Y
A10026334,부여코아루더퍼스트아파트,위탁관리,5,(주)우길,위탁관리,3,(주)티에스관리산업,자치관리(직영),2,음식물쓰레기종량제,위탁관리,3,"분무식,독이식",철골철근콘크리트구조,2760,단일계약,상주선임,R형,부스타방식,위탁관리,12,89,364,유,85,"관리사무소, 노인정, 보육시설, 주민공동시설, 어린이놀이터, 휴게시설, 자전거보관소",5분이내,,,,"관공서(부여군청, 규암면사무소) 병원(건양대부여병원) 대형상가(부여중앙시장) 기타(롯데아울렛)",초등학교(규암초등학교) 중학교(백제중학교) 고등학교(부여고등학교) 대학교(부여전통대학교),10,0,Y
A10027407,부여규암LH천년나무1단지아파트,위탁관리,4,주식회사 충원,위탁관리,2,(주)충원,위탁관리,2,차량수거방식,위탁관리,4,"도포식,분무식",철근콘크리트구조,1400,단일계약,위탁선임,R형,부스타방식,위탁관리,8,321,0,무,39,"관리사무소, 노인정, 문고, 주민공동시설, 어린이놀이터, 유치원, 커뮤니티공간, 자전거보관소",5분이내,,,,관공서(규암면사무소) 공원(수북정),초등학교(규암초등학교) 중학교(백제중학교) 고등학교(부여상업고등학교),5,0,Y
A32381601,부여강산,위탁관리,3,주식회사 우길,위탁관리,2,(주)티에스관리산업,위탁관리(직영+위탁),2,기타,관리방식미정,0,,철근콘크리트구조,985,단일계약,위탁선임,P형,부스타방식,위탁관리,9,108,155,무,60,"관리사무소, 노인정, 어린이놀이터, 자전거보관소",5분이내,,,,"관공서(규암면사무소) 병원(규암보건지소) 기타(반산저수지, 부여공설운동장)",초등학교(합송) 중학교(백제) 고등학교(정보) 대학교(한국전통문화대학교),6,0,Y
