kaptCode,kaptName,codeMgr,kaptMgrCnt,kaptCcompany,codeSec,kaptdScnt,kaptdSecCom,codeClean,kaptdClcnt,codeGarbage,codeDisinf,kaptdDcnt,disposalType,codeStr,kaptdEcapa,codeEcon,codeEmgr,codeFalarm,codeWsupply,codeElev,kaptdEcnt,kaptdPcnt,kaptdPcntu,codeNet,kaptdCccnt,welfareFacility,kaptdWtimebus,subwayLine,subwayStation,kaptdWtimesub,convenientFacility,educationFacility,groundElChargerCnt,undergroundElChargerCnt,useYn
A10026295,서산읍내양우내안애퍼스트힐,위탁관리,8,(주)FS탄영,위탁관리,4,에프에스탄영(주),위탁관리,9,음식물쓰레기종량제,위탁관리,3,도포식,철골철근콘크리트구조,3900,단일계약,상주선임,GR형,부스타방식,위탁관리,27,72,1070,유,197,"관리사무소, 노인정, 보육시설, 문고, 주민공동시설, 어린이놀이터, 휴게시설, 커뮤니티공간, 자전거보관소, 기타",5분이내,,,,관공서() 공원() 기타(편의점),초등학교() 중학교(),0,0,Y
A10026344,서산푸르밸리아파트,위탁관리,2,(주)FS탄영,관리방식미정,0,,자치관리,1,차량수거방식,관리방식미정,0,,철근콘크리트구조,1159,종합계약,위탁선임,R형,부스타방식,위탁관리,2,123,28,무,26,관리사무소,5분이내,,,,,,0,0,Y
A35680504,서산 읍내현대아파트,위탁관리,6,(주)FS탄영,위탁관리,10,시엠주식회사,위탁관리,6,음식물쓰레기종량제,위탁관리,3,분무식,철근콘크리트구조,2375,단일계약,상주선임,R형,부스타방식,위탁관리,24,524,446,무,257,"관리사무소, 노인정, 보육시설, 문고, 주민공동시설, 어린이놀이터, 휴게시설, 자전거보관소",5분이내,,,,"관공서(서산시청, 경찰서,소방서,보건소) 병원(의료원) 대형상가(롯데마트,농협하나로마트) 공원(호수공원)","초등학교(부춘초교) 중학교(부춘중교, 서산중교) 고등학교(서령고교,서산여고)",20,0,Y
A35680601,동신아파트,자치관리,4,,자치관리,2,,자치관리(직영),2,음식물쓰레기종량제,위탁관리,3,분무식,철근콘크리트구조,950,단일계약,위탁선임,P형,부스타방식,위탁관리,6,164,76,무,60,"관리사무소, 노인정, 어린이놀이터, 휴게시설, 자전거보관소",5~10분이내,,,,"관공서(서산시청, 대전지방법원 서산지원) 병원(한내과의원, 재활의학과 병원) 백화점(그린필백화점) 대형상가(월드마트, 수협백화점) 공원(명륜공원, 성안공원)","초등학교(학돌초교, 부춘초교) 중학교(부춘중교, 서령중교) 고등학교(서령고교)",4,1,Y
A35680602,서산 대림동신아파트,위탁관리,4,주식회사 충원,위탁관리,4,(주)홍덕,위탁관리,4,차량수거방식,위탁관리,3,분무식,철근콘크리트구조,1150,단일계약,위탁선임,P형,부스타방식,위탁관리,12,257,108,무,64,"관리사무소, 노인정, 어린이놀이터, 자전거보관소, 기타",5분이내,,,,"관공서(서산시청,) 병원(정재훈의원)","초등학교(학돌초, 부춘초) 중학교(부춘중, 서령중) 고등학교(서령고) 대학교(한서대학교)",2,6,Y
A35680603,서산롯데캐슬아파트,위탁관리,7,에프에스탄영,위탁관리,4,시엠주식회사,위탁관리,6,음식물쓰레기종량제,위탁관리,3,"도포식,분무식,독이식",철골철근콘크리트구조,2400,단일계약,상주선임,GR형,부스타방식,위탁관리,30,391,630,무,158,"관리사무소, 노인정, 보육시설, 문고, 주민공동시설, 어린이놀이터, 휴게시설, 커뮤니티공간, 자전거보관소",5분이내,,,,"관공서(서산경찰서) 병원(서산의료원) 대형상가(롯데마트 , 이마트) 공원(호수공원)",초등학교(부춘초등학교) 중학교(부춘중학교) 고등학교(서령고등학교),22,0,Y
A35680605,서산부영아파트,위탁관리,6,(주)다하리,위탁관리,6,다하리,위탁관리,5,차량수거방식,위탁관리,4,"도포식,분무식",철근콘크리트구조,502,기타,위탁선임,P형,부스타방식,위탁관리,14,415,267,무,95,"관리사무소, 노인정, 어린이놀이터, 유치원",5~10분이내,,,,관공서(서산시청) 병원(정재훈내과) 공원(명륜공원) 기타(학생수영장),초등학교(학돌초교) 중학교(부춘중교),0,6,Y
A10020876,영진훼미리아파트,자치관리(직영),2,,자치관리,,,자치관리(직영),2,차량수거방식,관리방식미정,,,철골철근콘크리트구조,450,종합계약,위탁선임,기타,기타,위탁관리,4,90,0,무,14,,5분이내,,,,,,0,0,Y
A10023590,하트리움,위탁관리(직영+위탁),3,,자치관리,1,,자치관리(직영),1,차량수거방식,자치관리,1,분무식,철골콘크리트구조,600,종합계약,위탁선임,GR형,부스타방식,위탁관리,2,66,21,무,46,,5분이내,,,,,,0,0,Y
A10026078,서산동문 꿈에그린 아파트,위탁관리,5,(주)FS탄영,위탁관리,3,(주)에프에스 탄영,위탁관리,5,차량수거방식,위탁관리,3,분무식,철근콘크리트구조,2500,종합계약,상주선임,GR형,부스타방식,위탁관리,14,53,548,유,150,"관리사무소, 노인정, 보육시설, 문고, 주민공동시설, 어린이놀이터, 커뮤니티공간, 자전거보관소",5분이내,,,,,초등학교(동문초등학교) 중학교(서령중학교) 고등학교(서령고등학교),13,0,Y
