kaptCode,kaptName,codeMgr,kaptMgrCnt,kaptCcompany,codeSec,kaptdScnt,kaptdSecCom,codeClean,kaptdClcnt,codeGarbage,codeDisinf,kaptdDcnt,disposalType,codeStr,kaptdEcapa,codeEcon,codeEmgr,codeFalarm,codeWsupply,codeElev,kaptdEcnt,kaptdPcnt,kaptdPcntu,codeNet,kaptdCccnt,welfareFacility,kaptdWtimebus,subwayLine,subwayStation,kaptdWtimesub,convenientFacility,educationFacility,groundElChargerCnt,undergroundElChargerCnt,useYn
A10022679,아산칸타빌센트럴시티아파트,위탁관리,4,더씨앤(주),위탁관리,2,(주)대승관리,위탁관리,4,거점장비수거방식,관리방식미정,0,,철근콘크리트구조,3020,단일계약,상주선임,GR형,수도직결식,관리방식미정,9,0,344,유,117,"관리사무소, 노인정, 보육시설, 주민공동시설, 어린이놀이터, 휴게시설, 커뮤니티공간, 자전거보관소",5분이내,,,,,,0,1,Y
A10022814,삼일파라뷰 시그니처,위탁관리,5,주식회사 충원,위탁관리,2,주식회사충원,위탁관리,4,음식물쓰레기종량제,위탁관리,3,분무식,철골철근콘크리트구조,1750,종합계약,상주선임,R형,부스타방식,위탁관리,10,11,550,유,208,"관리사무소, 노인정, 보육시설, 주민공동시설, 어린이놀이터, 휴게시설, 자전거보관소",5분이내,,,,,,0,8,Y
A10026233,갤러리휴리움 아산,위탁관리,4,(주)케이티팝스,자치관리,0,,자치관리,1,차량수거방식,위탁관리,2,분무식,철골철근콘크리트구조,1190,단일계약,위탁선임,R형,부스타방식,위탁관리,3,116,21,무,28,"관리사무소, 자전거보관소",5분이내,1호선,,5~10분이내,,,2,0,Y
A10027131,아산온천미소지움아파트,위탁관리,5,(주)휴먼하우징,위탁관리,4,(주)에스원,위탁관리,6,차량수거방식,위탁관리,4,분무식,철골콘크리트구조,3510,단일계약,상주선임,GR형,부스타방식,위탁관리,14,122,552,유,181,"관리사무소, 노인정, 보육시설, 문고, 주민공동시설, 어린이놀이터, 커뮤니티공간, 자전거보관소",5분이내,,,5~10분이내,"관공서(온양1동사무소, 아산시청) 병원(충무병원) 대형상가(이마트) 공원()",초등학교() 중학교(),14,11,Y
A10027179,올리브힐,위탁관리,1,주식회사 강남씨스템,자치관리(직영),2,,자치관리(직영),1,음식물쓰레기종량제,위탁관리,5,"분무식,독이식",철근콘크리트구조,600,단일계약,위탁선임,GR형,부스타방식,위탁관리,4,39,89,무,74,"관리사무소, 자전거보관소",5분이내,1호선,,5~10분이내,관공서(아산시청) 기타(온양온청시장),초등학교(온양온천초등학교),0,0,Y
A10027531,아산 반도유보라 아파트,위탁관리,6,(주)휴먼하우징,위탁관리,4,(주)지피에스시큐리티,위탁관리,6,차량수거방식,위탁관리,4,분무식,철골철근콘크리트구조,2873,단일계약,상주선임,R형,부스타방식,위탁관리,17,6,741,유,221,"관리사무소, 노인정, 보육시설, 문고, 주민공동시설, 어린이놀이터, 휴게시설, 커뮤니티공간, 자전거보관소",5분이내,,,5~10분이내,,,0,7,Y
A33601001,아산 경남아너스빌아파트,위탁관리,5,(주)휴먼하우징,위탁관리,2,거산종합관리(주),위탁관리,2,차량수거방식,위탁관리,3,"분무식,기구부착식",철근콘크리트구조,1320,단일계약,상주선임,P형,고가수조식,위탁관리,12,139,137,무,64,"관리사무소, 노인정, 주민공동시설, 어린이놀이터, 자전거보관소",5~10분이내,1호선,,5~10분이내,관공서(아산시청) 병원(현대의원),초등학교(중앙초등교) 중학교(온양중학교) 고등학교(온양고등학교),6,0,Y
A33601002,온양일성아파트,위탁관리,4,충남주택관리(주),위탁관리,3,더씨앤(주),위탁관리,3,음식물쓰레기종량제,위탁관리,4,분무식,철근콘크리트구조,935,단일계약,위탁선임,P형,부스타방식,위탁관리,13,159,148,무,72,"관리사무소, 노인정, 주민공동시설, 어린이놀이터, 휴게시설, 자전거보관소",5~10분이내,,,5~10분이내,관공서(아산시청) 병원() 대형상가(전자랜드21-아산점) 공원(),초등학교(온천초등학교) 중학교(아산중학교) 고등학교(아산고등학교),0,7,Y
A33601003,모노팰리스,자치관리,2,,자치관리(직영),0,,자치관리(직영),1,거점장비수거방식,위탁관리,4,"도포식,분무식,기구부착식",철근콘크리트구조,1350,단일계약,상주선임,R형,부스타방식,위탁관리,2,92,0,무,56,"관리사무소, 자전거보관소",5분이내,1호선,온양온천역,5~10분이내,관공서(아산시청.) 병원(충무병원),초등학교(온천초) 중학교(온여중) 고등학교(온여고),0,0,Y
A33601201,아산 삼정하이츠아파트,자치관리,2,,자치관리,2,,자치관리,2,차량수거방식,위탁관리,4,분무식,철근콘크리트구조,0,종합계약,선정안함,P형,수도직결식,,0,65,0,무,25,"관리사무소, 노인정, 어린이놀이터, 자전거보관소",5~10분이내,1호선,온양온천역,5~10분이내,관공서(아산시청) 병원(현대.충무) 기타(),초등학교(중앙초교) 중학교(온양. 용화중학교) 고등학교(용화고등학교),3,0,Y
