kaptCode,kaptName,codeMgr,kaptMgrCnt,kaptCcompany,codeSec,kaptdScnt,kaptdSecCom,codeClean,kaptdClcnt,codeGarbage,codeDisinf,kaptdDcnt,disposalType,codeStr,kaptdEcapa,codeEcon,codeEmgr,codeFalarm,codeWsupply,codeElev,kaptdEcnt,kaptdPcnt,kaptdPcntu,codeNet,kaptdCccnt,welfareFacility,kaptdWtimebus,subwayLine,subwayStation,kaptdWtimesub,convenientFacility,educationFacility,groundElChargerCnt,undergroundElChargerCnt,useYn
A10023735,천안역세권LH행복주택,위탁관리,2,주식회사 강남씨스템,위탁관리,2,(주)강남씨스템,위탁관리,1,차량수거방식,위탁관리,4,분무식,철근콘크리트구조,350,단일계약,상주선임,R형,부스타방식,위탁관리,3,4,126,유,50,"관리사무소, 주민공동시설, 어린이놀이터, 자전거보관소",5분이내,1호선,,5분이내,관공서(서북구청) 병원(순천향대학병원),초등학교(와촌초등학교),0,2,Y
A10024315,천안역사동아라이크텐아파트,위탁관리,9,주식회사 충원,위탁관리,6,(주)에스원,위탁관리,9,음식물쓰레기종량제,위탁관리,4,분무식,철근콘크리트구조,5860,단일계약,상주선임,GR형,부스타방식,위탁관리,20,0,1193,유,288,"관리사무소, 노인정, 보육시설, 문고, 주민공동시설, 어린이놀이터, 휴게시설, 커뮤니티공간, 자전거보관소, 기타",5분이내,1호선,,5분이내,,초등학교(),0,24,Y
A33172401,신동아파밀리에,위탁관리,6,(주)금강주택관리,위탁관리,4,금강주택관리,위탁관리,6,음식물쓰레기종량제,위탁관리,4,분무식,철근콘크리트구조,2260,단일계약,상주선임,R형,부스타방식,위탁관리,21,176,544,무,147,"관리사무소, 노인정, 보육시설, 주민공동시설, 어린이놀이터, 자전거보관소",5분이내,,,5분이내,병원(순천향대학병원) 기타(천안역),"초등학교(와촌초) 중학교(계광중, 천안서여중교) 고등학교(천안여자정보고교, 천안고등학교)",0,10,Y
A10020522,대우성촌프라자아파트,자치관리,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,0,0,Y
A10020661,천안역 경남아너스빌 어반하이츠 아파트,위탁관리,10,(주)휴먼하우징,위탁관리,,(주)휴먼하우징,위탁관리,4,음식물쓰레기종량제,관리방식미정,,,철골철근콘크리트구조,1950,종합계약,상주선임,GR형,부스타방식,위탁관리,18,44,326,유,115,"관리사무소, 노인정, 주민공동시설, 어린이놀이터, 커뮤니티공간, 자전거보관소",5~10분이내,,,,,,8,0,Y
A10020914,학산리젠다빌 2차 B동,관리방식미정,3,,,,,관리방식미정,1,,위탁관리,3,분무식,기타철골철근콘크리트구조,1150,단일계약,위탁선임,R형,부스타방식,위탁관리,6,0,34,무,39,,5분이내,,,10~15분이내,,,0,0,Y
A10022728,비바루체,위탁관리,6,주식회사 이수에이엠씨,,0,,위탁관리,2,음식물쓰레기종량제,위탁관리,4,분무식,철근콘크리트구조,950,종합계약,상주선임,GR형,부스타방식,위탁관리,2,2,185,무,110,"관리사무소, 자전거보관소",5~10분이내,1호선,,5분이내,,,0,0,Y
A10025388,프라지움11차 아파트,위탁관리,2,(주)휴먼하우징,위탁관리,2,(주)휴먼하우징,위탁관리,1,음식물쓰레기종량제,위탁관리,5,분무식,철골콘크리트구조,1200,종합계약,위탁선임,R형,부스타방식,위탁관리,4,6,171,유,72,"관리사무소, 휴게시설, 자전거보관소",5분이내,,,10~15분이내,대형상가(),,0,0,Y
A10025890,천안역 우방아이유쉘 아파트,위탁관리,4,(주)휴먼하우징,위탁관리,2,(주)거산종합관리,위탁관리,3,차량수거방식,위탁관리,4,분무식,철골철근콘크리트구조,1350,단일계약,상주선임,R형,부스타방식,위탁관리,7,0,360,유,65,"관리사무소, 노인정, 어린이놀이터, 커뮤니티공간",5분이내,,,10~15분이내,,,0,5,Y
A10026070,프라지움10차,위탁관리,2,(주)휴먼하우징,위탁관리,2,(주)휴먼하우징,위탁관리,3,음식물쓰레기종량제,위탁관리,5,분무식,철근콘크리트구조,1200,단일계약,위탁선임,R형,부스타방식,위탁관리,4,0,267,유,172,"관리사무소, 자전거보관소",5~10분이내,,,5~10분이내,대형상가() 공원() 기타(),,0,6,Y
