kaptCode,kaptName,codeMgr,kaptMgrCnt,kaptCcompany,codeSec,kaptdScnt,kaptdSecCom,codeClean,kaptdClcnt,codeGarbage,codeDisinf,kaptdDcnt,disposalType,codeStr,kaptdEcapa,codeEcon,codeEmgr,codeFalarm,codeWsupply,codeElev,kaptdEcnt,kaptdPcnt,kaptdPcntu,codeNet,kaptdCccnt,welfareFacility,kaptdWtimebus,subwayLine,subwayStation,kaptdWtimesub,convenientFacility,educationFacility,groundElChargerCnt,undergroundElChargerCnt,useYn
A10021494,청원태영아파트,자치관리,5,,자치관리,,,자치관리,1,차량수거방식,자치관리,2,분무식,철골콘크리트구조,130,단일계약,위탁선임,P형,부스타방식,위탁관리,4,45,0,무,28,"관리사무소, 노인정, 자전거보관소",5분이내,,,,,초등학교() 중학교() 고등학교(),0,0,Y
A10021991,홍성우주은하아파트 A동,자치관리,2,,자치관리,,,자치관리,1,차량수거방식,자치관리,3,"분무식,기구부착식,기구설치식",철골철근콘크리트구조,130,단일계약,위탁선임,P형,부스타방식,위탁관리,2,51,0,무,25,"관리사무소, 노인정, 자전거보관소",5분이내,,,10~15분이내,,,0,0,Y
A35080706,홍성 경성큰마을아파트,위탁관리,2,주식회사 충원,위탁관리,2,(주)홍덕,위탁관리,2,차량수거방식,위탁관리,4,분무식,철근콘크리트구조,980,단일계약,위탁선임,P형,부스타방식,위탁관리,9,107,165,무,50,"관리사무소, 노인정, 어린이놀이터, 휴게시설, 자전거보관소, 기타",5분이내,,,5분이내,"관공서(군청. 경찰서,법원.검찰청.세무서.보건소.읍사무소등등) 병원(홍성의료원) 대형상가(롯데마트) 기타(cgv)","초등학교(홍성,홍주,홍남초교) 중학교(홍성.홍주중학교. 홍성여중) 고등학교(홍성고,홍주고, 홍성여자고등학교) 대학교(청운대학교,혜전대학.폴리텍대학)",0,6,Y
A35080707,홍성  청솔아파트,자치관리,3,,위탁관리,3,지원보안시스템(주),위탁관리,2,차량수거방식,위탁관리,5,분무식,철근콘크리트구조,1525,단일계약,상주선임,P형,부스타방식,위탁관리,9,205,79,무,52,"관리사무소, 노인정, 어린이놀이터, 휴게시설, 자전거보관소",5분이내,,,,"관공서(KBS방송국 ,) 병원(홍주병원)","초등학교(홍성초교) 중학교(홍성여중교) 고등학교(홍주고교) 대학교(청운대학교, 혜전대학교)",6,0,Y
A35080710,홍성 세광엔리치타워아파트,위탁관리,5,신대한관리(주),위탁관리,4,(주)에스알피,위탁관리,4,차량수거방식,위탁관리,4,분무식,철근콘크리트구조,2180,단일계약,상주선임,GR형,부스타방식,위탁관리,19,179,402,무,106,"관리사무소, 노인정, 어린이놀이터, 자전거보관소, 기타",5~10분이내,,,20분초과,"관공서(홍성군청) 병원(홍성의료원) 대형상가(롯데마트,하나로마트) 공원(대교공원)","초등학교(홍주초교, 홍성초교) 중학교(홍성여중,) 고등학교(홍성여고) 대학교(청운대학교, 혜전대학,)",8,4,Y
A35080711,홍성 향촌현대아파트,위탁관리,4,주식회사 충원,위탁관리,4,주식회사 홍덕,위탁관리,2,음식물쓰레기종량제,위탁관리,4,"도포식,분무식",철근콘크리트구조,1500,단일계약,상주선임,P형,부스타방식,위탁관리,13,306,136,무,64,"관리사무소, 노인정, 주민공동시설, 어린이놀이터, 휴게시설, 자전거보관소",5~10분이내,,,,관공서(홍성군청) 병원(홍성의료원),"초등학교(홍성초,홍주초교) 중학교(홍성중,홍성여중,홍주중교) 고등학교(홍성고,홍성여고,홍주고교) 대학교(청운대학교)",4,0,Y
A10020794,e편한세상 홍성 더 센트럴 아파트,위탁관리,4,주식회사 충원,위탁관리,,,위탁관리,3,음식물쓰레기종량제,위탁관리,3,분무식,철골콘크리트구조,2900,종합계약,상주선임,R형,부스타방식,위탁관리,12,24,746,유,127,"관리사무소, 노인정, 주민공동시설, 어린이놀이터, 커뮤니티공간, 자전거보관소",5분이내,,,,,,0,43,Y
A35080914,홍성1차부영아파트,위탁관리,6,(주)충원종합관리,위탁관리,4,주식회사 홍덕,위탁관리,6,음식물쓰레기종량제,위탁관리,3,분무식,철골콘크리트구조,2000,단일계약,상주선임,R형,부스타방식,위탁관리,15,411,180,무,85,"관리사무소, 노인정, 보육시설, 주민공동시설, 어린이놀이터, 자전거보관소",5분이내,,,,관공서(홍성군청.법원홍성지원.검찰청홍성지청.),초등학교(홍성초등학교) 중학교(홍성여중교) 고등학교(홍성고교) 대학교(청운대학교.혜전대학교),12,8,Y
A35080915,홍성부영2차,위탁관리,6,주식회사 충원,위탁관리,4,(주)엘림에스,위탁관리,6,차량수거방식,위탁관리,3,분무식,철근콘크리트구조,2000,종합계약,상주선임,R형,부스타방식,위탁관리,24,407,216,무,53,"관리사무소, 노인정, 보육시설, 어린이놀이터, 자전거보관소",10~15분이내,,,,"관공서(KBS, 검찰청,법원)",초등학교(홍성초교) 중학교(홍성여중교) 고등학교(홍성고교) 대학교(청운대학교),4,9,Y
A35080813,홍성옥암 코오롱하늘채 아파트,위탁관리,5,(주)FS탄영,위탁관리,4,(주)홍덕,위탁관리,5,차량수거방식,위탁관리,3,분무식,철근콘크리트구조,2500,단일계약,상주선임,R형,부스타방식,위탁관리,19,201,510,유,102,"관리사무소, 노인정, 보육시설, 어린이놀이터, 유치원, 자전거보관소",5~10분이내,,,10~15분이내,"관공서(홍성군청, 홍성읍사무소, 충남도청, 충남지방경찰청, 충남교육청, 홍성경찰서, 홍성소방서) 병원(홍주병원. 홍성의료원) 대형상가(롯데마트) 기타(홍성우체국)","초등학교(홍성초등학교) 중학교(홍성중학교) 고등학교(홍주고등학교(남여공학), 홍성여고) 대학교(혜전대학교. 청운대학교, 홍성폴리텍대학)",12,10,Y
A10022138,홍성미성아파트,자치관리,2,,자치관리(직영),,,위탁관리,2,차량수거방식,자치관리(직영),5,"도포식,분무식",철골철근콘크리트구조,58,단일계약,기타,P형,부스타방식,,0,47,0,무,22,"관리사무소, 어린이놀이터, 자전거보관소",5~10분이내,,,15~20분이내,"관공서(홍성군청, 경찰서, 법원, 검찰청, 교육청, 세무서, 보건소, 주민자치센터 등등) 병원(홍성의료원) 대형상가(롯데마트, CGV영화관 외 다수)","초등학교(홍남.홍성.홍주 초등학교) 중학교(홍주고, 홍성중, 홍성여중) 고등학교(홍주고, 홍성여고, 홍성고) 대학교(청운대학교, 혜전대학교, 한국폴리텍)",0,0,Y
A10022823,홍성승원팰리체아파트,위탁관리,3,목송산업개발(주),위탁관리(직영+위탁),4,목송산업개발(주),위탁관리(직영+위탁),2,음식물쓰레기종량제,위탁관리,3,분무식,철근콘크리트구조,1800,종합계약,상주선임,GR형,부스타방식,위탁관리,16,78,375,유,125,"관리사무소, 노인정, 보육시설, 주민공동시설, 어린이놀이터, 커뮤니티공간, 자전거보관소",5분이내,,,,"관공서(홍성군청, 홍성읍사무소) 병원(홍성의료원) 대형상가(롯데마트)","초등학교(홍남초등학교) 중학교(홍주중학교) 고등학교(홍주고등학교) 대학교(청운대학교, 혜전대학)",0,24,Y
A10026984,홍성남장 이안아파트,위탁관리,5,(주)다하리,위탁관리,4,(주)다하리,위탁관리,4,차량수거방식,위탁관리,4,"분무식,독이식",철근콘크리트구조,2200,단일계약,상주선임,R형,부스타방식,위탁관리,14,104,313,유,82,"관리사무소, 노인정, 보육시설, 문고, 주민공동시설, 어린이놀이터, 휴게시설, 커뮤니티공간, 자전거보관소",5분이내,,,15~20분이내,"관공서(홍성읍사무소, 보건소) 병원(홍성의료원) 대형상가(롯데마트) 공원(남장달빛공원)","초등학교(홍남) 중학교(홍성) 고등학교(홍주) 대학교(청운, 혜전, 폴리텍)",0,9,Y
