kaptCode,kaptName,codeMgr,kaptMgrCnt,kaptCcompany,codeSec,kaptdScnt,kaptdSecCom,codeClean,kaptdClcnt,codeGarbage,codeDisinf,kaptdDcnt,disposalType,codeStr,kaptdEcapa,codeEcon,codeEmgr,codeFalarm,codeWsupply,codeElev,kaptdEcnt,kaptdPcnt,kaptdPcntu,codeNet,kaptdCccnt,welfareFacility,kaptdWtimebus,subwayLine,subwayStation,kaptdWtimesub,convenientFacility,educationFacility,groundElChargerCnt,undergroundElChargerCnt,useYn
A10022598,음성지평더웰2차아파트,위탁관리,1,부건피앤피(주),위탁관리,2,부건피앤피(주),위탁관리,1,차량수거방식,위탁관리,2,"도포식,분무식",철근콘크리트구조,1126,단일계약,위탁선임,R형,부스타방식,위탁관리,5,70,98,유,40,"관리사무소, 노인정, 주민공동시설, 어린이놀이터, 자전거보관소",5분이내,,,,,,4,4,Y
A36970101,음성지평더웰,위탁관리,4,주식회사 일택,자치관리(직영),2,,자치관리(직영),2,음식물쓰레기종량제,위탁관리,3,분무식,철근콘크리트구조,1160,단일계약,위탁선임,R형,부스타방식,위탁관리,8,138,186,무,67,,5~10분이내,,,,관공서(음성우체국),,12,3,Y
A36970102,음성세륭,위탁관리,,거창유지관리(주),,,,,,,,,,,,,,,,,0,,,,,,10~15분이내,,,,,,0,0,Y
A36980701,음성삼보아파트,위탁관리,3,주식회사 일택,자치관리,3,,자치관리(직영),2,음식물쓰레기종량제,위탁관리,3,분무식,철근콘크리트구조,394,기타,위탁선임,P형,고가수조식,위탁관리,8,105,88,무,56,"관리사무소, 노인정, 주민공동시설, 어린이놀이터, 휴게시설, 자전거보관소",5~10분이내,,,5~10분이내,"관공서(군청, 읍사무소, 동사무소) 병원(정용우정형외과) 공원(설성공원) 기타(터미널)","초등학교(수봉) 중학교(한일, 음성) 고등학교(음성)",0,2,Y
A36980703,한성진주아파트,자치관리,5,,자치관리,6,,자치관리,3,거점장비수거방식,위탁관리,3,분무식,철근콘크리트구조,1850,단일계약,상주선임,P형,부스타방식,위탁관리,10,335,0,무,52,"관리사무소, 노인정, 어린이놀이터",5~10분이내,,,,관공서(읍사무소) 병원(제일의원 외) 공원(설성공원),"초등학교(남신) 중학교(한일, 음성) 고등학교(음성)",17,0,Y
A10023776,음성코아루아파트,위탁관리,5,경기진흥주택관리(주),위탁관리,4,주식회사 김집사에프엠씨,위탁관리,4,음식물쓰레기종량제,위탁관리,4,"도포식,분무식,기구설치식",철근콘크리트구조,2000,종합계약,상주선임,GR형,부스타방식,위탁관리,24,137,301,유,87,"관리사무소, 노인정, 보육시설, 문고, 주민공동시설, 어린이놀이터, 커뮤니티공간, 자전거보관소",5~10분이내,,,,관공서(음성군청) 병원(금왕 태성병웑),초등학교(평곡초등학교) 중학교(음성여자중학교),5,0,Y
A36980102,금광포란재,위탁관리,5,주식회사 일택,위탁관리(직영+위탁),6,(주)일택,자치관리,4,음식물쓰레기종량제,위탁관리,3,"도포식,분무식",철근콘크리트구조,2100,단일계약,상주선임,R형,부스타방식,위탁관리,19,557,277,무,67,"관리사무소, 노인정, 보육시설, 어린이놀이터, 휴게시설, 자전거보관소",20분초과,,,,관공서(경찰서) 공원(반기문공원) 기타(운동장),"초등학교(수봉,남신,하당) 중학교(음성,한일,음성여중) 고등학교(음성고)",15,2,Y
A36980104,음성신천 휴먼시아,위탁관리,5,주택관리공단,위탁관리,4,지앤지,위탁관리,3,음식물쓰레기종량제,위탁관리,3,"도포식,분무식",철근콘크리트구조,1050,단일계약,상주선임,R형,부스타방식,위탁관리,13,264,131,무,46,"관리사무소, 노인정, 보육시설, 휴게시설, 기타",20분초과,,,,관공서(경찰서) 기타(운동장),초등학교(남신) 중학교(음성),0,0,Y
A10020350,음성자이센트럴시티,위탁관리,10,제일에스테이트서비스 주식회사,자치관리,,,자치관리,11,음식물쓰레기종량제,,,,철근콘크리트구조,6750,종합계약,상주선임,GR형,부스타방식,관리방식미정,45,10,2138,유,850,"관리사무소, 노인정, 문고, 주민공동시설, 어린이놀이터, 휴게시설, 유치원, 커뮤니티공간, 자전거보관소",,,,,,,0,84,Y
A10020699,풍산장미아파트,위탁관리,4,,,,,위탁관리,1,기타,위탁관리,2,,철근콘크리트구조,66,단일계약,위탁선임,P형,수도직결식,위탁관리,2,25,41,무,3,,,,,,,,0,0,Y
