kaptCode,kaptName,codeMgr,kaptMgrCnt,kaptCcompany,codeSec,kaptdScnt,kaptdSecCom,codeClean,kaptdClcnt,codeGarbage,codeDisinf,kaptdDcnt,disposalType,codeStr,kaptdEcapa,codeEcon,codeEmgr,codeFalarm,codeWsupply,codeElev,kaptdEcnt,kaptdPcnt,kaptdPcntu,codeNet,kaptdCccnt,welfareFacility,kaptdWtimebus,subwayLine,subwayStation,kaptdWtimesub,convenientFacility,educationFacility,groundElChargerCnt,undergroundElChargerCnt,useYn
A10021389,동현 일동아파트,자치관리,1,,,,,위탁관리,1,,자치관리,,,철골철근콘크리트구조,390,종합계약,위탁선임,P형,압력탱크식,위탁관리,0,78,0,무,16,,5분이내,,,,,,3,0,Y
A39019001,동현현대아파트,위탁관리,3,주식회사 국원,위탁관리,2,(주)국원,위탁관리,2,음식물쓰레기종량제,위탁관리,2,분무식,철근콘크리트구조,900,단일계약,위탁선임,P형,부스타방식,위탁관리,10,171,31,무,48,"관리사무소, 노인정, 어린이놀이터, 자전거보관소",5~10분이내,,,,"관공서(남천.동현동사무소) 공원(제천공설운동장, 교동근린공원)",초등학교(남천) 고등학교(제천제일고등학교),4,2,Y
A39019002,제천세경아파트,위탁관리,4,(주)태성주택관리,,,,자치관리(직영),1,음식물쓰레기종량제,위탁관리,3,"도포식,분무식",철근콘크리트구조,3,기타,선정안함,P형,수도직결식,,0,72,0,무,64,"관리사무소, 노인정, 주민공동시설, 어린이놀이터, 자전거보관소",5~10분이내,,,,관공서(남천.동현동사무소) 공원(제천공설운동장),초등학교(남천) 고등학교(제천제일고),0,0,Y
A39007002,교동두진,위탁관리,5,(주)국원,위탁관리,2,(주)프로텍,위탁관리,2,음식물쓰레기종량제,위탁관리,3,분무식,철근콘크리트구조,840,단일계약,위탁선임,P형,수도직결식,위탁관리,12,124,72,무,52,"관리사무소, 노인정, 주민공동시설, 어린이놀이터, 휴게시설",15~20분이내,,,,,"초등학교(남천초등학교) 중학교(내토초등학교) 고등학교(제일고, 제천고) 대학교(세명대학교)",4,0,Y
A10025606,삼익아파트,자치관리,1,,위탁관리,,주식회사프로텍,자치관리(직영),1,음식물쓰레기종량제,자치관리(직영),,,철골철근콘크리트구조,1000,단일계약,위탁선임,기타,수도직결식,위탁관리,3,0,57,무,15,,5분이내,,,20분초과,,,0,0,Y
A10027418,제천서희스타힐스,위탁관리,5,부건피앤피주식회사,위탁관리,4,(주)프로텍,위탁관리,3,음식물쓰레기종량제,위탁관리,3,분무식,철근콘크리트구조,2400,단일계약,상주선임,R형,부스타방식,위탁관리,17,98,303,유,90,"관리사무소, 노인정, 보육시설, 문고, 주민공동시설, 어린이놀이터, 휴게시설, 커뮤니티공간, 자전거보관소",5~10분이내,,,,,,11,0,Y
A10025983,제천강저리슈빌아파트,위탁관리,6,주식회사 일택,위탁관리,2,주식회사 조현시스템,자치관리(직영),5,차량수거방식,위탁관리,3,분무식,철근콘크리트구조,2400,단일계약,상주선임,R형,부스타방식,위탁관리,15,185,397,유,125,"관리사무소, 노인정, 보육시설, 문고, 주민공동시설, 어린이놀이터, 휴게시설, 커뮤니티공간, 자전거보관소",5분이내,,,,,,4,8,Y
A10027865,제천강저LH4단지아파트,위탁관리,5,부건피앤피주식회사,자치관리(직영),0,,위탁관리,1,차량수거방식,위탁관리(직영+위탁),3,분무식,철근콘크리트구조,1050,종합계약,위탁선임,R형,부스타방식,위탁관리(직영+위탁),5,140,74,무,36,"관리사무소, 노인정, 주민공동시설, 어린이놀이터, 휴게시설, 자전거보관소",5분이내,,,,,,6,0,Y
A39012001,강저휴먼시아1단지,위탁관리,6,거창유지관리(주),위탁관리,4,(주)국원,위탁관리,5,음식물쓰레기종량제,위탁관리,3,분무식,철근콘크리트구조,2000,단일계약,상주선임,R형,부스타방식,위탁관리,14,499,234,무,55,"관리사무소, 노인정, 보육시설, 주민공동시설, 어린이놀이터, 휴게시설, 커뮤니티공간, 자전거보관소",5분이내,,,,관공서(제천시청) 대형상가(이마트),초등학교(남당) 중학교(제천) 고등학교(제천) 대학교(세명),0,0,Y
A39024009,제천하소4,위탁관리,8,주택관리공단(주),위탁관리,6,합자회사 지엔지,위탁관리,2,음식물쓰레기종량제,위탁관리,3,분무식,철근콘크리트구조,814,단일계약,상주선임,R형,부스타방식,위탁관리,28,180,0,무,50,"관리사무소, 노인정, 보육시설, 어린이놀이터, 휴게시설, 자전거보관소",5분이내,,,,"관공서(용두동사무소, 제천경찰서) 병원(하소열린치과의원) 대형상가() 공원()",초등학교(용두초등학교) 중학교(의림여중교),4,0,Y
