kaptCode,kaptName,codeMgr,kaptMgrCnt,kaptCcompany,codeSec,kaptdScnt,kaptdSecCom,codeClean,kaptdClcnt,codeGarbage,codeDisinf,kaptdDcnt,disposalType,codeStr,kaptdEcapa,codeEcon,codeEmgr,codeFalarm,codeWsupply,codeElev,kaptdEcnt,kaptdPcnt,kaptdPcntu,codeNet,kaptdCccnt,welfareFacility,kaptdWtimebus,subwayLine,subwayStation,kaptdWtimesub,convenientFacility,educationFacility,groundElChargerCnt,undergroundElChargerCnt,useYn
A10027737,증평송산 LH천년나무3단지,위탁관리,6,주식회사 국원,위탁관리,2,주식회사국원,위탁관리,5,차량수거방식,위탁관리,3,분무식,철근콘크리트구조,1900,단일계약,상주선임,GR형,부스타방식,위탁관리,12,456,91,무,60,"관리사무소, 노인정, 보육시설, 주민공동시설, 어린이놀이터, 커뮤니티공간, 자전거보관소",5~10분이내,,,,"관공서(증평군청,증평읍사무소,증평소방서,증평보건소) 병원(연세병원) 공원(보강천공원)","초등학교(증평초,삼보초) 중학교(증평중,증평여중,형석중) 고등학교(형석고,증평공고,증평정보고)",0,2,Y
A36890702,증평주공2단지아파트,위탁관리,3,부건피앤피주식회사,위탁관리,2,부건피앤피주식회사,위탁관리,3,차량수거방식,위탁관리,3,분무식,철근콘크리트구조,275,단일계약,위탁선임,P형,부스타방식,위탁관리,4,114,0,무,21,"관리사무소, 노인정, 어린이놀이터, 자전거보관소",5분이내,,,,관공서(증평군청) 병원(세립신경외과) 공원(보강천시민체육공원) 기타(증평역),초등학교(삼보초등학교) 중학교(증평여중교) 고등학교(증평정보고교) 대학교(충주대증평캠퍼스),0,0,Y
A36890712,괴산증평3,자치관리,4,,위탁관리,2,(합)지엔지,위탁관리,1,,위탁관리,3,,철근콘크리트구조,350,단일계약,위탁선임,P형,부스타방식,위탁관리,4,46,0,무,25,"관리사무소, 노인정",5분이내,,,,관공서(증평군청) 병원(세립신경외과) 공원(보강천시민체육공원) 기타(증평역),초등학교(삼보초등학교) 중학교(증평여중교) 고등학교(증평정보고교) 대학교(한국교통대학교 증평캠퍼스),0,0,Y
A10022089,영우아파트,위탁관리,1,부건피앤피(주),위탁관리,,부건피앤피(주),관리방식미정,0,,위탁관리,4,분무식,철골철근콘크리트구조,203,단일계약,위탁선임,P형,고가수조식,위탁관리,2,23,26,무,16,,5~10분이내,,,,,,0,0,Y
A36890804,증평주공1단지아파트,위탁관리,2,거창유지관리(주),자치관리,2,,자치관리,0,기타,위탁관리,3,분무식,철근콘크리트구조,450,기타,선정안함,기타,수도직결식,,0,189,0,무,11,"관리사무소, 노인정, 어린이놀이터, 자전거보관소",5분이내,,,,관공서(증평군청) 병원(새한정형외과의원) 공원(보강천시민체육공원) 기타(터미널),초등학교(증평초등학교) 중학교(증평여중교) 고등학교(증평정보고교) 대학교(충주대증평캠퍼스),0,0,Y
A36890806,증평파라디아1차아파트,위탁관리,6,부건피앤피(주),,,,위탁관리,3,차량수거방식,위탁관리,4,분무식,철근콘크리트구조,1900,단일계약,상주선임,R형,부스타방식,위탁관리,12,134,330,무,122,"관리사무소, 노인정, 주민공동시설, 어린이놀이터, 자전거보관소",5~10분이내,,,,관공서(증평군청) 병원(서울외과) 공원(보강천시민체육공원) 기타(터미널),초등학교(삼보초등학교) 중학교(증평여중교) 고등학교(증평정보고교) 대학교(한국교통대증평캠퍼스),10,0,Y
A10027982,증평 대성베르힐 아파트,위탁관리,6,거창유지관리(주),위탁관리,4,거창유지관리,자치관리(직영),9,차량수거방식,위탁관리,4,분무식,철근콘크리트구조,3350,종합계약,상주선임,R형,부스타방식,위탁관리,25,279,850,유,206,"관리사무소, 노인정, 보육시설, 문고, 주민공동시설, 어린이놀이터, 자전거보관소",5~10분이내,,,,,,26,10,Y
A36890107,증평장동관리사무소,위탁관리,6,(주)백운에프엠,위탁관리,3,더빌코리아,위탁관리,5,차량수거방식,위탁관리,3,분무식,철근콘크리트구조,850,단일계약,위탁선임,R형,부스타방식,위탁관리,15,449,0,무,36,"관리사무소, 노인정, 보육시설, 문고, 주민공동시설, 어린이놀이터, 휴게시설, 커뮤니티공간, 자전거보관소",5분이내,,,,관공서(증평군청) 병원(증평한의원) 공원(보강천시민체육공원),초등학교(증평) 중학교(형석) 고등학교(형성) 대학교(충주대증평캠퍼스),0,0,Y
A36890108,증평4단지주공아파트,위탁관리,5,주식회사 일택,위탁관리,2,(주)코리아환경산업,위탁관리,6,차량수거방식,위탁관리,3,분무식,철근콘크리트구조,850,단일계약,위탁선임,R형,부스타방식,위탁관리,16,487,0,무,32,"관리사무소, 노인정, 보육시설, 문고, 주민공동시설, 어린이놀이터, 자전거보관소",5~10분이내,,,,관공서(증평군청) 병원(증평한의원) 공원(보강천시민체육공원) 기타(터미널),초등학교(증평초등학교) 중학교(형석중학교) 고등학교(형석고등학교) 대학교(충주대증평캠퍼스),10,0,Y
A36890109,증평삼일아파트,자치관리,6,,자치관리,8,,자치관리,7,음식물쓰레기종량제,위탁관리,4,분무식,철근콘크리트구조,275,기타,위탁선임,기타,부스타방식,위탁관리,23,491,268,무,112,"관리사무소, 노인정, 어린이놀이터, 커뮤니티공간, 자전거보관소, 기타",5분이내,,,,관공서(증평군청) 병원(증평한의원) 공원(보강천시민체육공원) 기타(터미널),초등학교(증평초등학교) 중학교(증평중학교) 고등학교(증평공업고교) 대학교(충주대학교증평캠퍼스),15,2,Y
