kaptCode,kaptName,codeMgr,kaptMgrCnt,kaptCcompany,codeSec,kaptdScnt,kaptdSecCom,codeClean,kaptdClcnt,codeGarbage,codeDisinf,kaptdDcnt,disposalType,codeStr,kaptdEcapa,codeEcon,codeEmgr,codeFalarm,codeWsupply,codeElev,kaptdEcnt,kaptdPcnt,kaptdPcntu,codeNet,kaptdCccnt,welfareFacility,kaptdWtimebus,subwayLine,subwayStation,kaptdWtimesub,convenientFacility,educationFacility,groundElChargerCnt,undergroundElChargerCnt,useYn
A10020612,청주우암행복주택,위탁관리,2,부건피앤피(주),,,,위탁관리(직영+위탁),1,음식물쓰레기종량제,위탁관리,2,분무식,철근콘크리트구조,550,단일계약,선정안함,R형,부스타방식,위탁관리,2,0,58,유,51,,,,,,,,0,2,Y
A10026664,우암 라임미소가,위탁관리,2,(주)백운에프엠,위탁관리(직영+위탁),2,,위탁관리(직영+위탁),2,음식물쓰레기종량제,관리방식미정,5,분무식,철근콘크리트구조,2050,종합계약,위탁선임,GR형,부스타방식,위탁관리,4,10,224,무,38,"관리사무소, 자전거보관소",5분이내,,,,,,0,2,Y
A10027331,우암 삼일 브리제하임 아파트,위탁관리,5,(주)백운에프엠,자치관리(직영),2,,자치관리(직영),2,음식물쓰레기종량제,위탁관리,3,분무식,철골철근콘크리트구조,1300,단일계약,위탁선임,R형,부스타방식,위탁관리,8,84,156,유,56,"관리사무소, 노인정, 어린이놀이터, 자전거보관소",5분이내,,,,관공서(청원구청) 병원(첼로병원) 기타(청원경찰서),초등학교(덕벌초등학교) 중학교(청주중앙중학교),0,12,Y
A10027900,캠퍼스타워,위탁관리,2,부건피앤피주식회사,위탁관리(직영+위탁),2,,자치관리(직영),1,차량수거방식,위탁관리,4,분무식,철골콘크리트구조,1225,단일계약,위탁선임,GR형,부스타방식,위탁관리,4,0,76,유,32,"관리사무소, 주민공동시설, 자전거보관소",5분이내,,,,관공서(청원군청. 청원경찰서) 병원(성모병원),대학교(청주대학교),0,1,Y
A36081401,우암세원아파트,위탁관리,1,주식회사 일택,위탁관리,2,(주) 일택,위탁관리,1,음식물쓰레기종량제,위탁관리,3,독이식,철근콘크리트구조,605,단일계약,위탁선임,P형,고가수조식,위탁관리,2,78,84,무,22,"관리사무소, 노인정, 어린이놀이터, 자전거보관소",5분이내,,,,"관공서(충청북도청,청주시청, 청원구청,우암동사무소,청원경찰서,한국전력동청주지사) 병원(청주병원) 대형상가(엘마트,북부시장) 공원(우암산 삼일공원, 무심천공원)","초등학교(주성초,우암초, 대성초등학교) 중학교(주성중, 대성여중, 청주중) 고등학교(대성고, 대성여상, 청주기계공고) 대학교(청주대학교)",4,0,Y
A36081402,우암덕일한마음아파트,자치관리,4,,자치관리(직영),2,,자치관리(직영),2,기타,위탁관리,3,,철근콘크리트구조,950,단일계약,위탁선임,P형,부스타방식,위탁관리,8,124,181,무,48,"관리사무소, 노인정, 어린이놀이터, 자전거보관소",5분이내,,,,"관공서(상당구청,상당경찰서,우암동사무소) 병원(청주) 대형상가(재래시장,홈에버)","초등학교(대성,우암) 중학교(주성중, 대성여) 고등학교(대성,대성여상,) 대학교(청주대)",0,7,Y
A10020495,롯데삼성아파트,자치관리,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,0,0,Y
A10021244,내덕신라아파트,자치관리,1,,,,,자치관리,1,음식물쓰레기종량제,자치관리,,,철골철근콘크리트구조,388,단일계약,기타,기타,수도직결식,,0,102,0,무,30,,5분이내,,,,,,2,0,Y
A10021392,삼일맨션아파트,자치관리(직영),3,,자치관리(직영),,,위탁관리,3,음식물쓰레기종량제,위탁관리,2,"도포식,분무식",철골철근콘크리트구조,0,단일계약,선정안함,P형,수도직결식,,0,57,79,무,16,"관리사무소, 노인정, 어린이놀이터, 자전거보관소",5분이내,,,,,,3,0,Y
A10024561,청주 힐즈파크 푸르지오,위탁관리,7,(주)백운에프엠,위탁관리,4,(주)에스원,위탁관리,10,음식물쓰레기종량제,위탁관리,3,분무식,철근콘크리트구조,3500,단일계약,상주선임,GR형,부스타방식,위탁관리,19,3,1012,유,266,,5분이내,,,,,,0,13,Y
