kaptCode,kaptName,codeMgr,kaptMgrCnt,kaptCcompany,codeSec,kaptdScnt,kaptdSecCom,codeClean,kaptdClcnt,codeGarbage,codeDisinf,kaptdDcnt,disposalType,codeStr,kaptdEcapa,codeEcon,codeEmgr,codeFalarm,codeWsupply,codeElev,kaptdEcnt,kaptdPcnt,kaptdPcntu,codeNet,kaptdCccnt,welfareFacility,kaptdWtimebus,subwayLine,subwayStation,kaptdWtimesub,convenientFacility,educationFacility,groundElChargerCnt,undergroundElChargerCnt,useYn
A38002001,성서현대타운,자치관리,3,,자치관리(직영),2,,자치관리,1,음식물쓰레기종량제,관리방식미정,2,분무식,철근콘크리트구조,380,단일계약,기타,P형,부스타방식,위탁관리,5,126,0,무,32,"관리사무소, 노인정, 어린이놀이터",5분이내,,,,관공서(동사무소) 병원(의료원) 대형상가(삼성디지털프라자) 공원(어린이공원) 기타(우체국),초등학교(남한강),0,0,Y
A10021437,남산아파트1단지,자치관리(직영),2,,,,,위탁관리,3,,위탁관리,2,분무식,철골철근콘크리트구조,0,기타,선정안함,기타,수도직결식,,0,132,0,무,4,"관리사무소, 어린이놀이터, 자전거보관소",5분이내,,,15~20분이내,,,5,0,Y
A38006001,중흥S클래스아파트,위탁관리,4,주식회사 세영개발,자치관리,4,,자치관리,4,음식물쓰레기종량제,위탁관리,3,분무식,철근콘크리트구조,1950,단일계약,상주선임,R형,부스타방식,위탁관리,18,166,611,무,86,"관리사무소, 노인정, 보육시설, 문고, 어린이놀이터, 휴게시설, 커뮤니티공간, 자전거보관소",5분이내,,,,"관공서(충주시청) 병원(충주의료원, 건국대학교충주병원) 대형상가(이마트, 롯데마트,) 공원()",초등학교(충주성남초등학교) 중학교() 고등학교(),11,4,Y
A38095001,교현충일아파트,자치관리,4,,자치관리,0,,자치관리,1,음식물쓰레기종량제,위탁관리,3,분무식,철근콘크리트구조,3,기타,선정안함,기타,기타,,0,151,0,무,21,"관리사무소, 노인정, 어린이놀이터, 자전거보관소",10~15분이내,,,,관공서(경찰서) 병원(보건소) 대형상가() 공원() 기타(),"초등학교(성남, 교현) 중학교(충일) 고등학교(대원)",4,0,Y
A38095002,교현동아아파트,자치관리(직영),4,,자치관리(직영),4,,자치관리(직영),3,음식물쓰레기종량제,위탁관리,3,분무식,철근콘크리트구조,950,단일계약,위탁선임,P형,부스타방식,위탁관리,14,208,0,무,47,"관리사무소, 노인정, 어린이놀이터, 휴게시설, 자전거보관소, 기타",10~15분이내,,,,"관공서(경찰서, 교육청) 병원(건국대학교병원) 대형상가(삼성디지털프라자) 기타(우체국, 종합운동장)","초등학교(교현, 예성) 중학교(충일, 충주여중, 북여중) 고등학교(여자상업)",5,0,Y
A38095003,남산주공2.3차 아파트,자치관리,5,,자치관리,0,,위탁관리,0,음식물쓰레기종량제,위탁관리,3,분무식,콘크리트구조,0,기타,선정안함,기타,부스타방식,,0,250,0,무,12,"관리사무소, 노인정, 문고, 어린이놀이터, 휴게시설, 자전거보관소, 기타",10~15분이내,,,,관공서(동사무소) 병원(행복한치과) 대형상가() 공원() 기타(),"초등학교(성남, 용산) 중학교(충일) 고등학교(충주공업) 대학교()",10,0,Y
A38095103,교현주공아파트,자치관리,5,,자치관리,0,,자치관리,1,음식물쓰레기종량제,위탁관리,3,분무식,철근콘크리트구조,0,단일계약,기타,기타,수도직결식,,0,500,0,무,30,"관리사무소, 노인정, 어린이놀이터",5분이내,,,,관공서(교현2동사무소) 병원(건국대학교병원) 공원(공설운동장),"초등학교(중앙, 예성) 중학교(중앙, 북여중) 고등학교(여자상업)",0,0,Y
A38095401,교현성원아파트,위탁관리,5,주식회사 일택,위탁관리(직영+위탁),2,(주)일택,위탁관리(직영+위탁),2,음식물쓰레기종량제,위탁관리,3,분무식,철근콘크리트구조,205,기타,위탁선임,P형,부스타방식,위탁관리,4,100,90,무,48,"관리사무소, 노인정, 어린이놀이터, 자전거보관소",10~15분이내,,,,병원(건국대) 공원(대가미체육공원) 기타(공설운동장),"초등학교(칠금, 중앙) 중학교(중앙, 칠금) 고등학교(충주국원)",4,0,Y
A38095402,교현부강아파트,자치관리,3,,자치관리,3,,자치관리,3,차량수거방식,위탁관리,3,분무식,기타콘크리트구조,186,단일계약,위탁선임,P형,부스타방식,위탁관리,4,269,0,무,33,"관리사무소, 노인정, 어린이놀이터, 자전거보관소",10~15분이내,,,,관공서(교현동 주민센터) 병원(건국대 병원) 대형상가() 공원() 기타(),"초등학교(성남, 용산) 중학교(충주중앙중학교) 고등학교(충주공업)",5,0,Y
A10026280,충주3차푸르지오아파트,위탁관리,6,부건피앤피주식회사,위탁관리(직영+위탁),4,.,위탁관리(직영+위탁),4,음식물쓰레기종량제,위탁관리,3,분무식,철골철근콘크리트구조,3250,단일계약,상주선임,GR형,부스타방식,위탁관리,32,103,529,유,180,"관리사무소, 노인정, 보육시설, 문고, 어린이놀이터, 자전거보관소",5분이내,,,,관공서(용산동사무소) 병원(충주의료원) 대형상가(GS마트. 모닝마트. 이마트.) 공원(남산),초등학교(용산초등학교. 남산초등학교) 중학교(충주중학교. 미덕중학교. 예성여중) 고등학교(충주고등학교. 충주여자고등학교.예성여자고등학교. 중산고등학교.) 대학교(건국대학교),13,0,Y
