kaptCode,kaptName,bjdCode,as1,as2,as3,as4,kaptAddr,codeSaleNm,codeHeatNm,kaptTarea,kaptDongCnt,kaptdaCnt,kaptBcompany,kaptAcompany,kaptTel,kaptUrl,codeAptNm,doroJuso,codeMgrNm,codeHallNm,kaptUsedate,kaptFax,hoCnt,kaptMarea,kaptMparea60,kaptMparea85,kaptMparea135,kaptMparea136,privArea,kaptTopFloor,ktownFlrNo,kaptBaseFloor,kaptdEcntp,zipcode,위도,경도
A10020328,양양아테라아파트,5183025022,강원특별자치도,양양군,양양읍,구교리,강원특별자치도 양양군 양양읍 구교리 226- 양양아테라아파트,분양,개별난방,38265.03,5,279.0,금호건설(주),한국자산신탁(주),0336732332,,아파트,강원특별자치도 양양군 북문길 35-22,위탁관리,계단식,20251121,0336731006,279,29044.18,48.0,228.0,3.0,0.0,22603.6677,26,26,2,7,,38.0794452080451,128.619771425458
A21580301,로얄타워아파트,5183025022,강원특별자치도,양양군,양양읍,구교리,강원특별자치도 양양군 양양읍 구교리 105-1 로얄타워아파트,분양,개별난방,15968.701,1,162.0,명정건설,삼진건설,0336728507,,아파트,강원특별자치도 양양군 구교언덕길 24-1,위탁관리,복도식,19921020,0336728507,162,15613.35,57.0,105.0,0.0,0.0,11714.076,15,15,1,2,25022,38.0785386661617,128.621785449007
A10026244,양우내안애,5183025025,강원특별자치도,양양군,양양읍,연창리,강원특별자치도 양양군 양양읍 연창리 358 양우내안애,분양,개별난방,28341.0,2,209.0,양우건설,대한토지신탁,0336739727,"양양양우내안애.apti.co,kr/aptHome/",아파트,강원특별자치도 양양군 미륵길 40,위탁관리,계단식,20180528,0336739728,209,23043.72,0.0,209.0,0.0,0.0,17523.0247,15,15,1,0,25021,38.0806443874304,128.622396561414
A10020432,양양스위트엠디오션아파트,5183025026,강원특별자치도,양양군,양양읍,청곡리,강원특별자치도 양양군 양양읍 청곡리 87-7 양양스위트엠디오션아파트,분양,개별난방,27094.281,2,209.0,(주)해유건설,대한토지신탁(주),0336710210,,아파트,강원특별자치도 양양군 청곡길 48,위탁관리,계단식,20250912,0336710211,209,26711.508,73.0,119.0,17.0,0.0,32320.6164,29,29,1,6,,38.0903663797184,128.627842800251
A21580103,유화,5183025026,강원특별자치도,양양군,양양읍,청곡리,강원특별자치도 양양군 양양읍 청곡리 61-1 유화,분양,개별난방,9669.935,1,151.0,유화종합건설,유화종합건설,0336722348,,아파트,강원특별자치도 양양군 청곡길 12,자치관리,복도식,19951129,0336732350,151,9584.19,151.0,0.0,0.0,0.0,6814.96,13,13,1,2,25017,38.0929337864452,128.628021379667
A21580102,명지푸르미아파트,5183025028,강원특별자치도,양양군,양양읍,월리,강원특별자치도 양양군 양양읍 월리 449-1 명지푸르미아파트,분양,개별난방,40424.133,6,447.0,주식회사명지건설,주식회사명지건설,0336710437,양양명지푸르미.apti.co.kr,아파트,강원특별자치도 양양군 남대천로 99-14,위탁관리,계단식,20020830,0336710451,447,35072.734,327.0,120.0,0.0,0.0,25506.2016,15,15,0,12,25032,38.0628254097579,128.616316888294
A10027130,양양코아루아파트,5183025035,강원특별자치도,양양군,양양읍,서문리,강원특별자치도 양양군 양양읍 서문리 419 양양코아루아파트,분양,개별난방,19540.766,2,170.0,동서건설,(주)한국토지신탁,0336727923,양양코아루.apti.co.kr,아파트,강원특별자치도 양양군 임천1길 26-3,위탁관리,계단식,20161114,0336737923,170,17108.188,0.0,170.0,0.0,0.0,12546.493,18,18,1,5,25026,38.0713801149764,128.610626001752
A21580502,양양서문,5183025035,강원특별자치도,양양군,양양읍,서문리,강원특별자치도 양양군 양양읍 서문리 414 양양서문,분양,개별난방,23945.184,5,328.0,고려산업개발,LH공사,0336721242,양양서문주공.APTI.co.kr,아파트,강원특별자치도 양양군 양양로 154-9,위탁관리,계단식,20050830,0336721243,329,23847.729,328.0,0.0,0.0,0.0,17933.2,15,15,0,0,25025,38.0749191554328,128.611885036418
A10024912,양양 한양수자인,5183025036,강원특별자치도,양양군,양양읍,내곡리,강원특별자치도 양양군 양양읍 내곡리 263 양양 한양수자인,분양,개별난방,105239.336,7,716.0,(주)한양,"리건종합건설(주), 한국자산신탁(주)",0336738690,,아파트,강원특별자치도 양양군 한고개길 31-46,위탁관리,계단식,20200420,0336738691,716,74050.26,0.0,716.0,0.0,0.0,57874.7805,28,28,2,14,25060,38.0802591439288,128.612079095009
A10025817,양양이편한세상아파트,5183025036,강원특별자치도,양양군,양양읍,내곡리,강원특별자치도 양양군 양양읍 내곡리 262 양양이편한세상아파트,분양,개별난방,34421.277,4,315.0,고려개발(주),한국자산신탁(주),0336712525,양양e편한세상.apti.co.kr/,아파트,강원특별자치도 양양군 한고개길 17-18,위탁관리,계단식,20181130,0336710202,315,29026.838,0.0,315.0,0.0,0.0,21595.1675,20,20,1,8,25060,38.0790368018886,128.612368277144
A21580101,양양하이팰리스,5183025036,강원특별자치도,양양군,양양읍,내곡리,강원특별자치도 양양군 양양읍 내곡리 61 양양하이팰리스,분양,개별난방,17092.38,2,150.0,팔마건설,예동건설,0336739695,,아파트,강원특별자치도 양양군 내곡길 18,자치관리,계단식,20070314,0336739694,150,15372.0,0.0,150.0,0.0,0.0,12690,15,15,1,5,25019,38.0762954018323,128.610732113461
A21582102,양양삼호아파트,5183032037,강원특별자치도,양양군,손양면,하왕도리,강원특별자치도 양양군 손양면 하왕도리 303 양양삼호아파트,분양,개별난방,11937.82,2,206.0,삼호건설,삼호건설,0336725003,양양삼호.apti.co.kr,아파트,강원특별자치도 양양군 손중로 211-8,자치관리,복도식,19981212,0336725004,206,11802.24,206.0,0.0,0.0,0.0,8653.68,15,15,0,3,25044,38.0614050641317,128.640751794995
A21583301,심미아파트,5183033029,강원특별자치도,양양군,현북면,중광정리,강원특별자치도 양양군 현북면 중광정리 176-1 심미아파트,분양,개별난방,34187.0,3,495.0,(주)에셈빌,(주)에셈빌,0336727055,,아파트,강원특별자치도 양양군 동해대로 1611-7,위탁관리,복도식,20010814,0336727056,495,33225.3,495.0,0.0,0.0,0.0,24036.927,15,15,0,6,25046,38.0285637304485,128.707557168025
A21584101,바다마을아파트,5183034026,강원특별자치도,양양군,현남면,광진리,강원특별자치도 양양군 현남면 광진리 141 바다마을아파트,분양,개별난방,16962.12,3,296.0,대목건설회사,대목건설회사,0336717221,,아파트,강원특별자치도 양양군 동해대로 611-7,위탁관리,복도식,19980923,0336717221,296,15947.16,296.0,0.0,0.0,0.0,12441.6,9,9,0,3,25056,37.9587992906479,128.765380403408
A10025588,양양우미린디오션,5183035024,강원특별자치도,양양군,강현면,강선리,강원특별자치도 양양군 강현면 강선리 987 양양우미린디오션,분양,개별난방,27390.35,5,190.0,우미건설(주),우미건설(주),0336739172,,아파트,강원특별자치도 양양군 물치천로 70-9,위탁관리,계단식,20190326,0336739173,190,20082.785,0.0,190.0,0.0,0.0,15444.2,10,10,1,10,25061,38.1520148888549,128.599662197385
A10025920,강선LH아파트,5183035024,강원특별자치도,양양군,강현면,강선리,강원특별자치도 양양군 강현면 강선리 977 강선LH아파트,임대,개별난방,9814.66,2,178.0,한솔공영,LH,0336739115,양양물치강선lh.apti.co.kr,아파트,강원특별자치도 양양군 물치천로 70-17,위탁관리,복도식,20181114,0336739116,178,9814.659,178.0,0.0,0.0,0.0,6110.42,10,10,0,4,25061,38.1529005862936,128.59932424998
A21585201,썬라이즈빌아파트,5183035036,강원특별자치도,양양군,강현면,정암리,강원특별자치도 양양군 강현면 정암리 162-6 썬라이즈빌아파트,분양,개별난방,16917.0,3,240.0,(주)썬라이즈,(주)썬라이즈,0336711022,,아파트,강원특별자치도 양양군 정암1길 13-24,자치관리,복도식,20040723,0336711023,240,15867.774,180.0,60.0,0.0,0.0,11554.086,10,10,0,3,25003,38.1373636543779,128.614576841507
