kaptCode,kaptName,bjdCode,as1,as2,as3,as4,kaptAddr,codeSaleNm,codeHeatNm,kaptTarea,kaptDongCnt,kaptdaCnt,kaptBcompany,kaptAcompany,kaptTel,kaptUrl,codeAptNm,doroJuso,codeMgrNm,codeHallNm,kaptUsedate,kaptFax,hoCnt,kaptMarea,kaptMparea60,kaptMparea85,kaptMparea135,kaptMparea136,privArea,kaptTopFloor,ktownFlrNo,kaptBaseFloor,kaptdEcntp,zipcode,위도,경도
A10026688,횡성골드클래스아파트,5173025021,강원특별자치도,횡성군,횡성읍,읍상리,강원특별자치도 횡성군 횡성읍 읍상리 608 횡성골드클래스아파트,임대,개별난방,39020.33,4,348.0,보광건설,골드클래스,0333437702,,아파트,강원특별자치도 횡성군 읍마북로 13,위탁관리,계단식,20170930,0333437703,348,29955.004,348.0,0.0,0.0,0.0,20873.8056,15,15,0,12,25227,37.4900215450049,127.995295322275
A22570201,횡성이안아파트,5173025021,강원특별자치도,횡성군,횡성읍,읍상리,강원특별자치도 횡성군 횡성읍 읍상리 609 횡성이안아파트,분양,개별난방,34945.0,5,265.0,대우자동차판매(주),(주)새울림,0333421191,횡성대우이안.apti.co.kr,아파트,강원특별자치도 횡성군 읍마북로 3,자치관리,계단식,20090729,0333421192,265,28993.0,0.0,265.0,0.0,0.0,22414.5884,15,15,1,10,25227,37.4903573364153,127.994321830334
A22570203,횡성석미모닝파크,5173025021,강원특별자치도,횡성군,횡성읍,읍상리,강원특별자치도 횡성군 횡성읍 읍상리 607 횡성석미모닝파크,혼합,개별난방,32887.42,5,258.0,석미건설(주),석미건설(주),0333446711,,아파트,강원특별자치도 횡성군 어사매로 78,자치관리(직영),계단식,20131105,0333437557,258,27049.914,0.0,258.0,0.0,0.0,20747,15,15,1,0,25227,37.4913994218027,127.99558158788
A10022308,원흥1차아파트,5173025022,강원특별자치도,횡성군,횡성읍,읍하리,강원특별자치도 횡성군 횡성읍 읍하리 380- 원흥1차아파트,분양,개별난방,8987.0,2,105.0,원흥건설(주),원흥건설(주),0333439151,,아파트,,자치관리,복도식,19921021,0333449151,105,8919.025,66.0,39.0,0.0,0.0,6525.96,13,13,0,0,,37.4950149086733,127.982000668717
A10022414,횡성벨라시티,5173025022,강원특별자치도,횡성군,횡성읍,읍하리,강원특별자치도 횡성군 횡성읍 읍하리 601- 횡성벨라시티,분양,개별난방,31100.0,1,206.0,SG건설,HS개발,0333436600,,주상복합,강원특별자치도 횡성군 횡성로 371,위탁관리,계단식,20240502,0333436601,206,18641.38,120.0,81.0,5.0,0.0,13941.16,22,22,4,4,,37.4864533398424,127.98386122359
A10024331,횡성코아루하우스토리,5173025022,강원특별자치도,횡성군,횡성읍,읍하리,강원특별자치도 횡성군 횡성읍 읍하리 599 횡성코아루하우스토리,분양,개별난방,38561.414,6,374.0,남광토건,한국토지신탁,0338088881,https://횡성코아루하우스토리.apti.co.kr,아파트,강원특별자치도 횡성군 앞들서3로 77,위탁관리,계단식,20210326,0338088882,374,36188.395,154.0,220.0,0.0,0.0,27492.3557,20,20,1,10,25235,37.4850882052894,127.975241953324
A22570202,횡성읍하LH,5173025022,강원특별자치도,횡성군,횡성읍,읍하리,강원특별자치도 횡성군 횡성읍 읍하리 172 횡성읍하LH,임대,개별난방,24621.0,6,361.0,한성개발,한국토지주택공사,0333445236,,아파트,강원특별자치도 횡성군 앞들서2로 34,위탁관리,혼합식,20110831,0333445237,361,24332.4,361.0,0.0,0.0,0.0,16229.74,10,10,0,10,25236,37.4887908915253,127.980472130503
A22580002,횡성원흥2차아파트,5173025022,강원특별자치도,횡성군,횡성읍,읍하리,강원특별자치도 횡성군 횡성읍 읍하리 395-2 횡성원흥2차아파트,분양,개별난방,14618.0,1,171.0,원흥주택건설,원흥주택건설,0333438680,횡성원흥2차.apti.co.kr,아파트,강원특별자치도 횡성군 문화체육로 10,자치관리,혼합식,19950114,0333438680,171,12176.191,171.0,0.0,0.0,0.0,9480.77,15,15,1,4,25219,37.4953131544242,127.983546395474
A22580006,횡성대동아파트,5173025022,강원특별자치도,횡성군,횡성읍,읍하리,강원특별자치도 횡성군 횡성읍 읍하리 518 횡성대동아파트,분양,개별난방,32310.3,3,264.0,(주)대동주택,(주)대동주택,0333442454,횡성대동황토방.apt.co.kr/,아파트,강원특별자치도 횡성군 삼일로 50,자치관리,계단식,19980424,0333442454,265,26347.2,54.0,184.0,26.0,0.0,21853.19,15,15,0,10,25222,37.4938911304098,127.987037738841
A22580801,서도1차,5173025022,강원특별자치도,횡성군,횡성읍,읍하리,강원특별자치도 횡성군 횡성읍 읍하리 442 서도1차,분양,개별난방,12153.31,1,157.0,(주) 서도주택,(주) 서도주택,0333437640,,아파트,강원특별자치도 횡성군 교항북로 20,자치관리,복도식,19971020,0333457640,157,11613.31,157.0,0.0,0.0,0.0,9040.14,15,15,1,2,25234,37.4870513943171,127.982487743312
