kaptCode,kaptName,bjdCode,as1,as2,as3,as4,kaptAddr,codeSaleNm,codeHeatNm,kaptTarea,kaptDongCnt,kaptdaCnt,kaptBcompany,kaptAcompany,kaptTel,kaptUrl,codeAptNm,doroJuso,codeMgrNm,codeHallNm,kaptUsedate,kaptFax,hoCnt,kaptMarea,kaptMparea60,kaptMparea85,kaptMparea135,kaptMparea136,privArea,kaptTopFloor,ktownFlrNo,kaptBaseFloor,kaptdEcntp,zipcode,위도,경도
A10021754,가평블루핀아파트,4182025021,경기도,가평군,가평읍,읍내리,경기도 가평군 가평읍 읍내리 766-3 가평블루핀아파트,분양,개별난방,11378.03,1,119.0,홍성건설,대한토지신탁,025828970,,아파트,경기도 가평군 가화로 219,위탁관리,계단식,20190927,0315828971,119,11207.26,0.0,119.0,0.0,0.0,8556.6659,1,19,1,0,,37.8376512091424,127.507600098256
A10022813,힐스테이트 가평더뉴클래스,4182025021,경기도,가평군,가평읍,읍내리,경기도 가평군 가평읍 읍내리 214 힐스테이트 가평더뉴클래스,분양,개별난방,70592.0,7,451.0,현대건설,(주)동우씨엠건설/(주)테라디에스,0315818887,,아파트,경기도 가평군 가평제방길 233,위탁관리,계단식,20231127,0315818886,451,45847.355,145.0,306.0,0.0,0.0,34698.8467,23,23,2,13,12412,37.8365860581235,127.512956327451
A10023612,가평센트럴파크더스카이,4182025021,경기도,가평군,가평읍,읍내리,경기도 가평군 가평읍 읍내리 457-5 가평센트럴파크더스카이,분양,개별난방,26815.0,2,168.0,(주)일군토건건설,(주)삼한디앤씨,0315829455,,주상복합,경기도 가평군 보납로 11,위탁관리,계단식,20220830,0315829456,215,20875.965,72.0,96.0,0.0,0.0,11248.906,28,28,1,5,12413,37.8314913511666,127.512136923073
A10024025,가평읍내코아루아파트,4182025021,경기도,가평군,가평읍,읍내리,경기도 가평군 가평읍 읍내리 1053 가평읍내코아루아파트,분양,개별난방,31154.402,3,221.0,파인건설,한국토지신탁,0315829777,,아파트,경기도 가평군 석봉로191번길 37,위탁관리,계단식,20211109,0315829778,221,24763.404,0.0,221.0,0.0,0.0,18730.4572,20,20,2,8,12414,37.8310917380258,127.505683273617
A47771102,LH가평읍내2단지,4182025021,경기도,가평군,가평읍,읍내리,경기도 가평군 가평읍 읍내리 234 LH가평읍내2단지,임대,개별난방,31011.912,6,335.0,삼광기업/국제건설,한국토지주택공사,0315843740,www.lh.or.kr,아파트,경기도 가평군 가화로 164,위탁관리,복도식,20100830,0315843036,335,30952.541,335.0,0.0,0.0,0.0,14177.56,13,13,1,8,12412,37.8344412878586,127.512661800298
A47771105,가평읍내,4182025021,경기도,가평군,가평읍,읍내리,경기도 가평군 가평읍 읍내리 270 가평읍내,임대,개별난방,22499.0,5,355.0,호산건설(주),호산건설(주),0315810277,www.kohom.co.kr,아파트,경기도 가평군 가화로 142-26,위탁관리,복도식,19991119,0315810278,355,22350.83,355.0,0.0,0.0,0.0,15502.97,12,12,1,10,12412,37.8322621267913,127.514035858597
A47780501,가평파란채,4182025021,경기도,가평군,가평읍,읍내리,경기도 가평군 가평읍 읍내리 771-1 가평파란채,분양,개별난방,30560.0,3,243.0,한솔씨앤비(주),에이원건설,0315859500,가평파란채.ma-um.co.kr,아파트,경기도 가평군 가화로 223,위탁관리,계단식,20070921,0315859027,243,27399.818,0.0,213.0,30.0,0.0,21565.736,15,15,1,8,12414,37.8376766378328,127.506318273231
A10022657,e편한세상가평퍼스트원아파트,4182025022,경기도,가평군,가평읍,대곡리,경기도 가평군 가평읍 대곡리 694 e편한세상가평퍼스트원아파트,분양,개별난방,68025.04,4,472.0,DL이앤씨,(주)대한토지신탁,0315829460,,아파트,경기도 가평군 문화로 167,위탁관리,계단식,20230816,0315829461,472,47124.562,98.0,374.0,0.0,0.0,35781.5037,27,27,3,11,12416,37.8275108571239,127.506411913986
A10023002,가평자이아파트,4182025022,경기도,가평군,가평읍,대곡리,경기도 가평군 가평읍 대곡리 695 가평자이아파트,분양,개별난방,76500.0,6,505.0,GS건설(주),(주)서우도시개발,03180788161,,아파트,경기도 가평군 문화로 91,위탁관리,계단식,20230830,03180788162,505,52598.46,191.0,272.0,32.0,10.0,39298.0413,29,29,3,14,12416,37.8210020271173,127.508111973974
A47770201,가평우림필유,4182025022,경기도,가평군,가평읍,대곡리,경기도 가평군 가평읍 대곡리 360 가평우림필유,분양,개별난방,22289.14,2,190.0,우림건설,우림건설,0315810275,가평우림필유.ma-um.co.kr,아파트,경기도 가평군 문화로 112,위탁관리,계단식,20061226,0315810276,190,20547.69,30.0,147.0,13.0,0.0,15608.06,15,15,1,6,12416,37.8232661782363,127.510325836749
A47770202,선힐하이뷰아파트,4182025022,경기도,가평군,가평읍,대곡리,경기도 가평군 가평읍 대곡리 402-1 선힐하이뷰아파트,분양,개별난방,20422.86,3,180.0,(주)선힐종합건설,주성주택건설주식회사,0315811405,가평선힐하이뷰.ma-um.co.kr,아파트,경기도 가평군 문화로 63,위탁관리,계단식,20080528,0315841403,180,17535.6,0.0,180.0,0.0,0.0,13410.9,15,15,1,6,12416,37.8186361628439,127.510315083157
A10021382,넥스빌 아파트,4182025023,경기도,가평군,가평읍,달전리,경기도 가평군 가평읍 달전리 281- 넥스빌 아파트,분양,개별난방,14092.0,1,138.0,세대건설선업(주),세대건설산업(주),0315822934,,아파트,경기도 가평군 달전로 59,자치관리,혼합식,19960229,,138,14091.36,49.0,53.0,36.0,0.0,11624.19,1,18,1,3,,37.8138291938371,127.520212271452
A10020340,설악디엘본아파트,4182031021,경기도,가평군,설악면,신천리,경기도 가평군 설악면 신천리 911- 설악디엘본아파트,분양,개별난방,44670.043,6,420.0,선원건설,지역주택조합,0315859246,,아파트,경기도 가평군 신천중앙로 103,위탁관리,계단식,20250730,0315859247,420,44670.043,0.0,380.0,40.0,0.0,34303.44,23,23,2,14,,37.6765966002242,127.490896591636
A10021644,청아빌라2차,4182031022,경기도,가평군,설악면,선촌리,경기도 가평군 설악면 선촌리 25-1 청아빌라2차,임대,개별난방,16466.0,7,160.0,선원건설,세계기독교통일신령협회청심교회,0315897157,,연립주택,경기도 가평군 미사리로 52-14,위탁관리,계단식,20080808,,160,9150.4,144.0,16.0,0.0,0.0,7048.9056,4,4,0,0,,37.6844349330795,127.49988731035
A47785101,북한강코아루,4182031022,경기도,가평군,설악면,선촌리,경기도 가평군 설악면 선촌리 663 북한강코아루,분양,개별난방,30450.82,4,237.0,우남건설(주),한국토지신탁,0315853774,,아파트,경기도 가평군 자잠로 86,위탁관리,계단식,20140402,0315853775,237,23979.3,114.0,123.0,0.0,0.0,17229.57,18,18,1,8,12466,37.6841798686132,127.493189542637
A10021963,청수아파트,4182032521,경기도,가평군,청평면,청평리,경기도 가평군 청평면 청평리 634-2 청수아파트,분양,개별난방,13304.0,4,111.0,청수주택,청수주택,0315841577,,아파트,경기도 가평군 경춘로 722,자치관리(직영),복도식,19921031,,111,12230.02,0.0,111.0,0.0,0.0,8227.68,5,5,1,3,,37.7319818527598,127.410890925391
A10026405,이안지안스 청평,4182032521,경기도,가평군,청평면,청평리,경기도 가평군 청평면 청평리 657-1 이안지안스 청평,분양,개별난방,30475.0,4,243.0,지안스건설(주),(주)우재홀딩스,0315842886,,아파트,경기도 가평군 구청평로 20,위탁관리,혼합식,20180131,0315842887,243,22378.92,86.0,157.0,0.0,0.0,16997.03,18,18,2,9,12454,37.7298980283093,127.410083873219
A47781101,청평삼성쉐르빌,4182032521,경기도,가평군,청평면,청평리,경기도 가평군 청평면 청평리 837 청평삼성쉐르빌,분양,개별난방,55045.38,7,405.0,삼성중공업,대한토지신탁,0315846891,,아파트,경기도 가평군 강변나루로 54,위탁관리,혼합식,20120614,0315846892,408,55044.18,0.0,375.0,30.0,0.0,33832.23,15,15,1,14,12454,37.7321824186038,127.416280484046
A47781501,청평경남아너스빌,4182032521,경기도,가평군,청평면,청평리,경기도 가평군 청평면 청평리 306 청평경남아너스빌,분양,개별난방,27529.95,5,217.0,경남기업,경남기업,0315855538,,아파트,경기도 가평군 골안길 7-28,위탁관리,계단식,20080228,0315855541,217,25510.1,0.0,187.0,30.0,0.0,19712.6662,15,15,2,0,12451,37.7422278191926,127.421524075062
A47781502,청평세양청마루,4182032521,경기도,가평군,청평면,청평리,경기도 가평군 청평면 청평리 472 청평세양청마루,분양,개별난방,38359.9,6,283.0,아천세양건설산업,(주)해인공영,0315858282,472.ma-um.co.kr,아파트,경기도 가평군 경춘로 807-45,위탁관리,계단식,20070530,0315857100,283,33042.07,0.0,223.0,60.0,0.0,25671.69,15,15,1,0,12451,37.7402537565119,127.416495179091
A47781503,청평한일청구,4182032521,경기도,가평군,청평면,청평리,경기도 가평군 청평면 청평리 470-37 청평한일청구,분양,개별난방,33643.06,4,354.0,(주)청구,(주)한일건설,0315856975,,아파트,경기도 가평군 경춘로 807-18,위탁관리,계단식,19980805,0315842491,354,33643.06,160.0,194.0,0.0,0.0,26031.76,20,20,2,9,12451,37.7386826081671,127.417247632382
