kaptCode,kaptName,bjdCode,as1,as2,as3,as4,kaptAddr,codeSaleNm,codeHeatNm,kaptTarea,kaptDongCnt,kaptdaCnt,kaptBcompany,kaptAcompany,kaptTel,kaptUrl,codeAptNm,doroJuso,codeMgrNm,codeHallNm,kaptUsedate,kaptFax,hoCnt,kaptMarea,kaptMparea60,kaptMparea85,kaptMparea135,kaptMparea136,privArea,kaptTopFloor,ktownFlrNo,kaptBaseFloor,kaptdEcntp,zipcode,위도,경도
A10024950,이룸넘버원리치안,4131010100,경기도,구리시,갈매동,,경기도 구리시 갈매동 646 이룸넘버원리치안,분양,지역난방,9264.125,1,206.0,(주)풍산건설,이룸넘버원컴퍼니,0315715430,,주상복합,경기도 구리시 갈매중앙로 70,위탁관리,복도식,20170310,0315715431,206,9264.125,206.0,0.0,0.0,0.0,3814.04,7,7,2,4,11902,37.6303196479336,127.117060360748
A10026043,갈매6단지,4131010100,경기도,구리시,갈매동,,경기도 구리시 갈매동 631 갈매6단지,혼합,지역난방,134389.0,10,1033.0,(주)케이씨씨건설,한국토지주택공사,0315755062,www.gmswitzen.com,아파트,경기도 구리시 갈매중앙로 25,위탁관리,계단식,20180830,0315755064,1033,134389.14,481.0,552.0,0.0,0.0,74085.05,27,27,1,23,11902,37.6272279991028,127.113093698879
A10026309,갈매역 아이파크,4131010100,경기도,구리시,갈매동,,경기도 구리시 갈매동 596 갈매역 아이파크,분양,지역난방,219206.0,12,1196.0,네오밸류,현대산업개발,0315749380,,아파트,경기도 구리시 경춘북로 252,위탁관리,계단식,20180427,0315749382,1196,137264.69,0.0,1193.0,3.0,0.0,101651.4681,29,29,2,23,11901,37.6347160870405,127.117069523118
A10026703,갈매와이시티,4131010100,경기도,구리시,갈매동,,경기도 구리시 갈매동 626 갈매와이시티,분양,지역난방,54896.0,5,382.0,요진건설,LH공사,0315757132,,아파트,경기도 구리시 갈매중앙로 45,위탁관리,계단식,20171110,0315757134,382,40892.027,0.0,382.0,0.0,0.0,30333.52,25,25,1,9,11902,37.6292227353675,127.114450478045
A10026724,구리 갈매 푸르지오아파트,4131010100,경기도,구리시,갈매동,,경기도 구리시 갈매동 640 구리 갈매 푸르지오아파트,분양,지역난방,113760.51,10,921.0,대우건설(주),DS네트웍스(주),0315740921,구리갈매푸르지오.com,아파트,경기도 구리시 갈매중앙로 16,위탁관리,계단식,20171027,0315740923,921,113760.51,0.0,461.0,455.0,5.0,86555.624,25,25,2,0,11902,37.6264155755823,127.115332029661
A10026867,구리갈매스타힐스,4131010100,경기도,구리시,갈매동,,경기도 구리시 갈매동 651 구리갈매스타힐스,분양,지역난방,146431.27,12,1018.0,서희건설,LH,0315714300,,아파트,경기도 구리시 산마루로 46,위탁관리,계단식,20170807,0315714302,1018,111741.19,0.0,1018.0,0.0,0.0,81909.83,28,28,1,26,11902,37.629055656263,127.118323656394
A10027267,이스트힐아파트,4131010100,경기도,구리시,갈매동,,경기도 구리시 갈매동 569 이스트힐아파트,혼합,지역난방,158526.19,14,1444.0,서한건설,한국토지주택공사,0315741472,www.easthill2.com,아파트,경기도 구리시 갈매중앙로 132,위탁관리,계단식,20161101,0315717447,1444,117542.555,1444.0,0.0,0.0,0.0,81543.95,29,29,1,39,11901,37.6345661319351,127.120941535533
A10027438,LH구리갈매1단지,4131010100,경기도,구리시,갈매동,,경기도 구리시 갈매동 573 LH구리갈매1단지,임대,지역난방,114069.61,8,1546.0,LH,(주)한양,0315756951,,아파트,경기도 구리시 갈매순환로 143,위탁관리,복도식,20160701,0315756953,1546,114069.61,1546.0,0.0,0.0,0.0,56919.7,24,24,1,21,11901,37.6329312829668,127.120776766989
A10027511,갈매더샵나인힐스,4131010100,경기도,구리시,갈매동,,경기도 구리시 갈매동 665 갈매더샵나인힐스,분양,지역난방,125502.19,9,857.0,포스코건설,태릉피에프브이,0315748394,9hills.co.kr,아파트,경기도 구리시 갈매순환로 10,위탁관리,계단식,20160615,0315748396,857,93616.14,0.0,857.0,0.0,0.0,70223.0365,25,25,2,19,11902,37.6244483020371,127.111742160939
A10027574,한라비발디아파트,4131010100,경기도,구리시,갈매동,,경기도 구리시 갈매동 590 한라비발디아파트,분양,지역난방,158511.12,14,1075.0,LH,(주)한라,0315292485,www.gmhv.co.kr,아파트,경기도 구리시 갈매중앙로 131,위탁관리,계단식,20160504,0315742487,1075,157570.14,0.0,1075.0,0.0,0.0,88250.14,29,29,2,30,11901,37.636196176531,127.119455019416
