kaptCode,kaptName,bjdCode,as1,as2,as3,as4,kaptAddr,codeSaleNm,codeHeatNm,kaptTarea,kaptDongCnt,kaptdaCnt,kaptBcompany,kaptAcompany,kaptTel,kaptUrl,codeAptNm,doroJuso,codeMgrNm,codeHallNm,kaptUsedate,kaptFax,hoCnt,kaptMarea,kaptMparea60,kaptMparea85,kaptMparea135,kaptMparea136,privArea,kaptTopFloor,ktownFlrNo,kaptBaseFloor,kaptdEcntp,zipcode,위도,경도
A10021267,마빌르스위트아파트,4141010100,경기도,군포시,당동,,경기도 군포시 당동 795- 마빌르스위트아파트,분양,지역난방,13612.13,1,112.0,대흥종합건설(주),마빌르건설(주),0313975680,,아파트,경기도 군포시 당동로21번길 61,위탁관리,계단식,20040429,0313935681,112,11046.56,28.0,84.0,0.0,0.0,8789.116,1,15,1,0,,37.3482663365752,126.941606290944
A10022491,당동쌍용스윗닷홈,4141010100,경기도,군포시,당동,,경기도 군포시 당동 957-1 당동쌍용스윗닷홈,분양,지역난방,14855.0,2,115.0,남광토건,남광토건,0313995037,,아파트,경기도 군포시 용호1로 57,위탁관리,계단식,20030218,,115,1492.01,0.0,115.0,0.0,0.0,9756.071,15,15,2,4,,37.3481029055692,126.938438285632
A10023523,대흥아파트,4141010100,경기도,군포시,당동,,경기도 군포시 당동 923 대흥아파트,분양,개별난방,23561.0,1,147.0,대흥종합개발,대흥종합개발,0313993044,,아파트,경기도 군포시 군포역1길 186,위탁관리,계단식,19980227,0313993046,147,14836.74,51.0,96.0,0.0,0.0,11188.47,24,24,3,2,15856,37.3462595972251,126.947441394529
A10025073,군포당동덕산2차아파트,4141010100,경기도,군포시,당동,,경기도 군포시 당동 903-8 군포당동덕산2차아파트,분양,개별난방,9501.797,1,90.0,덕산건설,덕산건설,0313915386,,아파트,경기도 군포시 군포로476번길 7,위탁관리,계단식,20040531,0313915388,90,7438.5,90.0,0.0,0.0,0.0,4856.4,15,15,1,3,15856,37.3491188904281,126.944604059474
A10025200,동도센트리움,4141010100,경기도,군포시,당동,,경기도 군포시 당동 963 동도센트리움,분양,지역난방,20893.105,3,218.0,동도건설,동도디앤씨,0313998294,,아파트,경기도 군포시 용호1로46번길 11,위탁관리,복도식,20190925,0313998295,218,14944.852,218.0,0.0,0.0,0.0,11134.784,18,18,2,6,15871,37.346281909939,126.940701346973
A43501002,당동무지개마을금강KCC,4141010100,경기도,군포시,당동,,경기도 군포시 당동 796 당동무지개마을금강KCC,분양,지역난방,40301.2,3,299.0,KCC건설,한미아파트조합아파트,0313930667,kccapt.apti.co.kr,아파트,경기도 군포시 당동로21번길 52,위탁관리,계단식,20060524,0313930668,299,28961.938,111.0,188.0,0.0,0.0,22564.2736,25,25,2,7,15861,37.3487505218056,126.94100537538
A43501003,군포두산,4141010100,경기도,군포시,당동,,경기도 군포시 당동 907 군포두산,분양,지역난방,39599.47,5,398.0,두산건설,두산식품(주)직장주택조합,0313944456,,아파트,경기도 군포시 군포로464번길 19,위탁관리,혼합식,19921226,0313944457,398,38752.4,54.0,344.0,0.0,0.0,30791.1,15,15,0,16,15856,37.3479366143485,126.945889626408
A43501004,엘지신산본자이1차,4141010100,경기도,군포시,당동,,경기도 군포시 당동 957-2 엘지신산본자이1차,분양,지역난방,84950.67,6,453.0,LG건설(주),LG건설(주),0313916020,http://www.,아파트,경기도 군포시 용호1로 55,위탁관리,계단식,20030211,0313916021,453,58544.77,0.0,310.0,143.0,0.0,44332.0307,22,22,2,12,15872,37.3478677550499,126.93952149207
A43501005,군포 동아,4141010100,경기도,군포시,당동,,경기도 군포시 당동 900 군포 동아,분양,지역난방,59720.96,5,483.0,(주)공영토건,(주)공영토건,0313952815,,아파트,경기도 군포시 군포로490번길 22,위탁관리,계단식,19930415,0313969286,483,52664.97,0.0,401.0,82.0,0.0,42610.05,15,15,0,18,15856,37.3494697450218,126.946749109807
A43501006,당동주공2-1단지,4141010100,경기도,군포시,당동,,경기도 군포시 당동 874 당동주공2-1단지,분양,지역난방,50967.0,6,600.0,세우리,한국토지주택공사,0313985037,,아파트,경기도 군포시 용호2로 11,위탁관리,복도식,19970722,0313910032,600,50680.8,600.0,0.0,0.0,0.0,29754,20,25,1,0,15875,37.343457486877,126.940950944851
