kaptCode,kaptName,bjdCode,as1,as2,as3,as4,kaptAddr,codeSaleNm,codeHeatNm,kaptTarea,kaptDongCnt,kaptdaCnt,kaptBcompany,kaptAcompany,kaptTel,kaptUrl,codeAptNm,doroJuso,codeMgrNm,codeHallNm,kaptUsedate,kaptFax,hoCnt,kaptMarea,kaptMparea60,kaptMparea85,kaptMparea135,kaptMparea136,privArea,kaptTopFloor,ktownFlrNo,kaptBaseFloor,kaptdEcntp,zipcode,위도,경도
A10022699,연천수레울1단지,4180025025,경기도,연천군,연천읍,옥산리,경기도 연천군 연천읍 옥산리 860-3 연천수레울1단지,임대,개별난방,10364.24,2,140.0,중앙하이츠,LH,0318346900,,아파트,경기도 연천군 문화로108번길 27,위탁관리,복도식,20221214,0318346901,140,10364.215,140.0,0.0,0.0,0.0,5991.58,15,15,1,4,11012,38.1034104882822,127.080344673867
A10023247,이편한세상연천웰스하임,4180025025,경기도,연천군,연천읍,옥산리,경기도 연천군 연천읍 옥산리 860 이편한세상연천웰스하임,분양,개별난방,72056.7,6,499.0,DL이엔씨,보라산업개발(주),03180887782,,아파트,경기도 연천군 차옥로 149,위탁관리,계단식,20230502,03180887783,499,52039.547,82.0,417.0,0.0,0.0,39127.4891,23,23,1,13,11012,38.1044997311199,127.080024002161
A48680201,연천조흥,4180025025,경기도,연천군,연천읍,옥산리,경기도 연천군 연천읍 옥산리 459-1 연천조흥,분양,개별난방,19147.39,2,213.0,조흥종합건설,조흥종합건설,0318342616,연천조흥.ma-um.co.kr,아파트,경기도 연천군 차옥로 81,위탁관리,복도식,19960624,0318348160,213,17536.55,200.0,13.0,0.0,0.0,12501.14,13,13,1,4,11012,38.1018739911575,127.079932437728
A10020940,전곡 제일풍경채 리버파크,4180025321,경기도,연천군,전곡읍,전곡리,경기도 연천군 전곡읍 전곡리 82- 전곡 제일풍경채 리버파크,분양,개별난방,141225.9,10,845.0,제일건설(주),보라산업개발(주),0318327701,,아파트,경기도 연천군 전곡로6번길 28-11,위탁관리,계단식,20241220,0318327702,845,98504.26,0.0,673.0,170.0,2.0,74825.5605,27,27,1,22,,38.0127093915501,127.071174467608
A10021706,전곡조흥아파트,4180025321,경기도,연천군,전곡읍,전곡리,경기도 연천군 전곡읍 전곡리 263- 전곡조흥아파트,분양,개별난방,26495.0,7,287.0,조흥건설,조흥건설,0318327424,,아파트,경기도 연천군 밤골로 7,자치관리(직영),계단식,19920219,0318337424,287,25718.533,84.0,203.0,0.0,0.0,21131.97,6,6,0,0,,38.020411867581,127.069513734095
A10024746,전곡 석미모닝파크 3차 아파트,4180025321,경기도,연천군,전곡읍,전곡리,경기도 연천군 전곡읍 전곡리 707 전곡 석미모닝파크 3차 아파트,분양,개별난방,29391.1,3,257.0,석미건설(주),석미건설(주),0318355596,,아파트,경기도 연천군 선사로 333,위탁관리,계단식,20200702,0318327793,257,18005.59,59.0,198.0,0.0,0.0,18005.59,20,20,1,5,11031,38.0196917084982,127.075017046271
A48286901,연천전곡1단지휴먼시아,4180025321,경기도,연천군,전곡읍,전곡리,경기도 연천군 전곡읍 전곡리 704 연천전곡1단지휴먼시아,임대,개별난방,31884.0,13,428.0,화산건설,한국토지주택공사,0318327041,www.kohom.co.kr,아파트,경기도 연천군 밤골로 8,위탁관리,복도식,20090923,0318327042,428,31629.525,428.0,0.0,0.0,0.0,21287.36,10,10,0,13,11031,38.0169439986562,127.070760283925
A48690302,석미모닝파크아파트,4180025321,경기도,연천군,전곡읍,전곡리,경기도 연천군 전곡읍 전곡리 685 석미모닝파크아파트,분양,개별난방,21006.0,4,171.0,석미건설,석미건설,0318320182,,아파트,경기도 연천군 선사로 417,위탁관리,계단식,20060602,0318320160,171,17843.0,0.0,142.0,29.0,0.0,14480.94,15,15,1,5,11035,38.0263005935008,127.072343180237
A48690303,전곡석미한아름,4180025321,경기도,연천군,전곡읍,전곡리,경기도 연천군 전곡읍 전곡리 330-3 전곡석미한아름,분양,개별난방,18991884.0,2,225.0,석미건설,석미건설,0318357555,전곡석미한아름.ma-um.co.kr,아파트,경기도 연천군 선사로 415,위탁관리(직영+위탁),혼합식,20020610,0318357556,225,17305.79,165.0,60.0,0.0,0.0,13322.655,15,15,0,4,11035,38.0256019973616,127.072665606934
A48690304,전곡예일세띠앙,4180025321,경기도,연천군,전곡읍,전곡리,경기도 연천군 전곡읍 전곡리 684 전곡예일세띠앙,분양,개별난방,49233.387,5,359.0,예일건설,예일건설,0318350663,,아파트,경기도 연천군 전곡로 24,위탁관리,계단식,20060410,0318350809,359,38413.137,0.0,319.0,40.0,0.0,29483.218,20,20,1,11,11031,38.0153310915457,127.073080795336
