kaptCode,kaptName,bjdCode,as1,as2,as3,as4,kaptAddr,codeSaleNm,codeHeatNm,kaptTarea,kaptDongCnt,kaptdaCnt,kaptBcompany,kaptAcompany,kaptTel,kaptUrl,codeAptNm,doroJuso,codeMgrNm,codeHallNm,kaptUsedate,kaptFax,hoCnt,kaptMarea,kaptMparea60,kaptMparea85,kaptMparea135,kaptMparea136,privArea,kaptTopFloor,ktownFlrNo,kaptBaseFloor,kaptdEcntp,zipcode,위도,경도
A10025967,오산 센트럴푸르지오,4137010100,경기도,오산시,오산동,,경기도 오산시 오산동 11-1 오산 센트럴푸르지오,분양,지역난방,144647.58,10,920.0,대우건설,군인공제회,0313789485,https://oscp.aptner.com/,아파트,경기도 오산시 현충로 107-30,위탁관리,계단식,20181022,0313789487,920,100710.54,0.0,920.0,0.0,0.0,75565.1964,25,25,2,1,18131,37.160818012512,127.081995191005
A44773302,운암대동,4137010100,경기도,오산시,오산동,,경기도 오산시 오산동 923-2 운암대동,분양,지역난방,121668.0,10,660.0,한성/대동,대동주택,0313772464,운암대동아파트,아파트,경기도 오산시 운암로 64,위탁관리,계단식,20000530,0313783044,660,103048.445,0.0,0.0,576.0,84.0,81492.36,21,21,1,18,18132,37.1516951899058,127.078077063357
A44773303,대동다숲주상복합,4137010100,경기도,오산시,오산동,,경기도 오산시 오산동 865-1 대동다숲주상복합,분양,개별난방,22851.77,1,169.0,(주)대동건설,(주)좋은집 D&C,0313731849,오산대동다숲.apti.co.kr,주상복합,경기도 오산시 경기대로 289,위탁관리,복도식,20060412,0313731859,169,13913.47,143.0,1.0,25.0,0.0,9783.4624,15,15,5,3,18135,37.1508091269232,127.073362275889
A44773304,운암주공2단지,4137010100,경기도,오산시,오산동,,경기도 오산시 오산동 920-2 운암주공2단지,분양,지역난방,124416.234,11,1036.0,"동서개발, 서한, 진덕",대한주택공사,0313734382,,아파트,경기도 오산시 운암로 89,위탁관리,계단식,20001118,0313734387,1036,106309.37,0.0,1036.0,0.0,0.0,87379.84,24,24,1,25,18133,37.1546962711259,127.076255449166
A44773601,운암현대,4137010100,경기도,오산시,오산동,,경기도 오산시 오산동 922-2 운암현대,분양,지역난방,82127.6,6,530.0,현대산업개발(주),현대산업개발(주),0313776446,운암현대.apti.co.kr/aptHome/,아파트,경기도 오산시 운암로 63,위탁관리,계단식,20000414,0313776447,530,54949.137,0.0,115.0,415.0,0.0,54949.1384,24,24,2,13,18133,37.1526084938338,127.075589751491
A44780409,운암주공4단지,4137010100,경기도,오산시,오산동,,경기도 오산시 오산동 922-4 운암주공4단지,분양,지역난방,62708.8,7,532.0,대한주택공사,한양,0313733922,오산운암주공4단지.apti.co.kr/default.asp,아파트,경기도 오산시 운암로 45,위탁관리,계단식,20001118,0313743924,532,54604.48,0.0,532.0,0.0,0.0,44868.88,23,23,1,14,18133,37.1507693328202,127.075462970988
A10025195,오산시티자이2차아파트,4137010200,경기도,오산시,부산동,,경기도 오산시 부산동 694 오산시티자이2차아파트,분양,지역난방,160213.95,10,1090.0,GS건설,(주)이제이건설,03180779264,oscxi-2.xisnd.co.kr/,아파트,경기도 오산시 부산중앙로 42,위탁관리,계단식,20191025,03180779265,1090,107792.9,325.0,709.0,56.0,0.0,81959.9402,29,29,3,28,18148,37.1521896584039,127.09217375418
A10026708,오산시티자이2단지아파트,4137010200,경기도,오산시,부산동,,경기도 오산시 부산동 801 오산시티자이2단지아파트,분양,지역난방,132222.0,8,941.0,지에스건설(주),이제이건설(주),0313781745,http://oscxi2.ezville.net,아파트,경기도 오산시 부산중앙로 12,위탁관리,계단식,20171027,0313781746,941,90624.59,555.0,340.0,46.0,0.0,66316.6719,25,25,1,0,18148,37.1495460645115,127.09214364245
A10026716,오산시티자이1단지,4137010200,경기도,오산시,부산동,,경기도 오산시 부산동 800 오산시티자이1단지,분양,지역난방,153718.0,11,1099.0,GS건설,이제이건설,0313789328,oscxi1.xisnd.co.kr,아파트,경기도 오산시 부산중앙로 11,위탁관리,계단식,20171027,0313789329,1099,110378.266,467.0,566.0,66.0,0.0,81641.9168,25,25,1,28,18148,37.1497914551798,127.089395416727
A44771702,운암주공1단지,4137010200,경기도,오산시,부산동,,경기도 오산시 부산동 778-1 운암주공1단지,분양,지역난방,180413.94,21,1755.0,"한양,동성,태왕",lh공사,0313778077,오산운암주공1단지.apti.co.kr,아파트,경기도 오산시 운암로 122,위탁관리,혼합식,20000322,0313778079,1755,141498.72,1355.0,400.0,0.0,0.0,113562,20,20,2,43,18132,37.1575434060516,127.080655584935
A44771901,오산운암3단지아파트,4137010200,경기도,오산시,부산동,,경기도 오산시 부산동 779-1 오산운암3단지아파트,분양,지역난방,172822.86,20,1651.0,LH,"덕호, 한양, 서한",0313776387,home.aptchannel.com,아파트,경기도 오산시 운암로 90,위탁관리,혼합식,20000520,0313776389,1651,135301.86,1267.0,384.0,0.0,0.0,105638.23,20,20,2,0,18132,37.1542288769781,127.079164305151
A10020190,해링턴플레이스진사2단지,4137010300,경기도,오산시,원동,,경기도 오산시 원동 907 해링턴플레이스진사2단지,분양,개별난방,102177.34,7,637.0,효성중공업,(주)남우디앤씨,0316474361,,아파트,경기도 오산시 부원로87번길 19,위탁관리,계단식,20260330,0316474362,637,56010.43,0.0,309.0,328.0,0.0,56010.43,29,0,2,18,,37.1420599518155,127.088016304108
A10022789,오산롯데캐슬스카이파크,4137010300,경기도,오산시,원동,,경기도 오산시 원동 921 오산롯데캐슬스카이파크,분양,개별난방,394936.0,18,2339.0,롯데건설,(주)엠에스홀딩스,0313786411,osskypark.aptner.com/v2,아파트,경기도 오산시 원당로 35,위탁관리,계단식,20240130,0313786413,2339,253951.89,0.0,2177.0,158.0,4.0,191546.5985,23,23,3,65,18149,37.1403638748248,127.094806965196
A10023771,오산영무파라드아파트,4137010300,경기도,오산시,원동,,경기도 오산시 원동 771-1 오산영무파라드아파트,분양,개별난방,64822.074,4,404.0,(주)영무토건,한국자산신탁(주),0313778864,,주상복합,경기도 오산시 오산로198번길 32,위탁관리,계단식,20220525,0313778865,404,30198.053,404.0,0.0,0.0,0.0,21585.5788,29,29,5,8,18141,37.1447888341972,127.072110212477
A10025478,오산 원동 한양수자인아파트,4137010300,경기도,오산시,원동,,경기도 오산시 원동 30-21 오산 원동 한양수자인아파트,혼합,개별난방,64841.8,4,495.0,한양건설,오산원동지역주택조합,0313725781,http://www.osansujain.co.kr/kor/sub/sub6.php?loc=6,아파트,경기도 오산시 부원로87번길 19,위탁관리,계단식,20190605,0313725785,495,48318.387,120.0,375.0,0.0,0.0,36052.43,25,25,25,1,18149,37.1418097561656,127.086508351371
A10026822,오산원동미소지움아파트,4137010300,경기도,오산시,원동,,경기도 오산시 원동 906 오산원동미소지움아파트,분양,개별난방,23058.354,3,192.0,SG신성건설,코리아신탁(주),0313775641,,아파트,경기도 오산시 경기대로 114,위탁관리,계단식,20170711,0313775642,192,16217.678,192.0,0.0,0.0,0.0,11516.1102,22,22,2,5,18145,37.1348446283259,127.073588716689
