kaptCode,kaptName,bjdCode,as1,as2,as3,as4,kaptAddr,codeSaleNm,codeHeatNm,kaptTarea,kaptDongCnt,kaptdaCnt,kaptBcompany,kaptAcompany,kaptTel,kaptUrl,codeAptNm,doroJuso,codeMgrNm,codeHallNm,kaptUsedate,kaptFax,hoCnt,kaptMarea,kaptMparea60,kaptMparea85,kaptMparea135,kaptMparea136,privArea,kaptTopFloor,ktownFlrNo,kaptBaseFloor,kaptdEcntp,zipcode,위도,경도
A10025098,창원중동유니시티3단지,4812110200,경상남도,창원의창구,중동,,경상남도 창원의창구 중동 786 창원중동유니시티3단지,분양,개별난방,274942.22,10,1465.0,태영건설,주식회사 유니시티,0552551465,,아파트,경상남도 창원시 의창구 중동로 77,위탁관리,계단식,20191216,0552521465,1465,172748.17,160.0,981.0,324.0,0.0,124631.0244,42,42,3,46,51382,35.2567067649857,128.630450559894
A10025118,중동유니시티4단지,4812110200,경상남도,창원의창구,중동,,경상남도 창원의창구 중동 788 중동유니시티4단지,분양,개별난방,339736.0,12,1768.0,(주)태영건설,(주)유니시티,0552921768,,아파트,경상남도 창원시 의창구 중동로 78,위탁관리,계단식,20191216,0552921769,1768,217441.0,104.0,1098.0,484.0,82.0,159852.9523,42,42,4,0,51382,35.2542657835338,128.631354561758
A10025452,창원 중동 유니시티 2단지,4812110200,경상남도,창원의창구,중동,,경상남도 창원의창구 중동 785 창원 중동 유니시티 2단지,분양,개별난방,201421.0,7,1064.0,(주)태영건설,(주)유니시티건설,0552531064,,아파트,경상남도 창원시 의창구 중동로 33,위탁관리,계단식,20190620,0552531065,1064,90470.195,60.0,758.0,246.0,0.0,90470.1975,42,42,3,14,51382,35.2567043933324,128.627038749346
A10025454,창원중동유니시티1단지,4812110200,경상남도,창원의창구,중동,,경상남도 창원의창구 중동 790 창원중동유니시티1단지,분양,개별난방,348353.5,13,1803.0,태영건설,(주)유니시티,0552931803,unicity1.aptner.com/,아파트,경상남도 창원시 의창구 중동로 34,위탁관리,계단식,20190620,0552931805,1803,222890.45,162.0,957.0,602.0,82.0,161264.1254,42,42,3,0,51382,35.25388484964,128.625334029588
A10022095,무학서문마을 아파트,4812110300,경상남도,창원의창구,서상동,,경상남도 창원의창구 서상동 11-5 무학서문마을 아파트,분양,개별난방,14040.0,1,122.0,(주)무학건설,(주)무학건설,0552923564,,아파트,경상남도 창원시 의창구 서상로12번길 83-15,자치관리,혼합식,19990326,,122,11892.78,0.0,122.0,0.0,0.0,9000.6,0,12,0,4,,35.2621143180445,128.622343394797
A64170001,중동대동다:숲,4812110300,경상남도,창원의창구,서상동,,경상남도 창원의창구 서상동 649 중동대동다:숲,분양,개별난방,88243.0,9,630.0,(주)대동종합건설,(주)대한토지신탁,0552943115,,아파트,경상남도 창원시 의창구 팔용로 512,위탁관리,계단식,20051222,0552944113,630,72522.414,0.0,572.0,30.0,28.0,56761.3296,15,15,0,23,51369,35.2606212700361,128.619221663305
A10021224,보람아파트,4812110400,경상남도,창원의창구,소답동,,경상남도 창원의창구 소답동 144-2 보람아파트,분양,개별난방,8720.0,1,111.0,"(주) 광우주택,(주)신우건설","(주) 광우주택, (주)신우건설",0552616829,,아파트,경상남도 창원시 의창구 읍성로89번길 8,자치관리,혼합식,19960305,,111,8624.95,111.0,0.0,0.0,0.0,6484.74,1,14,0,0,,35.2656518001727,128.628346160913
A10021409,상강한주맨션,4812110500,경상남도,창원의창구,도계동,,경상남도 창원의창구 도계동 395-2 상강한주맨션,분양,개별난방,11948.0,1,123.0,한주종합건설,유한회사 상강건설,0552777798,상강한주맨션,아파트,경상남도 창원시 의창구 하남천동길16번길 11,자치관리(직영),계단식,19930326,,123,8430.73,45.0,78.0,0.0,0.0,8430.73,15,15,1,5,,35.2594332461569,128.640136592035
A64179601,한효한마음코아,4812110500,경상남도,창원의창구,도계동,,경상남도 창원의창구 도계동 329 한효한마음코아,분양,개별난방,16023.6,2,225.0,한효건설,한일합성,0552776156,창원시의창구도계로50번길6-46,아파트,경상남도 창원시 의창구 도계로50번길 6-46,위탁관리,복도식,19920808,0552776155,225,16023.6,225.0,0.0,0.0,0.0,11124,15,15,1,3,51165,35.2603489197733,128.635187821378
A64179602,도계휴먼시아,4812110500,경상남도,창원의창구,도계동,,경상남도 창원의창구 도계동 469 도계휴먼시아,임대,개별난방,40802.0,7,504.0,kcc건설,LH,0552370174,cafe.naver.com/lhdoge,아파트,경상남도 창원시 의창구 원이대로82번길 15-15,위탁관리,복도식,20091204,0552370185,504,21814.8,504.0,0.0,0.0,0.0,21814.8,15,15,1,12,51381,35.2540936443658,128.635813439507
