kaptCode,kaptName,bjdCode,as1,as2,as3,as4,kaptAddr,codeSaleNm,codeHeatNm,kaptTarea,kaptDongCnt,kaptdaCnt,kaptBcompany,kaptAcompany,kaptTel,kaptUrl,codeAptNm,doroJuso,codeMgrNm,codeHallNm,kaptUsedate,kaptFax,hoCnt,kaptMarea,kaptMparea60,kaptMparea85,kaptMparea135,kaptMparea136,privArea,kaptTopFloor,ktownFlrNo,kaptBaseFloor,kaptdEcntp,zipcode,위도,경도
A71275901,삼북주공아파트,4729010200,경상북도,경산시,삼북동,,경상북도 경산시 삼북동 27 삼북주공아파트,분양,개별난방,50495.0,9,620.0,LH,LH,0538162195,,아파트,경상북도 경산시 장산로 152,위탁관리,계단식,19970311,0538121747,620,45925.965,620.0,0.0,0.0,0.0,37184.8,20,20,0,18,38639,35.8176137479101,128.741677658346
A10024300,동남아파트,4729010300,경상북도,경산시,서상동,,경상북도 경산시 서상동 131-7 동남아파트,분양,개별난방,6263.116,1,106.0,삼화건설주식회사,종합건축사사무소 삼영도음채,0538163303,,,경상북도 경산시 서상길 23,자치관리,혼합식,19900922,,106,6263.116,106.0,0.0,0.0,0.0,6263.116,10,10,1,2,38643,35.8145466129264,128.736612619524
A71204001,경산은하맨션,4729010400,경상북도,경산시,신교동,,경상북도 경산시 신교동 0 경산은하맨션,분양,개별난방,12521715.0,1,118.0,"경남,신천지","경남,신천지",0538144600,,아파트,경상북도 경산시 경안로 74,자치관리(직영),혼합식,19960307,0538144600,118,11148.474,42.0,76.0,0.0,0.0,8728.54,19,19,0,3,,35.8141724773059,128.739390681987
A10025180,남천리버뷰우방아이유쉘,4729010500,경상북도,경산시,상방동,,경상북도 경산시 상방동 298 남천리버뷰우방아이유쉘,분양,개별난방,36931.47,2,279.0,(주)우방,(주)매경주택,0538164744,,아파트,경상북도 경산시 삼성현로 347,위탁관리,계단식,20191023,0538164745,279,20652.36,0.0,279.0,0.0,0.0,20652.3597,28,28,1,0,38646,35.8090586531678,128.7384067253
A71207002,경산태성맨션,4729010500,경상북도,경산시,상방동,,경상북도 경산시 상방동 130 경산태성맨션,분양,개별난방,35462.74,2,321.0,(주)태성주택건업,(주)태성주택건업,0538162669,,아파트,경상북도 경산시 남매로6길 20,위탁관리,혼합식,19950522,0538168662,321,25573.61,131.0,152.0,38.0,0.0,25573.61,19,19,0,4,38638,35.812216363202,128.742820065314
A71279501,상방주공아파트,4729010500,경상북도,경산시,상방동,,경상북도 경산시 상방동 292 상방주공아파트,임대,개별난방,40841.203,7,528.0,남양건설,한국토지주택공사,0538020860,,아파트,경상북도 경산시 남매로6길 7,위탁관리,혼합식,20061121,0532912100,528,40638.16,528.0,0.0,0.0,0.0,27364.62,15,15,1,15,38638,35.8137680356611,128.742340311367
A10026245,경산삼도뷰엔빌W아파트,4729010600,경상북도,경산시,백천동,,경상북도 경산시 백천동 166 경산삼도뷰엔빌W아파트,분양,개별난방,183263.92,12,1213.0,삼도주택(주),삼도주택(주),0532633600,,아파트,경상북도 경산시 경청로222길 34,위탁관리,계단식,20180731,0532633601,1213,129094.3,95.0,1020.0,98.0,0.0,94970.6423,23,23,2,37,38649,35.8024872400095,128.742302926868
A71210001,동화리버빌,4729010600,경상북도,경산시,백천동,,경상북도 경산시 백천동 572-1 동화리버빌,분양,개별난방,40980.477,5,296.0,동화주택,동화주택,0538010017,,아파트,경상북도 경산시 경청로221길 17,자치관리,계단식,20050321,0538010018,296,34767.55,0.0,236.0,60.0,0.0,27314.3376,15,15,0,11,38651,35.8041468714467,128.737109497748
A71210002,윤성2차아파트,4729010600,경상북도,경산시,백천동,,경상북도 경산시 백천동 115-7 윤성2차아파트,분양,개별난방,38246.0,3,413.0,삼화건설,윤성주택,0538161960,,아파트,경상북도 경산시 백천길 29,위탁관리,혼합식,19951127,0538161960,413,32665.93,413.0,0.0,0.0,0.0,24647.47,15,15,0,9,38649,35.8046799095579,128.742393524945
A71210003,백천신나리아파트,4729010600,경상북도,경산시,백천동,,경상북도 경산시 백천동 588-1 백천신나리아파트,분양,개별난방,65812.0,8,630.0,(주)삼능건설,경북개발공사,0538020013,,아파트,경상북도 경산시 경청로222길 8,위탁관리,계단식,20050929,0532420014,630,53670.0,390.0,240.0,0.0,0.0,41982.303,15,15,2,18,38650,35.8030377575728,128.74001264566
A71210004,부영초록마을,4729010600,경상북도,경산시,백천동,,경상북도 경산시 백천동 571-1 부영초록마을,분양,개별난방,97861.0,11,872.0,(주)동광주택,(주)부영,0538022300,,아파트,경상북도 경산시 백천동로 5,위탁관리,계단식,20041124,0538022301,872,91417.086,48.0,824.0,0.0,0.0,72898.8584,15,15,0,30,38647,35.807066377211,128.738634878528
A71210005,경산백천월드메르디앙,4729010600,경상북도,경산시,백천동,,경상북도 경산시 백천동 571-2 경산백천월드메르디앙,분양,개별난방,124318.0,11,873.0,월드건설,월드건설,0538010771,,아파트,경상북도 경산시 경청로221길 12,위탁관리,계단식,20051028,0532140771,873,100273.81,0.0,755.0,118.0,0.0,77227.7239,15,15,1,28,38647,35.8056605916628,128.738275019497
A71275406,경산백천1,4729010600,경상북도,경산시,백천동,,경상북도 경산시 백천동 570 경산백천1,임대,중앙난방,30272.17,4,627.0,삼아건설,대한주택공사,0538142329,kohom.co.kr,아파트,경상북도 경산시 경청로222길 7,위탁관리,복도식,19950907,0538131574,627,28848.44,627.0,0.0,0.0,0.0,21375.04,15,15,0,9,38648,35.8043240379083,128.740547459602
A10027666,경산옥곡태왕아너스고은,4729010700,경상북도,경산시,옥곡동,,경상북도 경산시 옥곡동 85-12 경산옥곡태왕아너스고은,분양,개별난방,36580.02,3,225.0,(주)태왕이엔씨,주식회사고은타워,0538139449,,아파트,경상북도 경산시 옥실길 66,위탁관리,혼합식,20151030,0538149449,225,19121.22,0.0,225.0,0.0,0.0,19109.0353,15,15,2,0,38691,35.8113489463259,128.729983809758
A71208002,경산옥곡한일유앤아이,4729010700,경상북도,경산시,옥곡동,,경상북도 경산시 옥곡동 828 경산옥곡한일유앤아이,분양,개별난방,37092.637,6,328.0,한일건설,대구하우징,0538025005,,아파트,경상북도 경산시 경산로 40,자치관리,계단식,20050729,0538026006,328,32228.4,0.0,328.0,0.0,0.0,25954.0816,12,12,1,14,38686,35.8138730528013,128.733189540846
A71208003,성암산 신동아파밀리에,4729010700,경상북도,경산시,옥곡동,,경상북도 경산시 옥곡동 85-1 성암산 신동아파밀리에,분양,개별난방,196185.0,18,900.0,금세기건설,신동아,0538019300,,아파트,경상북도 경산시 장산로4길 10,위탁관리,계단식,20090102,0538019301,915,147113.0,0.0,0.0,662.0,238.0,120502.507,15,15,0,34,38688,35.8143149736065,128.727054947385
A71208004,경산서부2차부영,4729010700,경상북도,경산시,옥곡동,,경상북도 경산시 옥곡동 829-1 경산서부2차부영,분양,개별난방,65427.0,7,510.0,동광산업,부영주택(주),0538015400,없음,아파트,경상북도 경산시 경산로 26,위탁관리,계단식,20050729,0538015402,510,53956.98,0.0,510.0,0.0,0.0,43337.301,15,15,0,17,38693,35.8127123211966,128.734375289769
A71208005,동화프라임빌,4729010700,경상북도,경산시,옥곡동,,경상북도 경산시 옥곡동 830 동화프라임빌,분양,개별난방,62058.75,6,516.0,동화주택,동화주택,0538020033,,아파트,경상북도 경산시 경산로 25,자치관리,계단식,20040618,0538020034,516,41436.906,0.0,516.0,0.0,0.0,41436.9064,15,15,1,18,38692,35.8120315127382,128.732438814886
A71208007,경산서부1차부영아파트,4729010700,경상북도,경산시,옥곡동,,경상북도 경산시 옥곡동 831-1 경산서부1차부영아파트,분양,개별난방,74144.0,7,688.0,동광주택산업(주),(주)부영,0538025200,,아파트,경상북도 경산시 경산로 21,위탁관리,계단식,20040421,0538025201,688,61072.35,418.0,270.0,0.0,0.0,48017.843,15,15,1,23,38692,35.810840707734,128.733054815793
A71208008,경산서부3차부영사랑으로,4729010700,경상북도,경산시,옥곡동,,경상북도 경산시 옥곡동 832-1 경산서부3차부영사랑으로,분양,개별난방,117018.664,11,966.0,동광주택,(주)부영,0538010345,,아파트,경상북도 경산시 강변서로 17,자치관리,계단식,20060616,0538010346,966,93921.5,296.0,670.0,0.0,0.0,74689.469,15,15,0,33,38693,35.8109512635514,128.735303888642
A71277801,경산우방유쉘,4729010700,경상북도,경산시,옥곡동,,경상북도 경산시 옥곡동 3-1 경산우방유쉘,분양,개별난방,56380.863,3,297.0,(주)우방,(주)명지씨엠,0538112020,,아파트,경상북도 경산시 강변서로 111,위탁관리,계단식,20091109,0538112021,297,37028.25,0.0,0.0,264.0,33.0,37028.3759,29,29,0,7,38685,35.8175586801943,128.732039251416
