kaptCode,kaptName,bjdCode,as1,as2,as3,as4,kaptAddr,codeSaleNm,codeHeatNm,kaptTarea,kaptDongCnt,kaptdaCnt,kaptBcompany,kaptAcompany,kaptTel,kaptUrl,codeAptNm,doroJuso,codeMgrNm,codeHallNm,kaptUsedate,kaptFax,hoCnt,kaptMarea,kaptMparea60,kaptMparea85,kaptMparea135,kaptMparea136,privArea,kaptTopFloor,ktownFlrNo,kaptBaseFloor,kaptdEcntp,zipcode,위도,경도
A10021912,신안동금탑맨션,4717010500,경상북도,안동시,신안동,,경상북도 안동시 신안동 277-2 신안동금탑맨션,분양,개별난방,13704.0,2,140.0,상일주택건설,상일주택건설,0548557407,,아파트,경상북도 안동시 퇴계로 157,자치관리,계단식,19941107,0548557408,141,12865.0,51.0,89.0,0.0,0.0,10617.49,15,15,1,5,,36.5714246143292,128.731702510301
A76014001,신안현대아파트,4717010500,경상북도,안동시,신안동,,경상북도 안동시 신안동 62-1 신안현대아파트,분양,개별난방,34061.0,4,330.0,승일건설주식회사,승일건설주식회사,0548550918,,아파트,경상북도 안동시 퇴계로 214,자치관리,계단식,19911221,0548580918,330,33080.7,0.0,330.0,0.0,0.0,26587.2,15,15,0,11,36681,36.5761266058229,128.734578453633
A10026877,안동강변펠리시아 아파트,4717010900,경상북도,안동시,법흥동,,경상북도 안동시 법흥동 277 안동강변펠리시아 아파트,분양,개별난방,54932.0,8,375.0,남흥건설,메이저산업,0548532920,,아파트,경상북도 안동시 육사로 333,위탁관리,계단식,20170626,0548532921,375,41611.79,0.0,357.0,18.0,0.0,32410.5397,10,10,1,18,36709,36.5630612190211,128.740650989393
A10022680,용상3주공아파트,4717011000,경상북도,안동시,용상동,,경상북도 안동시 용상동 1606 용상3주공아파트,분양,개별난방,13960.0,9,230.0,신림종합건설(주),대한주택공사,0548217059,,아파트,경상북도 안동시 전거리8길 73,자치관리,계단식,19841110,07073777059,230,12402.04,230.0,0.0,0.0,0.0,12402.04,5,5,0,0,36716,36.5593067470669,128.747429765495
A10023094,풍림아이원 리버파크,4717011000,경상북도,안동시,용상동,,경상북도 안동시 용상동 1646 풍림아이원 리버파크,분양,개별난방,124924.0,12,835.0,풍림건설,(주)대명수안,0548235385,https://xn--oy2b5a56n7vnu1bd2ak37bu3e20d.apti.co.kr/aptHome/,아파트,경상북도 안동시 중평길 88,위탁관리,계단식,20230714,0548239921,835,82202.68,0.0,835.0,0.0,0.0,62462.2798,21,21,2,26,36719,36.5568100530564,128.751527192054
A10025110,신원아침도시 에듀포레,4717011000,경상북도,안동시,용상동,,경상북도 안동시 용상동 1641 신원아침도시 에듀포레,분양,개별난방,40640.863,5,272.0,신원종합개발(주),코람코자산신탁,0547143501,,아파트,경상북도 안동시 길주길 39,위탁관리,계단식,20191227,0547143502,272,29279.969,0.0,272.0,0.0,0.0,22765.3434,18,18,2,0,36722,36.5564868608469,128.761115341154
A10025652,용상화성파크드림,4717011000,경상북도,안동시,용상동,,경상북도 안동시 용상동 1093 용상화성파크드림,분양,개별난방,31581.697,5,240.0,화성개발,한국자산신탁,0548213313,,아파트,경상북도 안동시 경동로 951,위탁관리,계단식,20190130,0548213314,240,23323.19,98.0,138.0,4.0,0.0,16981.1617,20,20,1,7,36723,36.5653345981443,128.79842064484
A10026475,e편한 세상 강변 아파트,4717011000,경상북도,안동시,용상동,,경상북도 안동시 용상동 1638 e편한 세상 강변 아파트,분양,개별난방,51747.93,5,393.0,고려개발,한국자산신탁,0548211276,,아파트,경상북도 안동시 중평길 107-16,위탁관리,계단식,20180117,0548211277,393,38280.31,114.0,278.0,1.0,0.0,28481.07,19,19,0,10,36719,36.5560571476205,128.749503018268
A76075602,용상2주공아파트,4717011000,경상북도,안동시,용상동,,경상북도 안동시 용상동 1475 용상2주공아파트,분양,개별난방,15751.0,8,300.0,주택공사,주택공사,0548210049,,아파트,경상북도 안동시 전거리8길 40,자치관리,계단식,19830328,0548213104,307,14357.023,300.0,0.0,0.0,0.0,12960.54,5,5,0,0,36716,36.5574645223864,128.747711488199
A76075605,용상4주공아파트,4717011000,경상북도,안동시,용상동,,경상북도 안동시 용상동 1557 용상4주공아파트,분양,개별난방,21039.3,12,440.0,주택공사,주택공사,0548212795,,아파트,경상북도 안동시 전거리5길 13,자치관리,계단식,19871114,0548212798,440,20556.9,440.0,0.0,0.0,0.0,17983.3,5,5,0,0,36715,36.5584009233936,128.742229989034
A76075606,안동 세영 리첼1차,4717011000,경상북도,안동시,용상동,,경상북도 안동시 용상동 1632 안동 세영 리첼1차,분양,개별난방,94501.33,6,518.0,세영종합건설,다인개발,0548236789,,아파트,경상북도 안동시 중평길 39,위탁관리,계단식,20110831,0548239876,622,72669.9,0.0,398.0,120.0,0.0,55880.4093,15,15,2,23,36719,36.5542491268025,128.751915432608
A76075607,안동용상세영리첼2차,4717011000,경상북도,안동시,용상동,,경상북도 안동시 용상동 1517-87 안동용상세영리첼2차,분양,개별난방,21997.066,4,198.0,세영종합건설,다인개발,0548230075,,아파트,경상북도 안동시 중평길 55,자치관리,계단식,20140124,0548230076,198,16849.8,198.0,0.0,0.0,0.0,11741.3208,18,18,2,6,36719,36.5553341093834,128.750991747366
A76075703,용상5주공아파트,4717011000,경상북도,안동시,용상동,,경상북도 안동시 용상동 1625 용상5주공아파트,분양,개별난방,27147.932,4,356.0,"동신건설(주),미주실업(주)",대한주택공사,0548225097,,아파트,경상북도 안동시 경동로 977-6,자치관리,복도식,19981022,0548215097,356,26335.635,356.0,0.0,0.0,0.0,17664.72,15,15,1,4,36723,36.5531215091266,128.762403226374
A76075707,용상6주공본가타운,4717011000,경상북도,안동시,용상동,,경상북도 안동시 용상동 1629 용상6주공본가타운,분양,개별난방,66202.0,9,632.0,"경남기업, 풍림산업",한국토지주택공사,0548218402,,아파트,경상북도 안동시 경동로 977-5,위탁관리,혼합식,19990421,0548230010,632,65379.9,344.0,288.0,0.0,0.0,44904.04,18,18,1,0,36723,36.5544330592256,128.760615521081
A76075808,용상현대아파트,4717011000,경상북도,안동시,용상동,,경상북도 안동시 용상동 600 용상현대아파트,분양,중앙난방,154728.0,14,1533.0,(주)현대산업개발,(주)현대산업개발,0548210548,,아파트,경상북도 안동시 길주길 101-12,위탁관리,혼합식,19940627,0548216334,1533,112442.78,911.0,472.0,150.0,0.0,112442.78,15,15,0,34,36723,36.5548046901798,128.763659792562
A76090101,용상경동아파트,4717011000,경상북도,안동시,용상동,,경상북도 안동시 용상동 974-1 용상경동아파트,분양,개별난방,19922.42,1,195.0,경동건설,경동건설,0548216107,,아파트,경상북도 안동시 중들길 65,자치관리,혼합식,19931201,0548236107,195,18770.7,75.0,120.0,0.0,0.0,14689.275,15,15,0,5,36721,36.5580413643195,128.756996460275
A76090104,용상1주공아파트,4717011000,경상북도,안동시,용상동,,경상북도 안동시 용상동 985-1 용상1주공아파트,분양,개별난방,15658.5,8,360.0,대한주택공사,대한주택공사,0548214880,,아파트,경상북도 안동시 경동로 903,자치관리,계단식,19800927,0548214880,366,15086.916,360.0,0.0,0.0,0.0,12861.907,5,5,0,0,36721,36.5578053882001,128.755173762316
A76090306,용상5-1주공아파트,4717011000,경상북도,안동시,용상동,,경상북도 안동시 용상동 1625 용상5-1주공아파트,분양,개별난방,43325.566,6,500.0,"미주건설,동신건설",대한주택공사,0548225098,없음,아파트,경상북도 안동시 경동로 977-6,자치관리,계단식,19981022,0548215098,500,43318.12,500.0,0.0,0.0,0.0,29267.4,18,18,1,12,36723,36.5531215091266,128.762403226374
A10024380,안동운흥LH천년나무2단지,4717011300,경상북도,안동시,운흥동,,경상북도 안동시 운흥동 271-5 안동운흥LH천년나무2단지,임대,개별난방,11714.0,2,200.0,MGL,한국토지주택공사,0548598442,,아파트,경상북도 안동시 축제장1길 77,위탁관리,복도식,20210108,0538598443,200,11603.33,200.0,0.0,0.0,0.0,5459.74,9,9,1,5,36706,36.5627063939235,128.732933952556
A10025145,강변늘푸른타운,4717011300,경상북도,안동시,운흥동,,경상북도 안동시 운흥동 346 강변늘푸른타운,임대,개별난방,13991.38,2,150.0,"동우건설(주),(주)동일토건","안동시,한국토지주택공사(LH)",0548439528,kohom.or.kr,아파트,경상북도 안동시 축제장1길 55,위탁관리,복도식,20191209,0548439529,150,8764.28,150.0,0.0,0.0,0.0,3981.82,9,9,1,4,36706,36.560972529385,128.728585175354
A10028022,안동센트럴자이아파트,4717012100,경상북도,안동시,당북동,,경상북도 안동시 당북동 446 안동센트럴자이아파트,분양,개별난방,148949.0,11,952.0,GS건설(주),(주)케이티앤지,0548579833,andongcentralxi.aptstory.com/,아파트,경상북도 안동시 배움길 77,위탁관리,계단식,20150325,0548579835,952,103609.72,0.0,896.0,56.0,0.0,78429.075,23,23,2,0,36675,36.5602024506341,128.718125785787
