kaptCode,kaptName,bjdCode,as1,as2,as3,as4,kaptAddr,codeSaleNm,codeHeatNm,kaptTarea,kaptDongCnt,kaptdaCnt,kaptBcompany,kaptAcompany,kaptTel,kaptUrl,codeAptNm,doroJuso,codeMgrNm,codeHallNm,kaptUsedate,kaptFax,hoCnt,kaptMarea,kaptMparea60,kaptMparea85,kaptMparea135,kaptMparea136,privArea,kaptTopFloor,ktownFlrNo,kaptBaseFloor,kaptdEcntp,zipcode,위도,경도
A10020449,두류역자이,2717010100,대구광역시,서구,내당동,,대구광역시 서구 내당동 220-1 두류역자이,분양,개별난방+기타,249372.34,7,1300.0,GS건설,내당지역주택조합,0537100326,,아파트,대구광역시 서구 달구벌대로 1769-7,위탁관리,계단식,20250826,0537100327,1300,142444.22,266.0,1028.0,0.0,6.0,104231.7206,49,49,4,23,,35.859012922541,128.558613208942
A10020514,두류스타힐스,2717010100,대구광역시,서구,내당동,,대구광역시 서구 내당동 225-1 두류스타힐스,분양,개별난방,143561.39,6,840.0,서희건설,내당3지구지역주택조합,0535555592,,주상복합,대구광역시 서구 서대구로 20,위탁관리,계단식,20250730,0535555597,840,97764.305,0.0,840.0,0.0,0.0,71339.349,49,49,4,0,,35.8608379404798,128.558480455976
A10021103,내당동화타운,2717010100,대구광역시,서구,내당동,,대구광역시 서구 내당동 460-5 내당동화타운,분양,개별난방,12370.286,2,102.0,주식회사 동화주택,주) 동화주택,0535580504,,아파트,대구광역시 서구 달구벌대로337길 29,자치관리,계단식,19941128,,102,9009.0,54.0,48.0,0.0,0.0,7312.86,6,6,1,0,,35.8571104998883,128.55037562843
A10021796,내당광명아파트,2717010100,대구광역시,서구,내당동,,대구광역시 서구 내당동 340- 내당광명아파트,분양,,14701.0,4,230.0,광명주택,광명건설,0535665450,,아파트,대구광역시 서구 평리로 214,자치관리,계단식,19810430,,230,13800.0,230.0,0.0,0.0,0.0,12010.6,5,5,0,0,,35.8606661813074,128.546809866014
A10021834,보성홍실2차아파트,2717010100,대구광역시,서구,내당동,,대구광역시 서구 내당동 11-1 보성홍실2차아파트,분양,개별난방,24899.74,5,294.0,보성건설,보성주택,0535558548,,아파트,대구광역시 서구 통학로 39,자치관리,계단식,19880430,0535538548,294,20237.75,134.0,160.0,0.0,0.0,20242.15,5,6,1,0,,35.8641691413144,128.563589710894
A10022068,홍실1차아파트,2717010100,대구광역시,서구,내당동,,대구광역시 서구 내당동 28-1 홍실1차아파트,분양,,18682.0,5,199.0,보성건설,보성건설,0532862206,,아파트,대구광역시 서구 서대구로8길 49,자치관리,계단식,19861002,0535542206,199,16222.68,0.0,199.0,0.0,0.0,16222.68,5,5,0,0,,35.8624811945582,128.561872403025
A10022771,반고개역 푸르지오,2717010100,대구광역시,서구,내당동,,대구광역시 서구 내당동 2353 반고개역 푸르지오,분양,개별난방,28549.0,3,240.0,(주)대우건설,광림이앤씨,0535545820,,아파트,대구광역시 서구 큰장로7길 11,위탁관리,계단식,20240124,0535545821,240,26740.125,0.0,239.0,0.0,1.0,20440.5747,29,29,2,6,41812,35.8633860884224,128.572532405476
A10023745,이편한세상두류역,2717010100,대구광역시,서구,내당동,,대구광역시 서구 내당동 197-2 이편한세상두류역,분양,지역난방,140545.0,7,902.0,디엘이엔씨,청수주택재건축정비사업조합,0535579846,,아파트,대구광역시 서구 달구벌대로361길 41,위탁관리,계단식,20220624,0535579847,903,91508.64,138.0,764.0,0.0,0.0,69624.1775,30,30,3,0,41860,35.8638190126679,128.559662166963
A70306004,시영내당아파트자치관리회,2717010100,대구광역시,서구,내당동,,대구광역시 서구 내당동 202-1 시영내당아파트자치관리회,분양,개별난방,31240.0,12,470.0,대구시,대구시,0535554347,,아파트,대구광역시 서구 서대구로8길 15,자치관리,계단식,19790805,0535554347,478,31070.0,470.0,0.0,0.0,0.0,26152.2,5,5,0,0,41859,35.8622967329692,128.557819553687
A70306005,황제맨션,2717010100,대구광역시,서구,내당동,,대구광역시 서구 내당동 11-8 황제맨션,분양,개별난방,63322.0,5,478.0,보성,보성,0535571782,,아파트,대구광역시 서구 통학로 46,위탁관리,계단식,19881210,0532671782,484,62304.12,0.0,270.0,178.0,30.0,48661.74,15,15,0,15,41867,35.8646373041283,128.56497234525
