kaptCode,kaptName,bjdCode,as1,as2,as3,as4,kaptAddr,codeSaleNm,codeHeatNm,kaptTarea,kaptDongCnt,kaptdaCnt,kaptBcompany,kaptAcompany,kaptTel,kaptUrl,codeAptNm,doroJuso,codeMgrNm,codeHallNm,kaptUsedate,kaptFax,hoCnt,kaptMarea,kaptMparea60,kaptMparea85,kaptMparea135,kaptMparea136,privArea,kaptTopFloor,ktownFlrNo,kaptBaseFloor,kaptdEcntp,zipcode,위도,경도
A10021501,오정영진로얄맨션,3023010100,대전광역시,대덕구,오정동,,대전광역시 대덕구 오정동 254-1 오정영진로얄맨션,분양,개별난방,12554.0,1,120.0,영진건설(주),영진건설(주),0426279382,,아파트,대전광역시 대덕구 대전로1020번길 86,위탁관리,계단식,19911012,0426289382,120,12149.1,0.0,120.0,0.0,0.0,9601.8,1,15,1,4,,36.3496439306341,127.420026917278
A30670301,오정평화로운,3023010100,대전광역시,대덕구,오정동,,대전광역시 대덕구 오정동 587-1 오정평화로운,분양,개별난방,23027.84,2,201.0,세강토건(주),평화주택건설(주),0426385222,오정평화로운.apti.co.kr,아파트,대전광역시 대덕구 한밭대로1003번길 25,위탁관리,계단식,20071119,0426385223,201,18090.03,141.0,60.0,0.0,0.0,13541.6691,15,15,1,7,34378,36.359406668558,127.408547675004
A30678602,삼익양지마을,3023010100,대전광역시,대덕구,오정동,,대전광역시 대덕구 오정동 55-5 삼익양지마을,분양,중앙난방,70626.0,8,548.0,삼익건설(주),삼익건설(주),0426262155,www.onlinepat.co.kr(삼익양지마을),아파트,대전광역시 대덕구 대전로1185번길 30,위탁관리,혼합식,19990531,0426262156,548,55604.32,222.0,220.0,106.0,0.0,44266.54,20,20,2,15,34379,36.3596723110083,127.414078115021
A30678703,오정동신동아,3023010100,대전광역시,대덕구,오정동,,대전광역시 대덕구 오정동 635-1 오정동신동아,분양,중앙난방,72441.34,7,594.0,신동아건설,신동아건설,0426279748,,아파트,대전광역시 대덕구 한밭대로1033번길 15,위탁관리,계단식,19901113,0426341662,594,71007.695,0.0,357.0,177.0,60.0,58912.11,15,15,0,21,34379,36.3602032904783,127.412042323529
A30681901,한남,3023010100,대전광역시,대덕구,오정동,,대전광역시 대덕구 오정동 464-1 한남,분양,개별난방,21113.78,2,200.0,평화주택건설(주),평화주택건설(주),0426211662,onlineapt.co.kr/apt,아파트,대전광역시 대덕구 대전로1020번길 85,위탁관리,계단식,19961005,0426211662,200,17991.26,86.0,114.0,0.0,0.0,14818.2,12,12,0,9,34435,36.3495572206116,127.419159185334
A10025654,소라아파트,3023010200,대전광역시,대덕구,대화동,,대전광역시 대덕구 대화동 30-1 소라아파트,분양,개별난방,19649.69,5,270.0,도시종합개발,도시종합개발,0426727717,,아파트,대전광역시 대덕구 동심1길 103,자치관리,계단식,19901102,0426727727,270,19629.0,0.0,270.0,0.0,0.0,16430.85,5,5,0,0,34375,36.3628093260115,127.413209159012
A30680101,두레아파트,3023010200,대전광역시,대덕구,대화동,,대전광역시 대덕구 대화동 31-36 두레아파트,분양,개별난방,31918.0,1,423.0,평화주택건설,평화주택건설,0426280791,www.apti.co.kr,아파트,대전광역시 대덕구 대화1길 77,자치관리,복도식,20010711,0426280791,423,22241.43,423.0,0.0,0.0,0.0,14817.9114,14,14,2,0,34373,36.3635662386292,127.416887641811
A30676102,읍내동현대,3023010300,대전광역시,대덕구,읍내동,,대전광역시 대덕구 읍내동 54 읍내동현대,분양,개별난방,138000.0,15,1344.0,현대건설(주),(주)정주개발,0426314898,,아파트,대전광역시 대덕구 계족로761번길 24,위탁관리,혼합식,19911012,0426233955,1344,137822.05,108.0,1236.0,0.0,0.0,108490.32,18,18,1,38,34354,36.3785797222965,127.425152170307
A30679001,백송,3023010300,대전광역시,대덕구,읍내동,,대전광역시 대덕구 읍내동 202 백송,분양,개별난방,25931.0,2,297.0,(주)세원기공,(주)세원기공,0426368784,읍내백송.ma-um.co.kr,아파트,대전광역시 대덕구 대전로1397번길 79,위탁관리,혼합식,19971119,0426368785,297,23147.77,297.0,0.0,0.0,0.0,17224.074,17,17,1,6,34359,36.3804835329939,127.419698321162
A30678401,연축동주공,3023010400,대전광역시,대덕구,연축동,,대전광역시 대덕구 연축동 102 연축동주공,분양,개별난방,33286.0,18,670.0,주택공사,주택공사,0426222373,,아파트,대전광역시 대덕구 신탄진로 170,자치관리,계단식,19871119,0426222383,683,31974.0,670.0,0.0,0.0,0.0,28358.4,5,5,0,0,34350,36.3956741090054,127.423440806931
