kaptCode,kaptName,bjdCode,as1,as2,as3,as4,kaptAddr,codeSaleNm,codeHeatNm,kaptTarea,kaptDongCnt,kaptdaCnt,kaptBcompany,kaptAcompany,kaptTel,kaptUrl,codeAptNm,doroJuso,codeMgrNm,codeHallNm,kaptUsedate,kaptFax,hoCnt,kaptMarea,kaptMparea60,kaptMparea85,kaptMparea135,kaptMparea136,privArea,kaptTopFloor,ktownFlrNo,kaptBaseFloor,kaptdEcntp,zipcode,위도,경도
A10021797,영도 봄여름가을겨울,2620010100,부산광역시,영도구,대교동1가,,부산광역시 영도구 대교동1가 95- 영도 봄여름가을겨울,분양,개별난방,13397.7295,1,115.0,수영주택건설,수영주택건설,024152280,,아파트,부산광역시 영도구 남항서로 131,위탁관리,계단식,20200804,,115,11994.951,0.0,115.0,0.0,0.0,8482.4069,1,25,0,0,,35.0921750107508,129.037705311481
A60675701,대동대교아파트,2620010300,부산광역시,영도구,대평동1가,,부산광역시 영도구 대평동1가 1 대동대교아파트,분양,개별난방,56483.0,4,462.0,대동조선(주),대동조선(주),0514169021,,아파트,부산광역시 영도구 대평로 16,자치관리,계단식,19800830,0514169028,555,51608.7,11.0,132.0,299.0,20.0,38654.22,12,12,0,17,49041,35.0913692068559,129.03606815475
A10027065,남항부백자연애아파트,2620010500,부산광역시,영도구,남항동1가,,부산광역시 영도구 남항동1가 217-1 남항부백자연애아파트,분양,개별난방,15688.95,1,184.0,(주)대보종합건설,(주)부백건설,0514188856,,주상복합,부산광역시 영도구 절영로35번길 46,위탁관리,계단식,20160715,0514188856,184,13428.313,157.0,27.0,0.0,0.0,8949.73,15,15,1,7,49053,35.0902725958887,129.041338476199
A60674101,동부산아이존빌아파트,2620010900,부산광역시,영도구,영선동2가,,부산광역시 영도구 영선동2가 175 동부산아이존빌아파트,분양,개별난방,58238.47,5,416.0,동부산건설,동부산건설,0514128893,,아파트,부산광역시 영도구 영선대로 98,위탁관리,계단식,20041130,0519948894,416,47873.96,3.0,321.0,92.0,0.0,36960.7367,20,20,1,11,49069,35.0885169573786,129.043481324555
A60675901,영도대원아파트,2620011100,부산광역시,영도구,영선동4가,,부산광역시 영도구 영선동4가 245-1 영도대원아파트,분양,개별난방,91970.38,5,448.0,(주)대원,(주)대원,0514153878,www.hebibi.com/180,아파트,부산광역시 영도구 남항새싹길 79,자치관리,혼합식,19910105,0514153879,448,59861.156,0.0,219.0,148.0,81.0,47748.541,15,15,1,12,49078,35.0820832884882,129.043310392366
A60681702,영선동반도보라아파트,2620011100,부산광역시,영도구,영선동4가,,부산광역시 영도구 영선동4가 186-46 영선동반도보라아파트,분양,개별난방,117923.0,10,868.0,(주)반도,반도,0514188900,,아파트,부산광역시 영도구 해안산책길 30,위탁관리,계단식,20000616,07070051314,877,96393.22,336.0,292.0,192.0,48.0,75410.28,25,25,2,19,49080,35.0820206590569,129.040062498074
A60605201,영광그린파크아파트,2620011300,부산광역시,영도구,신선동2가,,부산광역시 영도구 신선동2가 181-30 영광그린파크아파트,분양,개별난방,21048.61,1,209.0,영광산업,영광산업,0514147197,,아파트,부산광역시 영도구 중복길 270,자치관리,혼합식,19931230,0519857197,215,20469.42,36.0,173.0,0.0,0.0,15472.79,15,15,0,5,49075,35.0841881017051,129.047661123059
A10020690,부산항 퀸즈W 오션프런트,2620011600,부산광역시,영도구,봉래동2가,,부산광역시 영도구 봉래동2가 140- 부산항 퀸즈W 오션프런트,임대,개별난방,36586.71,1,299.0,대성문산업개발,대성문산업개발,0514185447,,아파트,부산광역시 영도구 봉래나루로166번길 10,위탁관리,계단식,20250401,0514135448,299,24989.969,299.0,0.0,0.0,0.0,15799.1568,34,34,2,8,,35.0958057105957,129.042686608494
A60675801,미광마린타워아파트,2620011600,부산광역시,영도구,봉래동2가,,부산광역시 영도구 봉래동2가 112 미광마린타워아파트,분양,개별난방,98803.36,4,676.0,대우건설,대우건설,0514163908,,아파트,부산광역시 영도구 대교로14번길 17,자치관리,계단식,19920605,0514163909,676,72868.2,0.0,406.0,138.0,132.0,72868.2,23,23,0,15,49004,35.0945408693402,129.043304043731
A10024303,영도 센트럴 에일린의뜰,2620011800,부산광역시,영도구,봉래동4가,,부산광역시 영도구 봉래동4가 69-1 영도 센트럴 에일린의뜰,혼합,개별난방,126989.0,12,1216.0,아이에스동서,봉래1구역 주택재개발 정비사업조합,0514188847,,아파트,부산광역시 영도구 태종로 172,위탁관리,계단식,20210429,0514188849,1216,124687.17,397.0,764.0,55.0,0.0,91078.1778,34,34,3,27,49057,35.0935638945661,129.047480684119
