kaptCode,kaptName,bjdCode,as1,as2,as3,as4,kaptAddr,codeSaleNm,codeHeatNm,kaptTarea,kaptDongCnt,kaptdaCnt,kaptBcompany,kaptAcompany,kaptTel,kaptUrl,codeAptNm,doroJuso,codeMgrNm,codeHallNm,kaptUsedate,kaptFax,hoCnt,kaptMarea,kaptMparea60,kaptMparea85,kaptMparea135,kaptMparea136,privArea,kaptTopFloor,ktownFlrNo,kaptBaseFloor,kaptdEcntp,zipcode,위도,경도
A10021404,우남이채롬아파트,2611010100,부산광역시,중구,영주동,,부산광역시 중구 영주동 5- 우남이채롬아파트,분양,개별난방,0.0,1,111.0,(주)우남,충효촌지역주택조함,0514671788,,아파트,부산광역시 중구 초량상로 13,위탁관리,혼합식,20060306,0514671788,111,10749.101,36.0,62.0,13.0,0.0,8229.0473,18,18,2,0,,35.1136511623553,129.035275419352
A10021565,도경오벨리스,2611010100,부산광역시,중구,영주동,,부산광역시 중구 영주동 587- 도경오벨리스,분양,,0.0,1,102.0,,,051-464-6693,,아파트,부산광역시 중구 대영로 240,,,20050913,,0,0.0,0.0,102.0,0.0,0.0,8447.3,1,20,0,0,,35.1117493261741,129.036804053076
A60011201,영주동아아파트9B,2611010100,부산광역시,중구,영주동,,부산광역시 중구 영주동 92 영주동아아파트9B,분양,개별난방,24625.38,2,204.0,동아건설,동아건설,0514689535,,아파트,부산광역시 중구 영주로 73,위탁관리,복도식,19981030,0514689545,204,20461.258,84.0,120.0,0.0,0.0,14323.28,16,16,2,4,48905,35.1138763390616,129.030044518394
A60011202,영주동금호타운,2611010100,부산광역시,중구,영주동,,부산광역시 중구 영주동 161 영주동금호타운,분양,개별난방,34053.89,1,322.0,금호건설,16블럭 재건축조합,0514414034,joyapt.co.kr/988,아파트,부산광역시 중구 영주로 51,위탁관리,계단식,19970828,0514654972,322,30009.922,138.0,184.0,0.0,0.0,23397.57,16,16,2,10,48917,35.1113974257886,129.030203776407
A60011204,영주동아11블럭아파트,2611010100,부산광역시,중구,영주동,,부산광역시 중구 영주동 160 영주동아11블럭아파트,분양,개별난방,36367.96,2,328.0,동아건설,(주)한국도카주택,0514691300,,아파트,부산광역시 중구 영주로 65,위탁관리,복도식,19981030,0514655214,328,32272.06,170.0,158.0,0.0,0.0,23091.06,16,16,1,4,48905,35.1126221511825,129.029825424711
A10021198,부원아파트,2611010200,부산광역시,중구,대창동1가,,부산광역시 중구 대창동1가 54-67 부원아파트,분양,개별난방,14390.0,1,142.0,부원건설,부원건설,0514698027,,주상복합,부산광역시 중구 중앙대로115번길 1-6,위탁관리,혼합식,19721104,,142,9143.25,33.0,105.0,3.0,1.0,9143.25,12,12,0,0,,35.1078813929709,129.035871480357
A10021108,서린엘마르센트로뷰,2611010700,부산광역시,중구,중앙동4가,,부산광역시 중구 중앙동4가 19- 서린엘마르센트로뷰,분양,개별난방,35225.883,1,120.0,서린건설(주),우리자산신탁 주식회사,0514697756,,주상복합,부산광역시 중구 대교로 157,위탁관리,복도식,20210527,0514697757,120,9816.004,120.0,0.0,0.0,0.0,6558.4275,1,33,5,0,,35.1041347317799,129.037171162642
A10021196,동광대동맨션,2611011500,부산광역시,중구,동광동5가,,부산광역시 중구 동광동5가 16-11 동광대동맨션,분양,개별난방,11386.0,1,120.0,대동조선,대동조선,0514660991,,아파트,부산광역시 중구 동광길93번길 5,자치관리,복도식,19810612,0514660991,122,10743.5,60.0,60.0,0.0,0.0,7568.2,1,10,0,0,,35.1072708523557,129.034019765855
A60070101,코모도에스테이트,2611011600,부산광역시,중구,대청동1가,,부산광역시 중구 대청동1가 37-1 코모도에스테이트,분양,개별난방,12897.22,1,268.0,남흥건설(주),(주)코모도호텔,0514654300,,도시형 생활주택(아파트),부산광역시 중구 대청로 121-1,위탁관리,복도식,20131010,0514674300,268,12897.22,268.0,0.0,0.0,0.0,7266.44,14,14,2,0,48932,35.1031549519968,129.033115659115
A10021688,새들맨션,2611011900,부산광역시,중구,대청동4가,,부산광역시 중구 대청동4가 79-1 새들맨션,분양,개별난방,17623.0,1,131.0,유원건설(주),새들원,0514699123,https://aptree.co.kr/home/user/1997,아파트,부산광역시 중구 중구로 81,자치관리(직영),복도식,19810408,0514651823,131,15065.0,0.0,131.0,0.0,0.0,11021.03,1,11,4,2,,35.1048937303999,129.02965565963
A10021353,대림에이스타운,2611012000,부산광역시,중구,보수동1가,,부산광역시 중구 보수동1가 41-1 대림에이스타운,분양,개별난방,19143.0,1,140.0,경동건설,대림,0512547350,,아파트,부산광역시 중구 법수길 72,자치관리,혼합식,19941022,0512547350,140,19142.15,53.0,45.0,1.0,41.0,12850.98,1,21,0,3,,35.1066968784082,129.025406659501
