kaptCode,kaptName,bjdCode,as1,as2,as3,as4,kaptAddr,codeSaleNm,codeHeatNm,kaptTarea,kaptDongCnt,kaptdaCnt,kaptBcompany,kaptAcompany,kaptTel,kaptUrl,codeAptNm,doroJuso,codeMgrNm,codeHallNm,kaptUsedate,kaptFax,hoCnt,kaptMarea,kaptMparea60,kaptMparea85,kaptMparea135,kaptMparea136,privArea,kaptTopFloor,ktownFlrNo,kaptBaseFloor,kaptdEcntp,zipcode,위도,경도
A10020346,한화포레나미아아파트,1130510100,서울특별시,강북구,미아동,,서울특별시 강북구 미아동 705-1 한화포레나미아아파트,혼합,개별난방,70615.63,4,497.0,한화건설,(주)범산도시개발,029456667,,아파트,서울특별시 강북구 솔샘로53길 21,위탁관리,혼합식,20251127,0294566669,497,70615.625,0.0,0.0,271.0,226.0,70615.6264,29,0,5,0,,37.6193354034297,127.022092885586
A10021203,미아요진아파트,1130510100,서울특별시,강북구,미아동,,서울특별시 강북구 미아동 152- 미아요진아파트,분양,개별난방,12115.26,2,123.0,요진건설,모름,029859691,,아파트,서울특별시 강북구 도봉로76길 52,자치관리,혼합식,20050705,029849692,123,12115.26,64.0,59.0,0.0,0.0,8802.46,15,15,2,4,,37.6334537426819,127.027015504212
A10021213,신구아파트,1130510100,서울특별시,강북구,미아동,,서울특별시 강북구 미아동 1352- 신구아파트,분양,개별난방,15538.0,1,105.0,신구종합건설,신구종합건설,029866271,위드 회계대행,아파트,서울특별시 강북구 오패산로60길 17-7,위탁관리,계단식,20001005,029866270,105,9705.749,22.0,83.0,0.0,0.0,8310.47,12,12,4,5,,37.6267812637117,127.03052775851
A10022183,신일해피트리아파트,1130510100,서울특별시,강북구,미아동,,서울특별시 강북구 미아동 1358- 신일해피트리아파트,분양,개별난방,0.0,1,117.0,신일건설,신일건설,029886434,,아파트,서울특별시 강북구 오패산로60길 22,위탁관리,계단식,20060303,029886411,117,11302.29,43.0,74.0,0.0,0.0,8713.39,0,12,2,5,,37.6259376478707,127.031299304387
A10022391,북서울자이 폴라리스 아파트,1130510100,서울특별시,강북구,미아동,,서울특별시 강북구 미아동 1375- 북서울자이 폴라리스 아파트,혼합,개별난방,163207.19,15,888.0,GS 건설,미아 제3구역 주택재개발 정비사업조합,029809997,미아 제3구역 주택재개발 정비사업조합,아파트,서울특별시 강북구 삼양로58길 29,위탁관리,혼합식,20240829,029809998,1045,97453.055,394.0,428.0,66.0,0.0,67052.25,22,22,3,37,,37.6268250718091,127.018791020922
A10022897,미아sh빌아파트,1130510100,서울특별시,강북구,미아동,,서울특별시 강북구 미아동 797-8 미아sh빌아파트,임대,개별난방,4724.73,1,57.0,SH공사,울트라건설,029451921,,아파트,서울특별시 강북구 삼양로 246-14,위탁관리,복도식,20070918,029451920,57,4724.73,57.0,0.0,0.0,0.0,1717.41,7,7,0,1,01127,37.6253947810889,127.019190197032
A10023829,꿈의숲한신더휴아파트,1130510100,서울특별시,강북구,미아동,,서울특별시 강북구 미아동 1371 꿈의숲한신더휴아파트,분양,개별난방,30977.975,6,203.0,한신공영,미아동 3-111번지 일대 주택재건축 정비사업조합,029856622,,아파트,서울특별시 강북구 오패산로 202,위탁관리,계단식,20220428,029856623,203,18572.363,130.0,73.0,0.0,0.0,13621.77,11,11,4,8,01156,37.6198126206279,127.033045298587
A10024034,수유역푸르지오시티,1130510100,서울특별시,강북구,미아동,,서울특별시 강북구 미아동 160-3 수유역푸르지오시티,분양,개별난방,11884.825,1,298.0,주식회사대우건설,(주)케이쓰리엠,029452417,없음,주상복합,서울특별시 강북구 도봉로 290,자치관리,계단식,20141017,029455602,298,8768.874,298.0,0.0,0.0,0.0,5707.4022,20,20,3,2,01128,37.6341884558025,127.023860909253
A10025241,꿈의숲 해링턴 플레이스 아파트,1130510100,서울특별시,강북구,미아동,,서울특별시 강북구 미아동 1369 꿈의숲 해링턴 플레이스 아파트,혼합,개별난방,163778.0,17,1028.0,진흥기업(주),미아제9-1구역 주택재건축정비사업조합,029460842,htplace.com,아파트,서울특별시 강북구 오현로 45,위탁관리,계단식,20190927,029460844,1028,101702.66,369.0,565.0,94.0,0.0,78321.17,14,14,3,47,01155,37.6184958950826,127.034691191838
A10026947,꿈의숲롯데캐슬아파트,1130510100,서울특별시,강북구,미아동,,서울특별시 강북구 미아동 4 꿈의숲롯데캐슬아파트,혼합,개별난방,93238.79,11,615.0,롯데건설(주),미아제4구역재개발정비사업조합,029856031,,아파트,서울특별시 강북구 오현로 56,위탁관리,복도식,20170227,029456030,615,59450.81,205.0,386.0,24.0,0.0,45906.27,15,15,3,25,01232,37.6174080707171,127.036391166899
A14210001,삼각산아이원임대,1130510100,서울특별시,강북구,미아동,,서울특별시 강북구 미아동 1357-2 삼각산아이원임대,임대,개별난방,38503.676,2,673.0,풍림건설,풍림건설,029812793,,아파트,서울특별시 강북구 삼양로19길 113,위탁관리,복도식,20031230,029812794,673,38503.676,673.0,0.0,0.0,0.0,16187.669,25,25,3,0,01198,37.6172436389743,127.018614178282
