kaptCode,kaptName,bjdCode,as1,as2,as3,as4,kaptAddr,codeSaleNm,codeHeatNm,kaptTarea,kaptDongCnt,kaptdaCnt,kaptBcompany,kaptAcompany,kaptTel,kaptUrl,codeAptNm,doroJuso,codeMgrNm,codeHallNm,kaptUsedate,kaptFax,hoCnt,kaptMarea,kaptMparea60,kaptMparea85,kaptMparea135,kaptMparea136,privArea,kaptTopFloor,ktownFlrNo,kaptBaseFloor,kaptdEcntp,zipcode,위도,경도
A10020559,낙성대현대아파트,1162010100,서울특별시,관악구,봉천동,,서울특별시 관악구 봉천동 296- 낙성대현대아파트,분양,개별난방,17960.0,2,122.0,현대견설(주),범우연립주택조합,028844076,,아파트,서울특별시 관악구 낙성대로 37,자치관리,혼합식,19981123,028844075,122,12827.37,60.0,32.0,30.0,0.0,9755.24,1,16,2,3,,37.4750056302753,126.959465111276
A10020665,반석푸른숲아파트,1162010100,서울특별시,관악구,봉천동,,서울특별시 관악구 봉천동 1723- 반석푸른숲아파트,분양,개별난방,13078.0,1,137.0,반석종합건설,반석종합건설,028839920,,아파트,서울특별시 관악구 인헌16다길 14,위탁관리,계단식,20060519,028848540,137,13078.0,45.0,92.0,0.0,0.0,10379.19,1,12,0,0,,37.4686370417152,126.965807061019
A10020718,LH관악봉천행복주택,1162010100,서울특별시,관악구,봉천동,,서울특별시 관악구 봉천동 1739- LH관악봉천행복주택,임대,개별난방,7629.8574,1,236.0,양우종합건설(주),LH토지주택공사,028771723,,아파트,서울특별시 관악구 인헌16가길 38,위탁관리,복도식,20250313,028771724,238,7629.8574,236.0,0.0,0.0,0.0,4126.19,4,4,1,7,,37.4685128802679,126.968388096316
A10020964,힐스테이트관악센트씨엘,1162010100,서울특별시,관악구,봉천동,,서울특별시 관악구 봉천동 1699-1 힐스테이트관악센트씨엘,분양,개별난방,154393.53,9,997.0,현대건설,봉천제 4-1-2구역 주택재개발 정비사업 조합,028771060,,아파트,서울특별시 관악구 구암5길 28,위탁관리,계단식,20241230,028771061,997,93461.21,552.0,445.0,0.0,0.0,68117.08,28,28,3,30,,37.4919710078111,126.945994972498
A10021647,마에스트로캠퍼스타운,1162010100,서울특별시,관악구,봉천동,,서울특별시 관악구 봉천동 893-12 마에스트로캠퍼스타운,분양,개별난방,0.0,1,117.0,(주)한미글로벌건축사사무소,한국자산신탁(주),0261058690,,주상복합,서울특별시 관악구 남부순환로 1773,위탁관리,복도식,20121019,0261058691,117,3207.23,117.0,0.0,0.0,0.0,1608.23,1,15,2,1,,37.4822302925223,126.947375018938
A10021687,동아타운아파트,1162010100,서울특별시,관악구,봉천동,,서울특별시 관악구 봉천동 1629-2 동아타운아파트,분양,개별난방,20053.26,1,121.0,동아건설산업(주),새한연립 재건축 조합,028727637,,주상복합,서울특별시 관악구 봉천로 576,위탁관리,복도식,19991030,028727400,121,10049.63,79.0,14.0,28.0,0.0,6868.8,16,16,0,1,,37.4769457371125,126.961233032893
A10021724,프라비다 M,1162010100,서울특별시,관악구,봉천동,,서울특별시 관악구 봉천동 893-1 프라비다 M,분양,개별난방,0.0,1,114.0,대호아이피종합건설(주),대호아이피개발(주),0261058690,,주상복합,서울특별시 관악구 남부순환로 1777-7,위탁관리,복도식,20141107,0261058691,114,4053.84,114.0,0.0,0.0,0.0,2882.11,20,20,2,1,,37.4824444142471,126.947672564022
A10023372,BX201 청년주택,1162010100,서울특별시,관악구,봉천동,,서울특별시 관악구 봉천동 854-3 BX201 청년주택,임대,개별난방,8239.52,1,201.0,강남건영(주),라온스테이2030,028760203,www.bx201.co.kr,,,위탁관리,복도식,20220510,028760204,202,6626.4,201.0,0.0,0.0,0.0,4158,20,20,2,0,08788,37.4798201658914,126.95333696362
A10023490,일두아파트,1162010100,서울특별시,관악구,봉천동,,서울특별시 관악구 봉천동 1021 일두아파트,분양,,0.0,1,204.0,,,028771985,,연립주택,,,,19851120,,0,0.0,204.0,0.0,0.0,0.0,9701.76,1,6,0,0,08726,37.4889071966167,126.954726970361
A10024514,관악위버폴리스,1162010100,서울특별시,관악구,봉천동,,서울특별시 관악구 봉천동 859-17 관악위버폴리스,분양,개별난방,32278.865,1,108.0,(주)풍성주택,(주)풍성주택,028830120,,주상복합,서울특별시 관악구 관악로 195,위탁관리,계단식,20100222,028830320,108,22273.19,0.0,2.0,104.0,2.0,11560.932,20,20,6,2,08745,37.4827164165708,126.95322956114
