kaptCode,kaptName,bjdCode,as1,as2,as3,as4,kaptAddr,codeSaleNm,codeHeatNm,kaptTarea,kaptDongCnt,kaptdaCnt,kaptBcompany,kaptAcompany,kaptTel,kaptUrl,codeAptNm,doroJuso,codeMgrNm,codeHallNm,kaptUsedate,kaptFax,hoCnt,kaptMarea,kaptMparea60,kaptMparea85,kaptMparea135,kaptMparea136,privArea,kaptTopFloor,ktownFlrNo,kaptBaseFloor,kaptdEcntp,zipcode,위도,경도
A10021007,청구하이츠 아파트,3114010100,울산광역시,남구,무거동,,울산광역시 남구 무거동 828-3 청구하이츠 아파트,분양,개별난방,13720.7,1,119.0,모름,모름,0522775176,https://cafe.naver.com/sinbokro54,아파트,울산광역시 남구 신복로 54,자치관리,계단식,19900817,,119,10099.53,0.0,119.0,0.0,0.0,10099.53,1,15,0,0,,35.5499687577578,129.25673778977
A10022605,문수비스타동원,3114010100,울산광역시,남구,무거동,,울산광역시 남구 무거동 1184-1 문수비스타동원,분양,개별난방,103393.78,10,663.0,(주)동원개발,삼호주공아파트주택재건축조합,0522779776,,아파트,울산광역시 남구 삼호로 68,위탁관리,계단식,20240503,0522779777,663,69567.734,193.0,435.0,35.0,0.0,51643.5543,18,18,2,20,44640,35.5490302570779,129.272659902339
A10023556,울산대이즈플레이스,3114010100,울산광역시,남구,무거동,,울산광역시 남구 무거동 1527-4 울산대이즈플레이스,분양,개별난방,19404.35,1,111.0,창비건설,(주)이채,0522397334,,주상복합,,위탁관리,복도식,20181130,0522397334,111,13571.05,18.0,93.0,0.0,0.0,6680.74,20,20,4,5,44602,35.5489720541242,129.261786402451
A10024243,무거한라3차아파트,3114010100,울산광역시,남구,무거동,,울산광역시 남구 무거동 1543 무거한라3차아파트,분양,개별난방,10583.0,1,120.0,한라주택,한라주택,0522491126,,아파트,울산광역시 남구 신복로72번길 28-42,위탁관리,계단식,19960827,022491126,120,10560.0,48.0,72.0,0.0,0.0,8995.44,12,12,1,0,44600,35.5531277329012,129.256531189689
A68019009,삼호시영,3114010100,울산광역시,남구,무거동,,울산광역시 남구 무거동 1448-1 삼호시영,분양,개별난방,12056.0,1,200.0,종합건설본부,종합건설본부,0522776435,,아파트,울산광역시 남구 삼호로48번길 1,자치관리,복도식,19920730,0522776435,200,11239.8,200.0,0.0,0.0,0.0,7980,12,12,0,2,44641,35.549067263667,129.269797250475
A68019017,굴화주공2-2,3114010100,울산광역시,남구,무거동,,울산광역시 남구 무거동 276-1 굴화주공2-2,분양,개별난방,41747.266,7,480.0,(주)해강,대한주택공사,0522210638,www.hebibi.com/2131,아파트,울산광역시 남구 굴화4길 22,위탁관리,계단식,19961217,0529420638,480,41744.4,480.0,0.0,0.0,0.0,28795.2,18,18,1,14,44631,35.55294997268,129.262710376798
A68075501,무거롯데캐슬,3114010100,울산광역시,남구,무거동,,울산광역시 남구 무거동 1584 무거롯데캐슬,분양,개별난방,54813.062,5,272.0,(주)롯데건설,(주)승보건설,0529036013,,아파트,울산광역시 남구 신복로79번길 14,위탁관리,계단식,20091029,0522237710,272,37771.31,0.0,140.0,81.0,51.0,30427.2541,15,15,3,10,44609,35.5480607340296,129.253135387826
A68075502,무거위브자이,3114010100,울산광역시,남구,무거동,,울산광역시 남구 무거동 1594 무거위브자이,분양,개별난방,188839.0,13,922.0,"GS자이,두산건설",무거산호아파트주택재건축정비사업조합,0522478822,www.joyapt.com/4746,아파트,울산광역시 남구 북부순환도로 35,위탁관리,계단식,20130830,0522476622,923,132630.83,0.0,272.0,552.0,98.0,104588.188,25,25,2,0,44629,35.5533294446432,129.266329281583
A68075503,무거태화강서희스타힐스,3114010100,울산광역시,남구,무거동,,울산광역시 남구 무거동 130-6 무거태화강서희스타힐스,분양,개별난방,26218.479,2,164.0,(주)서희건설,(주)오리온밸리,0522499952,joyapt.com/4727,아파트,울산광역시 남구 남산로12번길 7-7,자치관리,혼합식,20140318,0522499953,164,16979.662,0.0,164.0,0.0,0.0,12921.791,20,20,2,6,44628,35.5520202248306,129.272629213207
A68075504,무거동한신휴플러스,3114010100,울산광역시,남구,무거동,,울산광역시 남구 무거동 1603 무거동한신휴플러스,분양,개별난방,36581.773,5,260.0,한신공영,아시아신탁,0522217739,,아파트,울산광역시 남구 남부순환도로 86,위탁관리,계단식,20140220,0522217740,260,29424.87,0.0,260.0,0.0,0.0,22094.6245,18,18,1,8,44614,35.5409719636104,129.264378329291
A68080714,굴화주공2-1,3114010100,울산광역시,남구,무거동,,울산광역시 남구 무거동 276-1 굴화주공2-1,분양,개별난방,26793.53,4,356.0,(주)해강,주택공사,0522212370,www.hebibi.com/400,아파트,울산광역시 남구 굴화4길 22,위탁관리,복도식,19961217,0522212736,366,25098.0,356.0,0.0,0.0,0.0,16793.41,15,18,1,4,44631,35.55294997268,129.262710376798
