kaptCode,kaptName,bjdCode,as1,as2,as3,as4,kaptAddr,codeSaleNm,codeHeatNm,kaptTarea,kaptDongCnt,kaptdaCnt,kaptBcompany,kaptAcompany,kaptTel,kaptUrl,codeAptNm,doroJuso,codeMgrNm,codeHallNm,kaptUsedate,kaptFax,hoCnt,kaptMarea,kaptMparea60,kaptMparea85,kaptMparea135,kaptMparea136,privArea,kaptTopFloor,ktownFlrNo,kaptBaseFloor,kaptdEcntp,zipcode,위도,경도
A10027420,에드가채움아파트,4611010100,전라남도,목포시,용당동,,전라남도 목포시 용당동 1214 에드가채움아파트,분양,개별난방,25875.0,5,256.0,(주)하늘종합건설,도휘주식회사,0612779824,,아파트,전라남도 목포시 소영길 43,자치관리,계단식,20160701,0612779825,256,25874.834,0.0,256.0,0.0,0.0,19519.5912,17,17,2,11,58650,34.8079537927457,126.396386207006
A53036003,용당아파트,4611010100,전라남도,목포시,용당동,,전라남도 목포시 용당동 982-25 용당아파트,분양,개별난방,16335.0,9,350.0,주택공사,주택공사,0612760830,,아파트,전라남도 목포시 송림로 5,자치관리,계단식,19770711,0612768830,350,15041.32,350.0,0.0,0.0,0.0,14358.81,5,5,0,0,58651,34.8085637437868,126.399606714882
A10020206,삼학하이츠,4611010200,전라남도,목포시,산정동,,전라남도 목포시 산정동 1365 삼학하이츠,분양,개별난방,23897.61,10,355.0,중앙건설,중앙건설,0612423035,,아파트,전라남도 목포시 둥근섬로54번길 11-1,자치관리,계단식,19810922,0612423035,355,23439.05,90.0,245.0,20.0,0.0,23439.05,5,0,0,0,,34.7927422607731,126.399879744172
A10024337,산정대광로제비앙아파트,4611010200,전라남도,목포시,산정동,,전라남도 목포시 산정동 1840 산정대광로제비앙아파트,임대,개별난방,44959.0,8,416.0,대광건영,(주)포레지아,0612763990,,아파트,전라남도 목포시 양을로79번길 6,위탁관리,계단식,20210330,0612763991,416,44180.69,0.0,416.0,0.0,0.0,33604.1333,17,17,2,15,58635,34.8050371692051,126.382733066476
A10026528,목포 라송센트럴카운티2차 아파트,4611010200,전라남도,목포시,산정동,,전라남도 목포시 산정동 1837 목포 라송센트럴카운티2차 아파트,임대,개별난방,59768.1,5,400.0,(주)한토건설,라송산업주식회사,0612733700,,아파트,전라남도 목포시 청호로136번길 22,위탁관리,혼합식,20180109,0612733701,400,43789.582,0.0,400.0,0.0,0.0,32890.0559,20,20,2,11,58640,34.804529850237,126.379097876414
A10027718,목포라송센트럴카운티1차 아파트,4611010200,전라남도,목포시,산정동,,전라남도 목포시 산정동 1836 목포라송센트럴카운티1차 아파트,임대,개별난방,39686.68,3,265.0,한토건설(주),라송산업(주),0612736006,,아파트,,위탁관리,계단식,20160107,0612738002,265,20736.723,0.0,265.0,0.0,0.0,20736.7223,20,20,2,9,58635,34.8062249687402,126.384127198401
A53035001,근화그린,4611010200,전라남도,목포시,산정동,,전라남도 목포시 산정동 326-10 근화그린,분양,개별난방,16271.0,1,150.0,근화건설,근화건설,0612736669,,아파트,전라남도 목포시 산정로 268-3,자치관리(직영),계단식,19900615,0612736680,150,15613.5,0.0,150.0,0.0,0.0,12745.45,15,15,1,5,58613,34.8115728368021,126.386963514059
A53035004,근화2차아파트,4611010200,전라남도,목포시,산정동,,전라남도 목포시 산정동 322 근화2차아파트,분양,개별난방,20515.98,1,160.0,(주)근화건설,(주)근화건설,0612790281,,아파트,전라남도 목포시 산정로 268-1,자치관리,계단식,19911122,0619816225,160,20080.0,0.0,120.0,0.0,40.0,16096.8,20,20,2,4,58613,34.8113984065001,126.388017932507
A53035005,동백,4611010200,전라남도,목포시,산정동,,전라남도 목포시 산정동 1392 동백,분양,개별난방,18961.0,2,180.0,(유)만리주택,(유)만리주택,0612428990,,아파트,전라남도 목포시 삼학로183번길 14,위탁관리,계단식,19901226,0612438990,180,18446.28,0.0,180.0,0.0,0.0,14581.71,15,15,1,6,58745,34.7895999501427,126.404054471378
A53035006,근화황제,4611010200,전라남도,목포시,산정동,,전라남도 목포시 산정동 1398- 근화황제,분양,개별난방,23391.68,1,150.0,근화건설,근화건설,0612420091,,아파트,전라남도 목포시 남해로 73,위탁관리,계단식,19920904,0612438990,150,15375.0,0.0,150.0,0.0,0.0,12730.5,15,15,1,5,58737,34.7903520565791,126.403424840212
