kaptCode,kaptName,bjdCode,as1,as2,as3,as4,kaptAddr,codeSaleNm,codeHeatNm,kaptTarea,kaptDongCnt,kaptdaCnt,kaptBcompany,kaptAcompany,kaptTel,kaptUrl,codeAptNm,doroJuso,codeMgrNm,codeHallNm,kaptUsedate,kaptFax,hoCnt,kaptMarea,kaptMparea60,kaptMparea85,kaptMparea135,kaptMparea136,privArea,kaptTopFloor,ktownFlrNo,kaptBaseFloor,kaptdEcntp,zipcode,위도,경도
A10023730,부안 오투그란데 2차 하이스트 아파트,5280025022,전북특별자치도,부안군,부안읍,서외리,전북특별자치도 부안군 부안읍 서외리 632 부안 오투그란데 2차 하이스트 아파트,분양,개별난방,35649.64,4,237.0,(주)제일건설,(주)제일건설,0635816481,,아파트,전북특별자치도 부안군 번영로 63-10,위탁관리,계단식,20220603,0635816482,237,26131.35,0.0,237.0,0.0,0.0,20133.83,18,18,1,8,56309,35.7271701436389,126.728123538753
A57970102,부안서외주공아파트,5280025022,전북특별자치도,부안군,부안읍,서외리,전북특별자치도 부안군 부안읍 서외리 630 부안서외주공아파트,임대,개별난방,35949.746,6,462.0,계룡건설산업주식회사,한국토지주택공사,0635827831,부안서외주공아파트.ma-um.co.kr,아파트,전북특별자치도 부안군 부풍로 122,위탁관리,혼합식,20070220,0635827832,462,34333.883,462.0,0.0,0.0,0.0,25804.26,15,15,1,0,56312,35.7208572915583,126.730213826216
A57970104,부안대림낭주골,5280025023,전북특별자치도,부안군,부안읍,선은리,전북특별자치도 부안군 부안읍 선은리 258-1 부안대림낭주골,분양,개별난방,43673.453,3,491.0,대림건설,대림건설,0635831317,대림낭주골아파트,아파트,전북특별자치도 부안군 낭주길 5,위탁관리,복도식,19970829,0635831630,491,40578.5,491.0,0.0,0.0,0.0,29423.175,20,20,0,10,56307,35.7294818643684,126.738391580821
A57970105,새만금와이파크,5280025023,전북특별자치도,부안군,부안읍,선은리,전북특별자치도 부안군 부안읍 선은리 347 새만금와이파크,분양,개별난방,25888.25,2,293.0,에이치앤디 종합건설주식회사,와이에프개발 주식회사,0635810966,,아파트,전북특별자치도 부안군 선은로 65,위탁관리,복도식,20121127,0635810944,293,23246.268,293.0,0.0,0.0,0.0,17515.54,16,16,1,4,56306,35.7338976331103,126.738802272082
A10024879,부안라온프라이빗아파트,5280025024,전북특별자치도,부안군,부안읍,봉덕리,전북특별자치도 부안군 부안읍 봉덕리 920 부안라온프라이빗아파트,분양,개별난방,77029.15,6,570.0,라온건설(주),(주)성안홀딩스,0635823369,부안라온프라이빗.apti.co.kr/aptHome/,아파트,전북특별자치도 부안군 쟁갈길 19,위탁관리,계단식,20200423,0635823365,570,61809.164,0.0,531.0,39.0,0.0,48061.1792,25,25,1,16,56316,35.7200441385187,126.742376941636
A10024926,부안봉덕오투그란데아파트,5280025024,전북특별자치도,부안군,부안읍,봉덕리,전북특별자치도 부안군 부안읍 봉덕리 918 부안봉덕오투그란데아파트,분양,개별난방,29953.633,2,198.0,(주)제일건설,(주)에버종합건설,0635848500,band.us/band/76006714,아파트,전북특별자치도 부안군 오리정로 162-58,위탁관리,계단식,20190918,0635848500,198,22126.543,0.0,184.0,0.0,14.0,17678.229,19,19,1,6,56316,35.7211985905136,126.74041114012
A10028160,미소가애아파트,5280025024,전북특별자치도,부안군,부안읍,봉덕리,전북특별자치도 부안군 부안읍 봉덕리 912 미소가애아파트,분양,개별난방,68680.5,8,554.0,(주)진흥기업,한국토지주택공사,0635838041,,아파트,전북특별자치도 부안군 석정로 262,위탁관리,계단식,20150206,0635838042,554,43266.86,0.0,554.0,0.0,0.0,43266.86,20,20,1,15,56314,35.7219405654797,126.736205457999
A57970101,메리트하이안아파트,5280025024,전북특별자치도,부안군,부안읍,봉덕리,전북특별자치도 부안군 부안읍 봉덕리 910 메리트하이안아파트,분양,개별난방,45958.12,4,355.0,(주)메리트 건설,(유)메리트 건설,0635813299,메리트하이안.apti.co.kr,아파트,전북특별자치도 부안군 오리정로 172,위탁관리,계단식,20051021,0635812498,355,38653.53,0.0,341.0,14.0,0.0,30750.3854,15,15,0,13,56316,35.7222280410765,126.740962735443
A57970103,진성아파트,5280025024,전북특별자치도,부안군,부안읍,봉덕리,전북특별자치도 부안군 부안읍 봉덕리 793-4 진성아파트,분양,개별난방,16880.0,2,188.0,진성건설,진성건설,0635810291,,아파트,전북특별자치도 부안군 진성길 11,위탁관리,복도식,19931210,0635840208,188,16606.8,172.0,16.0,0.0,0.0,11658.24,14,14,0,4,56315,35.7248023890222,126.738358359967
A57980501,부안 양우현대,5280025024,전북특별자치도,부안군,부안읍,봉덕리,전북특별자치도 부안군 부안읍 봉덕리 626-4 부안 양우현대,분양,개별난방,37779.0,4,392.0,현대건설,양우건설,0635846474,부안양우현대.ma-um.co.kr,아파트,전북특별자치도 부안군 봉신길 19,위탁관리,계단식,19950324,0635831242,392,36055.2,166.0,196.0,30.0,0.0,28955.01,15,15,0,14,56314,35.7199852124337,126.732633388173
A57980502,봉덕주공2단지,5280025024,전북특별자치도,부안군,부안읍,봉덕리,전북특별자치도 부안군 부안읍 봉덕리 909 봉덕주공2단지,분양,개별난방,32756.0,6,420.0,(주)한국건설공사,한국주택공사,0635827944,봉덕2단지.apti.co.kr,아파트,전북특별자치도 부안군 석정로 286,위탁관리,혼합식,20030925,0635827945,420,32567.4,420.0,0.0,0.0,0.0,23679,15,15,1,12,56314,35.7200573550481,126.736451714441
A57980503,봉덕주공,5280025024,전북특별자치도,부안군,부안읍,봉덕리,전북특별자치도 부안군 부안읍 봉덕리 873 봉덕주공,분양,개별난방,39255.242,7,617.0,성원건설,대한주택공사,0635830462,부안봉덕주공1차.ma-um.co.kr,아파트,전북특별자치도 부안군 학동길 4,위탁관리,복도식,19980627,0635830463,617,39255.242,617.0,0.0,0.0,0.0,28333.26,15,15,1,8,56315,35.7245892861336,126.740461482464
A57985601,변산 송림,5280036025,전북특별자치도,부안군,변산면,지서리,전북특별자치도 부안군 변산면 지서리 408 변산 송림,분양,개별난방,14513.0,1,171.0,송림건설,송림건설,0635849395,,아파트,전북특별자치도 부안군 지서로 80,위탁관리,복도식,20001129,0635810298,171,11078.1,171.0,0.0,0.0,0.0,7767.8424,12,12,0,2,56342,35.6646422575442,126.528408261306
